id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18
20857,8,36,224,577,70,204,26,94,50,50,46,12,33,14
20859,8,43,270,847,108,302,46,103,78,63,29,24,58,13
20860,8,36,195,504,99,208,23,53,60,49,41,34,27,12
20861,8,40,185,512,73,220,24,69,60,42,42,25,33,12
20862,8,45,291,757,139,327,30,103,96,86,47,31,60,8
20863,8,36,185,516,70,170,22,65,45,33,38,16,35,10
20865,8,38,268,828,94,309,39,124,96,64,29,10,54,15
20866,8,37,232,766,75,275,38,97,85,60,39,15,57,13
20869,8,36,246,773,94,305,34,95,62,58,36,15,68,10
20870,8,31,99,289,52,110,11,31,35,18,22,15,19,7
20871,8,20,22,65,11,17,2,11,4,9,6,3,5,2
20872,8,38,245,609,83,231,33,111,59,63,33,25,46,9
20874,8,32,194,507,62,180,10,84,49,37,56,20,11,8
20876,8,37,234,712,88,300,30,113,77,76,61,27,33,22
20877,8,40,207,613,77,250,29,96,71,59,39,24,37,13
20878,8,35,219,681,73,262,17,61,81,47,47,19,22,12
20879,8,40,231,630,103,243,20,105,74,63,37,28,24,16
20881,8,28,316,795,140,304,29,93,98,64,56,11,35,16
20882,8,38,265,765,93,317,37,108,87,78,59,20,53,13
20883,8,36,158,476,58,184,25,67,62,44,28,15,32,9
20884,8,43,245,683,118,289,33,98,88,104,54,25,37,22
20885,8,34,99,340,41,121,12,41,44,36,14,9,15,8
20887,8,32,152,491,50,162,19,53,49,37,24,15,20,10
20888,8,50,275,705,135,280,38,127,94,85,50,45,45,10
20889,8,40,194,530,74,204,26,75,60,43,37,16,29,10
20892,8,40,194,517,64,213,19,65,56,37,46,13,20,15
20893,8,37,132,413,52,160,20,66,47,34,21,12,29,9
20894,8,36,254,736,95,257,34,84,79,59,36,16,44,17
20895,8,40,202,524,94,214,27,58,68,41,31,11,34,8
20896,8,30,71,185,30,73,9,20,18,8,22,8,19,1
20897,8,32,88,245,28,101,12,51,21,29,10,6,24,2
20898,8,44,355,848,127,358,36,126,94,61,82,35,49,24
20899,8,37,286,758,83,326,28,74,70,45,51,17,51,16
20900,8,42,237,612,90,266,25,54,63,42,37,21,29,16
20901,8,40,257,703,87,259,38,107,92,79,41,24,53,7
20902,8,40,223,674,95,287,31,95,73,48,39,29,35,14
20904,8,30,243,650,70,267,24,109,70,42,60,12,29,19
20905,8,34,256,808,85,291,37,88,69,58,54,17,47,15
20906,8,44,130,407,48,186,22,48,55,43,28,12,30,3
20907,8,36,320,741,81,281,30,122,64,63,45,18,50,16
20908,8,35,118,388,54,147,21,53,52,48,20,7,28,6
20909,8,34,232,848,71,320,35,109,86,77,55,13,44,20
20910,8,32,136,363,64,143,18,59,41,35,20,21,23,7
20911,8,40,191,465,70,165,18,76,46,39,45,16,33,6
20913,8,34,172,528,68,212,21,66,64,45,32,25,22,16
20914,8,40,279,702,120,248,31,76,68,55,58,28,41,14
20915,8,40,356,849,131,309,38,119,97,75,90,24,59,18
20916,8,37,263,800,113,330,30,83,96,63,50,29,33,23
20917,8,38,179,490,53,199,18,87,59,39,43,7,41,9
20918,8,29,97,387,48,137,16,73,50,48,23,20,19,12
20919,8,34,75,235,27,83,12,34,23,15,9,11,20,2
20920,8,32,178,547,61,217,16,116,61,42,39,13,18,13
20921,8,43,314,847,153,336,37,133,102,74,53,52,40,22
20922,8,37,90,285,30,108,13,30,30,20,17,7,16,9
20923,8,34,241,585,79,246,21,67,67,57,51,28,27,15
20924,8,29,97,234,49,94,8,30,30,15,18,13,13,6
20925,8,30,117,426,58,129,21,52,52,38,21,16,22,11
20926,8,47,257,731,114,278,34,116,93,72,50,37,50,16
20927,8,36,285,844,131,330,31,103,97,90,54,34,32,23
20928,8,40,122,347,67,124,20,49,40,27,26,23,27,2
20929,8,29,77,200,33,71,10,33,20,14,12,7,12,3
20930,8,40,367,849,121,287,40,124,84,71,78,45,50,15
20931,8,41,264,821,76,309,34,126,86,72,73,22,61,16
20932,8,40,234,620,107,247,25,100,77,55,38,39,34,15
20933,8,32,170,496,89,218,17,85,67,52,23,43,19,12
20935,8,40,248,706,93,276,29,83,77,36,42,15,36,17
20936,8,44,252,642,93,227,30,76,56,46,63,24,35,14
20938,8,34,190,720,42,277,34,101,70,78,37,11,56,10
20939,8,31,101,340,45,131,18,42,28,29,14,15,19,11
20940,8,40,155,440,60,181,18,62,40,32,25,10,21,11
20942,8,40,166,499,53,187,24,78,48,40,26,16,42,5
20943,8,40,370,849,112,278,34,118,79,69,91,21,89,10
20944,8,31,228,718,94,250,29,105,80,71,40,20,67,8
20945,8,29,99,492,26,144,2,47,50,37,23,2,2,2
20946,8,43,268,717,119,286,35,100,77,72,45,49,59,14
20947,8,40,322,769,115,274,33,107,75,62,59,34,43,15
20948,8,40,245,846,90,289,39,106,103,50,53,16,68,11
20949,8,36,253,737,99,333,32,110,68,48,54,28,45,14
20953,8,31,185,540,79,189,20,67,49,52,28,18,34,12
20954,8,15,71,266,20,56,9,51,28,18,20,9,28,0
20955,8,40,275,846,108,362,30,100,112,67,57,28,35,22
20956,8,36,158,444,67,150,21,58,50,26,33,12,32,7
20957,8,45,308,813,125,336,39,107,114,86,39,39,42,23
20958,8,35,202,510,80,193,19,70,58,51,48,19,33,9
20959,8,45,305,787,145,303,39,108,108,74,47,33,52,15
20962,8,40,304,848,150,319,33,115,88,83,56,56,34,25
20963,8,40,252,690,115,279,29,88,75,52,42,24,36,18
20964,8,36,264,847,102,302,38,90,83,65,46,23,46,24
20965,8,28,63,176,23,74,7,15,11,16,9,7,8,4
20966,8,40,213,697,93,267,24,88,100,54,33,15,27,18
20967,8,20,124,479,33,192,3,86,45,47,29,2,4,3
20968,8,36,249,770,94,295,40,108,77,63,41,23,48,17
20971,8,46,268,679,98,277,34,102,79,67,61,34,38,19
20972,8,32,119,328,42,118,14,50,33,25,19,10,27,7
20973,8,41,203,574,94,230,28,66,55,46,40,30,30,17
20974,8,44,320,836,140,338,41,131,84,88,49,49,47,21
20975,8,36,177,557,68,240,27,71,66,48,36,13,29,13
20976,8,42,344,842,114,316,43,118,94,76,72,28,67,11
20977,8,42,286,802,104,316,35,115,80,64,63,25,57,14
20979,8,31,145,501,62,207,14,82,43,47,25,10,15,12
20981,8,40,122,308,58,114,12,51,32,30,41,19,15,6
20982,8,32,146,457,51,182,17,46,46,22,28,6,23,13
20983,8,43,228,591,138,211,25,109,90,62,50,40,26,20
20984,8,31,217,725,80,306,25,86,79,57,40,35,27,17
20985,8,36,169,417,71,116,20,55,48,32,30,30,26,7
20987,8,35,227,579,97,291,32,84,66,58,37,35,34,12
20988,8,36,290,837,108,342,39,126,97,83,80,26,50,15
20992,8,40,206,614,70,267,29,64,63,40,43,14,39,11
20993,8,45,308,839,160,348,33,99,93,72,73,36,43,18
20994,8,40,222,560,106,248,27,86,77,45,37,36,37,8
20996,8,38,59,178,18,73,9,20,12,12,6,6,15,3
20998,8,36,206,597,96,240,33,103,56,53,26,28,40,10
20999,8,37,213,649,81,244,27,82,86,68,40,20,33,18
21000,8,30,105,274,37,93,11,43,26,27,23,10,14,7
21001,8,41,290,848,110,385,40,125,89,70,52,38,60,14
21002,8,40,172,483,67,200,23,56,50,46,33,19,36,6
21003,8,36,222,603,101,221,26,87,62,48,45,25,31,14
21004,8,29,123,303,59,124,11,37,35,22,18,18,12,9
21005,8,32,146,420,56,193,20,52,46,45,30,14,34,6
21006,8,36,270,745,103,309,29,87,82,63,44,24,37,19
21007,8,40,217,728,77,254,27,109,78,67,33,24,31,18
21008,8,40,192,650,70,249,29,88,81,68,31,18,33,15
21009,8,33,316,821,131,342,35,109,106,57,54,40,38,20
21010,8,40,191,658,69,234,31,83,91,63,28,8,36,16
21012,8,30,183,550,49,157,20,94,52,35,53,21,24,13
21013,8,24,69,228,26,89,7,21,32,9,6,4,9,7
21014,8,33,112,337,35,121,15,49,41,21,24,6,24,6
21015,8,40,236,638,102,228,33,76,73,60,56,39,38,12
21016,8,31,148,373,60,141,15,51,48,30,26,16,19,11
21017,8,27,39,137,14,55,8,23,13,11,4,4,11,2
21020,8,33,38,128,18,48,6,14,16,7,10,2,8,3
21021,8,40,221,598,97,246,27,66,89,39,38,32,30,17
21022,8,37,268,766,114,251,36,104,89,86,52,31,52,14
21023,8,34,174,497,77,179,25,63,52,45,25,24,30,10
21024,8,33,51,244,18,90,12,33,22,29,11,4,17,5
21025,8,40,216,674,82,294,28,70,73,59,38,25,37,20
21026,8,32,211,621,84,260,29,69,53,43,36,18,34,15
21028,8,32,297,786,131,309,35,101,92,93,47,29,51,14
21029,8,30,66,227,21,76,9,45,23,29,10,6,9,4
21030,8,44,158,494,58,186,22,51,56,34,29,19,31,13
21031,8,25,211,836,53,261,22,137,90,64,48,14,29,19
21032,8,40,330,828,126,360,36,117,80,85,78,46,47,19
21033,8,27,205,673,68,229,20,71,79,49,39,8,25,13
21034,8,36,149,486,45,145,8,61,46,43,25,16,8,8
21035,8,45,180,574,73,223,28,83,68,48,44,10,37,14
21036,8,41,222,603,84,237,29,82,80,48,42,31,33,14
21037,8,50,416,846,186,327,41,163,113,90,80,60,55,17
21038,8,42,194,488,50,171,12,84,47,48,41,11,12,5
21039,8,36,214,658,86,262,15,77,79,41,56,22,17,15
21042,8,36,274,845,119,361,39,106,85,72,58,41,46,22
21043,8,40,291,814,135,297,27,90,102,85,46,51,32,19
21044,8,36,263,720,120,286,39,99,70,77,32,21,45,9
21045,8,37,127,384,65,144,21,63,45,26,29,11,31,4
21049,8,40,255,826,90,299,35,148,90,75,63,24,38,21
21051,8,42,289,823,91,348,42,122,85,73,51,20,58,13
21052,8,32,263,847,104,271,15,115,100,59,67,24,24,13
21053,8,30,179,566,76,221,23,69,61,48,32,10,27,14
21054,8,43,297,816,108,272,28,100,100,79,47,34,36,23
21055,8,35,107,349,43,156,15,33,39,19,22,13,18,9
21056,8,48,257,681,103,266,26,97,98,95,48,40,32,18
21057,8,40,375,844,116,276,32,119,77,51,100,31,75,13
21058,8,40,337,848,128,310,36,114,96,71,72,31,78,11
21059,8,45,252,640,100,272,23,92,90,60,44,28,27,16
21060,8,45,350,851,151,333,38,157,98,83,62,35,74,8
21061,8,30,108,404,43,133,18,81,41,31,20,7,28,7
21063,8,37,205,567,80,241,28,64,50,33,44,11,39,11
21064,8,38,283,772,94,272,21,104,89,73,51,19,29,16
21065,8,47,196,581,95,240,28,90,67,58,27,29,35,12
21067,8,41,305,845,138,328,43,97,97,64,63,45,53,17
21068,8,36,215,543,73,173,24,89,39,54,58,13,29,14
21069,8,42,271,843,75,355,27,81,95,67,55,19,33,22
21070,8,40,317,694,126,260,27,87,61,57,75,41,53,12
21071,8,30,233,832,102,290,31,123,64,74,60,14,42,19
21072,8,35,273,688,83,284,17,86,73,53,42,20,20,14
21073,8,40,264,833,93,296,29,112,78,71,62,23,33,17
21074,8,37,254,688,110,263,34,97,82,51,54,34,53,10
21075,8,35,215,553,101,229,25,71,77,54,32,22,26,18
21076,8,40,261,720,129,308,33,85,78,41,37,34,46,19
21077,8,40,174,590,64,221,31,93,63,45,27,8,36,13
21078,8,35,132,344,78,160,15,60,29,33,33,38,21,6
21079,8,34,121,304,48,126,16,38,30,27,30,15,20,5
21081,8,36,260,838,104,306,39,110,108,50,49,25,48,21
21083,8,41,216,606,94,238,19,74,88,56,48,44,21,15
21085,8,37,248,651,75,250,28,72,68,51,43,20,42,16
21086,8,30,137,345,61,141,15,55,38,38,26,17,17,9
21087,8,34,170,444,54,167,18,66,54,38,34,11,21,11
21089,8,36,189,515,83,207,23,80,52,34,31,17,34,11
21090,8,37,156,380,67,173,19,56,44,42,44,18,32,4
21091,8,34,116,252,70,126,10,50,27,28,13,12,25,1
21092,8,43,236,703,103,251,29,84,73,65,57,37,35,17
21093,8,42,285,844,81,333,38,77,93,75,63,27,66,12
21094,8,40,291,787,130,309,37,144,94,89,59,51,50,17
21095,8,35,284,846,97,345,35,115,83,75,51,19,44,19
21096,8,37,137,493,50,204,24,71,52,43,31,20,31,10
21097,8,46,231,729,91,280,32,96,90,65,39,23,46,16
21098,8,43,333,847,157,318,36,129,111,72,43,50,52,16
21099,8,40,291,841,130,305,40,116,81,95,59,24,50,16
21101,8,40,132,462,34,157,28,70,64,46,33,3,36,7
21102,8,31,107,450,43,136,17,45,40,35,19,6,18,12
21103,8,32,84,244,31,86,12,35,25,20,5,5,16,5
21105,8,40,341,849,109,379,38,96,100,59,71,27,42,22
21106,8,40,212,676,79,271,30,72,89,54,20,18,32,20
21107,8,40,241,582,120,234,26,72,66,56,39,34,28,18
21109,8,40,195,596,76,248,31,78,70,33,42,11,44,8
21110,8,45,264,741,123,277,37,101,94,49,47,49,46,16
21111,8,36,261,784,112,266,32,98,84,72,42,33,45,18
21112,8,35,209,604,58,201,28,79,55,43,30,6,35,16
21113,8,36,274,829,101,288,27,140,91,85,55,17,30,19
21114,8,40,219,580,101,227,23,91,81,66,37,15,27,17
21115,8,32,134,390,52,162,20,39,62,25,25,17,25,8
21116,8,37,250,752,100,269,38,96,96,87,34,29,48,13
21118,8,48,295,692,129,257,30,107,81,67,51,33,34,20
21119,8,33,204,597,73,244,26,67,63,37,36,21,33,14
21120,8,50,346,842,150,347,41,151,84,78,94,34,54,16
21122,8,46,297,829,114,345,38,147,94,77,58,39,50,20
21123,8,43,197,551,83,223,27,74,56,45,38,21,31,14
21126,8,27,206,843,71,288,29,85,77,32,27,7,31,22
21127,8,35,218,725,85,277,30,122,66,77,38,15,57,11
21129,8,36,257,849,98,338,36,89,81,57,45,29,40,23
21130,8,45,293,840,118,347,41,114,88,64,64,25,59,14
21131,8,35,164,445,73,152,20,76,50,40,28,23,38,3
21132,8,40,135,326,91,129,14,40,34,28,27,26,30,5
21133,8,35,223,710,69,289,37,82,85,55,42,14,50,9
21134,8,34,285,819,90,328,29,143,99,91,67,14,32,17
21135,8,40,252,790,114,298,36,90,86,56,36,26,41,15
21136,8,33,276,845,109,299,44,105,101,70,54,24,52,16
21137,8,39,296,763,142,285,33,91,86,54,53,34,51,13
21138,8,33,122,365,51,142,18,58,41,27,38,15,32,3
21140,8,24,30,63,19,28,1,13,3,5,1,10,13,0
21141,8,31,76,188,42,75,10,27,19,12,14,16,13,3
21142,8,36,134,411,55,155,22,40,41,34,39,5,27,6
21143,8,40,310,847,139,348,34,87,96,55,55,31,46,22
21144,8,40,174,524,80,216,25,80,59,44,31,18,29,13
21145,8,32,260,849,57,345,33,96,88,60,55,13,36,23
21146,8,47,297,846,130,321,35,135,104,93,56,31,36,24
21147,8,40,229,732,102,263,30,126,73,53,44,32,32,23
21148,8,35,205,611,78,290,16,67,91,44,46,24,20,13
21149,8,36,253,696,112,249,32,77,67,37,45,27,39,17
21150,8,28,60,204,17,65,7,28,30,11,12,3,7,4
21151,8,35,242,847,79,349,38,124,82,62,41,8,46,24
21153,8,33,192,432,63,177,16,56,53,32,46,21,20,10
21154,8,34,264,669,90,287,29,79,81,56,42,22,34,18
21155,8,36,282,846,105,299,31,110,80,71,44,26,38,24
21156,8,40,252,722,93,283,35,99,82,76,45,19,49,14
21157,8,40,311,797,120,304,35,113,79,67,57,32,70,11
21158,8,35,259,765,88,296,28,93,84,47,53,13,82,4
21159,8,46,232,636,117,223,30,98,62,52,52,30,37,15
21160,8,34,191,664,78,229,22,119,61,60,43,20,34,18
21161,8,40,268,785,51,284,37,106,60,69,63,10,55,15
21163,8,40,163,504,71,206,22,63,54,45,34,13,41,4
21164,8,45,255,631,123,239,23,81,71,51,47,34,27,17
21166,8,31,90,314,36,120,9,37,24,33,25,4,36,1
21167,8,40,316,842,155,293,36,116,109,78,52,66,44,26
21168,8,40,317,848,114,320,37,98,99,61,59,20,54,17
21170,8,39,277,845,138,296,37,105,100,65,60,36,41,23
21171,8,35,158,421,78,155,21,65,57,44,23,31,23,14
21174,8,42,256,725,118,295,29,85,71,60,45,24,42,14
21175,8,38,280,828,90,271,39,128,66,77,45,18,71,10
21176,8,34,142,530,59,202,22,61,60,53,28,7,23,19
21177,8,26,73,262,28,89,10,39,34,27,17,2,11,6
21178,8,31,193,502,74,210,20,71,57,43,41,20,23,14
21179,8,31,68,215,29,92,6,32,16,20,19,5,23,0
21180,8,40,267,686,128,266,30,87,86,81,39,25,42,14
21181,8,40,243,627,90,188,22,85,52,47,47,11,46,11
21182,8,31,129,426,56,171,19,37,37,35,45,14,34,7
21183,8,36,221,707,72,256,30,96,64,52,54,18,50,10
21185,8,42,262,715,105,260,34,102,71,77,58,40,54,18
21186,8,39,290,848,105,328,36,131,90,84,58,25,51,19
21188,8,37,200,641,77,257,8,98,75,45,34,15,9,7
21189,8,37,188,625,64,259,30,77,66,45,29,16,36,18
21190,8,36,218,658,91,272,31,118,80,87,37,42,44,13
21191,8,34,216,689,69,281,7,82,88,74,39,14,8,7
21192,8,35,150,548,44,195,26,79,54,49,30,1,44,8
21193,8,40,202,574,83,196,29,64,54,44,28,25,42,7
21194,8,42,271,848,111,305,35,135,108,81,56,25,36,24
21195,8,36,192,565,83,223,25,73,67,42,35,16,29,15
21198,8,34,218,727,79,274,43,136,64,63,46,10,52,8
21199,8,35,219,723,85,299,30,96,85,65,42,29,31,18
21200,8,40,351,848,125,332,36,128,97,72,72,31,62,20
21202,8,45,211,569,107,206,28,76,60,52,66,43,31,16
21203,8,40,260,700,112,273,33,107,76,56,69,27,52,9
21204,8,31,136,369,51,149,12,46,51,32,27,20,21,9
21205,8,31,72,204,28,78,12,22,22,16,14,6,13,3
21206,8,34,234,843,89,260,19,122,64,67,52,18,20,18
21207,8,44,213,665,80,245,28,78,69,55,38,20,33,14
21208,8,38,276,850,83,275,36,137,95,63,66,25,50,19
21209,8,42,307,847,93,320,41,149,77,68,65,12,52,17
21210,8,35,183,563,76,190,28,81,61,58,31,21,36,13
21211,8,33,223,711,98,243,28,114,83,56,51,23,29,21
21213,8,40,141,538,52,210,25,65,57,47,29,5,27,14
21214,8,40,115,358,48,174,15,44,51,24,25,11,17,10
21215,8,41,251,702,112,256,35,97,93,36,55,27,40,17
21217,8,30,96,320,38,115,10,32,35,17,17,9,12,9
21218,8,42,299,846,123,319,32,109,119,72,48,35,45,21
21219,8,40,290,833,129,319,35,124,77,70,48,24,73,7
21220,8,30,202,695,74,253,19,118,74,52,47,11,24,15
21221,8,31,136,443,69,145,17,45,45,38,24,18,24,9
21222,8,27,70,237,28,95,12,32,30,21,18,13,13,5
21223,8,36,197,488,67,200,21,74,51,31,30,13,36,7
21224,8,43,193,595,72,215,30,77,80,64,28,22,46,13
21225,8,50,342,847,157,327,32,122,115,74,69,48,39,18
21227,8,40,225,623,87,237,25,63,60,36,65,30,42,11
21229,8,40,235,635,95,232,27,88,62,68,45,13,43,11
21230,8,36,246,665,89,265,35,81,67,51,44,20,49,10
21233,8,40,244,695,89,256,31,81,75,56,42,24,52,13
21235,8,28,141,473,48,154,6,82,50,48,26,5,8,6
21236,8,40,169,580,52,211,27,82,69,47,29,7,33,14
21237,8,40,319,842,138,372,34,108,91,65,57,34,41,23
21238,8,37,166,578,49,219,26,115,52,69,31,11,27,15
21240,8,26,49,208,16,82,3,24,14,14,14,5,4,3
21241,8,30,167,563,60,201,26,62,64,33,33,12,33,13
21244,8,30,88,297,38,101,13,45,30,23,15,4,18,8
21245,8,40,306,850,142,345,38,126,97,74,65,39,43,22
21246,8,37,226,598,74,208,27,99,68,41,50,19,34,11
21247,8,34,256,770,88,320,31,104,91,62,58,23,41,16
21248,8,28,139,405,46,145,19,55,37,32,32,2,34,3
21249,8,42,140,386,64,165,18,65,46,40,24,19,26,9
21250,8,44,321,813,144,377,38,101,111,88,52,32,42,23
21251,8,40,249,766,112,296,38,89,72,63,43,37,45,19
21253,8,40,124,344,54,138,16,52,34,28,28,13,25,6
21255,8,41,201,555,60,229,15,76,49,47,41,17,20,9
21256,8,33,127,394,56,151,17,74,34,38,34,17,20,10
21257,8,30,205,700,70,288,22,84,91,69,43,18,23,17
21258,8,40,108,334,46,122,16,42,39,25,17,13,17,10
21259,8,43,266,842,104,311,31,112,115,72,56,20,34,27
21261,8,36,254,847,109,337,40,105,89,60,42,20,46,17
21262,8,36,208,628,52,205,29,79,61,49,45,7,43,9
21263,8,32,308,601,83,167,22,118,44,48,78,16,74,2
21264,8,36,113,280,41,114,10,39,19,28,20,9,26,3
21265,8,35,89,299,41,109,11,44,33,22,14,5,12,7
21266,8,38,178,612,57,222,31,67,72,52,36,13,34,15
21268,8,38,131,363,59,144,17,50,37,32,32,18,36,1
21269,8,40,183,424,93,166,17,64,59,44,45,41,20,10
21271,8,30,111,328,58,125,14,50,33,30,17,8,17,7
21272,8,40,292,848,107,330,33,107,92,78,58,29,37,22
21273,8,34,164,512,54,214,17,68,57,45,35,16,19,13
