id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3
5989,3,1,28,95,14,35,5,10,10,13,9,1,6,3,7,3,3,2,0,0,6,3,0,9,1,1,0,1.16913236606,1,1,4,0,1.85081925506,4.0,40.0,0,1,5.42714285714,0,0,0,0,1,3,0
5990,3,3,63,137,22,63,7,34,17,11,13,5,9,3,4,3,5,2,0,1,6,7,9,4,7,5,1,2.07669284154,1,0,4,0,2.0196012428,4.60583941606,46.0583941606,2,0,5.33904761905,0,0,0,3,1,1,1
5991,3,2,30,84,22,27,5,18,11,15,3,3,6,2,8,5,4,0,1,1,3,0,1,5,5,1,0,0.769440603296,0,1,0,0,2.20346959495,4.4880952381,44.880952381,0,3,6.04518518519,0,0,0,0,0,0,0
5992,3,1,30,69,22,21,3,9,9,8,8,4,4,2,4,5,3,1,3,1,0,0,11,5,8,0,7,1.39894919675,1,3,1,1,2.66645352942,4.91304347826,49.1304347826,0,0,5.89952380952,0,0,0,0,0,0,0
5993,3,2,50,126,21,48,6,22,15,22,7,4,8,3,5,7,5,3,4,0,5,2,5,6,4,0,6,2.03980152524,1,1,3,0,1.96903005693,4.20634920635,42.0634920635,0,1,6.12979166667,1,0,0,0,0,0,0
5994,3,2,47,105,24,46,6,21,13,14,7,5,6,2,5,5,3,1,0,3,3,3,4,4,6,4,8,1.6260821852,0,0,1,1,2.40983941526,4.55238095238,45.5238095238,2,0,6.42347826087,0,0,0,0,1,0,0
5995,3,2,43,105,21,27,5,15,13,14,11,8,10,2,8,5,4,4,1,1,11,2,4,9,2,0,1,1.75077110321,0,0,1,0,2.44173870676,4.45714285714,44.5714285714,0,1,6.38444444444,0,0,0,0,0,0,0
5996,3,1,37,91,21,30,5,15,19,13,3,3,6,2,2,5,1,0,1,0,3,3,6,6,3,1,7,1.91344579103,1,2,2,0,2.13511830087,4.42857142857,44.2857142857,0,0,6.14433333333,1,0,0,1,0,1,0
5997,3,2,43,90,22,31,6,23,6,13,5,2,8,0,4,4,2,4,0,1,0,3,10,2,8,4,3,1.43852538512,0,2,0,0,2.16197994981,4.66666666667,46.6666666667,1,1,6.04935483871,0,1,0,0,1,0,0
5998,3,2,19,52,11,21,2,14,8,7,2,2,3,2,4,2,2,1,1,2,0,1,3,2,2,0,0,0.879302946576,1,2,1,0,2.35883500146,4.34615384615,43.4615384615,1,0,5.73047619048,0,0,0,0,1,0,0
5999,3,1,10,34,4,14,1,7,2,6,2,0,2,1,1,1,4,1,0,0,4,2,0,2,0,0,0,0.564207478408,1,0,0,0,1.8386327556,3.79411764706,37.9411764706,0,0,5.33571428571,0,0,0,0,0,0,0
6000,3,2,61,126,29,52,7,25,11,10,6,12,8,3,6,6,7,5,5,3,1,2,7,6,15,5,4,1.21291745925,1,3,1,1,2.41935318655,4.89682539683,48.9682539683,2,0,5.85153846154,0,0,0,0,0,0,1
6001,3,1,19,62,10,23,3,15,11,8,1,4,4,2,1,2,2,1,1,0,4,2,4,6,3,0,0,1.08300738606,0,1,0,0,2.15747075611,4.03225806452,40.3225806452,1,2,5.24434782609,0,0,0,0,0,0,0
6002,3,2,33,115,15,40,6,19,19,16,9,6,7,3,8,5,1,4,0,2,1,1,4,5,12,0,4,1.8825458662,0,0,1,0,2.18202909089,4.04347826087,40.4347826087,1,1,5.2235,2,0,0,1,0,1,0
6003,3,3,74,184,36,69,8,38,16,23,12,12,9,5,13,6,5,7,3,3,15,6,6,12,3,2,0,2.38963275463,3,5,2,0,2.28590254375,4.40217391304,44.0217391304,1,4,5.51057971014,0,0,0,0,2,0,0
6004,3,1,10,40,4,14,1,3,4,3,3,1,2,1,5,0,4,2,2,0,1,0,1,6,1,0,0,0.527688028501,1,2,1,0,1.77572664794,3.775,37.75,0,0,5.69714285714,0,0,0,0,0,0,0
6005,3,3,69,170,35,69,8,28,20,27,16,8,13,1,6,10,8,2,2,4,7,4,11,9,0,1,0,2.09023776632,1,8,7,2,2.43023792807,4.54705882353,45.4705882353,1,3,6.22391304348,1,0,0,0,0,0,0
6006,3,2,35,89,17,32,4,17,7,12,3,6,6,2,7,1,4,6,1,2,1,5,5,3,6,2,5,1.52342508143,1,0,1,0,2.38751006073,4.41573033708,44.1573033708,0,0,5.8134375,0,0,0,0,2,0,0
6007,3,3,57,138,34,58,7,18,14,17,8,6,9,5,7,6,2,4,1,0,5,2,6,17,15,3,3,1.82453255553,0,2,0,0,2.31855576506,4.51449275362,45.1449275362,4,2,6.17689655172,0,1,0,1,1,1,0
6008,3,1,56,139,34,41,6,25,22,16,16,7,8,3,5,5,3,1,2,2,12,4,7,12,3,1,6,3.36933838215,1,3,1,0,2.33689050688,4.41007194245,44.1007194245,1,1,5.70195121951,0,0,0,1,0,0,0
6010,3,1,32,96,23,29,5,18,14,15,10,4,6,2,1,5,1,1,0,1,3,2,0,6,6,2,0,2.10415543797,1,3,1,0,2.16792305004,4.26041666667,42.6041666667,2,1,6.45862068966,1,0,0,0,2,0,0
6011,3,1,10,19,2,5,1,4,2,3,2,1,2,1,0,1,0,2,0,1,1,0,5,0,1,0,1,0.134476092101,0,1,0,0,2.26852349126,4.42105263158,44.2105263158,0,0,5.81,0,0,0,0,0,0,0
6012,3,0,27,83,15,31,3,12,5,10,10,3,6,1,6,2,2,0,1,2,4,1,7,10,0,0,1,1.50104654462,1,8,1,1,2.24321879478,4.27710843373,42.7710843373,0,4,5.16064516129,0,1,0,0,1,2,0
6013,3,1,16,44,9,16,2,7,6,7,1,4,3,1,1,0,1,1,2,1,1,2,2,4,4,0,0,1.1997091884,1,0,3,1,2.67910243403,4.40909090909,44.0909090909,1,0,5.319375,0,0,0,0,0,0,0
6014,3,3,66,157,39,64,6,31,22,22,13,13,9,4,14,2,6,3,4,6,6,2,4,5,9,2,0,2.23584516473,2,2,5,0,2.36263996705,4.75796178344,47.5796178344,3,0,6.7025,0,0,0,0,0,0,0
6015,3,2,50,125,24,55,6,32,15,23,5,5,8,2,4,5,6,2,2,1,2,2,2,5,11,1,0,1.25332866011,2,1,1,1,2.08534053845,4.488,44.88,2,1,5.65690909091,2,0,0,0,0,0,0
6016,3,3,78,209,39,80,11,35,27,24,9,14,12,6,14,8,11,4,10,0,7,1,4,14,6,4,1,2.55999555553,2,4,8,0,2.16523881115,4.31578947368,43.1578947368,1,3,5.68375,1,0,0,2,0,2,0
6017,3,1,23,74,10,29,3,15,7,13,4,1,7,1,3,4,2,3,1,0,5,0,0,4,4,0,0,1.11942036335,0,2,1,0,1.77418236535,3.94594594595,39.4594594595,0,1,5.34172413793,0,1,0,0,0,0,0
6018,3,2,36,83,12,28,1,9,8,12,6,3,6,1,5,6,5,2,0,1,6,3,5,8,2,0,3,1.35082732083,1,3,1,0,2.16013353817,4.27710843373,42.7710843373,0,1,5.70964285714,0,0,0,0,1,0,0
6019,3,1,23,72,8,27,4,13,7,12,3,2,4,1,1,4,3,1,1,0,7,2,1,9,1,0,0,0.9017647919,0,3,1,0,1.86559325274,3.88888888889,38.8888888889,1,1,6.15666666667,0,0,0,0,0,0,1
6020,3,2,48,132,29,41,6,30,17,15,12,8,9,2,6,5,3,1,1,2,9,5,9,9,4,3,1,2.92344622825,1,1,1,0,2.28881307204,4.31060606061,43.1060606061,0,3,5.76609756098,2,0,0,0,1,0,1
6021,3,2,23,60,9,27,2,8,6,9,5,2,7,0,0,5,2,0,3,0,2,1,1,7,0,0,0,0.752769070619,0,4,2,0,1.87188536034,4.23333333333,42.3333333333,0,0,5.89851851852,0,0,0,0,1,0,0
6022,3,2,49,122,24,38,6,21,13,20,9,4,9,2,4,7,7,3,1,0,8,5,10,5,4,2,8,2.31119820331,1,5,1,0,2.07384666612,4.36885245902,43.6885245902,1,0,5.70105263158,0,0,0,0,1,0,1
6023,3,2,62,155,27,68,6,27,10,20,6,9,8,5,5,10,7,1,0,2,13,5,4,14,0,4,2,1.32988735099,2,4,6,0,2.12387627697,4.47741935484,44.7741935484,3,2,5.77485294118,2,1,0,3,2,0,1
6024,3,1,30,69,14,20,4,16,7,14,5,1,4,1,4,3,2,0,1,0,3,1,5,4,5,0,0,0.729244628486,0,0,0,0,2.05466636682,4.44927536232,44.4927536232,0,0,6.265,0,0,0,0,0,0,0
6025,3,1,15,52,6,22,2,10,9,10,3,1,2,1,3,3,1,1,1,1,0,0,2,3,4,0,0,0.980671706183,1,1,0,0,2.04843316498,4.0,40.0,0,0,5.43454545455,1,0,0,1,1,0,0
6026,3,3,70,205,37,75,10,40,20,23,19,13,13,3,4,5,11,3,8,4,1,4,11,17,25,6,6,3.58811437602,2,0,2,0,2.25138248616,4.31219512195,43.1219512195,0,5,5.5132,0,0,0,0,2,0,0
6027,3,3,84,239,37,90,10,43,29,24,24,16,11,8,8,8,10,10,4,8,14,6,18,14,7,9,9,4.09460979374,5,3,0,3,2.50224750421,4.34728033473,43.4728033473,2,2,5.58655555556,0,1,0,0,5,0,0
6028,3,2,36,75,17,30,2,15,8,7,11,3,10,0,3,4,1,0,3,1,2,2,10,2,8,0,10,1.17089126457,0,3,0,0,2.05886350177,4.76,47.6,0,0,5.50333333333,0,0,0,0,0,0,0
6029,3,1,43,104,19,44,6,24,15,18,4,2,8,2,8,2,0,0,0,0,4,4,7,2,1,0,3,1.44018180959,0,0,5,0,1.92965826783,4.43269230769,44.3269230769,2,1,6.05886363636,2,1,0,0,1,0,1
6030,3,3,78,181,50,75,12,39,21,30,9,12,14,2,13,7,3,1,2,2,5,6,7,8,17,4,3,2.7491969029,0,0,1,0,2.34919627597,4.64640883978,46.4640883978,2,1,6.31533333333,2,0,0,1,0,2,2
6031,3,3,71,174,46,53,8,38,21,16,10,25,12,3,10,9,3,5,1,10,4,6,14,7,13,19,6,2.89991297194,2,1,0,0,2.7863959503,4.93103448276,49.3103448276,1,0,5.85113207547,0,0,0,1,0,0,0
6032,3,2,27,71,13,28,3,16,8,11,1,2,7,1,3,2,0,0,2,0,2,2,4,7,10,1,1,0.850698196227,0,1,0,0,2.01263613834,4.32394366197,43.2394366197,1,1,5.53464285714,1,0,0,0,0,1,0
6033,3,3,80,190,51,63,8,40,25,21,17,15,11,3,10,8,5,2,4,5,9,8,19,9,4,1,11,4.43746874775,3,5,2,0,2.5537714887,4.56842105263,45.6842105263,2,1,6.09142857143,0,0,0,1,1,0,0
6034,3,2,58,136,33,47,5,24,20,16,8,8,8,4,6,8,4,1,3,4,3,3,12,7,10,1,3,1.97989926815,3,6,1,0,2.38271736636,4.66176470588,46.6176470588,2,3,5.82170212766,0,2,0,0,0,0,1
6035,3,1,30,90,8,34,3,14,8,7,5,2,5,2,6,3,3,6,3,0,5,0,4,8,6,1,3,1.2302083385,2,2,0,0,1.77600176581,3.94444444444,39.4444444444,0,3,5.19764705882,0,1,0,0,0,0,1
6036,3,2,58,158,25,61,5,28,20,20,10,5,7,4,10,2,5,3,3,1,7,7,11,16,13,4,1,3.44474825207,3,3,0,0,2.10263346394,4.20886075949,42.0886075949,1,0,5.92967213115,0,0,1,0,0,0,0
6037,3,2,28,79,16,28,4,11,6,10,8,1,5,1,3,2,3,1,0,0,3,1,2,8,9,0,1,1.02428543073,0,1,2,0,1.98034811165,4.22784810127,42.2784810127,2,4,5.95928571429,0,0,0,0,0,0,1
6038,3,2,51,142,30,38,4,25,18,16,4,11,6,3,5,12,8,4,1,1,5,5,23,10,4,2,0,1.50753900425,3,5,3,0,2.17071803363,4.35211267606,43.5211267606,0,4,5.14368421053,0,0,0,0,0,0,1
6039,3,1,45,119,16,49,7,17,13,14,9,2,9,3,10,7,2,5,3,0,1,1,7,8,9,0,4,1.92948856926,0,0,2,0,1.87753531767,4.15966386555,41.5966386555,2,2,5.40959183673,2,0,0,0,0,0,1
6040,3,1,32,85,11,36,4,18,14,12,3,2,6,2,6,3,1,1,4,0,7,0,6,5,0,0,5,2.44068755337,0,1,0,0,1.83087433767,4.12941176471,41.2941176471,2,0,5.99583333333,0,0,0,0,1,1,0
6041,3,2,15,46,9,10,3,9,6,7,3,1,4,0,2,1,2,0,0,0,1,1,1,5,5,0,0,0.894505515527,0,1,1,0,2.08282602519,3.86956521739,38.6956521739,0,0,6.198,1,0,0,0,0,0,0
6042,3,2,47,107,22,48,4,25,16,11,5,7,7,3,5,1,3,2,2,2,10,5,4,9,1,4,4,2.65071190647,1,0,1,0,2.29978570375,4.46728971963,44.6728971963,0,1,5.84541666667,0,0,0,0,1,0,0
6043,3,1,18,61,11,19,3,10,7,10,6,3,6,0,2,3,2,2,0,2,0,0,0,4,6,4,0,0.977626881911,0,0,1,0,2.41590811536,4.11475409836,41.1475409836,0,0,5.52263157895,0,0,0,0,0,0,0
6044,3,2,6,16,5,5,0,4,2,5,0,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.338611020959,0,0,0,0,2.44182308941,4.6875,46.875,0,0,6.356,0,0,0,0,1,0,0
6045,3,2,38,107,18,30,5,14,12,13,11,6,7,4,11,3,7,1,2,2,1,3,5,8,10,2,1,1.89916239223,0,0,1,0,2.16885506364,4.22429906542,42.2429906542,0,2,6.15266666667,0,0,0,0,1,1,0
6046,3,1,44,105,19,46,5,19,10,13,2,2,7,3,5,0,1,6,0,1,3,4,4,7,9,1,11,1.62312715273,1,0,2,0,2.11366563524,4.31428571429,43.1428571429,3,0,6.03565217391,0,0,0,3,0,0,0
6047,3,1,22,68,11,26,4,10,9,9,4,2,7,0,2,3,3,0,0,0,3,1,1,5,0,1,0,0.923815166078,0,2,4,0,1.89744757163,4.16176470588,41.6176470588,3,0,5.98230769231,0,0,0,0,3,0,0
6048,3,1,41,130,15,47,6,23,11,18,7,5,13,0,10,3,3,5,2,0,6,1,8,7,8,3,6,2.19321499389,0,3,0,0,1.90672475319,3.99230769231,39.9230769231,0,2,5.44765957447,0,0,0,0,1,0,4
6049,3,1,29,57,14,22,3,12,9,11,3,0,4,1,1,4,1,2,1,0,0,3,2,0,4,0,4,0.631702451766,0,0,0,0,2.02722695395,4.54385964912,45.4385964912,0,0,6.28363636364,1,0,0,0,0,0,0
6050,3,3,136,336,71,124,18,69,42,56,30,16,20,6,21,7,9,2,10,7,10,9,10,5,15,10,2,7.57852867107,4,3,10,1,2.21915603735,4.47321428571,44.7321428571,3,1,6.0814516129,1,0,0,0,1,4,0
6051,3,1,54,147,27,57,8,28,13,18,16,5,11,2,0,7,3,5,3,0,0,6,7,11,13,2,1,3.7300577101,0,4,1,0,1.97512722991,4.27891156463,42.7891156463,1,1,5.66561403509,2,0,0,1,2,2,0
6052,3,2,58,141,29,48,5,27,20,20,8,10,7,5,8,7,3,2,1,4,6,4,20,6,5,2,4,2.76231564758,2,1,6,1,2.56241242715,4.48936170213,44.8936170213,1,3,6.02395833333,2,1,0,1,0,0,1
6053,3,1,23,58,10,19,2,10,7,12,4,1,4,2,2,3,0,2,0,0,0,1,4,4,1,0,0,1.24929069951,1,6,1,0,2.05674197162,4.25862068966,42.5862068966,0,0,5.70684210526,0,0,0,1,0,0,0
6054,3,1,31,76,14,24,2,14,9,9,4,0,4,2,5,1,1,3,0,0,10,5,0,4,0,2,0,1.20461235791,2,0,0,0,1.80656696818,4.17105263158,41.7105263158,3,0,6.54416666667,0,0,0,0,1,0,1
6055,3,2,39,131,20,35,6,24,15,19,6,4,10,2,5,1,3,4,1,0,7,2,5,13,9,1,2,2.53448915675,0,1,3,0,2.03232826862,3.84732824427,38.4732824427,1,2,5.446,0,1,0,2,1,1,0
6056,3,1,44,102,19,38,5,21,14,17,10,8,8,1,7,4,2,1,0,2,0,1,5,2,11,0,1,1.36210117639,1,0,2,0,2.40641170979,4.57843137255,45.7843137255,3,1,5.87236842105,0,0,0,0,0,0,2
6057,3,3,59,145,31,58,8,30,22,19,9,9,9,3,7,2,3,4,1,1,10,5,9,10,4,4,5,2.37541858385,1,1,3,0,2.26843237515,4.40689655172,44.0689655172,0,2,5.80965517241,0,0,0,0,0,0,1
6058,3,2,46,132,18,52,6,21,23,23,5,7,9,3,7,8,2,2,4,0,11,2,7,5,2,0,1,2.68114734061,1,3,3,0,2.10650655874,4.11363636364,41.1363636364,0,2,5.41865384615,2,0,0,0,0,0,0
6059,3,1,21,42,15,10,1,10,6,7,2,2,2,1,4,1,2,0,1,1,3,2,6,2,0,1,0,0.702862790175,1,0,1,1,2.85377269295,5.04761904762,50.4761904762,0,0,6.722,1,0,0,0,0,0,0
6060,3,1,15,57,6,28,2,3,9,8,1,0,3,2,6,7,2,2,0,0,2,0,3,7,0,0,1,2.26586406455,1,6,0,0,1.6471285868,3.9649122807,39.649122807,0,0,5.57357142857,0,0,0,0,0,0,0
6061,3,3,96,251,51,93,7,54,34,35,10,7,8,7,8,11,9,8,3,1,6,6,20,14,17,4,10,3.44818852868,6,1,2,0,2.09392975829,4.31474103586,43.1474103586,3,0,5.88032258065,0,0,0,3,1,2,1
6062,3,1,32,84,13,23,5,13,13,11,5,4,6,2,8,1,1,0,4,0,8,2,5,7,1,0,3,1.97348792671,0,0,2,0,2.10795831047,4.11904761905,41.1904761905,0,1,5.8547826087,0,0,0,0,1,0,1
6063,3,2,46,111,19,44,6,26,11,14,6,5,8,2,6,7,1,2,3,0,0,1,7,4,7,1,2,1.65807948525,0,5,1,0,2.04871066703,4.47747747748,44.7747747748,0,4,6.06386363636,1,1,0,0,1,0,0
6064,3,2,36,90,23,29,5,17,15,18,6,8,7,1,0,7,3,3,0,3,0,3,5,5,9,1,2,1.13486404815,0,0,0,2,2.72858818954,4.64444444444,46.4444444444,0,2,6.22793103448,1,0,0,0,0,0,0
6065,3,2,40,110,29,25,7,24,13,20,4,8,10,1,4,8,4,3,1,5,5,0,8,5,10,1,2,1.66137424047,0,1,0,1,2.72462896602,4.55454545455,45.5454545455,0,1,6.182,3,0,0,0,0,0,1
6066,3,1,23,71,9,21,4,8,9,9,5,2,5,2,6,2,2,2,4,0,4,2,5,4,0,0,1,1.4216562961,1,0,4,0,2.01173618921,3.84507042254,38.4507042254,0,1,6.33476190476,0,0,0,1,0,1,0
6067,3,1,19,66,10,27,3,14,7,7,1,2,6,0,0,4,1,2,2,2,0,0,1,5,8,0,0,0.647552726043,0,1,3,1,2.17835292026,4.19696969697,41.9696969697,1,1,5.49222222222,2,1,0,0,0,0,0
6068,3,2,19,70,9,22,4,10,5,7,4,2,6,1,9,3,5,1,1,1,8,1,3,5,0,1,4,1.25913386972,0,2,0,1,2.3239236472,4.07142857143,40.7142857143,1,0,5.65818181818,0,0,1,0,2,1,0
6069,3,2,43,127,21,51,5,23,8,15,3,8,8,3,9,6,6,7,3,3,2,3,1,10,2,0,0,1.93865508357,2,1,9,0,2.24329466491,4.1968503937,41.968503937,0,2,5.95588235294,0,0,0,0,2,0,0
6070,3,2,40,93,24,38,4,21,16,15,6,6,5,3,2,5,4,2,4,1,4,2,6,4,1,1,0,1.42387101291,1,3,0,0,2.36787364938,4.62365591398,46.2365591398,0,0,5.98473684211,0,0,0,0,1,0,0
6071,3,2,46,101,27,30,6,14,13,14,10,7,8,2,5,8,4,2,1,3,9,0,5,5,1,2,6,1.45328747575,0,2,0,0,2.439607175,4.64356435644,46.4356435644,1,1,6.792,0,0,1,0,1,1,1
6072,3,2,41,91,22,30,4,21,9,12,14,4,11,0,4,6,1,2,3,1,0,2,6,3,8,1,0,2.15445401615,0,0,0,0,2.25081724406,4.59340659341,45.9340659341,0,0,5.83033333333,1,0,0,1,0,1,1
6073,3,2,65,167,32,68,8,26,13,12,12,11,12,3,12,10,10,3,5,6,1,2,6,19,17,4,1,1.91983826981,1,0,3,0,2.38940498585,4.49101796407,44.9101796407,0,3,5.94897058824,0,1,0,1,3,1,0
6074,3,2,19,69,6,21,3,10,11,10,6,1,7,1,10,3,1,0,0,0,5,0,5,4,0,0,4,0.826028007221,0,1,0,0,1.70050892538,3.92753623188,39.2753623188,0,1,5.08666666667,0,0,0,1,0,0,0
6075,3,3,116,239,61,82,10,38,23,26,18,18,11,6,20,12,15,5,4,11,14,12,29,16,3,2,12,4.15341368986,6,7,2,1,2.54799573558,4.85774058577,48.5774058577,0,4,5.91634146341,0,0,0,2,1,1,0
6076,3,2,77,198,38,66,9,32,22,19,13,10,14,3,16,6,10,7,2,1,10,2,12,11,1,2,8,2.74387879445,2,3,8,0,2.15435844718,4.33838383838,43.3838383838,4,1,5.81409090909,1,0,0,0,2,0,4
6077,3,1,37,95,19,35,4,14,11,17,3,3,6,4,11,3,2,1,1,2,5,3,2,4,1,0,1,0.709455093926,0,2,6,0,2.04665624659,4.50526315789,45.0526315789,0,0,5.70885714286,1,0,0,0,0,3,0
6078,3,2,24,78,13,26,4,16,11,11,1,4,6,1,2,4,4,3,1,0,0,1,2,7,9,1,2,1.53031371471,0,0,1,0,2.15608085393,4.02564102564,40.2564102564,0,1,6.04423076923,0,0,0,0,0,0,0
6079,3,3,56,127,34,50,5,29,13,26,4,7,7,3,8,7,4,2,1,1,1,3,10,4,9,0,9,1.74132545908,2,2,1,0,2.28540961599,4.66929133858,46.6929133858,0,0,5.9042,0,0,1,1,0,0,1
6080,3,2,44,117,25,46,8,20,14,19,6,7,9,1,7,6,4,4,4,3,2,2,11,5,10,1,1,2.29524226914,0,0,0,1,2.36856065483,4.5641025641,45.641025641,1,1,5.09760869565,1,0,0,3,1,2,0
6081,3,2,20,41,13,14,3,12,3,11,4,1,5,0,1,2,1,0,0,0,2,0,2,0,1,0,0,0.301511933899,0,2,0,0,2.20116377201,4.82926829268,48.2926829268,1,0,7.03571428571,0,0,0,0,0,0,1
6082,3,1,27,71,16,29,4,12,10,9,1,0,4,2,5,5,1,2,0,0,1,2,1,7,8,1,1,0.709375612223,0,1,0,0,1.97387361864,4.38028169014,43.8028169014,0,1,6.78206896552,0,0,0,0,1,0,0
6083,3,1,11,33,6,12,2,3,6,4,1,1,3,0,2,4,2,0,0,1,2,0,0,3,0,0,0,0.444555243815,0,2,1,1,2.41130544299,4.42424242424,44.2424242424,0,0,5.48166666667,1,0,0,0,0,1,0
6084,3,3,48,107,21,44,5,23,11,13,6,7,6,3,6,5,2,0,3,2,3,6,6,9,9,0,0,3.53327514191,2,2,1,1,2.40297529089,4.57943925234,45.7943925234,0,0,5.98045454545,2,0,0,0,0,0,2
6085,3,3,87,215,39,83,7,35,26,28,19,13,8,6,16,4,7,4,3,4,1,7,11,12,16,2,15,5.24920988752,4,3,2,1,2.28541580626,4.5023255814,45.023255814,3,1,5.7434939759,0,0,0,1,3,0,0
6086,3,1,27,84,15,32,3,17,9,12,7,3,4,3,3,2,3,2,2,0,6,1,1,6,1,0,0,1.59733803607,1,4,1,0,2.09043253999,4.05952380952,40.5952380952,0,3,5.3546875,0,0,0,0,0,0,2
6087,3,2,30,78,11,28,4,20,12,14,3,6,7,1,2,2,0,4,1,0,1,3,2,3,4,2,1,0.75068615609,0,0,1,0,2.10085373446,4.23076923077,42.3076923077,0,0,6.07464285714,0,1,0,0,0,0,1
6088,3,2,49,122,25,50,4,25,8,20,9,6,16,0,4,3,1,4,1,3,3,8,13,6,13,1,10,1.80097290805,0,0,1,1,2.29955845976,4.64754098361,46.4754098361,0,0,5.5956,0,0,0,0,2,1,0
6089,3,3,62,161,30,58,6,30,23,10,14,12,8,4,5,11,7,3,4,3,6,5,12,12,3,2,5,4.79900256065,3,8,3,2,2.46207255016,4.37888198758,43.7888198758,0,2,5.76293103448,1,1,0,0,1,1,0
6090,3,1,29,87,11,32,3,10,7,14,5,1,5,2,9,5,2,1,1,0,3,1,0,5,4,0,0,1.41463045536,2,2,5,0,1.81310681479,4.05747126437,40.5747126437,0,2,5.9253125,1,0,0,0,1,1,1
6091,3,3,62,132,30,45,5,24,18,22,6,7,8,3,8,4,2,3,2,3,9,4,5,6,5,3,6,2.25833870241,1,1,0,0,2.36468152483,4.56060606061,45.6060606061,1,1,6.176,0,0,1,0,1,0,0
6092,3,1,13,47,5,17,2,7,5,5,5,1,4,1,1,2,3,1,1,0,1,1,2,2,6,1,2,0.849475755204,0,2,0,0,1.69397910772,4.0,40.0,0,0,5.92647058824,0,1,0,0,1,0,0
6093,3,1,14,37,7,11,1,5,3,7,6,0,3,1,1,3,1,0,1,0,0,1,2,2,5,0,0,0.413704158121,1,0,0,0,1.90975054579,4.27027027027,42.7027027027,0,2,5.43545454545,0,0,0,0,0,0,0
