id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score
17854,7,21,56,182,20,44,8,22,11,6,8,5,12,4,14,3,10,6,5,1,0,6,13,31,30,12,11,7.16566286869
17856,7,14,33,139,18,35,5,24,16,18,5,1,13,2,6,1,2,6,0,0,0,8,5,16,19,4,2,4.3044864264
17857,7,18,48,153,27,45,7,17,18,14,8,7,9,3,8,5,5,6,0,2,1,3,8,17,21,2,11,4.5353904173
17858,7,24,57,196,22,81,11,30,17,20,13,7,16,1,14,8,8,9,2,2,3,5,4,20,25,1,0,3.12641078191
17859,7,17,51,185,23,67,8,32,18,25,10,7,13,4,14,3,7,7,1,1,0,5,15,15,19,5,18,8.43139793101
17860,7,16,64,188,35,60,6,16,15,5,18,10,8,6,11,13,12,5,0,2,4,4,12,31,12,5,2,5.18909368697
17861,7,16,34,140,18,42,5,16,13,9,4,1,6,3,9,1,3,9,4,0,2,5,3,22,23,2,2,4.21539956607
17862,7,9,35,103,17,35,4,10,7,3,10,3,10,1,8,4,4,2,0,0,8,2,10,17,1,4,1,4.10522553916
17863,7,6,14,51,8,24,2,10,4,4,4,3,3,1,2,1,1,2,0,1,2,3,2,5,1,2,0,0.569462588903
17864,7,10,26,105,7,34,4,23,9,11,6,2,6,1,3,1,7,2,0,0,5,1,11,9,2,5,6,3.64182731809
17865,7,17,113,269,23,75,10,40,16,15,16,4,14,6,16,5,8,15,4,2,0,12,61,25,25,8,91,8.99586628054
17867,7,16,48,175,18,63,7,22,18,11,7,4,11,3,9,2,6,9,2,1,2,0,12,30,3,6,8,5.99254721743
17868,7,15,102,331,49,108,11,50,28,17,15,7,21,6,14,9,15,3,8,1,15,3,31,26,18,20,19,6.11241984645
17869,7,11,42,112,19,41,4,16,14,8,11,7,10,1,3,8,3,4,1,2,6,3,6,10,1,2,1,2.10467072377
17870,7,19,54,128,21,41,4,18,7,11,13,5,4,3,12,4,4,4,2,1,2,6,28,6,15,2,21,4.71801399843
17871,7,24,154,381,79,135,17,73,38,61,40,20,35,5,17,18,13,7,3,4,5,7,70,10,40,6,70,5.11141055686
17872,7,18,42,157,21,59,7,22,18,14,4,4,14,2,12,3,5,7,1,2,3,6,14,15,16,5,19,3.50749065025
17873,7,16,61,201,23,71,8,22,21,13,16,6,17,2,19,4,3,14,1,3,2,6,5,28,18,8,0,6.2983567905
17874,7,20,49,169,16,48,8,21,26,9,7,2,9,4,10,4,8,11,1,0,3,3,16,21,18,3,12,3.99865560011
17875,7,12,42,177,12,67,6,21,17,13,4,1,8,5,12,4,9,7,5,0,0,3,5,22,26,9,4,6.33623010783
17876,7,19,77,222,35,77,10,35,19,16,14,15,13,3,5,6,9,9,1,10,1,10,15,35,28,13,10,6.28409877326
17878,7,10,49,122,25,43,6,18,11,6,6,11,12,0,9,6,6,4,1,1,9,1,14,14,0,4,7,2.77653219068
17879,7,7,12,44,3,8,2,10,1,2,3,0,4,1,4,0,1,2,1,0,0,1,10,2,3,5,9,1.77216292024
17880,7,16,36,110,22,44,4,22,10,16,11,7,8,2,4,4,2,5,0,2,3,8,2,7,5,0,0,2.80088956959
17881,7,12,51,185,22,69,8,18,21,20,16,3,9,7,7,9,6,9,1,1,3,3,8,23,11,0,6,3.65496277855
17882,7,12,17,73,6,25,3,10,3,3,9,1,3,3,8,0,3,7,2,0,0,1,6,7,8,0,0,4.37263553037
17883,7,20,73,216,19,59,9,33,27,14,18,3,15,5,12,1,13,14,3,0,2,8,17,24,21,3,0,4.85240516365
17884,7,24,91,222,23,80,10,29,28,12,19,10,21,3,22,10,10,7,5,1,5,5,37,14,17,14,46,6.49314799423
17885,7,9,30,132,18,42,3,22,13,10,11,4,5,2,8,1,5,9,0,1,0,1,6,14,15,0,2,3.23964401181
17886,7,9,14,66,7,17,4,11,2,6,3,3,7,0,4,0,3,7,0,2,0,0,2,7,10,2,2,2.29933213699
17887,7,20,76,250,32,74,10,31,17,13,13,7,18,6,27,5,9,6,3,0,2,9,18,37,31,11,4,9.2363781499
17888,7,16,56,195,22,66,8,28,22,13,14,8,14,2,8,4,9,8,1,1,1,6,10,25,25,12,9,6.67965670601
17889,7,8,20,130,9,35,7,20,10,13,3,1,9,2,3,2,2,13,1,0,1,2,15,18,0,0,5,2.20125202402
17890,7,15,39,125,21,45,5,10,6,6,12,1,8,3,12,6,12,3,0,0,4,5,5,17,12,8,2,3.27640535415
17891,7,20,20,64,5,16,2,6,4,4,4,0,6,2,6,3,3,2,2,0,0,0,5,12,9,2,4,1.89819558949
17892,7,17,50,166,20,58,6,22,16,8,13,5,10,4,16,4,5,3,1,0,0,3,15,30,19,7,18,6.98186345657
17893,7,18,24,91,8,21,5,12,3,5,10,3,7,1,6,5,6,2,1,1,0,1,12,15,12,1,8,2.71057947703
17894,7,13,14,44,8,18,2,5,4,3,3,0,5,0,1,1,1,1,0,0,1,5,2,8,6,1,0,1.44806509477
17896,7,12,108,306,30,97,10,72,26,20,21,10,13,8,7,13,14,19,4,4,2,0,55,17,19,1,69,5.38102455146
17897,7,20,51,174,20,62,6,34,8,13,16,2,11,3,8,7,10,6,2,0,1,5,21,17,18,9,12,10.609257632
17898,7,16,67,194,25,71,10,14,25,9,6,6,14,2,25,11,8,3,0,0,0,4,6,28,20,4,4,6.14204371362
17899,7,24,227,592,111,204,26,94,51,39,40,45,53,6,39,11,21,16,9,14,14,13,69,63,41,32,50,17.1496583455
17900,7,16,43,157,16,56,6,22,16,11,10,2,7,3,8,5,9,4,2,0,2,3,10,24,17,5,4,8.4812522973
17901,7,10,14,90,3,27,2,16,8,5,1,0,15,0,8,3,3,5,0,0,1,1,5,13,6,3,3,2.75799658487
17902,7,17,55,237,22,79,11,29,21,20,11,4,15,5,15,6,10,16,6,0,1,4,6,31,28,7,3,7.6712187168
17903,7,12,13,83,2,22,4,10,6,8,8,0,6,2,5,2,2,4,1,0,1,1,9,10,10,4,6,2.66385306838
17904,7,17,39,112,14,36,3,22,14,10,2,2,4,2,8,3,5,4,0,0,1,1,10,10,13,4,6,1.91653805527
17905,7,8,9,77,5,12,1,9,3,3,6,1,2,1,1,1,7,11,0,0,0,0,4,12,5,3,2,2.68087339295
17906,7,22,68,164,18,41,7,33,10,8,16,7,13,4,5,4,6,6,1,3,0,2,47,16,18,2,71,3.7886290129
17908,7,24,61,190,32,62,9,24,31,18,9,10,12,6,12,4,5,2,6,1,3,8,7,30,18,1,0,6.93478717714
17909,7,21,53,200,30,54,10,22,22,13,4,9,13,4,13,4,8,6,2,0,1,9,2,43,25,5,1,5.8702230592
17910,7,19,74,229,14,74,9,41,12,19,22,0,19,5,18,10,16,8,0,0,1,4,10,22,26,8,0,6.61375475767
17911,7,19,52,179,18,60,6,35,13,14,10,5,20,0,16,4,4,9,1,1,2,3,23,20,22,4,10,4.46553083262
17912,7,12,62,170,28,55,6,23,10,7,18,8,19,3,11,0,6,7,1,4,4,1,41,27,11,1,35,5.81888060636
17913,7,16,27,112,13,30,4,16,9,7,8,0,7,1,11,1,9,5,3,0,0,3,8,13,14,2,4,3.34087420229
17914,7,12,38,112,16,45,2,12,9,5,5,5,2,2,10,5,5,6,1,2,2,1,2,15,6,4,1,2.419806366
17915,7,15,30,117,11,42,5,25,10,8,2,2,6,3,6,3,10,4,2,1,1,3,3,8,12,14,0,4.53150807243
17916,7,9,21,87,11,31,4,13,12,3,3,0,5,2,7,6,2,8,0,0,1,2,8,4,7,4,6,3.02248393779
17917,7,8,17,105,3,28,3,15,12,13,6,0,3,3,6,2,7,5,2,0,1,1,3,14,10,1,0,1.92955920447
17918,7,14,38,133,20,49,5,27,18,9,4,3,8,3,7,1,7,4,1,0,5,6,10,14,10,4,4,3.0476877135
17919,7,23,57,256,20,95,13,40,21,19,8,2,17,4,12,3,14,10,2,0,2,4,8,47,40,11,3,8.24250987113
17920,7,14,22,63,8,16,3,10,5,5,10,2,5,2,3,1,3,0,1,0,0,4,11,6,8,2,12,2.44789263912
17921,7,10,59,213,22,55,5,19,17,12,15,4,7,4,25,7,16,11,0,0,5,9,31,26,17,4,5,5.07251775483
17922,7,17,37,128,17,49,8,22,12,9,5,2,12,0,5,3,7,4,1,0,1,3,5,16,19,4,1,3.00190021466
17923,7,21,63,203,31,70,8,33,15,15,12,6,18,2,17,5,5,6,1,2,8,4,11,31,13,8,1,5.06967304013
17924,7,24,136,295,47,114,14,44,27,19,28,17,26,4,23,7,5,10,13,4,6,7,47,27,30,3,51,6.96946421196
17926,7,21,86,291,45,99,10,38,33,25,21,8,14,7,23,19,9,13,1,2,6,8,16,22,25,9,6,7.47626902775
17927,7,6,25,119,10,25,4,33,13,14,7,0,9,3,2,2,12,3,0,0,3,1,23,8,7,2,2,3.49449911738
17928,7,12,34,172,13,64,4,24,19,13,4,2,5,3,7,6,12,8,0,2,0,3,6,23,23,8,8,4.27003777535
17930,7,21,51,224,26,65,11,37,17,15,8,4,14,6,18,1,8,10,0,1,3,3,4,35,26,16,2,7.94850837463
17931,7,24,67,184,32,55,9,24,20,13,13,2,15,4,21,5,9,7,2,1,2,13,14,16,20,2,4,4.44272853761
17932,7,24,96,315,38,104,14,40,37,19,12,8,19,9,16,9,12,13,9,5,2,4,24,46,34,16,16,10.0215275494
17933,7,15,27,95,12,29,4,14,13,8,4,4,9,2,8,1,3,2,1,1,0,0,7,14,12,0,10,2.42673102784
17935,7,14,31,124,15,40,4,16,10,7,4,0,6,3,6,7,7,3,4,0,0,3,6,15,15,7,0,5.17051132438
17936,7,9,11,48,5,14,3,2,2,1,1,1,5,0,1,2,3,8,0,0,1,4,5,5,0,3,3,1.96991755565
17937,7,9,19,65,10,20,3,11,4,6,5,1,6,1,2,1,4,2,0,1,0,3,4,10,10,1,1,2.29680868973
17938,7,9,87,312,47,109,11,43,33,22,14,7,18,6,24,7,20,7,2,0,5,5,14,42,19,1,2,5.35722947524
17939,7,22,91,247,40,94,11,44,31,19,13,9,24,1,9,10,11,11,3,4,2,7,10,26,26,11,10,7.62991856893
17940,7,8,17,80,6,19,3,19,6,9,5,0,8,0,3,1,5,0,0,0,2,2,10,10,1,1,2,2.32086524571
17941,7,15,30,137,14,49,4,20,10,7,5,1,7,3,17,8,6,5,4,1,0,2,8,15,16,4,4,5.96077243117
17942,7,20,45,116,24,53,5,23,13,17,8,7,6,3,2,4,4,1,3,6,3,1,9,9,12,1,12,2.52406177579
17943,7,10,24,167,4,51,3,25,9,18,16,1,5,3,9,2,10,7,3,0,2,2,13,17,17,5,7,5.51181151082
17944,7,18,39,150,18,40,6,13,22,8,7,4,12,2,17,4,9,7,1,0,1,4,15,18,17,3,6,3.84513510586
17945,7,18,47,129,23,50,5,14,17,6,11,3,6,4,10,5,7,5,6,1,0,3,12,11,4,6,12,3.05656905212
17946,7,14,22,76,12,26,3,12,6,5,4,2,5,2,7,0,3,3,0,1,0,2,5,10,10,2,8,2.70484559571
17947,7,23,101,328,40,99,13,44,35,29,30,7,33,2,23,11,13,7,2,1,3,5,51,26,30,16,47,10.9205688768
17949,7,6,21,93,6,27,2,20,9,11,3,1,3,2,3,1,6,9,2,0,1,3,8,5,4,1,0,2.04937279652
17950,7,11,15,64,6,16,4,10,7,6,5,0,6,0,1,0,2,5,0,0,1,1,4,7,8,1,4,2.27425833646
17951,7,9,13,65,5,23,2,13,3,4,4,0,3,1,0,1,5,2,0,0,1,3,6,8,9,4,8,2.99294205024
17952,7,21,57,203,25,66,6,25,14,20,13,6,10,4,16,4,6,7,5,4,2,7,6,26,32,4,11,7.04452549951
17953,7,16,31,152,14,51,6,23,9,16,6,3,10,4,12,4,6,5,2,0,3,4,10,22,24,4,4,4.54391641868
17954,7,11,35,160,11,64,6,25,14,14,6,3,15,2,6,5,2,6,4,0,2,3,10,18,4,7,13,4.6331685382
17955,7,20,52,145,27,53,4,29,18,13,11,10,6,4,4,4,4,5,0,4,1,12,16,5,12,5,20,3.88173635081
17957,7,8,30,80,13,22,1,15,12,5,3,1,1,1,1,1,2,5,3,0,3,5,5,3,0,5,2,1.99814656891
17959,7,7,20,84,13,39,4,13,6,7,9,5,5,2,12,1,4,1,0,0,2,2,1,5,0,4,0,1.21847768764
17961,7,17,43,166,16,50,9,28,16,14,7,3,10,5,11,7,14,6,0,0,1,4,19,17,22,5,14,3.57611448104
17962,7,14,59,150,35,49,7,24,22,13,9,6,10,3,7,2,5,1,1,1,9,8,7,14,0,2,2,3.7012753752
17963,7,22,136,465,40,149,12,65,27,32,34,9,14,9,25,11,42,16,1,0,6,10,61,48,58,14,59,9.13999718378
17964,7,21,66,154,28,47,5,28,9,14,17,7,20,0,9,2,3,8,4,2,3,2,28,12,14,4,36,3.2422661348
17965,7,12,44,167,24,54,8,37,16,10,8,1,12,4,2,4,12,5,1,0,3,3,3,19,12,10,1,4.53393396911
17966,7,18,54,188,20,69,9,22,18,8,11,3,14,2,12,5,7,7,4,0,0,3,11,26,23,9,7,5.55767129515
17967,7,12,107,302,39,74,13,56,19,22,30,16,18,4,20,4,9,11,3,13,8,2,66,27,17,12,54,8.57400169168
17968,7,19,49,139,27,48,7,22,14,7,12,4,9,3,6,4,6,5,2,2,2,3,23,11,22,5,22,2.82735666571
17969,7,16,35,121,17,35,5,15,10,4,7,7,8,3,7,2,7,5,3,0,2,4,14,17,10,0,12,3.22122800829
17970,7,11,25,56,15,27,1,12,7,8,1,2,5,1,3,5,3,0,0,2,3,4,3,1,0,2,1,0.722220815068
17971,7,18,91,248,45,98,11,33,26,13,28,17,16,5,12,8,6,9,3,14,3,7,43,10,18,6,31,5.82628628752
17973,7,15,40,142,12,52,1,20,13,15,12,1,2,1,6,7,10,4,1,0,0,2,8,16,16,4,11,3.94983620089
17974,7,17,69,204,30,67,8,40,9,18,7,5,22,1,14,5,5,13,0,1,15,3,21,23,14,7,15,5.98154122798
17975,7,16,74,211,28,75,10,40,29,20,10,6,16,2,10,6,10,2,1,5,2,6,15,17,24,11,18,7.21255081138
17976,7,9,45,115,31,49,6,20,14,6,7,9,9,1,7,3,7,6,2,5,2,9,5,7,1,5,2,2.0308903315
17977,7,16,19,73,8,27,3,9,8,3,3,1,4,3,2,4,4,5,0,1,2,1,1,12,5,3,0,1.74500747169
17978,7,9,16,76,7,27,0,11,5,3,4,1,10,0,3,1,3,3,0,0,0,4,5,16,7,0,1,1.99599812098
17979,7,17,34,135,16,42,2,13,12,9,10,4,3,2,11,2,10,6,0,0,4,4,8,18,12,0,8,3.78293230167
17980,7,24,66,196,34,76,11,37,21,27,18,6,15,2,10,3,6,1,2,3,2,9,23,13,27,3,17,6.04770643405
17981,7,11,55,145,30,50,6,25,15,11,17,3,13,3,9,8,4,9,1,0,6,3,7,7,2,3,4,2.53814966807
17982,7,9,28,91,7,34,4,14,4,8,6,1,8,2,5,6,3,3,5,0,1,0,5,6,8,6,3,2.38874756424
17983,7,18,38,145,20,46,6,19,13,10,6,6,12,3,15,2,9,5,2,1,2,9,2,18,14,8,0,5.60038470067
17984,7,18,51,151,27,50,6,21,14,7,8,5,16,1,8,5,2,7,1,1,1,4,12,26,15,1,5,3.82844347717
17985,7,14,31,109,12,30,4,19,11,11,5,4,7,4,10,2,3,4,2,0,1,0,9,11,10,7,8,3.9167021854
17986,7,17,81,261,31,93,13,36,30,16,16,4,23,2,16,12,7,7,1,2,2,2,11,48,33,12,6,9.48695847227
17987,7,18,57,213,16,65,8,21,14,10,9,0,11,4,17,2,16,8,3,0,2,5,10,37,33,6,6,6.62543917326
17988,7,15,27,109,13,43,6,15,6,7,5,5,8,2,14,1,7,3,0,0,1,0,11,12,14,2,3,3.09926458131
17989,7,13,25,76,8,21,5,10,6,7,3,1,7,1,5,4,5,4,0,0,5,1,4,12,2,1,3,2.32249516001
17990,7,11,60,203,34,71,7,41,17,19,6,2,24,1,4,7,4,10,2,0,6,7,9,24,0,4,5,3.77437408354
17991,7,24,90,331,36,105,14,31,25,21,20,8,26,3,24,10,17,9,6,1,2,10,12,64,39,11,9,11.3857653934
17992,7,7,10,29,3,11,1,2,2,1,3,1,3,1,3,0,3,1,1,0,1,3,2,4,0,0,0,0.327181189354
17993,7,17,50,155,18,61,6,26,15,13,6,3,7,6,9,5,8,1,2,1,3,3,10,16,21,8,8,6.97370266057
17996,7,11,15,86,5,21,2,11,7,8,3,2,3,1,1,2,9,5,2,0,2,1,6,12,3,3,3,2.77161982881
17997,7,16,48,198,22,62,8,24,24,20,13,4,9,3,6,6,4,5,1,1,2,5,14,36,28,1,6,5.09604849632
17998,7,17,38,163,18,56,11,22,14,19,7,4,13,1,6,7,5,13,4,1,0,3,6,15,14,4,9,4.10533661412
18000,7,22,105,295,47,109,13,36,26,35,14,14,24,4,18,10,12,11,5,0,2,7,17,36,36,3,20,6.31285628546
18001,7,12,8,67,0,18,3,12,5,3,3,0,6,1,6,1,4,3,2,0,1,0,7,9,5,3,1,2.37789021769
18002,7,12,36,209,11,60,5,22,12,12,12,1,7,5,19,2,13,5,6,0,2,5,7,34,38,10,3,7.48134452101
18004,7,16,40,179,17,60,7,25,12,20,7,3,20,1,12,5,9,4,1,0,2,7,8,33,21,2,1,6.44695191137
18005,7,20,77,235,19,85,10,42,19,22,16,1,14,5,14,10,8,9,1,0,4,8,28,23,21,5,28,5.47739502281
18006,7,16,64,208,25,66,8,27,20,15,17,6,16,2,18,4,7,8,2,1,0,3,8,27,29,7,8,8.19139079394
18008,7,15,37,134,16,47,5,14,15,11,7,0,8,4,11,5,8,5,4,0,0,5,1,17,17,4,0,5.22957888555
18011,7,8,26,87,11,30,2,16,11,5,3,0,3,1,3,3,6,2,3,0,2,2,6,4,1,4,3,1.14348525336
18012,7,17,92,196,34,58,10,32,12,11,14,14,12,5,7,6,12,7,3,10,4,0,61,16,16,0,90,4.39776129483
18013,7,13,32,161,16,45,5,24,24,15,3,5,7,2,5,4,19,5,0,2,0,4,16,21,18,3,12,4.62099428025
18014,7,20,56,144,21,48,5,17,11,7,6,7,13,2,10,10,8,6,4,4,1,2,8,14,17,5,9,3.94159079365
18015,7,14,68,259,26,76,2,36,20,23,22,5,3,2,16,4,13,16,1,2,0,7,15,29,32,7,14,6.16981838314
18016,7,24,131,271,64,71,7,29,18,13,35,26,41,1,14,6,6,11,1,6,4,6,68,31,25,10,81,6.10038118022
18017,7,17,69,211,32,71,9,21,17,10,13,6,20,2,10,10,10,6,2,0,3,6,15,33,23,5,10,6.75462921726
18018,7,12,18,70,5,24,3,7,7,4,3,1,8,0,5,5,0,5,0,0,1,0,6,9,11,4,7,1.92277844547
18019,7,20,86,280,35,92,12,40,27,19,6,4,18,5,12,12,23,5,8,2,2,2,15,38,41,10,3,7.43275259831
18020,7,13,31,107,13,37,2,17,8,8,3,1,12,1,4,3,3,6,1,0,1,3,4,14,13,8,1,4.3906902402
18021,7,16,35,103,14,26,4,8,10,6,8,4,5,1,5,2,5,6,2,0,1,1,9,14,11,3,9,3.35861698585
18022,7,18,84,296,33,98,16,47,19,25,15,7,20,6,27,4,12,5,1,2,2,9,10,38,41,10,17,13.7903776134
18023,7,12,37,163,10,54,6,18,15,8,7,1,11,2,8,6,1,2,1,0,2,4,19,24,14,1,6,5.39000298616
18025,7,21,74,217,31,82,8,22,20,12,17,10,11,5,17,8,13,4,1,1,2,9,24,22,19,6,20,7.78647453723
18026,7,19,39,129,15,52,6,14,12,6,6,4,10,3,9,4,8,3,1,1,4,2,3,24,13,5,0,3.22955332179
18028,7,23,55,197,19,62,7,30,14,14,9,4,9,4,14,2,12,14,2,1,0,4,10,25,23,5,8,4.77970798066
18029,7,17,41,192,13,58,8,37,13,13,15,1,9,4,7,4,13,4,1,0,0,4,10,27,28,10,8,7.25264326471
18030,7,21,70,272,32,106,12,44,26,22,12,8,16,6,15,7,12,9,0,2,2,6,12,39,30,4,13,6.32261727674
18031,7,9,26,73,12,25,3,12,8,8,6,0,6,2,5,4,1,4,2,0,1,2,6,4,2,1,5,1.57580682556
18032,7,15,20,99,8,29,3,12,7,6,5,0,6,1,6,1,7,5,0,0,1,2,4,15,14,3,4,3.14713476087
18033,7,12,16,85,6,28,5,11,4,7,8,3,8,1,2,1,1,8,1,0,0,1,8,11,12,1,4,2.06870939157
18034,7,24,137,421,57,166,22,67,42,40,29,5,29,9,24,10,14,17,4,1,9,16,13,33,43,21,5,10.4552843218
18035,7,16,23,77,9,29,3,8,7,9,2,1,5,2,7,3,4,2,0,0,0,5,5,8,9,1,6,2.64822997019
18036,7,8,20,51,4,12,3,11,7,5,3,1,4,1,0,5,1,0,0,0,1,3,8,4,7,0,0,1.44487240513
18037,7,13,27,91,10,31,2,19,5,5,4,1,4,1,3,2,6,1,0,1,1,4,6,14,12,6,2,3.80478422319
18038,7,21,55,175,24,68,7,31,14,17,10,0,15,2,9,1,9,4,2,0,2,5,6,25,15,4,0,4.53355802519
18039,7,16,47,130,21,55,3,14,11,13,6,5,4,2,12,5,5,6,3,1,0,3,3,16,17,2,5,2.54666887941
18040,7,9,12,60,7,14,2,11,7,5,5,2,3,2,5,0,3,2,1,0,1,0,3,6,5,2,2,1.97726573999
18041,7,17,26,87,14,22,4,18,4,2,3,1,7,1,6,2,5,4,2,1,0,3,16,10,11,5,13,2.79453331468
18042,7,16,39,126,16,38,7,14,10,8,6,5,9,2,5,1,6,3,0,1,0,4,15,14,13,1,6,3.47561649287
18043,7,7,26,71,9,19,3,10,7,2,4,2,6,2,6,0,6,1,0,1,3,0,8,9,1,6,8,2.54117134462
18044,7,16,63,144,29,60,7,21,9,6,8,6,12,2,4,4,5,5,1,3,11,3,7,9,3,4,7,2.93484725316
18045,7,19,109,295,46,110,14,36,25,23,21,12,17,7,23,12,9,9,5,2,2,5,31,30,29,14,32,6.28700830653
18046,7,8,21,96,5,25,3,17,6,8,6,2,4,2,2,2,2,2,3,1,0,1,20,14,14,0,22,2.4096004254
18047,7,22,72,222,19,95,8,30,22,18,10,6,15,5,23,9,12,10,3,0,1,8,10,20,27,8,4,5.7428199429
18048,7,18,39,108,11,34,6,12,5,11,11,5,8,3,1,1,5,3,2,3,6,1,12,4,2,0,7,1.59470725078
18049,7,18,71,241,24,77,5,36,21,25,13,6,6,3,12,5,15,3,1,0,4,4,23,34,26,10,13,6.47852263344
18050,7,8,13,67,3,19,1,7,9,5,4,1,1,1,1,1,2,2,2,0,0,0,7,11,15,1,3,2.58432224156
18051,7,18,57,173,25,55,8,21,15,7,16,12,13,2,10,7,14,8,1,6,3,2,17,23,14,6,24,4.22534767321
18052,7,17,72,208,35,77,8,32,22,11,16,3,10,3,13,2,2,5,3,1,5,3,15,22,18,13,17,6.28202708127
18053,7,24,78,217,40,74,11,27,18,12,23,3,21,1,13,9,7,4,1,0,7,2,31,33,25,8,26,4.98066770838
18054,7,12,56,156,19,40,3,27,8,13,8,3,7,2,4,7,8,8,0,0,2,1,33,18,17,1,30,4.03809245835
18055,7,16,46,162,28,56,7,19,11,12,8,7,16,1,11,3,8,5,3,4,0,3,16,25,30,4,22,5.69399219888
18056,7,22,140,317,61,111,13,48,27,24,28,19,28,4,21,3,4,11,4,3,6,10,54,33,36,4,65,7.11808837281
18057,7,14,39,126,20,43,5,26,7,8,9,5,6,3,7,2,9,2,2,1,0,9,11,16,17,2,3,3.30972804152
18058,7,18,56,158,21,50,7,31,16,23,12,2,12,4,5,5,4,3,2,0,0,9,2,17,20,1,2,5.08068197648
18060,7,8,25,94,7,27,1,12,8,1,5,0,2,1,6,6,13,0,2,0,0,2,8,12,13,3,1,2.53651826743
18061,7,15,50,217,10,67,7,25,19,17,15,2,13,5,13,5,12,9,5,0,4,4,17,23,20,9,23,6.49256812704
18062,7,17,54,138,27,46,8,28,16,14,3,9,11,1,9,9,3,5,2,3,1,7,4,10,12,7,5,3.40967818502
18064,7,17,38,149,17,42,4,20,17,10,13,0,11,3,8,2,8,3,2,0,0,1,13,26,25,2,5,6.02705845171
18065,7,14,45,190,23,69,10,21,16,4,10,9,17,1,8,5,6,13,2,0,0,5,11,35,28,7,8,6.03471975552
18066,7,23,64,205,26,62,10,39,10,22,20,8,16,4,4,4,8,5,1,6,1,1,41,14,24,6,50,5.36822895043
18067,7,17,66,117,8,24,5,7,4,5,10,2,12,3,7,0,9,1,1,2,0,0,58,12,12,0,87,2.8598710925
18068,7,24,121,305,62,114,10,57,20,32,15,11,29,3,16,4,7,11,2,3,3,13,24,26,24,10,9,10.504273629
18070,7,20,42,113,19,49,5,21,8,11,5,1,8,2,2,1,7,7,7,0,4,0,4,8,12,3,3,1.47477743352
18071,7,16,57,215,24,66,9,40,18,20,14,3,15,5,10,9,16,4,2,2,6,4,14,26,17,8,13,7.10146078807
18072,7,15,50,154,18,56,8,17,13,11,9,2,11,1,14,4,5,12,4,0,0,1,10,16,23,4,5,3.10320364625
18073,7,18,56,160,33,48,6,15,6,7,13,7,15,3,12,4,2,5,1,5,10,2,21,6,0,12,13,3.23509783343
18074,7,17,68,262,15,78,5,25,15,12,10,0,5,4,18,5,16,14,1,0,2,10,39,37,20,2,18,8.25873671396
