id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31
14862,6,3,64,159,29,67,6,11,17,23,11,8,9,5,8,15,0,12,1,0,0
14863,6,3,46,109,28,46,5,15,14,14,7,11,6,3,2,11,2,8,4,3,0
14864,6,4,70,169,44,71,6,22,29,23,15,19,9,4,6,17,2,12,2,4,1
14865,6,3,80,175,37,82,10,27,15,21,15,14,10,1,8,14,5,8,4,2,2
14866,6,2,25,63,13,28,4,12,6,11,6,3,5,1,2,5,2,2,0,0,3
14867,6,2,40,102,22,45,4,14,13,13,5,13,8,2,5,7,0,8,1,0,1
14868,6,3,86,204,53,74,8,25,27,26,15,18,12,5,10,14,2,8,5,2,3
14869,6,2,68,146,24,68,7,23,19,24,5,8,8,4,4,8,3,3,4,1,0
14870,6,2,59,130,26,54,7,19,19,25,9,4,8,3,2,6,0,5,1,1,3
14871,6,3,65,134,38,53,6,22,13,21,9,19,11,1,3,13,1,8,7,5,1
14872,6,3,65,144,40,60,5,21,17,19,13,17,8,4,6,9,2,9,4,2,0
14873,6,2,47,112,25,43,6,13,12,20,10,8,7,1,3,8,1,6,0,0,3
14874,6,1,26,112,12,53,2,21,14,20,3,2,5,2,3,3,4,5,5,0,1
14875,6,3,47,101,16,38,5,15,8,13,2,3,6,2,3,4,1,5,0,0,3
14876,6,3,98,197,46,82,9,27,27,22,14,20,15,4,10,15,3,6,2,1,5
14877,6,2,29,100,15,40,5,15,11,19,8,5,6,3,3,3,2,4,2,1,0
14878,6,2,57,135,33,52,6,18,15,20,12,14,11,3,4,9,4,8,1,0,1
14879,6,3,55,129,33,61,8,24,17,18,6,12,13,2,5,12,2,3,1,0,1
14880,6,3,69,158,29,60,6,26,30,26,8,7,8,5,5,5,3,6,2,1,2
14881,6,4,82,194,54,70,10,27,24,31,14,26,11,6,5,19,7,10,3,7,1
14882,6,4,103,224,59,86,8,23,31,29,20,18,10,6,11,21,5,14,6,2,1
14883,6,3,109,220,55,90,11,28,21,33,12,25,18,5,9,18,0,7,8,3,0
14884,6,3,56,149,32,70,7,20,23,24,11,8,9,5,6,11,2,6,6,1,2
14885,6,2,71,185,25,87,9,24,15,24,16,6,19,1,9,14,7,12,2,0,1
14886,6,3,78,164,40,71,8,25,25,22,9,15,14,5,7,15,2,5,3,3,7
14887,6,3,82,179,44,76,7,36,25,28,11,15,8,6,10,14,1,15,2,2,0
14888,6,2,61,174,34,71,4,29,24,26,10,14,5,4,5,9,1,11,7,4,1
14889,6,3,71,169,43,71,7,27,25,25,4,21,8,5,10,13,4,7,4,3,4
14890,6,3,62,166,29,70,8,20,14,24,10,14,9,4,10,10,5,14,1,1,1
14891,6,1,42,130,25,53,5,23,16,20,7,7,12,3,4,6,4,4,0,1,2
14892,6,3,100,200,52,85,10,37,25,32,14,22,13,5,11,11,3,8,6,4,2
14893,6,2,34,84,20,33,4,14,13,14,7,11,5,2,2,5,0,3,4,1,0
14894,6,4,74,186,37,85,8,17,24,26,15,9,9,6,8,20,5,9,6,1,3
14895,6,2,67,161,29,66,8,36,19,28,12,14,9,4,5,7,4,5,4,4,1
14896,6,4,119,260,60,106,7,36,39,40,16,25,8,7,11,15,3,15,6,7,0
14897,6,3,80,177,50,81,9,21,31,22,8,22,10,6,5,18,2,9,4,5,3
14898,6,4,87,191,45,76,7,21,30,27,10,14,9,6,12,19,0,6,6,0,3
14899,6,1,43,104,19,45,4,21,12,13,11,5,6,3,6,7,2,8,0,1,2
14900,6,3,63,136,35,53,7,18,22,20,10,10,11,2,10,9,0,3,3,0,2
14901,6,1,15,32,11,14,2,6,1,4,6,3,4,0,2,1,1,2,0,0,0
14902,6,4,92,212,46,81,9,27,27,35,17,16,12,5,10,18,3,8,2,2,6
14903,6,3,79,163,51,67,9,27,18,25,12,19,18,3,10,15,2,7,4,2,1
14904,6,3,92,197,48,71,9,34,24,25,19,20,15,4,10,11,2,6,6,1,1
14905,6,1,29,74,13,34,3,12,8,10,3,4,5,2,4,4,1,5,7,0,0
14906,6,3,46,112,22,48,6,12,12,13,12,10,7,1,6,9,1,6,2,2,3
14907,6,3,54,116,27,51,5,19,13,13,10,11,9,3,9,6,2,5,4,2,1
14908,6,2,67,146,36,63,6,27,17,22,14,17,18,1,3,11,1,7,4,3,5
14909,6,3,60,142,36,65,5,27,19,25,9,9,7,2,6,10,4,3,4,0,1
14910,6,3,45,86,22,32,3,15,6,12,10,9,8,2,9,8,1,3,4,4,1
14911,6,1,26,65,16,24,3,6,11,10,4,8,7,1,2,7,2,1,0,0,4
14912,6,3,43,104,24,51,4,14,15,8,8,9,5,2,6,13,0,3,1,1,3
14913,6,3,68,152,42,58,7,18,20,20,12,13,9,3,5,21,4,8,5,3,1
14914,6,3,77,177,41,66,8,26,16,25,20,14,11,5,8,7,4,11,9,6,3
14915,6,3,44,111,22,51,5,12,14,13,9,9,11,1,5,10,1,6,4,0,0
14916,6,3,73,162,42,68,6,17,21,19,12,17,7,6,10,12,4,8,2,4,1
14917,6,3,68,164,35,64,5,29,22,28,14,15,6,4,5,11,6,8,5,2,0
14918,6,3,74,168,41,77,9,30,22,26,9,15,12,4,6,15,2,10,9,2,1
14919,6,2,56,120,21,51,6,20,13,15,9,11,7,3,15,7,4,3,3,2,0
14920,6,3,84,177,50,71,8,35,22,24,11,22,9,5,8,17,4,13,2,2,0
14921,6,3,77,177,40,72,6,28,18,28,10,13,16,2,9,14,3,8,4,1,2
14922,6,3,100,198,54,86,10,32,28,30,16,20,19,6,4,14,6,7,7,4,0
14923,6,3,72,168,35,67,6,27,17,27,13,17,13,3,4,13,5,12,4,2,2
14924,6,3,75,156,41,59,7,28,22,25,12,22,24,4,5,9,2,7,6,2,1
14925,6,3,60,144,31,52,6,26,19,20,10,6,10,5,6,12,4,5,0,1,1
14926,6,3,111,246,63,105,10,29,38,41,17,27,16,7,4,16,1,9,7,4,3
14927,6,2,40,80,21,28,4,15,9,13,9,11,5,2,4,7,3,1,0,0,2
14928,6,2,74,182,36,75,7,17,19,34,6,7,12,5,5,8,1,7,4,0,3
14929,6,2,36,102,17,32,6,14,13,18,7,7,7,2,4,3,3,3,1,0,2
14930,6,4,70,154,37,75,8,18,17,19,11,13,10,4,7,17,2,9,3,0,1
14931,6,2,38,85,15,36,4,11,13,11,3,6,7,1,5,4,1,4,2,0,1
14932,6,3,76,177,39,77,10,26,22,24,10,21,12,3,10,14,0,8,5,4,2
14933,6,4,63,170,35,66,6,16,18,22,20,18,13,5,15,14,2,12,1,1,4
14934,6,4,93,215,53,88,11,29,17,36,16,23,15,5,4,19,0,15,5,3,3
14935,6,3,54,109,27,49,5,17,12,12,9,7,7,2,6,8,1,5,0,1,1
14936,6,3,58,117,30,52,7,16,14,21,12,9,9,1,3,11,1,5,2,2,0
14937,6,1,54,140,30,48,8,21,17,19,12,15,10,2,7,8,3,6,0,4,4
14938,6,3,72,177,38,69,8,29,23,30,8,15,13,4,6,8,3,7,7,3,3
14939,6,0,20,55,11,16,2,11,8,5,2,2,2,2,2,0,1,2,1,1,1
14940,6,3,72,187,36,73,8,32,19,35,13,11,10,6,11,8,2,8,1,2,0
14941,6,3,95,243,47,100,12,33,37,40,13,10,13,6,10,20,3,8,3,0,3
14942,6,3,83,208,47,74,9,26,25,33,21,30,11,5,13,17,4,6,6,9,2
14943,6,3,96,204,54,91,10,24,28,29,11,13,16,5,10,20,2,9,4,1,1
14944,6,4,80,204,46,90,8,31,21,30,11,16,13,7,12,13,2,14,9,1,0
14945,6,2,37,75,17,39,3,13,11,13,3,5,5,2,4,7,1,1,1,1,0
14946,6,3,65,144,33,54,6,24,20,21,9,16,8,4,7,10,6,7,4,3,2
14947,6,3,103,215,56,87,9,35,31,32,17,15,20,4,11,18,3,6,4,3,3
14948,6,2,53,137,32,55,5,25,18,20,11,14,11,4,6,13,1,6,4,1,1
14949,6,1,22,63,12,18,2,9,6,15,2,7,4,2,2,3,3,0,1,2,3
14950,6,3,85,200,41,89,9,24,29,33,19,12,11,6,8,11,7,7,2,1,4
14951,6,0,60,134,27,54,6,26,19,14,7,10,8,3,4,10,5,5,5,1,0
14952,6,2,28,67,13,24,2,9,7,9,2,7,3,2,2,4,1,7,2,2,1
14953,6,3,71,186,36,75,6,29,33,25,19,17,8,4,9,18,4,8,4,3,1
14954,6,2,62,116,37,41,4,20,12,19,6,11,9,3,5,14,4,5,4,1,0
14955,6,3,52,118,31,41,5,19,21,20,5,7,6,3,4,9,3,2,1,0,3
14956,6,4,155,314,93,134,13,44,36,49,25,47,22,8,16,26,3,14,9,8,1
14957,6,0,11,38,5,16,1,5,4,7,3,1,2,1,1,1,4,3,0,0,0
14958,6,2,30,65,17,30,3,8,8,9,4,7,5,1,4,7,1,3,1,1,1
14959,6,3,78,157,34,67,9,16,19,22,14,12,15,2,5,14,2,6,3,1,12
14960,6,3,67,170,26,70,9,26,19,22,8,8,18,2,8,7,3,8,3,3,4
14961,6,3,60,141,31,60,7,14,17,20,8,12,8,3,4,12,2,12,1,0,0
14962,6,2,74,172,35,68,9,29,18,24,8,13,11,3,8,12,3,10,3,2,5
14963,6,4,80,177,45,77,8,17,23,23,13,17,10,4,11,17,2,6,4,2,0
14964,6,2,58,132,28,64,7,16,16,16,9,11,8,5,9,7,2,5,3,2,1
14965,6,2,41,91,22,35,5,19,12,14,7,9,6,2,1,5,1,4,2,1,0
14966,6,3,61,155,33,65,6,23,24,23,8,10,9,4,8,8,2,6,2,0,5
14967,6,4,94,222,51,87,10,30,33,26,18,19,13,7,13,13,7,9,6,2,2
14968,6,3,65,168,36,58,5,22,21,26,11,13,6,5,10,18,4,6,4,1,2
14969,6,2,35,85,18,32,4,12,11,11,6,8,7,2,1,9,2,6,2,1,2
14970,6,3,70,155,40,58,8,15,20,15,16,13,12,2,7,13,1,4,2,1,3
14971,6,3,73,177,38,72,8,29,26,22,15,10,22,4,9,13,4,5,6,1,1
14972,6,4,80,201,40,93,8,31,28,28,17,14,8,5,12,10,4,9,5,0,1
14973,6,1,46,106,24,46,7,13,9,14,6,8,13,0,6,11,1,7,2,3,1
14974,6,3,57,115,29,52,7,20,12,21,6,9,9,1,7,5,2,4,2,0,2
14975,6,3,67,130,35,56,5,25,15,19,6,16,7,3,2,10,2,6,5,4,0
14976,6,3,70,153,37,60,7,17,18,17,15,12,13,3,8,14,1,8,2,3,0
14977,6,3,66,149,37,60,7,22,17,23,12,12,10,5,2,12,2,7,4,2,1
14978,6,4,89,231,51,91,12,34,26,30,17,18,17,5,11,19,3,10,5,5,0
14979,6,1,25,57,15,21,4,9,5,11,2,3,5,0,1,3,1,4,0,0,1
14980,6,3,55,131,28,50,6,20,19,19,7,7,12,2,2,13,2,5,4,1,3
14981,6,3,54,144,31,53,8,29,19,27,9,11,9,3,4,7,2,5,2,1,3
14982,6,4,73,150,41,61,7,19,26,17,16,16,11,4,5,18,2,3,5,6,0
14983,6,2,35,87,19,46,4,13,9,12,8,10,5,2,8,7,1,2,4,6,1
14984,6,3,48,121,29,51,6,16,15,19,12,9,10,3,3,14,1,4,0,1,4
14985,6,0,67,176,34,68,8,27,21,26,9,10,9,5,11,11,1,11,4,2,3
14986,6,3,66,141,33,60,6,26,14,22,14,15,8,4,4,9,0,10,1,5,0
14987,6,4,90,199,52,86,10,36,32,36,7,21,11,5,6,17,3,11,3,2,0
14988,6,3,83,199,46,72,10,34,27,33,11,16,13,5,7,13,1,12,2,0,5
14989,6,3,59,129,32,48,5,17,12,20,7,12,11,3,8,11,2,8,2,1,1
14990,6,4,91,198,45,84,11,32,21,24,15,18,15,6,11,11,3,11,8,3,2
14991,6,3,71,177,31,69,7,26,18,27,11,9,9,4,9,11,5,11,6,2,0
14992,6,3,45,95,19,39,5,12,9,17,7,9,6,2,9,12,0,4,2,1,1
14993,6,2,52,107,29,44,2,15,12,19,2,10,3,2,2,10,1,10,3,2,1
14994,6,3,120,267,67,109,16,49,25,43,17,25,18,4,22,21,7,5,4,6,2
14995,6,4,93,253,48,111,10,39,28,40,13,16,12,10,17,14,4,13,9,3,1
14996,6,2,52,123,24,52,7,18,12,15,6,11,13,1,5,7,2,9,2,2,0
14997,6,1,27,77,11,29,3,9,7,8,3,3,4,2,2,6,3,6,4,0,0
14998,6,3,82,164,51,71,8,32,20,27,10,22,14,2,8,12,1,10,6,3,1
14999,6,4,85,184,50,69,7,28,25,29,16,25,10,5,8,18,3,8,3,3,0
15000,6,4,127,264,60,105,9,45,39,41,21,23,12,7,9,15,4,9,9,4,2
15001,6,3,74,175,48,61,8,30,26,29,14,24,10,4,4,12,4,9,10,4,0
15002,6,3,49,129,22,48,6,22,15,22,4,10,8,3,10,7,3,7,4,1,1
15003,6,1,45,119,25,47,5,15,16,18,8,5,6,5,3,10,2,5,1,0,1
15004,6,4,116,268,58,126,11,42,28,39,17,25,12,7,13,16,5,12,2,2,1
15005,6,3,54,119,28,52,6,22,16,18,7,9,9,2,6,8,0,6,2,0,1
15006,6,3,70,175,30,73,7,29,19,21,11,6,9,4,11,6,3,8,5,1,4
15007,6,3,80,176,39,65,7,27,18,25,10,15,11,5,4,11,6,10,5,1,1
15008,6,3,89,193,41,85,7,27,26,29,17,15,8,5,8,14,6,4,3,1,3
15009,6,4,102,237,61,104,12,38,34,35,13,20,14,6,12,15,4,7,3,3,4
15010,6,1,18,30,12,15,1,1,3,3,2,6,2,1,2,6,0,2,0,0,0
15011,6,3,94,215,46,82,12,38,22,28,20,18,16,4,13,11,3,8,3,1,5
15012,6,3,62,138,31,60,6,17,17,23,9,15,10,3,5,14,2,9,3,2,2
15013,6,2,19,54,10,21,3,10,7,11,2,4,4,0,2,6,1,2,1,1,0
15014,6,2,45,112,27,46,5,20,14,19,4,12,8,3,4,6,5,1,4,4,0
15015,6,3,53,124,29,54,6,26,15,19,7,12,8,4,6,7,4,5,4,3,1
15016,6,2,18,45,7,16,1,4,6,12,3,4,2,1,2,8,1,2,0,1,0
15017,6,0,2,6,2,2,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0
15018,6,2,34,90,20,34,4,15,12,15,10,10,6,2,3,3,4,2,2,1,3
15019,6,3,118,248,67,100,9,31,38,36,19,22,12,6,9,19,3,8,9,4,1
15020,6,2,42,93,19,43,5,14,9,9,10,9,8,1,2,6,1,3,2,0,2
15021,6,3,70,176,44,68,9,24,27,30,14,20,11,4,6,20,3,9,5,4,0
15022,6,3,84,187,39,84,8,25,25,24,14,17,10,5,15,17,5,5,8,3,2
15023,6,3,66,126,35,51,6,21,14,18,17,14,8,5,7,9,3,4,2,1,1
15024,6,3,49,123,28,54,6,22,12,17,8,9,8,2,7,8,4,6,2,0,0
15025,6,1,28,78,14,34,2,16,6,12,3,7,6,2,2,4,2,5,2,2,2
15026,6,3,78,188,33,74,8,23,18,29,17,16,11,5,12,11,5,8,5,2,2
15027,6,3,64,141,34,61,6,27,18,23,9,16,7,4,8,10,3,6,6,5,1
15028,6,2,34,89,18,40,4,9,12,10,5,7,6,2,5,5,3,3,1,1,1
15029,6,4,86,195,44,81,9,37,17,31,15,23,11,6,6,12,1,16,4,3,0
15030,6,4,71,174,36,78,10,18,22,22,14,15,12,2,11,13,3,6,8,2,1
15031,6,3,94,222,48,94,8,36,26,35,6,19,9,7,5,14,2,22,9,4,0
15032,6,4,84,168,37,72,6,31,21,28,10,11,11,4,11,11,1,7,4,1,2
15033,6,4,87,186,48,80,7,36,23,30,17,16,10,6,5,18,0,8,3,2,3
15034,6,4,106,254,54,100,12,35,34,30,21,23,14,7,18,17,6,12,2,3,4
15035,6,2,61,151,31,57,7,24,15,22,8,7,8,4,3,8,4,9,4,0,1
15036,6,3,65,163,38,56,5,28,21,24,14,11,7,4,8,8,0,5,5,0,2
15037,6,2,51,122,29,55,4,18,12,21,8,12,6,3,4,7,1,6,4,2,1
15038,6,3,60,134,31,61,7,24,17,21,11,8,12,2,6,10,1,7,3,1,2
15039,6,2,55,142,32,54,5,20,22,22,7,16,6,5,4,11,9,8,0,2,6
15040,6,2,62,157,23,69,6,23,17,20,7,10,7,4,7,7,4,6,5,2,5
15041,6,2,39,98,16,46,5,11,13,11,4,4,7,2,6,6,1,4,2,0,1
15042,6,4,90,227,53,96,9,37,33,41,19,20,9,8,12,21,0,12,8,6,0
15043,6,3,70,134,35,52,7,16,12,16,13,14,14,4,7,14,6,5,2,4,1
15044,6,3,72,160,40,67,7,18,18,25,13,18,12,4,6,14,2,9,2,6,0
15045,6,3,55,116,29,42,6,15,18,22,6,8,8,2,3,10,2,2,1,0,3
15046,6,4,99,214,48,94,11,22,19,24,19,19,16,5,11,21,5,14,4,0,0
15047,6,3,76,186,38,75,8,37,22,26,12,9,9,6,12,9,3,8,5,1,1
15048,6,2,57,137,31,56,8,20,17,20,5,19,10,2,3,13,2,12,3,0,4
15049,6,3,80,175,37,71,10,22,19,24,11,12,11,3,8,20,4,10,0,4,2
15050,6,3,68,187,37,60,7,42,31,36,6,9,9,5,1,10,2,9,2,1,0
15051,6,3,61,150,32,61,7,28,18,28,9,10,8,3,4,12,2,5,3,2,0
15052,6,3,86,184,45,77,7,31,18,21,13,13,14,5,8,12,5,5,6,4,6
15053,6,3,90,212,50,85,10,31,28,25,15,13,13,5,15,10,2,8,5,3,1
15054,6,2,32,83,14,36,5,13,13,8,7,2,6,1,4,2,2,3,0,1,1
15055,6,3,60,118,32,44,5,20,15,17,10,14,6,3,6,11,5,4,5,1,1
15056,6,2,44,107,22,38,5,10,11,13,12,8,7,2,6,11,2,5,0,0,5
15057,6,1,19,59,9,22,3,6,5,5,5,6,5,1,5,1,3,3,1,1,1
15058,6,4,83,179,50,78,9,25,26,26,12,19,10,5,3,10,3,2,7,0,1
15059,6,3,58,144,35,51,5,19,21,25,9,14,10,5,7,8,6,4,1,4,3
15060,6,3,78,179,45,77,8,19,24,21,16,13,10,6,10,12,3,3,4,1,4
15061,6,3,51,123,26,39,7,19,19,22,6,8,8,3,5,8,1,5,5,2,0
15062,6,4,84,195,52,81,8,24,23,30,26,20,10,5,12,16,4,5,3,3,2
15063,6,4,105,242,54,107,12,39,32,36,22,21,13,7,11,21,4,11,7,5,2
15064,6,2,56,132,29,50,6,12,21,15,8,7,8,3,6,10,2,7,1,0,6
15065,6,3,46,119,29,51,6,15,14,19,9,7,8,2,7,11,1,4,2,0,1
15066,6,3,59,134,33,56,7,31,20,23,9,12,8,3,4,7,1,6,3,1,1
15067,6,2,35,76,20,30,5,13,8,10,6,8,7,0,6,5,1,3,3,0,0
15068,6,4,113,243,69,102,11,34,30,37,21,24,12,7,16,20,1,9,3,1,3
15069,6,4,111,241,60,114,12,30,27,37,16,25,17,8,13,20,3,12,18,7,0
15070,6,3,56,134,25,55,5,23,15,19,9,5,12,2,6,9,3,4,3,1,1
15071,6,3,43,128,26,53,6,18,17,18,13,12,7,5,9,7,2,6,3,0,1
15072,6,3,55,112,26,42,6,18,13,16,8,7,10,1,6,10,2,5,2,0,2
15073,6,4,97,214,58,90,11,28,23,32,21,24,13,5,12,16,5,10,9,3,1
15074,6,3,92,223,50,92,10,35,35,37,15,19,11,7,12,12,1,12,3,1,3
15075,6,1,33,87,13,40,4,12,6,12,8,3,6,2,1,7,4,5,0,0,1
15076,6,3,74,174,39,71,9,27,21,28,12,15,12,3,5,13,1,9,3,3,3
15077,6,2,48,113,27,35,5,20,13,17,6,11,8,3,2,10,1,7,1,1,1
15078,6,2,31,66,14,32,4,10,8,12,2,5,5,2,2,2,3,0,2,1,1
15079,6,3,68,150,37,61,8,17,20,20,16,14,9,3,5,9,1,7,1,0,1
15080,6,3,55,113,31,49,6,17,14,13,9,11,7,3,3,11,3,5,0,0,3
15081,6,4,82,170,45,69,8,35,23,27,17,18,12,4,13,9,1,4,5,2,1
15082,6,1,80,162,47,68,5,29,16,27,10,15,13,4,4,9,3,5,8,6,0
15083,6,3,98,225,57,94,11,32,32,27,16,20,13,6,12,17,1,8,9,3,1
15084,6,2,42,104,21,40,5,23,7,19,4,11,6,2,0,4,3,11,1,3,0
15085,6,4,124,270,63,117,11,40,32,36,27,29,15,7,13,21,6,10,5,2,6
15086,6,2,16,62,9,22,3,7,8,10,5,3,4,2,3,4,2,5,0,0,1
15087,6,3,48,130,23,52,5,17,16,18,4,8,8,3,5,8,0,14,0,0,1
15088,6,3,68,150,35,58,8,19,19,25,8,15,12,2,9,10,3,6,2,0,3
15089,6,4,104,215,54,104,12,22,22,34,23,23,13,4,13,23,5,12,2,1,1
15090,6,2,57,138,31,44,5,23,18,21,8,9,8,5,8,8,5,4,5,1,1
15091,6,2,60,135,34,57,6,22,10,21,10,23,11,4,2,10,2,11,3,6,0
15092,6,3,73,167,37,75,6,30,22,23,13,11,10,5,8,9,1,6,3,2,2
15093,6,3,55,149,30,57,7,22,25,21,13,11,12,1,4,9,1,1,4,4,4
15094,6,4,99,222,54,98,12,24,31,35,13,16,14,5,12,22,4,2,4,2,1
15095,6,0,34,73,20,29,4,9,10,9,1,6,8,1,6,6,1,5,2,1,1
15096,6,1,18,48,6,20,3,9,5,12,1,3,5,0,2,4,0,3,0,0,0
15097,6,4,98,239,50,95,11,26,30,36,20,15,17,5,9,14,5,9,0,0,5
15098,6,2,59,117,35,59,6,13,15,12,9,13,7,3,7,14,1,6,2,3,1
15099,6,3,84,167,45,85,7,26,27,19,10,16,9,5,8,17,4,4,7,1,3
15100,6,3,65,136,34,66,7,14,21,17,13,16,9,2,7,12,1,2,5,0,1
15101,6,4,83,176,42,80,7,30,25,22,20,11,13,5,6,13,4,2,3,1,1
15102,6,3,73,182,36,78,7,31,29,25,13,11,9,6,6,11,2,5,1,0,5
15103,6,4,83,187,42,69,9,29,18,25,23,18,10,4,7,12,4,11,4,1,1
15104,6,3,50,120,31,45,6,20,18,11,14,15,7,2,9,8,3,7,1,3,1
15105,6,3,85,203,35,79,12,41,23,28,16,13,14,2,8,11,7,5,1,1,4
15106,6,1,82,182,45,71,7,22,22,23,10,14,11,5,4,11,3,6,5,3,0
15107,6,3,61,140,28,64,7,19,18,21,11,7,8,4,7,9,2,4,1,0,3
15108,6,3,70,162,33,65,5,17,20,24,17,10,9,5,4,10,3,9,5,1,0
15109,6,2,62,146,37,67,7,29,19,27,4,12,10,2,5,6,2,4,3,1,2
15110,6,2,50,118,25,37,6,14,11,14,11,12,10,1,8,8,3,8,2,1,2
15111,6,3,67,146,35,66,8,18,19,18,16,14,13,3,9,15,1,7,2,2,1
15112,6,1,32,79,19,36,4,13,6,11,1,4,6,1,5,7,0,5,1,0,1
15113,6,0,6,19,3,8,1,4,1,4,1,1,2,1,1,2,0,1,0,0,0
15114,6,2,28,75,16,38,3,16,11,17,1,3,4,1,4,5,1,3,2,2,0
15115,6,3,67,140,39,60,7,20,20,22,6,13,10,2,3,15,4,5,3,2,0
15116,6,3,57,121,33,46,6,16,16,19,6,20,7,4,2,11,3,5,3,7,3
15117,6,1,41,94,19,40,5,18,10,18,8,9,6,2,3,7,2,1,2,1,3
15118,6,1,52,108,25,40,6,17,13,18,7,9,9,2,2,7,0,5,2,3,1
15119,6,2,49,117,27,45,5,21,9,23,6,11,6,4,3,6,4,7,3,1,1
15120,6,2,37,103,22,41,5,16,15,10,10,3,7,3,4,5,3,2,4,0,1
15121,6,4,76,169,38,71,5,23,24,22,17,14,7,4,14,15,1,7,3,3,3
15122,6,3,55,135,32,61,6,23,18,22,5,13,7,3,2,8,1,9,4,4,0
15123,6,3,76,159,42,65,7,21,20,17,12,17,9,3,4,12,1,5,6,0,1
15124,6,3,72,165,34,66,8,21,19,18,18,11,11,2,15,7,2,6,4,1,7
15125,6,3,67,151,36,63,7,23,19,21,15,14,9,4,8,12,2,7,1,3,1
15126,6,1,14,31,6,11,2,5,2,7,0,1,4,0,0,1,0,3,0,0,1
15127,6,4,89,225,58,83,10,37,26,28,20,28,13,5,8,16,8,14,3,3,0
15128,6,3,65,148,27,67,8,31,20,26,4,17,10,5,9,11,2,5,3,0,2
15129,6,2,42,99,27,43,3,11,8,18,3,9,5,3,3,7,2,2,3,1,0
15130,6,3,60,142,35,59,6,15,18,19,16,13,9,3,13,8,2,6,1,1,1
15131,6,2,56,119,32,54,5,14,19,12,11,17,7,5,2,13,5,6,5,4,1
15132,6,3,59,154,34,62,8,26,14,24,9,12,12,3,6,15,3,13,0,0,1
15133,6,2,64,143,35,56,7,30,17,27,7,18,12,4,4,8,3,6,4,5,0
15134,6,2,21,60,11,27,3,11,9,7,3,3,4,2,5,5,2,1,0,0,1
15135,6,3,52,132,29,42,6,24,14,21,6,11,7,4,3,8,3,11,1,1,2
15136,6,3,72,154,39,66,6,20,25,21,10,12,10,4,7,12,1,4,0,1,5
15137,6,2,101,252,53,106,12,43,31,44,17,22,14,4,13,18,4,11,8,5,4
15138,6,3,74,201,43,87,8,34,24,33,18,17,8,5,12,11,3,9,4,3,2
15139,6,4,89,216,45,91,5,31,32,34,15,15,6,5,12,14,5,8,2,0,2
