id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2
3036,2,3,106,264,52,107,10,38,30,21
3037,2,4,207,466,89,227,23,56,67,51
3038,2,2,30,92,13,34,3,15,11,18
3039,2,3,108,232,43,106,8,26,33,26
3040,2,3,134,397,64,161,14,48,40,31
3041,2,4,214,533,92,235,26,60,51,45
3042,2,4,120,295,47,108,13,48,38,35
3043,2,3,109,274,46,112,13,31,30,17
3044,2,3,79,248,32,109,10,42,30,27
3045,2,4,120,357,43,136,18,47,39,43
3046,2,3,89,233,36,100,10,30,20,14
3047,2,3,124,290,58,121,14,26,42,18
3048,2,3,165,530,58,211,26,60,63,43
3049,2,4,120,308,66,120,15,27,33,29
3050,2,2,111,323,40,89,14,43,39,33
3051,2,4,185,419,99,165,19,59,44,47
3052,2,4,131,393,64,162,18,50,55,34
3053,2,3,113,367,49,132,15,46,49,27
3054,2,3,170,423,70,161,13,43,39,43
3055,2,3,112,310,44,109,14,38,40,24
3056,2,3,144,321,72,124,15,52,38,37
3057,2,3,45,118,20,40,6,9,12,6
3058,2,3,138,369,72,133,16,43,45,37
3059,2,3,128,352,49,142,16,38,48,25
3060,2,4,159,368,70,132,17,59,39,39
3061,2,3,126,309,58,124,13,35,39,24
3062,2,3,150,319,74,139,16,35,33,21
3063,2,4,157,353,78,149,12,55,44,34
3064,2,3,113,338,41,122,15,36,44,28
3065,2,3,61,131,37,48,6,10,23,13
3066,2,1,25,71,13,28,2,5,8,12
3067,2,4,169,423,84,152,19,62,51,26
3068,2,2,89,240,33,102,12,24,36,26
3069,2,4,195,624,75,239,30,73,78,66
3070,2,3,107,281,62,90,11,31,28,13
3071,2,4,133,292,67,111,15,50,26,28
3072,2,4,235,699,79,258,26,70,86,61
3073,2,4,444,1066,231,446,48,176,147,114
3074,2,4,245,593,122,230,23,86,85,71
3075,2,4,272,623,119,299,24,99,88,82
3076,2,3,116,336,56,111,17,45,37,39
3077,2,5,249,600,127,226,21,85,76,66
3078,2,3,122,450,48,185,13,49,52,50
3079,2,3,127,424,38,169,16,32,42,40
3080,2,4,197,455,82,196,20,59,58,53
3081,2,4,125,324,44,138,15,52,31,33
3082,2,3,105,239,47,96,12,20,31,27
3083,2,3,122,313,57,136,14,29,37,42
3084,2,3,162,472,79,199,24,51,46,48
3085,2,3,65,182,27,75,9,19,29,23
3086,2,2,51,119,8,63,9,3,12,17
3087,2,2,68,153,33,54,4,1,6,2
3088,2,3,140,335,57,132,19,47,39,40
3089,2,3,134,306,66,127,11,23,28,29
3090,2,3,128,363,43,158,20,31,45,30
3091,2,2,52,175,26,89,6,29,29,25
3092,2,3,44,178,8,82,8,16,16,13
3093,2,3,100,248,35,99,11,37,28,21
3094,2,4,97,349,37,135,12,37,36,31
3095,2,2,50,151,15,53,6,29,17,21
3096,2,1,43,140,8,66,6,13,15,12
3097,2,3,164,445,42,179,20,49,39,33
3098,2,3,83,201,32,65,10,21,18,29
3099,2,4,228,596,115,271,22,86,76,51
3100,2,3,115,359,55,120,13,55,37,36
3101,2,3,89,194,37,95,9,29,24,17
3102,2,3,113,255,53,126,12,38,28,23
3103,2,3,97,299,46,128,17,23,35,20
3104,2,5,254,639,119,287,32,72,70,50
3105,2,3,77,206,38,73,6,15,16,16
3106,2,4,280,585,127,243,26,83,78,56
3107,2,3,188,443,88,177,14,45,58,34
3108,2,3,112,267,61,105,9,37,33,24
3109,2,3,150,424,64,161,17,52,52,32
3110,2,3,96,213,52,82,8,28,23,19
3111,2,3,125,320,43,135,15,57,51,48
3112,2,3,110,235,61,101,12,24,26,18
3113,2,3,107,266,46,125,15,28,18,24
3114,2,4,187,512,70,214,23,53,50,54
3115,2,4,150,395,56,165,13,42,57,47
3116,2,3,90,252,35,88,13,34,22,25
3117,2,3,119,310,42,124,12,42,42,38
3118,2,2,47,145,20,48,7,23,22,23
3119,2,4,233,506,121,222,21,57,72,57
3120,2,3,178,406,76,152,20,66,47,32
3121,2,4,179,405,90,180,15,58,53,41
3122,2,4,146,408,61,145,15,68,46,53
3123,2,4,117,269,54,95,13,36,27,35
3124,2,4,107,350,48,138,14,46,30,37
3125,2,4,238,649,77,311,27,75,69,60
3126,2,4,212,483,106,191,19,75,53,47
3127,2,3,147,408,71,156,18,51,61,42
3128,2,4,139,391,56,166,17,40,42,40
3129,2,4,319,914,130,347,24,115,119,102
3130,2,4,221,454,112,196,19,78,62,48
3131,2,4,117,287,52,125,10,28,32,29
3132,2,3,155,377,65,129,17,44,49,33
3133,2,4,180,441,74,189,22,64,45,47
3134,2,4,170,468,71,180,23,55,57,60
3135,2,3,83,291,31,113,10,38,35,32
3136,2,4,149,419,59,183,18,48,45,23
3137,2,3,129,320,58,137,14,46,27,41
3138,2,4,127,329,61,135,17,41,32,40
3139,2,3,103,356,41,157,13,51,41,23
3140,2,4,161,408,62,185,14,37,58,38
3141,2,3,168,441,64,172,22,44,46,32
3142,2,4,158,464,67,216,15,49,54,32
3143,2,3,133,341,47,132,13,43,30,22
3144,2,4,134,290,80,101,15,36,38,23
3145,2,4,209,539,94,241,31,83,54,82
3146,2,3,81,210,29,86,9,18,29,20
3147,2,2,37,95,11,35,4,0,3,0
3148,2,3,72,193,34,82,7,36,28,17
3149,2,3,142,419,56,178,15,64,57,47
3150,2,4,242,571,107,241,24,91,64,66
3151,2,3,158,371,70,159,15,53,36,46
3152,2,4,134,316,72,106,16,54,37,31
3153,2,4,281,724,117,323,30,104,77,74
3154,2,3,72,188,45,71,6,13,23,16
3155,2,3,63,195,30,85,9,18,23,14
3156,2,4,117,299,48,122,13,37,33,37
3157,2,4,192,473,80,203,21,61,56,54
3158,2,2,63,181,28,67,7,29,20,13
3159,2,1,55,178,24,69,7,15,23,10
3160,2,3,117,423,44,169,20,47,33,31
3161,2,3,164,380,84,156,17,61,33,24
3162,2,4,195,434,94,211,22,72,59,57
3163,2,5,151,357,69,143,18,51,34,36
3164,2,3,99,287,36,112,11,33,35,23
3165,2,4,86,270,41,113,11,20,35,24
3166,2,4,216,487,110,231,20,61,60,41
3167,2,3,91,234,24,111,8,30,22,33
3168,2,4,124,301,53,126,15,38,41,25
3169,2,3,165,366,97,137,17,49,47,34
3170,2,3,98,351,15,127,14,34,54,27
3171,2,5,232,544,98,238,23,87,67,61
3172,2,4,228,565,95,212,20,70,63,54
3173,2,3,175,488,65,166,22,44,50,57
3174,2,3,87,275,32,104,9,29,30,14
3175,2,4,240,597,97,247,24,65,65,60
3176,2,4,209,526,79,226,19,58,64,56
3177,2,1,55,173,9,58,4,32,12,15
3178,2,4,129,324,47,149,16,28,32,33
3179,2,4,121,384,59,161,19,39,52,37
3180,2,3,226,660,102,226,28,73,78,52
3181,2,4,249,594,93,260,27,97,69,72
3182,2,2,80,170,26,67,6,21,20,11
3183,2,3,136,326,63,134,12,50,36,29
3184,2,3,164,377,71,174,15,36,41,26
3185,2,4,134,353,67,134,15,48,42,48
3186,2,2,96,300,19,139,12,38,34,36
3187,2,3,112,284,58,99,14,38,34,30
3188,2,3,127,403,45,174,11,44,57,32
3189,2,4,206,531,94,257,27,55,64,44
3190,2,4,131,366,35,148,18,39,41,32
3191,2,4,202,593,92,209,24,62,62,37
3192,2,3,67,191,31,67,10,21,14,18
3193,2,3,163,380,72,153,19,35,46,28
3194,2,3,139,433,54,155,13,46,49,33
3195,2,4,144,307,77,125,12,32,34,19
3196,2,4,185,564,66,213,15,74,70,55
3197,2,3,92,229,37,103,9,15,35,18
3198,2,2,76,238,24,93,10,39,27,22
3199,2,4,129,348,54,139,15,49,39,27
3200,2,4,226,583,103,231,20,73,61,69
3201,2,4,125,331,65,118,19,43,46,28
3202,2,5,217,557,89,203,30,67,58,73
3203,2,4,164,366,76,162,17,43,37,23
3204,2,3,163,344,87,115,13,56,41,37
3205,2,3,112,312,55,107,12,55,33,37
3206,2,4,331,948,110,429,37,69,106,66
3207,2,3,136,285,52,116,10,47,28,34
3208,2,4,163,387,81,155,16,46,46,27
3209,2,3,73,226,22,95,7,20,38,15
3210,2,4,175,431,76,172,17,42,55,18
3211,2,3,99,297,45,100,11,31,25,28
3212,2,4,255,667,84,305,29,67,74,47
3213,2,4,144,467,52,210,24,42,44,41
3214,2,4,297,656,145,250,23,92,92,59
3215,2,3,69,183,44,56,6,15,21,14
3216,2,4,200,522,86,244,17,77,61,55
3217,2,4,257,629,119,259,28,79,78,71
3218,2,3,119,313,64,118,11,35,38,29
3219,2,4,293,679,152,247,31,101,82,76
3220,2,3,137,464,54,204,19,57,48,46
3221,2,3,220,638,79,225,26,91,77,50
3222,2,3,55,162,23,63,6,15,22,9
3223,2,3,141,320,56,125,17,38,26,33
3224,2,3,163,439,83,175,16,64,57,32
3225,2,4,90,241,39,107,11,22,29,24
3226,2,4,124,340,50,125,13,33,31,21
3227,2,3,146,451,48,208,17,62,58,53
3228,2,4,277,684,120,308,30,97,88,85
3229,2,4,146,410,54,171,11,64,59,48
3230,2,2,33,118,10,43,4,10,14,12
3231,2,4,257,753,75,311,39,115,103,74
3232,2,3,66,193,37,79,9,28,24,12
3233,2,3,137,351,70,147,18,47,46,33
3234,2,3,134,318,63,132,13,42,35,27
3235,2,4,246,644,96,255,32,70,75,54
3236,2,4,210,516,79,218,23,58,55,47
3237,2,2,30,93,15,30,5,9,12,2
3238,2,2,96,248,37,106,11,28,24,27
3239,2,4,173,505,63,203,18,47,56,42
3240,2,2,88,255,22,109,11,28,36,28
3241,2,1,15,40,3,17,2,5,4,3
3242,2,4,131,387,59,154,15,49,32,37
3243,2,4,251,641,103,270,18,91,58,59
3244,2,2,60,136,19,74,8,19,17,13
3245,2,2,24,67,9,27,4,5,4,4
3246,2,3,75,270,34,87,11,26,34,24
3247,2,4,184,540,77,230,23,49,68,33
3248,2,4,136,392,45,118,15,64,49,35
3249,2,3,238,653,109,257,29,82,80,75
3250,2,2,37,113,14,52,6,15,8,19
3251,2,3,103,284,33,120,9,39,33,29
3252,2,4,140,393,61,202,17,45,55,46
3253,2,4,165,463,75,185,22,59,45,49
3254,2,5,198,508,98,182,17,87,55,54
3255,2,3,161,510,83,195,21,65,65,37
3256,2,3,96,247,36,92,12,35,31,17
3257,2,1,25,94,10,31,5,23,7,13
3258,2,4,204,621,103,231,21,82,92,61
3259,2,2,35,111,8,50,4,12,11,7
3260,2,4,175,481,62,186,19,62,53,44
3261,2,4,209,573,88,232,19,53,62,67
3262,2,4,111,325,36,152,18,33,36,34
3263,2,4,232,568,90,224,23,64,71,53
3264,2,2,55,160,29,64,5,22,22,18
3265,2,4,209,535,66,234,18,89,71,55
3266,2,4,320,734,161,295,27,99,86,78
3267,2,3,126,335,43,132,16,35,37,40
3268,2,3,169,423,65,186,21,24,38,39
3269,2,4,180,482,85,181,16,64,69,52
3270,2,3,167,454,60,187,20,53,65,51
3271,2,4,256,645,106,256,14,71,88,40
3272,2,2,63,144,20,66,6,12,14,12
3273,2,4,229,676,86,318,26,60,66,43
3274,2,4,132,384,62,140,16,61,40,39
3275,2,3,139,305,62,109,17,50,21,23
3276,2,3,149,481,53,213,20,58,47,55
3277,2,5,289,724,158,258,32,93,98,81
3278,2,4,244,601,96,294,39,56,48,53
3279,2,4,204,477,82,180,23,60,48,48
3280,2,3,61,148,28,63,6,26,20,11
3281,2,4,267,661,113,280,26,123,57,88
3282,2,4,208,564,79,238,25,73,57,50
3283,2,3,147,478,57,196,23,50,62,61
3284,2,4,85,253,39,93,10,47,26,33
3285,2,4,125,331,51,133,16,16,40,20
3286,2,3,157,585,47,222,25,46,44,27
3287,2,3,170,397,69,177,19,37,40,39
3288,2,4,195,452,99,173,17,62,65,58
3289,2,3,111,279,56,98,14,36,47,29
3290,2,4,126,446,43,140,21,56,42,40
3291,2,5,246,704,100,274,31,85,98,59
3292,2,4,255,654,137,272,34,89,80,69
3293,2,4,136,365,66,154,16,37,36,36
3294,2,4,152,387,72,146,19,48,42,37
3295,2,3,127,296,48,133,10,40,31,30
3296,2,4,146,416,42,159,21,38,47,37
3297,2,3,96,270,31,95,12,28,20,16
3298,2,4,251,598,100,223,26,70,62,53
3299,2,4,210,556,98,216,24,45,64,73
3300,2,4,157,461,79,162,17,47,59,39
3301,2,3,102,296,30,124,17,26,30,21
3302,2,4,168,457,73,167,19,57,52,40
3303,2,3,128,301,43,141,14,29,40,19
3304,2,3,113,292,61,107,13,36,42,27
3305,2,3,114,336,26,135,15,39,47,25
3306,2,5,217,495,105,186,24,57,56,31
3307,2,3,120,524,35,236,19,31,65,53
3308,2,4,176,414,73,171,19,46,35,25
3309,2,4,155,439,81,196,19,41,48,37
3310,2,6,309,767,162,307,33,123,98,85
3311,2,4,225,579,97,233,30,91,66,73
3312,2,4,193,515,88,227,23,64,65,62
3313,2,3,103,312,36,131,12,37,39,39
3314,2,3,150,389,44,184,20,42,44,43
3315,2,4,187,470,75,204,24,76,54,45
3316,2,3,239,612,100,257,20,104,83,79
3317,2,3,145,432,56,185,18,60,56,40
3318,2,3,109,294,38,111,12,31,38,37
3319,2,3,107,258,49,110,13,35,25,21
3320,2,4,136,389,63,162,15,68,37,29
3321,2,4,197,504,92,204,21,78,69,55
3322,2,3,98,259,46,110,14,38,36,28
3323,2,4,188,488,88,188,19,44,56,35
3324,2,3,65,186,17,93,9,19,19,10
3325,2,4,205,537,93,220,19,66,59,55
3326,2,3,108,319,40,137,14,25,41,29
3327,2,3,150,386,55,186,15,27,36,28
3328,2,3,143,330,82,128,17,49,45,25
3329,2,3,56,179,17,77,8,24,23,12
3330,2,3,117,279,45,134,13,33,28,25
3331,2,4,285,677,135,290,30,93,71,71
3332,2,3,86,222,47,88,8,18,32,14
3333,2,3,92,204,45,73,9,33,28,23
3334,2,4,190,494,65,191,25,52,60,42
3335,2,4,108,290,47,93,13,32,23,22
3336,2,3,74,203,25,93,10,27,22,21
3337,2,4,181,443,73,200,20,50,50,48
3338,2,3,104,299,62,124,15,34,41,24
3339,2,4,150,460,59,184,16,61,60,54
3340,2,4,214,593,84,246,28,72,44,52
3341,2,3,138,410,55,167,16,43,48,23
3342,2,4,202,486,84,208,26,53,46,34
3343,2,5,346,982,135,415,42,113,109,100
3344,2,3,258,535,123,235,27,56,63,29
3345,2,3,98,287,42,104,8,33,33,26
3346,2,2,57,149,27,55,7,26,20,15
3347,2,4,163,431,79,166,18,47,45,36
3348,2,4,131,321,58,134,7,43,44,26
3349,2,3,135,287,60,136,17,27,27,24
3350,2,3,82,291,23,122,13,42,32,34
3351,2,4,143,375,73,154,18,41,45,25
3352,2,2,60,139,32,67,5,13,21,10
3353,2,2,129,376,52,160,16,35,49,24
3354,2,3,57,196,23,74,11,22,30,16
3355,2,3,129,348,53,133,19,41,38,43
3356,2,3,128,363,49,150,15,41,39,42
3357,2,3,151,430,61,169,17,62,43,40
3358,2,3,147,391,50,152,13,50,42,37
3359,2,2,52,201,17,70,7,25,30,19
3360,2,4,103,267,35,115,11,37,21,28
3361,2,4,199,437,108,153,19,53,61,30
3362,2,4,132,320,71,121,16,31,32,34
3363,2,2,94,279,36,111,10,36,33,41
3364,2,4,143,347,73,137,15,26,37,37
3365,2,3,118,343,56,133,13,45,41,32
3366,2,4,146,414,72,146,15,44,40,36
3367,2,4,256,616,141,242,21,75,88,58
3368,2,4,147,374,70,164,20,64,47,38
3369,2,3,115,275,37,112,6,35,22,22
3370,2,4,180,499,82,184,24,67,50,56
3371,2,3,97,271,40,90,11,44,29,35
3372,2,3,130,301,51,149,11,28,26,15
3373,2,3,105,255,45,109,11,30,38,21
3374,2,4,142,324,75,133,14,40,38,26
3375,2,3,125,290,47,118,11,23,39,19
3376,2,4,191,453,83,162,16,52,42,38
3377,2,2,97,301,39,116,13,35,43,28
3378,2,3,80,244,34,101,10,25,33,16
3379,2,1,158,401,59,177,22,57,38,26
3380,2,3,144,377,68,147,16,46,37,30
3381,2,3,112,308,51,118,14,37,33,33
3382,2,4,79,195,28,72,12,24,25,18
3383,2,5,192,455,102,165,19,66,60,53
3384,2,4,190,518,89,212,25,58,63,49
3385,2,4,223,548,93,244,25,71,78,42
3386,2,4,202,497,96,194,18,47,61,50
3387,2,3,134,396,44,172,19,59,38,39
3388,2,3,81,195,26,79,8,25,21,15
3389,2,3,113,368,28,142,20,37,48,52
3390,2,3,130,412,46,163,10,48,54,45
3391,2,4,213,539,104,223,24,72,75,59
3392,2,3,87,220,35,78,11,24,22,20
3393,2,3,69,164,36,68,9,15,19,10
3394,2,3,201,448,107,192,23,66,56,54
3395,2,3,74,209,36,91,10,29,18,23
3396,2,3,163,409,43,181,12,56,61,43
3397,2,4,242,514,132,207,24,89,70,66
3398,2,4,202,586,106,227,25,95,77,62
3399,2,4,176,539,78,230,22,55,62,39
3400,2,3,192,549,87,189,25,67,68,54
3401,2,3,94,271,37,93,13,28,26,23
3402,2,4,153,401,74,158,18,71,42,37
3403,2,3,153,374,78,176,15,52,45,44
3404,2,4,117,343,55,123,18,34,40,39
3405,2,3,196,537,91,205,23,51,77,53
3406,2,4,173,454,85,202,24,60,39,32
3407,2,4,172,451,90,172,21,52,53,47
3408,2,3,157,415,52,203,13,46,48,32
3409,2,3,235,656,100,270,21,85,74,66
3410,2,3,94,224,45,83,10,25,30,16
3411,2,4,119,280,55,133,14,23,29,18
3412,2,4,179,483,73,211,25,66,56,34
3413,2,3,86,263,42,107,13,25,38,29
3414,2,4,161,429,72,155,19,46,47,36
3415,2,3,94,308,45,120,9,45,47,41
3416,2,3,95,268,31,122,8,34,28,22
3417,2,3,140,425,68,142,15,66,44,54
3418,2,5,331,757,116,328,31,101,85,64
3419,2,2,185,424,57,167,11,45,41,30
3420,2,4,202,532,90,202,23,62,78,48
3421,2,4,190,425,96,168,17,81,57,54
3422,2,2,62,225,19,83,13,30,25,20
3423,2,2,42,109,21,50,5,17,13,10
3424,2,4,224,534,97,198,19,62,62,49
3425,2,4,124,330,69,134,13,45,38,31
3426,2,1,24,67,7,29,4,9,8,8
3427,2,4,82,266,44,101,12,28,32,14
3428,2,6,206,508,104,221,21,81,61,60
3429,2,2,88,359,30,128,17,56,56,41
3430,2,3,102,289,47,113,11,42,26,31
3431,2,3,122,312,59,119,18,65,45,45
3432,2,4,124,403,23,162,16,58,36,30
3433,2,3,107,349,44,124,10,32,43,36
3434,2,2,54,156,27,54,5,26,13,27
3435,2,2,92,271,22,108,16,33,22,20
3436,2,4,122,314,48,143,15,32,42,17
3437,2,3,62,148,34,58,7,19,18,9
3438,2,3,116,330,35,143,7,16,37,25
3439,2,3,87,240,34,105,11,28,26,17
3440,2,4,225,534,96,196,27,64,73,54
3441,2,2,120,314,56,107,12,50,33,35
3442,2,4,121,337,38,153,17,1,6,8
3443,2,4,225,542,93,208,29,54,47,38
3444,2,4,142,359,53,153,13,58,44,27
3445,2,4,152,372,73,154,14,59,46,20
3446,2,4,163,437,86,166,16,63,55,38
3447,2,4,228,555,91,186,26,63,67,39
3448,2,3,169,382,90,167,17,43,50,31
3449,2,4,195,488,78,199,24,53,49,52
3450,2,3,116,302,44,110,12,33,30,37
3451,2,4,126,314,66,109,14,64,39,40
3452,2,3,151,427,45,202,17,63,44,37
3453,2,4,149,378,61,184,14,28,48,26
3454,2,2,57,127,25,56,7,12,15,10
3455,2,3,156,353,79,110,17,44,35,36
3456,2,3,110,298,60,117,16,37,34,28
3457,2,3,126,266,60,119,11,42,25,15
3458,2,4,152,488,45,189,16,37,65,24
3459,2,3,116,373,47,141,18,39,46,40
3460,2,4,215,495,101,187,25,91,66,65
3461,2,3,75,190,29,70,9,35,21,16
3462,2,3,109,344,43,152,15,33,34,25
3463,2,3,83,177,44,74,10,28,20,17
3464,2,4,215,545,85,231,24,79,60,52
3465,2,3,80,189,31,69,10,25,26,18
3466,2,3,97,246,47,90,10,36,26,23
3467,2,4,204,510,105,212,21,59,65,39
3468,2,4,160,369,83,130,15,45,39,40
3469,2,4,198,486,81,209,20,70,67,49
3470,2,4,207,563,77,243,26,80,65,56
3471,2,3,123,354,44,149,11,27,54,38
3472,2,3,85,216,35,87,10,29,27,26
3473,2,2,22,37,9,16,3,3,3,5
3474,2,4,215,484,85,208,21,58,42,40
3475,2,2,75,186,35,76,8,27,24,22
3476,2,3,185,436,105,173,18,54,64,31
3477,2,3,150,409,54,165,10,38,54,29
3478,2,2,142,401,55,155,20,45,41,32
3479,2,3,73,176,41,57,10,24,16,16
3480,2,3,112,292,49,105,12,25,31,22
3481,2,4,103,266,41,125,11,29,28,30
3482,2,3,121,271,50,138,11,42,38,39
3483,2,4,173,466,84,202,22,40,54,46
3484,2,3,91,237,35,111,9,22,38,14
3485,2,4,211,499,110,192,22,52,57,38
3486,2,1,35,108,22,36,4,12,15,10
3487,2,4,198,493,94,201,17,71,47,53
3488,2,3,147,356,57,161,15,38,52,46
3489,2,3,88,196,54,68,6,27,24,20
3490,2,4,129,324,62,132,12,37,45,41
3491,2,2,40,109,15,45,5,14,12,6
3492,2,4,210,694,82,299,23,96,90,87
3493,2,2,33,86,8,44,4,12,6,4
3494,2,2,108,287,31,104,12,23,33,22
3495,2,4,125,309,46,129,14,31,35,25
3496,2,4,128,370,67,147,14,40,43,41
3497,2,3,139,372,40,141,19,48,43,40
3498,2,4,129,361,45,155,13,54,34,58
3499,2,2,180,440,90,144,8,40,40,50
3500,2,2,54,179,21,81,9,19,24,10
3501,2,4,161,417,75,147,19,58,51,45
3502,2,3,121,342,50,119,15,51,30,29
3503,2,3,78,188,52,68,8,30,23,15
3504,2,4,99,355,28,130,14,33,31,26
3505,2,3,65,196,26,72,9,18,22,17
3506,2,4,134,359,68,146,19,36,34,33
3507,2,4,139,356,58,155,19,42,36,34
3508,2,3,148,367,63,136,14,57,36,41
3509,2,5,261,593,109,261,26,72,72,51
3510,2,3,104,281,35,91,7,55,36,27
3511,2,3,115,366,46,122,14,28,30,38
3512,2,4,175,450,75,205,15,49,57,40
3513,2,3,117,308,44,137,15,39,35,30
3514,2,4,153,400,73,148,7,51,60,43
3515,2,3,122,273,53,119,11,41,35,29
3516,2,4,208,540,81,255,25,56,56,56
3517,2,2,43,92,20,39,4,14,11,6
3518,2,4,154,369,72,144,18,38,45,25
3519,2,4,160,534,69,215,27,64,38,53
3520,2,4,223,535,138,216,8,83,67,57
3521,2,4,124,324,68,119,16,39,42,40
3522,2,3,123,277,55,113,13,52,24,31
3523,2,4,211,544,86,214,19,64,66,44
3524,2,4,133,322,53,137,13,37,31,32
3525,2,3,172,420,77,182,14,44,50,54
3526,2,3,93,309,30,131,12,17,31,19
3527,2,4,147,420,48,171,15,30,49,24
3528,2,4,216,496,90,254,22,38,48,53
3529,2,4,205,476,93,188,24,49,57,41
3530,2,4,181,433,82,179,15,63,42,35
3531,2,4,241,592,112,238,22,83,61,57
3532,2,3,106,255,57,96,11,23,34,13
3533,2,4,135,312,62,129,13,35,37,27
3534,2,3,142,425,58,203,14,56,54,39
3535,2,3,108,424,34,162,20,47,55,49
3536,2,3,91,250,51,100,14,32,31,23
3537,2,4,255,555,137,235,29,69,69,48
3538,2,3,134,381,63,156,16,35,42,20
3539,2,4,356,874,161,349,35,131,129,83
3540,2,3,150,414,68,171,15,54,57,39
3541,2,4,148,422,37,183,22,42,51,38
3542,2,4,181,478,64,204,20,58,50,54
3543,2,3,68,229,19,102,7,27,30,21
3544,2,4,129,314,75,117,17,50,40,34
3545,2,4,193,575,68,260,23,80,64,43
3546,2,4,317,776,165,332,36,100,80,72
3547,2,4,141,354,45,148,19,44,41,27
3548,2,3,134,357,68,146,17,45,44,33
3549,2,4,127,331,55,115,13,38,39,36
3550,2,4,202,558,72,237,25,55,67,42
3551,2,3,232,731,102,303,26,94,81,84
3552,2,3,125,341,46,126,14,43,37,31
3553,2,3,100,259,49,113,12,21,32,19
3554,2,3,113,349,63,125,17,45,46,32
3555,2,4,200,546,86,196,18,78,76,46
3556,2,1,21,72,8,30,4,5,3,6
3557,2,3,147,322,77,129,14,38,34,27
3558,2,3,105,310,46,136,10,27,38,22
3559,2,3,220,709,50,313,28,107,80,86
3560,2,3,150,424,56,196,18,46,53,33
3561,2,3,105,256,55,105,11,34,39,15
3562,2,3,118,291,54,113,15,30,39,20
3563,2,3,148,403,59,148,23,59,54,35
3564,2,4,138,348,62,156,16,38,40,39
3565,2,4,155,414,71,163,16,41,49,30
3566,2,4,148,365,46,167,15,48,43,25
3567,2,4,185,432,63,199,23,34,55,32
3568,2,5,131,339,60,156,15,46,34,33
3569,2,3,156,384,77,167,16,52,36,36
3570,2,5,229,537,107,215,26,85,53,69
3571,2,4,126,349,44,131,15,56,31,37
3572,2,2,80,296,22,143,1,45,33,24
3573,2,4,190,465,92,170,20,60,59,27
3574,2,4,146,304,76,110,14,38,46,22
3575,2,3,326,974,106,421,31,135,129,101
3576,2,3,87,234,35,96,10,27,26,20
3577,2,4,167,378,61,177,15,41,38,26
3578,2,4,141,368,63,132,15,51,38,39
3579,2,4,207,534,88,175,23,75,64,38
3580,2,3,101,263,31,138,14,32,24,18
3581,2,3,134,428,48,168,19,46,55,33
