id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10,std_word
14844,6,3,100,233,60,95,13,36,16,29,19,29,16,3,21,7,9,12,10,9,2,5,7,7,22,0,17,2.76048852839,1,0,5,0,2.59781986442,4.81115879828,48.1115879828,2,1,6.69768421053,0,1,2,0,0,0,1,0,0,5.34983016705,14.5625,0,0,6.7728202213
14845,6,4,137,312,74,135,13,39,37,40,28,35,19,8,22,24,4,13,7,7,4,5,15,9,11,1,28,7.98147804181,2,6,8,4,2.5556849732,4.84294871795,48.4294871795,2,3,6.59733333333,5,0,0,1,3,0,3,0,0,8.05610736745,16.4210526316,0,0,10.7669855503
14846,6,4,88,213,44,76,9,32,22,33,14,19,10,5,10,12,7,16,4,6,1,7,3,4,12,0,13,2.34215146242,3,0,5,2,2.49043702036,4.64319248826,46.4319248826,1,2,6.07210526316,1,0,1,0,1,0,0,0,1,5.36376888566,21.4,0,0,12.7059041394
14847,6,3,88,195,46,81,9,38,23,27,7,14,14,3,7,14,3,8,3,2,1,6,10,3,13,3,18,2.80930182192,1,0,4,2,2.40480398575,4.71282051282,47.1282051282,2,0,6.76888888889,0,0,1,1,0,0,1,0,0,4.45819180588,13.9285714286,0,0,8.89995413884
14848,6,2,55,135,29,51,4,25,20,22,5,14,7,4,3,9,7,7,0,1,0,5,2,2,6,0,11,2.26396927033,3,0,3,0,2.48226434191,4.47407407407,44.7407407407,1,0,6.82058823529,0,0,1,0,2,0,1,0,0,3.58049216331,19.4285714286,0,0,16.9356525275
14849,6,3,72,152,39,66,7,26,14,25,10,11,8,4,7,12,5,4,3,2,2,4,9,2,5,1,14,1.6098009612,2,2,6,0,2.28745308526,4.86184210526,48.6184210526,1,1,6.32636363636,0,0,0,0,0,0,1,0,0,0.0,19.0,0,0,9.39414711403
14850,6,1,54,141,34,42,7,23,13,21,8,13,9,3,4,13,5,8,4,2,1,2,4,2,9,0,10,3.75652254389,2,0,3,0,2.49564971044,4.59574468085,45.9574468085,0,1,5.82238095238,4,0,1,0,1,0,0,0,0,0.0,15.6666666667,0,0,9.76387901058
14851,6,3,52,126,26,56,7,18,13,22,15,10,8,2,13,8,2,3,0,2,0,5,3,2,6,0,3,1.74083058916,1,0,5,0,2.29147488375,4.59523809524,45.9523809524,0,0,6.23857142857,0,0,0,0,3,0,1,0,0,4.02282666425,15.75,0,0,4.76313972081
14852,6,3,36,87,17,42,3,18,14,13,11,6,4,3,4,5,1,2,1,1,3,2,3,3,3,0,0,0.82628935829,2,0,2,0,2.24036742318,4.65517241379,46.5517241379,0,0,6.38380952381,0,1,1,0,0,0,0,0,0,0,21.75,0,0,13.827056809
14853,6,2,42,88,22,36,4,16,8,13,3,14,5,3,2,6,2,9,4,4,0,1,0,0,3,0,6,0.73112593579,1,1,2,1,2.81822605891,4.98863636364,49.8863636364,1,0,6.19027777778,1,0,4,0,0,0,1,0,1,0.0,17.6,0,0,9.93176721435
14854,6,3,53,114,33,46,5,14,12,18,7,14,10,1,2,11,1,7,3,3,0,2,1,2,7,0,12,1.15288981857,0,0,3,1,2.69146500134,4.93859649123,49.3859649123,1,0,6.63195652174,2,0,2,0,0,0,1,0,0,3.58049216331,11.4,0,0,5.64269439187
14855,6,4,103,244,51,96,11,34,23,39,17,19,12,5,8,15,6,14,4,3,5,4,8,7,7,1,19,4.96662668858,3,3,8,1,2.33821085029,4.63524590164,46.3524590164,2,3,5.66333333333,3,0,3,3,1,0,2,0,1,4.47561520414,20.3333333333,0,0,9.94428926012
14856,6,2,65,177,28,74,8,22,21,26,8,8,13,4,15,5,0,7,3,1,3,6,7,3,10,1,25,3.20713232469,0,1,3,1,2.18028885153,4.32203389831,43.2203389831,2,1,5.9522972973,4,0,0,1,1,0,4,0,0,2.67491508353,13.6153846154,0,0,6.45145733731
14857,6,4,108,233,57,103,10,38,23,40,23,26,13,5,10,19,5,8,6,6,1,7,2,1,16,0,18,2.75726945408,3,0,2,1,2.52063410088,4.9356223176,49.356223176,1,0,6.45796116505,3,0,2,0,0,1,2,0,1,3.12073426411,17.9230769231,0,0,8.32476877444
14858,6,3,49,116,23,55,5,12,17,20,7,7,7,3,9,12,2,5,1,0,2,6,3,3,7,0,7,2.18125067864,2,0,1,0,2.22820949222,4.51724137931,45.1724137931,0,0,6.15545454545,1,0,0,0,0,0,1,0,0,2.68536912248,16.5714285714,0,0,10.9264703863
14859,6,2,59,167,33,63,8,25,16,21,17,14,12,4,12,11,4,7,2,4,1,4,9,3,13,1,12,4.22184937593,2,1,2,2,2.49723893414,4.55688622754,45.5688622754,3,1,6.31253968254,1,0,0,0,1,0,2,0,0,2.67491508353,13.9166666667,0,0,7.74013709324
14860,6,3,97,210,52,88,10,28,26,30,21,15,11,6,9,15,5,11,3,2,1,6,5,3,12,1,20,2.15390640579,2,1,3,0,2.294554561,4.80952380952,48.0952380952,0,1,6.7,2,0,0,0,1,0,1,0,0,6.25540724684,19.0909090909,0,0,8.76412673091
14861,6,3,83,198,42,83,10,34,25,27,18,14,15,3,10,14,2,7,4,1,4,4,4,5,9,1,14,2.38765983627,1,2,5,0,2.27238165859,4.64646464646,46.4646464646,0,2,6.48180722892,1,0,0,0,2,0,1,0,0,4.47561520414,13.2,0,0,7.66985440974
14862,6,3,64,159,29,67,6,11,17,23,11,8,9,5,8,15,0,12,1,0,0,5,12,3,16,0,18,1.81800261184,2,0,2,0,2.07693747952,4.46540880503,44.6540880503,1,0,5.91850746269,1,0,0,0,2,0,4,0,0,2.22909590294,17.6666666667,0,0,9.48683298051
14863,6,3,46,109,28,46,5,15,14,14,7,11,6,3,2,11,2,8,4,3,0,2,1,1,9,1,4,1.63265942625,1,0,1,1,2.70490549954,4.71559633028,47.1559633028,1,0,6.575,4,0,0,0,0,0,0,0,0,4.02282666425,18.1666666667,0,0,10.9911580625
14864,6,4,70,169,44,71,6,22,29,23,15,19,9,4,6,17,2,12,2,4,1,6,3,4,9,0,6,2.41304534633,4,3,2,2,2.69182360902,4.81656804734,48.1656804734,0,0,6.37042253521,1,0,0,0,0,0,1,0,0,7.15401496732,19.0,0,0,14.7572957475
14865,6,3,80,175,37,82,10,27,15,21,15,14,10,1,8,14,5,8,4,2,2,4,5,5,10,1,5,1.62817819992,1,1,8,0,2.34012616672,4.77142857143,47.7142857143,1,3,6.60170731707,2,0,0,0,0,0,2,0,0,3.58049216331,17.6,0,0,3.82622529394
14866,6,2,25,63,13,28,4,12,6,11,6,3,5,1,2,5,2,2,0,0,3,3,1,0,3,0,0,0.664712197669,0,0,1,0,2.12415460127,4.49206349206,44.9206349206,1,1,6.7075,1,0,0,0,1,0,0,0,0,0,12.6,0,0,6.8
14867,6,2,40,102,22,45,4,14,13,13,5,13,8,2,5,7,0,8,1,0,1,3,2,1,6,0,7,0.897531875872,0,1,2,0,2.47495707867,4.66666666667,46.6666666667,1,0,5.76977777778,1,0,0,1,1,1,2,0,0,2.68536912248,12.75,0,0,7.06664701255
14868,6,3,86,204,53,74,8,25,27,26,15,18,12,5,10,14,2,8,5,2,3,3,3,7,13,1,16,3.17321666099,3,0,4,0,2.48299052734,4.69117647059,46.9117647059,0,4,6.48297297297,1,0,0,1,2,0,2,0,0,7.15053028766,17.0,0,0,13.0384048104
14869,6,2,68,146,24,68,7,23,19,24,5,8,8,4,4,8,3,3,4,1,0,5,3,5,5,0,7,1.6884899242,2,1,9,0,2.13050808828,4.54794520548,45.4794520548,2,1,6.03691176471,1,0,0,0,3,0,0,0,2,1.33745754176,18.25,0,0,8.85649479196
14870,6,2,59,130,26,54,7,19,19,25,9,4,8,3,2,6,0,5,1,1,3,3,8,1,6,1,21,2.21887476781,0,0,1,0,2.19318889277,4.5,45.0,0,1,6.1962962963,1,0,0,0,0,0,0,0,0,0,16.25,0,0,6.74073438136
14871,6,3,65,134,38,53,6,22,13,21,9,19,11,1,3,13,1,8,7,5,1,3,2,0,9,0,7,1.50510846624,1,0,4,1,2.77067421739,5.00746268657,50.0746268657,1,1,6.38264150943,2,0,0,0,0,0,1,0,0,6.25889192649,12.1818181818,0,0,7.30900045172
14872,6,3,65,144,40,60,5,21,17,19,13,17,8,4,6,9,2,9,4,2,0,7,4,2,5,0,8,1.56640949338,4,0,5,1,2.69743863946,4.86805555556,48.6805555556,1,0,6.34083333333,1,0,2,0,1,0,2,0,0,3.58049216331,18.0,0,0,11.8638105177
14873,6,2,47,112,25,43,6,13,12,20,10,8,7,1,3,8,1,6,0,0,3,2,0,1,3,0,12,1.30242297588,1,0,4,0,2.34381837095,4.54464285714,45.4464285714,1,1,6.61302325581,0,0,1,0,0,1,1,0,0,3.58049216331,16.0,0,0,8.45154254729
14874,6,1,26,112,12,53,2,21,14,20,3,2,5,2,3,3,4,5,5,0,1,0,1,10,5,0,1,2.20620401275,2,2,3,0,1.75784232868,3.86607142857,38.6607142857,1,3,5.34849056604,0,0,1,1,0,0,0,0,0,0.0,22.6,0,0,24.5812937007
14875,6,3,47,101,16,38,5,15,8,13,2,3,6,2,3,4,1,5,0,0,3,0,12,5,5,1,31,1.37502186013,1,1,4,0,1.96393220427,4.37623762376,43.7623762376,1,1,6.25789473684,0,0,0,0,0,0,1,0,0,0.0,16.8333333333,0,0,10.9911580625
14876,6,3,98,197,46,82,9,27,27,22,14,20,15,4,10,15,3,6,2,1,5,7,6,8,12,2,18,2.31615596162,2,1,4,0,2.35515881077,4.90355329949,49.0355329949,0,1,6.43317073171,2,0,0,2,0,0,1,0,0,8.04565332849,13.1333333333,0,0,9.75613766929
14877,6,2,29,100,15,40,5,15,11,19,8,5,6,3,3,3,2,4,2,1,0,1,0,5,11,1,3,1.36299720402,1,0,2,0,2.11535989249,4.1,41.0,1,2,5.51375,0,0,0,0,0,0,0,0,0,2.67491508353,16.6666666667,0,0,8.33999733546
14878,6,2,57,135,33,52,6,18,15,20,12,14,11,3,4,9,4,8,1,0,1,7,7,7,8,0,5,1.27950535984,1,1,3,0,2.40645897038,4.66666666667,46.6666666667,0,0,6.40269230769,0,0,0,0,1,0,2,0,1,0.0,12.2727272727,0,0,9.73364277405
14879,6,3,55,129,33,61,8,24,17,18,6,12,13,2,5,12,2,3,1,0,1,6,6,2,9,0,15,1.49572846627,0,0,1,0,2.31207438991,4.82945736434,48.2945736434,1,2,6.56180327869,0,0,0,0,1,0,2,0,0,1.78327672235,9.92307692308,0,0,6.75347817466
14880,6,3,69,158,29,60,6,26,30,26,8,7,8,5,5,5,3,6,2,1,2,3,6,3,9,0,24,2.08625852714,3,1,1,0,2.15260717479,4.49367088608,44.9367088608,1,0,6.53916666667,0,0,1,0,1,0,0,0,0,2.22909590294,20.0,0,0,11.1691539518
14881,6,4,82,194,54,70,10,27,24,31,14,26,11,6,5,19,7,10,3,7,1,6,7,2,13,0,17,3.39430497268,0,3,0,4,2.81016738939,4.93298969072,49.3298969072,0,0,6.06285714286,2,0,3,0,2,1,1,0,0,7.15401496732,17.6363636364,0,0,6.74567507603
14882,6,4,103,224,59,86,8,23,31,29,20,18,10,6,11,21,5,14,6,2,1,7,7,7,15,0,13,2.61561975137,6,1,4,0,2.4337309063,4.77678571429,47.7678571429,2,0,6.58523255814,2,0,0,0,2,0,1,0,0,8.94426104897,22.4,0,0,11.3683771929
14883,6,3,109,220,55,90,11,28,21,33,12,25,18,5,9,18,0,7,8,3,0,5,8,3,15,0,26,3.87552967002,2,1,7,0,2.42297704626,4.96363636364,49.6363636364,1,4,6.46688888889,3,0,0,0,0,0,3,1,2,9.83241473049,12.2222222222,0,0,9.38412107739
14884,6,3,56,149,32,70,7,20,23,24,11,8,9,5,6,11,2,6,6,1,2,4,1,5,5,0,10,1.74366892692,2,2,4,0,2.2188448043,4.56375838926,45.6375838926,1,0,6.45785714286,0,0,0,0,1,0,1,0,0,0,16.5555555556,0,0,9.934352421
14885,6,2,71,185,25,87,9,24,15,24,16,6,19,1,9,14,7,12,2,0,1,1,11,8,12,1,19,2.05149878378,0,2,5,0,1.93865981548,4.25945945946,42.5945945946,2,0,5.95827586207,1,0,0,0,0,0,0,0,0,0.0,9.73684210526,0,0,6.31491221978
14886,6,3,78,164,40,71,8,25,25,22,9,15,14,5,7,15,2,5,3,3,7,6,5,3,7,0,11,1.90512670048,2,1,6,0,2.46667903498,4.85975609756,48.5975609756,0,1,5.77943661972,0,0,0,1,1,0,2,0,0,3.58049216331,11.7142857143,0,0,10.1378257138
14887,6,3,82,179,44,76,7,36,25,28,11,15,8,6,10,14,1,15,2,2,0,6,5,1,10,1,3,1.36539673533,3,0,1,0,2.44292067049,4.82122905028,48.2122905028,1,2,6.65842105263,0,0,0,0,0,0,0,0,0,3.58049216331,22.375,0,0,12.844624362
14888,6,2,61,174,34,71,4,29,24,26,10,14,5,4,5,9,1,11,7,4,1,4,8,7,9,0,5,3.38903019796,4,0,7,1,2.47147704638,4.37356321839,43.7356321839,2,1,5.56028169014,2,0,2,0,0,0,1,0,0,0.0,34.8,0,0,19.0410083767
14889,6,3,71,169,43,71,7,27,25,25,4,21,8,5,10,13,4,7,4,3,4,2,6,2,6,0,16,2.14049547931,3,5,2,0,2.57509092378,4.82840236686,48.2840236686,2,1,7.02169014085,1,0,0,0,0,0,2,0,1,3.58049216331,21.25,0,0,10.8253175473
14890,6,3,62,166,29,70,8,20,14,24,10,14,9,4,10,10,5,14,1,1,1,4,3,6,14,0,3,2.65420186342,2,0,3,1,2.26367089361,4.50602409639,45.0602409639,2,0,5.67014285714,3,0,1,0,2,1,2,1,1,1.78327672235,18.6666666667,0,0,7.70281333886
14891,6,1,42,130,25,53,5,23,16,20,7,7,12,3,4,6,4,4,0,1,2,4,5,9,8,1,9,2.1708789533,2,2,2,0,2.29666217059,4.32307692308,43.2307692308,0,1,6.22905660377,1,0,0,0,0,0,0,0,1,1.78327672235,10.8333333333,0,0,10.1885011437
14892,6,3,100,200,52,85,10,37,25,32,14,22,13,5,11,11,3,8,6,4,2,4,5,2,9,0,5,2.72108320695,0,1,8,1,2.53120723179,4.995,49.95,1,0,6.29423529412,3,0,2,0,0,0,4,0,0,7.16098432662,15.3846153846,0,0,7.00042264151
14893,6,2,34,84,20,33,4,14,13,14,7,11,5,2,2,5,0,3,4,1,0,1,6,3,6,0,6,1.55284893644,1,0,3,0,2.52863690351,4.72619047619,47.2619047619,0,2,6.73545454545,0,0,1,0,0,0,0,0,0,3.58049216331,16.8,0,0,9.78570385818
14894,6,4,74,186,37,85,8,17,24,26,15,9,9,6,8,20,5,9,6,1,3,3,2,4,11,0,10,1.86051098397,1,3,4,0,2.16768692586,4.58064516129,45.8064516129,2,0,6.31647058824,2,0,0,0,2,0,0,0,1,1.78327672235,20.6666666667,0,0,10.1105005921
14895,6,2,67,161,29,66,8,36,19,28,12,14,9,4,5,7,4,5,4,4,1,3,11,4,11,1,6,2.69811728607,1,0,5,0,2.34010404823,4.52173913043,45.2173913043,3,0,6.51818181818,0,0,0,1,0,0,2,0,0,4.91446502542,17.8888888889,0,0,7.7952185408
14896,6,4,119,260,60,106,7,36,39,40,16,25,8,7,11,15,3,15,6,7,0,8,7,7,12,0,24,4.12748114408,5,0,4,2,2.57908473139,4.79230769231,47.9230769231,1,2,6.66066037736,1,0,1,0,1,0,3,0,0,7.16098432662,32.5,0,0,18.1107702763
14897,6,3,80,177,50,81,9,21,31,22,8,22,10,6,5,18,2,9,4,5,3,5,4,2,12,0,20,1.84825857988,1,0,1,4,2.77103015412,5.05649717514,50.5649717514,2,1,6.66567901235,1,0,1,0,1,0,2,0,0,4.47561520414,17.8,0,0,8.2316462509
14898,6,4,87,191,45,76,7,21,30,27,10,14,9,6,12,19,0,6,6,0,3,4,7,3,15,1,11,2.97772830038,3,0,6,0,2.28210236014,4.68062827225,46.8062827225,1,3,6.24934210526,1,0,0,1,1,0,3,0,0,6.70471110708,21.2222222222,0,0,13.7661241037
14899,6,1,43,104,19,45,4,21,12,13,11,5,6,3,6,7,2,8,0,1,2,1,0,2,4,0,1,0.900988542828,1,4,0,0,2.13104563282,4.54807692308,45.4807692308,0,2,5.15222222222,0,0,0,1,0,0,2,0,0,0.0,17.3333333333,0,0,12.3243210316
14900,6,3,63,136,35,53,7,18,22,20,10,10,11,2,10,9,0,3,3,0,2,4,5,3,10,0,18,1.6493434072,1,0,2,0,2.3119939239,4.86764705882,48.6764705882,0,1,6.80056603774,1,0,0,0,0,0,1,0,0,4.46864584483,12.4545454545,0,0,8.53190415029
14901,6,1,15,32,11,14,2,6,1,4,6,3,4,0,2,1,1,2,0,0,0,1,1,2,3,0,0,0.269728142379,0,0,0,0,2.51367229111,5.0625,50.625,0,0,7.14785714286,0,0,0,0,0,0,1,0,0,0.891638361175,8.0,0,0,5.47722557505
14902,6,4,92,212,46,81,9,27,27,35,17,16,12,5,10,18,3,8,2,2,6,5,1,5,10,0,3,3.42179911949,2,4,8,0,2.27568747087,4.60377358491,46.0377358491,3,0,6.16222222222,2,0,0,0,1,0,3,0,0,4.47561520414,17.6666666667,0,0,8.82546819658
14903,6,3,79,163,51,67,9,27,18,25,12,19,18,3,10,15,2,7,4,2,1,6,4,0,10,1,12,1.90558605508,0,1,1,0,2.57102398989,5.03067484663,50.3067484663,1,0,6.69850746269,0,0,0,1,1,0,2,1,0,4.02282666425,9.05555555556,0,0,8.12042843849
14904,6,3,92,197,48,71,9,34,24,25,19,20,15,4,10,11,2,6,6,1,1,2,15,1,6,0,23,3.31641259315,3,1,8,0,2.39768353971,4.82233502538,48.2233502538,2,0,6.34845070423,1,1,1,0,1,1,0,0,0,5.37073824496,13.2,0,2,11.2498888883
14905,6,1,29,74,13,34,3,12,8,10,3,4,5,2,4,4,1,5,7,0,0,2,0,2,6,0,0,0.688151698553,1,0,2,0,2.14056223086,4.48648648649,44.8648648649,0,0,6.09558823529,1,0,0,0,1,0,0,0,0,0.0,14.8,0,0,9.9075728612
14906,6,3,46,112,22,48,6,12,12,13,12,10,7,1,6,9,1,6,2,2,3,3,9,4,3,0,11,1.40137640208,1,2,4,0,2.3680085742,4.67857142857,46.7857142857,1,0,6.135,0,0,0,0,0,1,1,0,1,0.0,16.0,0,0,9.21179368294
14907,6,3,54,116,27,51,5,19,13,13,10,11,9,3,9,6,2,5,4,2,1,4,3,2,6,0,9,1.26474555773,0,0,3,0,2.39527270563,4.86206896552,48.6206896552,1,1,6.36823529412,1,0,0,0,1,0,1,0,0,4.91794970507,12.8888888889,0,0,8.25219761228
14908,6,2,67,146,36,63,6,27,17,22,14,17,18,1,3,11,1,7,4,3,5,3,5,4,6,0,8,2.15937626096,0,0,4,1,2.58994093527,4.80821917808,48.0821917808,0,0,6.81365079365,1,0,0,0,1,0,1,0,0,1.33745754176,8.11111111111,0,0,7.32491098838
14909,6,3,60,142,36,65,5,27,19,25,9,9,7,2,6,10,4,3,4,0,1,3,2,3,10,0,3,2.0354849239,2,1,4,0,2.26458799902,4.67605633803,46.7605633803,1,0,6.14415384615,0,0,0,0,0,1,0,0,0,3.58049216331,20.2857142857,0,0,15.350330715
14910,6,3,45,86,22,32,3,15,6,12,10,9,8,2,9,8,1,3,4,4,1,3,0,1,6,0,0,1.17196970747,0,0,2,0,2.52516743766,5.0,50.0,0,0,6.37125,0,0,1,0,0,0,1,0,0,0.891638361175,10.75,0,0,7.04893608994
14911,6,1,26,65,16,24,3,6,11,10,4,8,7,1,2,7,2,1,0,0,4,4,3,1,0,1,3,1.75259761863,0,5,1,0,2.55016967761,4.67692307692,46.7692307692,0,0,5.5975,1,0,0,0,3,0,0,0,0,0,9.28571428571,0,0,8.53085635819
14912,6,3,43,104,24,51,4,14,15,8,8,9,5,2,6,13,0,3,1,1,3,1,4,5,11,0,5,1.24661140988,2,1,1,0,2.40044494257,4.75,47.5,2,1,5.99215686275,1,0,1,0,1,0,2,0,0,2.68536912248,20.8,0,0,13.4074606097
14913,6,3,68,152,42,58,7,18,20,20,12,13,9,3,5,21,4,8,5,3,1,5,7,4,7,0,11,1.63739784251,2,2,1,1,2.55452905297,4.86842105263,48.6842105263,1,0,7.10672413793,0,0,1,0,0,0,1,0,0,4.02282666425,16.8888888889,0,0,9.36238863686
14914,6,3,77,177,41,66,8,26,16,25,20,14,11,5,8,7,4,11,9,6,3,4,14,4,9,1,20,3.03895713268,0,2,3,2,2.64925540217,4.79096045198,47.9096045198,1,1,6.08151515152,0,0,1,0,0,0,0,0,0,0,16.0909090909,0,0,6.96033627002
14915,6,3,44,111,22,51,5,12,14,13,9,9,11,1,5,10,1,6,4,0,0,6,1,3,8,0,7,1.16896416076,0,0,2,0,2.18879583123,4.65765765766,46.5765765766,2,0,6.50764705882,2,0,0,0,0,0,0,0,0,0,10.1818181818,0,0,5.99724454635
14916,6,3,73,162,42,68,6,17,21,19,12,17,7,6,10,12,4,8,2,4,1,6,2,5,10,1,12,2.12131014668,3,0,5,1,2.56656643138,4.77160493827,47.7160493827,1,3,5.98352941176,0,0,0,0,0,1,1,0,0,7.16098432662,23.1428571429,0,0,10.3154332563
14917,6,3,68,164,35,64,5,29,22,28,14,15,6,4,5,11,6,8,5,2,0,5,4,2,8,0,7,2.76165475327,4,0,6,0,2.39815755505,4.59756097561,45.9756097561,0,0,6.40578125,0,0,0,0,0,0,0,0,0,7.15401496732,27.3333333333,0,0,17.8387842137
14918,6,3,74,168,41,77,9,30,22,26,9,15,12,4,6,15,2,10,9,2,1,2,5,1,4,1,2,2.2755559871,0,1,7,1,2.43170180176,4.75,47.5,2,1,5.58571428571,3,1,0,0,1,0,1,1,0,2.68536912248,14.0833333333,0,0,6.81246814468
14919,6,2,56,120,21,51,6,20,13,15,9,11,7,3,15,7,4,3,3,2,0,3,3,1,5,0,1,1.34144364677,1,0,7,2,2.42743423697,4.7,47.0,0,1,6.19647058824,2,0,0,2,0,0,0,0,0,2.68536912248,17.1428571429,0,0,10.8420948349
14920,6,3,84,177,50,71,8,35,22,24,11,22,9,5,8,17,4,13,2,2,0,6,2,1,8,0,7,1.71717246086,2,0,3,0,2.56158105148,5.02824858757,50.2824858757,1,1,6.45704225352,1,0,1,0,0,0,0,0,0,5.37073824496,19.6666666667,0,0,8.36660026534
14921,6,3,77,177,40,72,6,28,18,28,10,13,16,2,9,14,3,8,4,1,2,3,8,1,8,0,20,3.24863312804,1,0,6,0,2.37711601193,4.5988700565,45.988700565,1,0,6.55444444444,1,0,2,0,0,0,2,0,1,7.15401496732,11.1875,0,0,7.26480170067
14922,6,3,100,198,54,86,10,32,28,30,16,20,19,6,4,14,6,7,7,4,0,6,1,2,9,0,14,2.10861255585,1,0,6,0,2.49160514334,5.00505050505,50.0505050505,1,1,6.73790697674,1,0,1,0,1,0,2,0,0,0,10.4210526316,0,0,10.5746259831
14923,6,3,72,168,35,67,6,27,17,27,13,17,13,3,4,13,5,12,4,2,2,1,0,2,10,0,6,1.69054376343,1,0,5,0,2.41212098172,4.66071428571,46.6071428571,1,1,6.08701492537,0,0,0,0,0,1,2,0,0,7.60331882756,12.9230769231,0,0,7.73067355471
14924,6,3,75,156,41,59,7,28,22,25,12,22,24,4,5,9,2,7,6,2,1,1,7,4,11,0,9,2.37296364177,1,0,4,1,2.74481238652,4.96153846154,49.6153846154,1,0,6.33101694915,0,0,0,0,0,0,2,0,0,7.60331882756,6.54166666667,0,0,8.89746764847
14925,6,3,60,144,31,52,6,26,19,20,10,6,10,5,6,12,4,5,0,1,1,5,13,3,7,0,14,2.3366404906,2,3,1,0,2.23631771862,4.57638888889,45.7638888889,0,3,7.13903846154,2,0,0,0,1,0,1,0,0,4.02282666425,14.4,0,0,11.689311357
14926,6,3,111,246,63,105,10,29,38,41,17,27,16,7,4,16,1,9,7,4,3,4,11,5,14,0,34,3.40855515873,4,2,6,2,2.55821874732,4.81300813008,48.1300813008,1,4,6.2260952381,1,0,0,1,0,0,0,0,0,4.47561520414,15.375,0,0,13.2470515587
