id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19
47,1,8,105,314,51,115,13,61,42,30,16,14,17,8,21,24
48,1,11,193,544,65,205,20,92,76,52,29,16,29,15,45,23
49,1,6,120,315,61,126,17,27,47,18,21,33,26,2,19,49
50,1,5,35,83,18,36,3,13,11,6,5,5,4,2,8,9
51,1,9,140,571,56,211,12,58,63,45,26,14,15,11,43,21
52,1,7,96,241,43,90,12,34,19,21,16,18,16,6,13,25
53,1,8,122,424,61,158,24,48,58,38,10,15,28,6,34,33
54,1,10,155,415,81,144,19,81,44,40,23,19,33,6,34,26
55,1,8,98,237,52,99,9,26,38,12,15,16,11,6,25,23
56,1,10,214,469,143,171,19,75,60,48,34,70,23,11,22,51
57,1,9,132,291,80,113,13,40,33,28,28,27,23,3,9,34
58,1,7,67,197,36,62,9,24,22,11,5,13,15,3,12,15
59,1,8,181,442,83,172,17,60,65,42,38,22,23,10,20,37
60,1,4,32,68,16,28,3,10,9,4,8,6,7,0,1,9
61,1,8,115,301,62,125,15,43,35,18,18,13,23,7,19,24
62,1,8,97,283,41,89,14,35,16,25,23,22,15,9,6,30
63,1,8,97,290,47,126,13,32,30,25,17,25,18,6,10,25
64,1,7,64,217,32,79,6,26,21,17,8,13,7,3,11,19
65,1,9,136,414,77,170,20,48,51,36,23,27,25,9,33,28
66,1,9,152,371,77,137,19,41,37,22,22,33,23,7,29,39
67,1,8,112,293,57,118,10,61,33,18,19,18,19,6,21,18
68,1,9,154,390,76,152,19,49,38,34,21,27,34,4,32,43
69,1,7,74,241,31,97,12,29,33,15,11,10,19,5,15,22
70,1,12,192,422,107,147,19,72,49,40,35,45,26,10,25,27
71,1,10,176,443,65,179,17,53,64,40,11,24,21,9,19,54
72,1,10,245,527,150,203,24,57,68,32,48,64,26,15,25,64
73,1,8,151,386,67,107,15,55,54,47,37,22,21,10,33,16
74,1,7,112,297,38,146,14,38,31,19,15,16,26,3,28,37
75,1,8,153,348,78,132,18,56,42,32,30,29,22,6,13,37
76,1,8,138,298,66,99,12,53,28,25,22,22,17,7,24,18
77,1,10,191,522,102,206,24,75,48,33,37,56,46,4,34,55
78,1,10,160,420,76,169,19,88,46,26,25,15,24,8,32,25
79,1,10,128,381,61,117,14,57,58,34,21,21,19,8,17,37
80,1,8,167,408,89,137,19,47,43,28,35,20,21,12,31,48
81,1,8,120,363,58,148,14,59,39,30,31,13,18,12,12,18
82,1,8,118,281,77,101,14,44,34,24,15,27,23,3,15,27
83,1,7,66,208,34,73,9,32,13,22,13,12,10,6,12,6
84,1,6,57,202,17,76,9,22,17,13,7,4,12,4,8,11
85,1,10,208,543,102,204,26,67,64,57,39,28,29,12,40,37
86,1,8,195,419,102,154,20,68,52,36,45,52,28,7,17,68
87,1,10,164,414,65,140,21,50,51,25,40,29,35,4,36,29
88,1,9,139,441,59,159,14,54,46,41,24,12,17,11,43,21
89,1,6,83,232,44,75,3,37,28,32,7,4,30,0,6,24
90,1,7,75,229,42,77,8,39,25,28,15,13,10,5,10,18
91,1,8,86,232,41,92,10,28,24,19,11,10,16,6,20,30
92,1,11,224,651,105,235,23,94,72,48,46,40,47,12,27,44
93,1,11,250,537,144,207,22,105,75,57,40,54,24,16,26,49
94,1,8,96,313,44,136,11,46,34,28,16,18,23,5,17,19
95,1,10,159,462,72,169,20,47,55,36,30,22,28,8,36,34
96,1,7,89,230,50,91,10,39,29,27,14,18,16,4,11,23
97,1,8,125,294,62,116,15,50,40,30,16,22,22,5,15,23
98,1,11,166,411,79,166,17,63,51,28,27,29,35,6,30,37
99,1,8,121,347,57,136,17,47,37,30,23,15,19,9,13,27
100,1,7,67,235,33,68,11,31,25,19,25,5,11,9,3,18
101,1,10,184,466,83,189,22,72,50,37,27,28,35,11,38,39
102,1,8,129,330,53,122,16,43,46,37,15,10,27,4,16,26
103,1,9,140,392,67,143,12,50,42,34,26,20,15,9,22,20
104,1,10,146,401,81,157,13,52,43,30,24,27,19,10,26,33
105,1,9,170,537,63,216,24,90,42,41,29,16,33,15,34,22
106,1,11,150,361,92,125,20,51,39,28,24,37,31,2,21,29
107,1,10,255,631,136,254,33,99,77,52,42,53,49,9,28,65
108,1,8,111,366,48,136,13,41,45,19,21,23,20,9,33,46
109,1,8,103,348,43,140,16,40,33,30,22,6,25,4,23,30
110,1,6,77,236,36,95,9,38,21,17,22,16,12,7,15,23
111,1,11,237,549,123,189,21,71,66,38,45,61,26,8,35,52
112,1,9,149,409,75,147,18,59,41,26,20,29,29,8,18,38
113,1,8,131,328,53,143,14,51,27,25,18,11,29,4,24,29
114,1,8,171,407,81,165,21,61,50,28,22,37,25,7,27,33
115,1,9,158,508,49,173,19,62,45,39,34,11,25,13,47,16
116,1,4,24,53,11,20,2,8,5,2,4,6,5,1,3,7
117,1,8,124,319,50,134,17,31,28,15,28,21,25,2,24,31
118,1,12,218,433,96,143,22,70,52,32,39,44,29,11,27,46
119,1,10,168,485,60,172,20,71,52,43,31,18,32,8,24,22
120,1,8,123,374,62,140,15,45,38,17,25,16,22,8,22,29
121,1,8,123,368,29,136,12,62,22,28,27,6,15,9,20,14
122,1,9,216,533,99,196,25,85,62,57,32,28,27,13,39,50
123,1,10,148,411,76,144,21,58,44,34,21,35,30,4,23,36
124,1,7,83,273,41,88,9,36,41,23,15,7,10,9,12,14
125,1,5,60,176,27,45,1,20,14,13,11,11,1,1,10,12
126,1,8,94,280,45,93,8,33,31,22,16,24,11,7,17,28
127,1,9,153,402,73,150,21,62,43,27,24,29,23,9,23,32
128,1,9,150,406,82,156,20,64,35,31,22,21,31,6,34,29
129,1,10,120,416,51,160,21,50,38,32,13,15,26,7,38,32
130,1,10,260,587,152,211,30,88,63,60,52,42,40,10,23,60
131,1,10,174,420,79,160,21,59,52,33,32,18,25,12,23,43
132,1,11,201,425,111,157,18,63,53,24,38,58,19,11,26,45
133,1,10,171,507,73,207,25,74,59,39,50,15,44,5,32,33
134,1,10,143,400,80,152,15,57,52,31,28,26,25,7,24,29
135,1,7,93,261,43,103,10,34,24,11,14,15,12,5,15,27
136,1,9,181,543,70,198,24,77,50,43,19,18,40,11,48,44
137,1,7,89,243,31,109,7,50,37,29,14,7,8,6,6,19
138,1,10,174,401,75,180,16,61,59,33,23,25,25,8,21,50
139,1,7,63,180,29,56,8,31,25,16,5,5,13,4,13,10
140,1,9,150,360,75,144,17,37,28,20,31,23,31,3,20,33
141,1,10,207,575,101,201,25,73,61,28,33,43,29,14,41,46
142,1,10,170,381,95,127,19,66,51,32,24,43,27,8,25,19
143,1,7,94,303,39,115,12,46,28,18,18,15,19,5,21,23
144,1,9,141,441,72,154,20,66,50,40,24,28,31,8,20,33
145,1,10,178,361,114,132,17,57,40,25,26,56,19,6,23,38
146,1,6,66,185,15,67,3,25,26,13,12,9,4,3,10,10
147,1,12,254,595,133,244,26,101,69,56,45,38,39,10,34,47
148,1,9,114,306,55,102,14,42,38,21,19,11,19,5,21,33
149,1,8,150,436,68,165,18,67,65,33,36,20,21,9,10,35
150,1,8,104,303,45,112,15,54,32,32,15,8,25,3,16,34
151,1,8,82,245,32,97,7,29,24,25,9,7,8,7,13,23
152,1,6,95,172,33,84,9,18,26,14,18,9,12,4,4,31
153,1,9,175,489,66,173,21,69,59,42,24,6,28,11,45,23
154,1,12,176,423,99,164,20,69,45,32,28,28,33,7,32,32
155,1,10,167,437,88,149,18,63,45,44,34,23,26,10,27,43
156,1,8,115,333,48,125,18,48,40,26,26,18,30,1,25,15
157,1,9,183,448,92,155,18,72,58,44,44,26,30,9,26,30
158,1,9,159,352,92,132,19,49,49,27,25,44,27,4,24,49
159,1,10,186,462,102,175,19,67,54,34,33,28,35,7,28,47
160,1,8,112,272,36,112,15,42,34,18,17,13,22,3,27,19
161,1,10,162,417,73,151,20,64,40,37,27,29,29,9,15,34
162,1,12,217,534,117,197,21,100,62,52,23,43,24,13,32,36
163,1,8,106,232,59,75,9,30,25,19,17,24,23,1,10,42
164,1,8,115,245,60,100,8,32,30,15,25,23,9,7,17,39
165,1,9,163,371,76,131,18,65,33,29,31,25,31,4,20,23
166,1,10,220,537,95,231,24,77,64,43,52,43,32,12,36,42
167,1,8,104,331,40,125,13,38,45,23,25,13,19,8,24,24
168,1,9,185,448,82,177,10,52,54,31,43,43,14,8,29,49
169,1,6,79,150,45,60,5,17,20,13,10,16,10,3,7,23
170,1,8,113,335,44,120,17,35,36,35,23,19,21,4,23,26
171,1,8,99,322,47,106,5,30,40,32,28,15,6,5,20,28
172,1,8,82,255,46,83,6,34,41,24,11,6,7,6,17,13
173,1,8,91,256,39,102,11,38,28,21,14,7,13,7,13,26
174,1,8,124,349,58,125,19,53,34,31,19,17,24,4,19,33
175,1,8,143,330,66,115,17,37,36,34,28,24,22,5,16,27
176,1,10,149,381,68,139,15,55,42,41,28,26,23,8,25,33
177,1,8,97,326,45,107,14,47,42,37,18,9,24,5,14,21
178,1,8,134,268,47,104,13,52,35,27,13,20,20,5,12,27
179,1,8,118,275,70,93,15,42,36,23,25,30,24,1,7,28
180,1,10,140,437,61,155,21,51,51,26,43,20,30,9,24,35
181,1,10,194,442,128,165,22,73,58,25,32,47,30,6,23,48
182,1,8,114,293,43,107,16,44,33,26,17,9,19,6,9,28
183,1,8,181,393,83,169,18,59,51,30,31,17,26,6,24,27
184,1,8,108,387,38,158,14,62,35,38,15,6,17,9,20,4
185,1,8,146,466,67,155,21,53,47,29,18,30,29,10,17,47
186,1,8,126,335,65,113,16,49,51,23,25,22,23,6,14,34
187,1,5,36,111,13,53,2,16,14,4,7,5,3,2,3,13
188,1,9,136,411,59,185,16,60,35,37,22,23,23,9,24,32
189,1,6,52,126,27,38,4,19,14,12,5,18,17,2,4,15
190,1,10,141,319,67,129,16,48,29,36,30,24,22,6,22,23
191,1,8,93,244,48,101,12,16,29,11,12,17,17,4,26,25
192,1,11,206,489,85,195,20,72,64,40,36,23,35,7,24,58
193,1,8,157,399,82,147,18,72,51,49,26,21,29,8,31,23
194,1,10,202,521,99,190,19,91,60,40,38,37,30,12,28,36
195,1,5,50,123,20,44,6,16,16,6,12,5,10,3,9,6
196,1,8,116,382,50,128,21,69,39,48,21,11,28,5,14,25
197,1,10,139,521,61,206,22,77,62,57,19,25,27,15,22,21
198,1,10,181,421,97,155,21,64,61,45,33,38,23,9,24,28
199,1,11,282,738,119,234,28,120,58,70,51,54,36,18,46,49
200,1,8,153,361,66,145,19,40,34,16,23,26,28,4,29,39
201,1,9,147,395,77,145,21,54,47,20,40,40,30,5,26,32
202,1,8,150,376,55,173,19,44,35,25,29,14,28,5,22,36
203,1,10,149,497,57,206,22,52,40,43,22,21,27,10,48,31
204,1,10,149,368,65,134,14,43,49,30,16,25,25,7,20,41
205,1,10,233,560,113,224,22,84,64,45,46,22,35,11,49,29
206,1,10,152,363,80,135,17,56,46,26,27,34,26,6,15,30
207,1,8,113,280,50,115,12,27,34,24,16,24,24,3,21,38
208,1,6,75,150,37,69,7,18,25,14,10,15,10,4,6,27
209,1,6,52,164,22,54,6,16,16,14,15,9,9,3,7,18
210,1,9,169,377,89,139,18,63,45,21,38,21,24,10,19,30
211,1,6,44,190,28,67,9,24,21,22,14,13,12,5,15,12
212,1,7,83,269,27,96,13,37,24,22,18,4,21,4,11,30
213,1,8,82,315,24,108,15,43,32,28,12,4,21,7,18,13
214,1,8,126,305,65,105,13,57,51,20,13,29,14,6,15,25
215,1,10,252,553,136,205,23,95,61,46,51,60,31,14,32,55
216,1,8,141,400,63,142,17,49,40,36,21,16,21,11,18,31
217,1,10,179,523,89,188,22,54,42,35,28,28,36,9,43,34
218,1,8,114,339,42,122,19,49,40,30,21,10,25,2,19,27
219,1,9,143,387,63,153,14,64,43,24,22,28,19,9,40,23
220,1,10,183,431,101,147,22,64,46,30,46,41,39,2,21,38
221,1,6,84,206,31,86,9,25,25,8,15,11,18,1,17,25
222,1,9,205,437,103,163,23,72,59,44,31,36,29,8,17,39
223,1,8,154,425,64,138,11,68,56,31,22,27,16,7,17,45
224,1,8,144,341,50,141,14,51,34,28,24,17,21,9,27,37
225,1,12,177,531,89,186,25,74,44,48,33,37,49,6,40,31
226,1,8,102,248,38,102,11,30,22,14,12,15,18,3,12,31
227,1,9,164,362,63,158,20,59,36,27,21,21,28,5,18,31
228,1,8,128,292,55,108,8,40,42,26,23,12,11,6,14,24
229,1,8,89,275,30,107,9,31,22,25,20,7,20,5,26,22
230,1,9,172,453,73,150,19,67,60,48,23,12,27,10,30,31
231,1,8,108,274,47,108,12,32,31,21,19,19,24,4,24,30
232,1,12,221,531,113,211,22,68,65,46,42,39,34,11,42,53
233,1,7,85,193,48,53,5,44,18,14,23,19,13,4,6,18
234,1,8,157,407,71,146,17,56,47,36,29,21,32,5,19,35
235,1,7,95,298,48,87,11,45,42,12,20,18,20,4,18,25
236,1,6,51,201,17,63,8,25,16,16,12,8,11,4,8,14
237,1,8,127,316,59,114,12,46,30,26,12,30,20,9,17,26
238,1,9,116,321,53,127,12,34,41,25,31,16,14,5,29,32
239,1,9,175,438,89,176,20,73,65,32,26,14,22,13,48,21
240,1,8,95,254,50,82,11,54,27,11,9,19,21,4,11,20
241,1,9,100,246,33,112,8,29,27,20,13,11,13,6,14,22
242,1,9,152,431,73,159,20,70,54,42,17,29,25,9,17,29
243,1,11,189,632,65,248,29,85,77,61,24,16,34,16,31,40
244,1,7,104,349,42,131,12,51,44,27,27,6,15,10,16,18
245,1,7,54,167,29,56,6,22,16,13,6,10,8,5,7,11
246,1,11,250,646,110,258,28,90,72,51,38,48,38,15,38,51
247,1,8,156,402,67,161,15,53,45,32,29,20,20,8,24,33
248,1,9,154,484,61,171,23,57,35,38,36,21,41,4,28,40
249,1,9,134,336,67,130,15,71,40,28,27,23,24,4,15,14
250,1,10,140,309,61,109,14,46,36,22,24,15,20,7,26,25
251,1,9,195,556,82,237,25,68,63,44,30,29,28,16,41,41
252,1,9,155,407,61,161,19,49,49,38,22,19,25,7,28,46
253,1,6,82,220,36,79,8,38,21,10,22,11,13,5,16,5
254,1,10,190,574,80,208,27,99,61,51,25,17,35,15,44,20
255,1,8,97,326,49,131,14,54,34,23,12,18,25,7,25,21
256,1,8,100,283,40,112,12,37,40,27,18,16,16,5,13,25
257,1,8,151,430,64,147,16,76,52,52,29,7,21,10,11,21
258,1,11,190,524,108,203,23,61,68,49,36,33,27,13,42,45
259,1,9,154,430,81,141,19,77,42,47,22,30,26,9,27,15
260,1,7,106,311,48,99,12,47,29,29,19,18,30,3,23,21
261,1,9,174,444,85,189,20,64,47,35,25,20,26,10,18,43
262,1,8,76,293,34,119,11,36,30,30,15,7,12,8,18,16
263,1,10,236,524,100,236,26,86,68,41,34,28,30,11,20,62
264,1,8,128,369,67,141,15,54,40,31,26,33,18,10,21,23
265,1,11,154,399,65,146,18,58,54,40,27,29,32,7,22,23
266,1,11,162,396,104,139,17,56,47,36,27,36,20,8,23,31
267,1,10,199,450,110,168,17,62,51,38,28,49,18,9,32,49
268,1,8,98,263,51,99,12,26,33,22,16,24,15,5,16,24
269,1,9,143,398,68,144,12,67,47,30,17,15,16,9,25,25
270,1,8,116,390,34,160,17,33,44,14,25,23,27,7,21,41
271,1,8,104,320,56,122,15,40,43,25,6,9,21,7,24,14
272,1,10,205,513,88,207,20,86,47,33,41,27,25,11,31,33
273,1,8,126,295,44,98,11,29,38,17,26,11,12,8,20,36
274,1,9,133,385,70,136,17,50,34,30,23,30,23,9,32,27
275,1,11,167,392,89,171,20,68,44,29,34,32,27,8,28,37
276,1,8,87,264,54,100,13,32,40,14,15,8,18,4,13,27
277,1,9,152,418,71,165,16,63,51,29,29,20,23,10,24,31
278,1,8,120,301,68,116,14,45,33,17,21,28,22,4,18,21
279,1,10,190,435,101,169,20,78,62,47,29,37,31,6,16,41
280,1,10,154,398,70,151,15,59,46,31,30,30,32,7,32,36
281,1,7,87,222,47,75,11,32,26,17,12,19,15,6,13,18
282,1,8,130,313,72,124,12,38,53,21,18,26,16,8,14,39
283,1,6,62,223,25,80,11,20,25,14,8,10,12,3,13,18
284,1,8,108,306,49,127,10,45,32,24,21,8,16,7,13,24
285,1,11,197,550,96,215,22,74,63,49,27,23,28,13,46,36
286,1,4,28,62,7,20,2,11,10,6,2,3,5,1,2,7
287,1,12,227,550,113,167,25,67,54,46,36,46,30,10,36,38
288,1,8,125,343,57,133,14,60,41,39,16,13,27,4,31,18
289,1,10,151,400,84,133,15,62,42,45,29,29,19,8,22,31
290,1,11,227,537,116,235,23,87,64,47,47,45,30,13,50,38
291,1,11,191,437,104,173,20,63,64,43,33,40,33,6,22,49
292,1,11,204,521,117,204,23,90,48,49,27,36,38,10,22,49
293,1,8,93,227,44,87,10,35,22,15,23,14,19,4,11,13
294,1,10,162,462,64,162,18,70,38,42,22,10,27,10,23,31
295,1,10,137,345,67,139,19,47,37,22,20,29,26,5,18,38
296,1,10,168,504,82,185,21,82,53,31,30,18,24,16,19,23
297,1,9,209,466,102,174,21,82,75,42,33,26,30,9,19,36
298,1,8,133,377,60,163,20,35,36,30,31,32,27,6,16,48
299,1,8,118,330,48,125,14,42,34,25,28,16,21,6,17,31
300,1,8,186,485,85,159,22,71,48,49,32,26,36,10,34,40
301,1,9,141,355,53,118,14,49,44,22,20,28,29,5,17,30
302,1,10,248,573,143,203,29,101,69,56,44,56,46,5,23,54
303,1,10,164,442,70,137,16,63,47,40,37,27,25,8,33,32
304,1,9,211,529,87,179,21,76,74,35,35,22,24,13,31,34
305,1,10,158,482,81,177,21,63,64,43,26,31,29,7,25,35
306,1,8,161,450,70,170,21,57,45,30,20,25,29,7,17,31
307,1,9,128,335,58,145,14,45,33,34,17,13,23,7,30,27
308,1,6,35,127,14,47,2,17,15,10,3,2,3,2,8,5
309,1,9,161,398,59,142,13,46,40,34,21,20,15,13,25,42
310,1,10,159,365,83,109,14,59,31,46,27,48,19,8,22,24
311,1,9,118,353,52,135,20,50,49,27,14,19,28,3,23,25
312,1,7,75,233,26,81,9,30,7,11,26,14,20,2,7,16
314,1,9,143,360,66,152,13,63,46,30,19,25,16,9,23,26
315,1,10,174,418,89,170,20,66,53,38,43,41,24,7,22,43
316,1,9,228,537,110,227,23,87,67,62,40,47,32,11,23,49
317,1,10,208,492,126,170,26,76,59,36,34,52,34,5,23,47
318,1,8,141,397,65,159,17,41,48,28,24,21,20,9,30,52
319,1,9,158,367,85,133,16,61,41,35,22,23,28,4,30,20
320,1,8,120,323,49,138,12,55,37,23,24,13,13,10,14,33
321,1,12,210,533,101,228,21,78,54,47,51,35,29,14,18,48
322,1,8,121,321,52,151,12,55,34,36,12,13,14,7,15,17
323,1,10,145,413,50,171,14,40,48,37,25,20,24,11,20,38
324,1,8,137,329,71,122,17,49,37,30,16,10,21,9,19,34
325,1,9,120,393,74,121,14,59,48,24,32,17,17,10,44,17
326,1,10,303,652,175,253,30,98,81,70,50,64,42,11,39,61
327,1,6,117,400,35,172,19,56,44,40,23,11,28,6,28,20
328,1,8,123,343,52,149,14,55,26,30,17,21,31,5,13,27
329,1,8,109,347,45,121,15,39,39,22,21,14,19,8,16,26
330,1,11,267,643,134,225,27,95,84,64,41,53,36,18,27,49
331,1,10,172,467,84,152,22,77,65,41,30,34,30,8,29,25
332,1,8,111,286,51,100,10,49,33,31,14,20,21,3,18,21
333,1,9,152,378,61,151,19,64,40,25,24,17,28,7,30,24
334,1,10,244,706,122,211,40,116,77,62,33,38,46,13,43,38
335,1,9,126,344,63,99,12,47,43,16,24,18,17,7,24,18
336,1,11,217,529,108,231,29,65,60,46,36,28,34,8,30,55
337,1,10,129,281,73,107,13,50,25,15,32,36,25,2,21,26
338,1,8,70,214,34,73,9,29,32,20,5,7,10,6,11,13
339,1,11,204,526,111,195,21,65,54,46,32,44,23,14,27,49
340,1,9,141,347,83,131,15,50,22,24,33,35,28,5,25,37
341,1,8,100,277,56,101,11,52,26,29,18,14,15,6,15,14
342,1,9,192,456,88,169,22,74,60,51,23,23,28,8,21,59
343,1,9,148,360,79,126,17,47,37,30,26,17,26,5,20,41
345,1,10,154,426,72,159,16,72,53,33,24,24,18,9,20,34
346,1,12,258,678,113,256,27,82,64,50,52,43,28,20,44,66
347,1,7,76,259,31,108,11,32,23,17,20,12,13,7,15,14
348,1,8,106,321,41,117,12,46,38,31,15,13,15,7,11,29
349,1,8,80,266,28,88,9,35,26,19,15,13,16,5,19,17
350,1,8,153,404,66,124,18,57,44,25,19,18,27,9,28,23
351,1,9,149,354,66,158,13,52,35,30,15,27,34,2,17,42
352,1,7,93,221,33,81,10,38,26,15,6,7,11,4,11,17
353,1,5,30,127,17,32,6,18,14,8,4,15,12,2,5,17
354,1,8,115,254,59,83,12,46,25,23,15,25,20,4,6,21
355,1,6,48,218,26,60,9,31,25,22,9,8,14,6,15,10
356,1,8,108,271,55,87,12,40,27,22,14,26,19,6,19,29
357,1,8,106,255,50,91,11,36,23,21,24,19,18,4,17,19
358,1,7,80,195,44,66,8,28,29,15,12,19,8,4,8,14
359,1,2,4,8,1,1,0,2,0,1,1,1,2,0,0,0
360,1,6,56,180,33,65,8,30,21,17,10,10,11,5,13,4
361,1,10,200,541,96,210,23,71,49,47,31,42,47,6,31,58
362,1,10,173,470,84,172,20,69,49,45,44,46,26,11,26,21
363,1,8,102,262,45,99,10,48,24,23,20,5,10,6,16,18
364,1,11,260,592,161,229,22,71,72,36,46,75,25,15,38,65
365,1,9,176,427,92,169,18,73,41,35,34,38,25,8,27,52
366,1,8,119,363,48,138,17,37,30,26,16,16,41,6,32,29
367,1,8,143,342,67,130,13,42,38,32,23,25,18,7,19,40
368,1,9,130,307,62,123,14,34,28,14,20,27,22,7,22,50
369,1,8,91,236,43,87,9,35,22,21,13,20,15,5,21,20
370,1,10,248,607,137,237,27,96,76,54,45,47,28,17,27,57
371,1,8,123,319,51,121,14,54,32,19,15,10,21,8,23,16
372,1,10,194,454,100,168,17,40,47,25,40,38,28,9,34,64
373,1,8,119,271,61,112,12,40,33,30,19,14,19,5,10,18
374,1,7,144,405,77,129,9,62,50,31,22,19,10,9,20,22
375,1,4,41,159,15,32,5,30,13,16,8,0,6,3,7,5
376,1,8,182,452,80,153,15,81,42,30,31,20,18,10,18,39
377,1,10,191,456,104,181,21,82,50,40,23,25,22,10,26,24
378,1,11,171,467,80,172,23,75,50,47,25,28,28,8,23,23
379,1,9,153,465,71,164,25,68,63,45,31,28,29,7,22,32
380,1,10,117,307,61,113,12,42,42,29,31,27,17,5,16,18
381,1,10,182,470,83,164,24,68,47,41,32,23,36,6,36,32
382,1,7,95,245,43,104,11,28,28,13,11,20,21,4,15,27
383,1,11,193,489,95,183,22,59,61,34,26,36,29,11,18,33
384,1,8,84,247,32,101,11,36,33,16,20,16,14,6,15,18
385,1,11,288,617,149,254,36,86,93,46,54,66,38,10,21,75
386,1,10,132,441,66,158,17,54,56,37,29,23,22,10,18,28
387,1,8,141,315,73,120,13,57,37,22,26,22,17,7,29,21
388,1,7,96,273,40,101,13,36,31,25,15,22,19,4,10,31
389,1,8,112,302,60,130,14,34,27,14,26,21,22,4,36,26
390,1,10,138,420,59,167,15,55,40,27,27,10,23,10,37,34
391,1,12,189,532,88,179,19,79,51,51,38,41,23,12,43,31
392,1,8,144,381,61,166,19,67,35,34,23,12,29,4,24,21
393,1,8,118,306,56,110,16,36,28,19,27,23,23,4,14,30
394,1,7,52,164,19,79,5,21,19,7,11,4,14,3,6,10
395,1,6,48,169,23,58,8,24,26,16,9,5,10,4,11,9
396,1,7,119,353,53,114,13,41,46,38,23,22,13,7,27,44
397,1,10,207,550,102,205,27,76,74,40,42,33,33,14,37,35
398,1,10,168,416,82,177,13,60,55,33,30,30,16,11,18,32
399,1,8,161,421,78,169,20,59,51,39,23,23,21,11,25,46
400,1,8,148,348,69,118,14,61,40,28,28,32,22,5,24,29
401,1,6,59,158,19,69,7,25,14,13,5,4,9,5,5,14
402,1,8,122,289,59,123,16,60,34,26,13,19,19,5,18,17
403,1,8,176,482,80,185,20,46,48,40,27,27,32,7,24,64
404,1,8,135,377,56,164,10,61,51,29,18,12,11,6,21,26
405,1,9,303,700,145,273,28,111,90,66,56,47,36,17,38,75
406,1,8,184,427,99,159,11,69,58,15,26,11,12,10,49,32
407,1,8,131,375,54,142,17,43,38,29,26,21,25,9,23,37
408,1,8,146,305,70,127,11,53,30,25,14,13,16,6,24,23
409,1,8,170,344,68,110,14,52,30,23,24,23,19,8,10,40
410,1,8,109,329,43,129,13,47,42,27,20,5,16,8,20,29
