id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4
9002,4,2,18,67,8,27,2,10,8
9003,4,2,70,178,41,58,8,35,15
9004,4,3,76,168,40,59,4,33,16
9005,4,3,39,120,16,39,5,28,16
9006,4,3,37,103,13,34,4,16,14
9007,4,2,52,137,28,41,6,24,16
9008,4,2,46,116,26,43,4,23,12
9009,4,2,38,95,17,37,5,26,11
9010,4,1,27,60,13,22,3,17,8
9011,4,2,42,141,14,64,6,23,16
9012,4,1,37,99,15,44,3,16,13
9013,4,1,21,55,3,20,2,15,7
9014,4,2,63,182,27,75,8,35,22
9015,4,1,27,93,9,35,3,17,13
9016,4,3,60,159,32,59,6,27,21
9017,4,2,29,92,11,36,6,17,9
9018,4,2,33,88,15,30,4,22,8
9019,4,3,69,180,38,51,9,27,19
9020,4,0,8,23,3,8,1,4,3
9021,4,2,33,92,20,36,5,21,10
9022,4,2,39,99,14,35,5,17,14
9023,4,1,19,52,8,13,2,9,5
9024,4,1,18,59,4,18,2,12,9
9025,4,1,9,27,3,9,1,6,2
9026,4,2,31,95,12,28,3,15,10
9027,4,3,93,231,45,92,10,37,26
9028,4,1,14,41,5,20,1,5,5
9029,4,2,60,154,28,55,3,31,21
9030,4,0,14,64,4,27,4,10,4
9031,4,1,32,84,10,28,3,21,8
9032,4,1,7,22,3,8,1,5,4
9033,4,1,47,131,21,43,4,30,15
9034,4,2,61,147,30,57,4,16,22
9035,4,3,92,230,36,93,10,37,30
9036,4,0,23,72,6,32,2,12,5
9037,4,3,56,131,30,45,6,22,13
9038,4,1,12,36,4,15,2,5,4
9039,4,2,46,134,16,46,8,32,14
9040,4,3,51,145,27,55,6,28,10
9041,4,0,15,49,7,22,1,9,3
9042,4,2,58,143,27,50,5,26,24
9043,4,2,26,101,13,49,4,24,8
9044,4,1,92,255,42,94,10,39,33
9045,4,0,24,58,6,22,3,11,5
9046,4,1,37,92,13,41,3,16,16
9047,4,1,14,35,6,16,2,5,3
9048,4,0,8,29,1,7,2,5,3
9049,4,2,39,97,14,30,5,11,10
9050,4,1,27,63,12,26,3,17,10
9051,4,2,50,119,26,41,4,25,12
9052,4,3,40,109,19,39,3,21,13
9053,4,2,31,84,13,27,5,12,11
9054,4,1,31,78,13,25,2,8,5
9055,4,1,28,88,7,44,5,10,12
9056,4,0,25,77,7,32,2,10,12
9057,4,2,32,84,14,36,2,13,14
9058,4,3,63,182,32,63,6,33,22
9059,4,0,18,39,5,18,2,7,5
9060,4,3,81,198,38,81,8,37,23
9061,4,3,81,208,28,85,9,35,20
9062,4,0,7,18,3,3,1,4,3
9063,4,1,11,34,7,10,2,5,4
9064,4,1,31,120,11,50,2,16,10
9065,4,1,13,46,3,18,1,7,7
9066,4,1,46,116,15,57,5,16,11
9067,4,1,27,63,14,26,4,13,10
9068,4,1,16,51,7,12,2,9,6
9069,4,3,60,158,29,53,7,22,20
9070,4,1,13,44,7,24,2,5,5
9071,4,2,40,96,18,32,5,19,12
9072,4,0,19,63,5,15,2,7,11
9073,4,1,23,81,3,38,4,9,9
9074,4,3,73,190,33,76,7,37,24
9075,4,3,51,141,33,45,6,28,17
9076,4,0,8,18,2,4,1,4,2
9077,4,1,21,55,10,22,3,13,8
9078,4,1,19,52,4,27,1,7,6
9079,4,2,53,166,24,66,7,34,12
9080,4,1,25,52,10,19,3,10,8
9081,4,2,23,66,9,25,3,14,5
9082,4,2,43,119,13,45,6,17,13
9083,4,2,48,118,26,39,7,21,14
9084,4,2,53,160,13,62,7,31,16
9085,4,2,59,144,25,56,5,31,15
9086,4,1,2,10,0,4,0,1,1
9087,4,1,22,68,7,27,3,9,4
9088,4,2,44,105,18,36,2,23,11
9089,4,2,51,158,25,49,5,26,29
9090,4,1,15,59,2,21,2,13,4
9091,4,2,35,114,17,49,4,23,11
9092,4,0,8,23,3,9,1,6,2
9093,4,1,28,86,14,38,3,20,14
9094,4,1,10,27,2,10,1,5,5
9095,4,2,35,111,20,38,3,22,9
9096,4,2,48,122,19,45,5,22,19
9097,4,1,22,58,5,24,2,10,6
9098,4,3,59,148,29,54,8,29,18
9099,4,1,11,54,3,20,3,5,1
9100,4,1,26,85,8,23,4,15,8
9101,4,1,15,32,7,13,1,8,5
9102,4,1,16,48,8,20,3,13,4
9103,4,2,44,102,23,38,3,18,14
9104,4,2,53,133,23,52,7,27,15
9105,4,1,26,82,9,41,4,14,11
9106,4,3,45,150,17,69,4,21,17
9107,4,1,19,49,13,23,2,11,7
9108,4,0,7,17,4,6,1,3,2
9109,4,0,24,60,11,27,2,15,8
9110,4,2,62,134,36,41,5,25,19
9111,4,2,22,92,9,28,4,13,13
9112,4,2,48,123,26,41,5,15,19
9113,4,1,31,81,10,33,3,12,6
9114,4,3,69,199,40,78,9,31,34
9115,4,2,41,120,17,42,6,24,7
9116,4,2,43,119,24,37,4,21,19
9117,4,2,33,109,17,35,5,23,17
9118,4,2,45,135,24,62,5,20,14
9119,4,1,23,57,9,19,3,8,7
9121,4,2,42,107,19,40,2,25,9
9122,4,2,57,146,29,55,5,36,20
9123,4,1,25,70,12,32,4,14,4
9124,4,0,19,65,5,27,1,7,8
9125,4,0,30,77,18,29,3,16,5
9126,4,1,16,41,10,12,2,9,8
9127,4,2,37,121,20,44,5,21,12
9128,4,1,46,122,16,49,4,22,13
9129,4,1,8,30,3,12,1,6,3
9130,4,0,14,36,8,13,2,6,6
9131,4,1,28,92,9,40,3,14,14
9132,4,3,79,217,34,91,9,32,18
9133,4,2,76,202,38,75,7,31,28
9134,4,3,74,186,35,71,9,37,23
9135,4,2,46,122,17,57,5,25,10
9136,4,1,25,64,10,20,2,14,10
9137,4,0,7,17,3,5,1,5,3
9138,4,3,53,130,20,48,5,29,17
9139,4,1,22,65,11,27,2,10,9
9140,4,0,39,100,16,36,4,18,13
9141,4,1,20,80,4,35,1,12,6
9142,4,1,21,55,7,14,3,12,7
9143,4,1,16,44,6,17,2,10,4
9144,4,1,31,81,12,30,3,16,9
9145,4,2,46,120,19,54,4,21,12
9146,4,1,34,105,10,32,4,18,11
9147,4,2,34,133,12,37,5,19,14
9148,4,1,13,38,7,15,2,9,6
9149,4,2,54,166,25,52,5,30,19
9150,4,1,19,58,10,25,3,9,4
9151,4,1,23,61,10,18,2,16,10
9152,4,2,41,117,17,42,6,15,17
9153,4,2,42,131,13,51,7,24,12
9154,4,1,24,65,7,26,3,11,8
9155,4,0,17,38,5,15,2,9,5
9156,4,2,20,62,10,23,4,7,8
9157,4,1,11,35,2,8,1,7,3
9158,4,3,86,219,47,66,7,38,27
9159,4,0,29,74,8,31,4,13,6
9160,4,0,28,72,9,28,2,17,6
9161,4,3,48,126,26,45,4,27,15
9162,4,1,21,50,12,22,2,11,5
9163,4,2,63,168,42,62,7,16,21
9164,4,3,62,166,24,62,5,36,16
9165,4,2,39,106,14,42,4,21,12
9166,4,2,42,115,20,42,6,19,12
9167,4,3,71,191,29,62,7,38,23
9168,4,2,34,94,16,36,5,15,19
9169,4,0,22,43,9,15,1,12,3
9170,4,3,85,251,46,81,11,39,23
9171,4,2,51,150,24,59,5,33,12
9172,4,1,17,46,4,11,3,11,4
9173,4,0,5,12,0,8,1,3,0
9174,4,1,26,77,11,35,3,16,13
9175,4,3,63,165,34,52,9,29,21
9176,4,1,12,43,4,15,1,6,2
9177,4,1,23,69,11,27,2,14,14
9178,4,2,32,72,19,28,3,21,8
9179,4,0,12,54,0,19,1,11,5
9180,4,1,29,82,11,32,4,14,9
9181,4,0,33,80,13,31,3,11,12
9182,4,2,31,88,13,34,4,15,13
9183,4,1,11,46,5,13,1,5,8
9184,4,1,27,73,11,34,2,19,8
9185,4,1,18,64,5,27,3,7,11
9186,4,1,28,62,9,25,1,7,3
9187,4,2,27,68,13,24,2,12,6
9188,4,3,65,174,24,71,6,25,16
9189,4,1,15,34,4,16,1,10,4
9190,4,3,58,169,29,52,6,21,20
9191,4,1,31,89,11,35,4,16,10
9192,4,1,21,56,10,24,2,9,10
9193,4,2,16,61,9,26,2,8,8
9194,4,1,17,64,7,26,4,7,6
9195,4,1,44,128,21,40,4,24,20
9196,4,1,26,68,12,30,3,14,5
9197,4,1,35,100,10,44,3,17,14
9198,4,2,80,266,36,99,8,46,22
9199,4,3,60,160,33,47,6,22,31
9200,4,1,36,93,5,40,5,20,10
9201,4,1,30,95,12,32,5,12,9
9202,4,0,22,67,7,28,3,13,8
9203,4,0,13,41,6,14,1,6,3
9204,4,2,32,109,11,45,3,15,9
9205,4,1,30,113,15,33,4,16,21
9206,4,1,16,44,7,18,2,10,4
9207,4,0,8,33,2,9,1,4,3
9208,4,2,53,127,24,51,4,21,17
9209,4,1,8,27,5,8,1,4,3
9210,4,1,17,47,5,15,2,6,5
9211,4,2,61,144,27,57,5,35,14
9212,4,2,38,132,17,47,5,26,15
9213,4,1,12,33,7,9,1,6,4
9214,4,1,47,124,20,40,3,18,15
9215,4,2,44,119,21,41,5,17,11
9216,4,1,26,72,10,29,4,11,11
9217,4,3,68,154,36,71,9,28,16
9218,4,1,12,41,4,17,2,5,3
9219,4,2,54,142,24,55,5,21,11
9220,4,3,63,157,27,58,7,21,16
9221,4,1,12,43,4,18,2,6,4
9222,4,2,92,246,43,83,10,40,18
9223,4,2,71,176,32,58,7,40,24
9224,4,2,32,91,15,33,5,16,9
9225,4,1,23,50,11,19,2,10,7
9226,4,0,8,27,1,12,1,4,3
9227,4,2,34,97,16,37,4,18,12
9228,4,2,30,95,17,28,5,17,10
9229,4,2,47,114,17,48,4,19,19
9230,4,2,31,94,15,36,3,13,10
9231,4,1,15,36,3,18,1,8,5
9232,4,1,30,90,11,31,5,14,14
9233,4,1,22,58,12,29,2,15,4
9234,4,0,15,39,7,19,2,6,4
9235,4,1,40,98,20,41,5,15,15
9236,4,2,54,125,25,48,7,27,12
9237,4,2,40,116,22,39,6,20,14
9238,4,2,31,100,21,25,3,20,15
9239,4,2,25,61,16,21,2,11,5
9240,4,1,22,76,10,34,4,12,11
9241,4,1,17,38,9,17,2,7,4
9242,4,1,22,68,8,28,4,11,10
9243,4,2,41,156,17,45,4,15,17
9244,4,1,42,108,11,43,2,22,8
9245,4,1,13,38,4,19,1,7,3
9246,4,0,13,38,1,16,2,3,4
9247,4,3,66,153,30,53,6,24,14
9248,4,2,49,126,18,46,5,27,11
9249,4,2,53,122,20,58,5,21,14
9250,4,1,17,46,6,22,2,9,3
9251,4,2,56,138,25,52,7,30,17
9252,4,1,11,48,6,15,2,13,5
9253,4,1,21,49,10,21,2,11,6
9254,4,3,52,140,31,47,7,27,12
9255,4,3,68,209,28,89,7,37,25
9256,4,2,38,90,17,27,4,15,7
9257,4,3,64,183,32,77,11,37,12
9258,4,3,61,147,21,60,6,29,10
9259,4,2,30,77,13,28,4,12,5
9260,4,3,65,186,26,79,8,33,19
9261,4,1,11,30,6,10,1,5,5
9262,4,0,14,44,4,21,2,5,4
9263,4,3,63,168,26,62,8,30,19
9264,4,3,59,153,31,56,6,31,20
9265,4,1,20,68,6,25,2,15,4
9266,4,1,9,18,3,5,0,4,1
9267,4,1,37,101,20,31,3,22,14
9268,4,0,11,28,5,10,1,4,3
9269,4,2,44,94,24,31,5,27,17
9270,4,1,9,39,6,13,1,4,5
9271,4,1,26,80,12,36,3,16,9
9272,4,0,7,17,3,7,1,2,2
9273,4,0,37,94,11,35,4,17,9
9274,4,2,26,90,6,31,1,9,14
9275,4,1,7,37,3,20,1,6,5
9276,4,1,43,99,15,42,3,18,10
9277,4,2,56,157,22,56,6,26,23
9278,4,2,22,66,12,20,4,14,9
9279,4,1,86,237,28,100,10,47,20
9280,4,1,26,66,7,28,4,10,7
9281,4,2,50,124,17,55,6,24,12
9282,4,2,42,125,13,49,4,20,14
9283,4,1,30,68,12,27,3,15,5
9284,4,1,14,33,6,10,1,5,1
9285,4,2,35,84,20,26,4,18,6
9286,4,0,16,42,8,13,2,7,5
9287,4,2,47,117,21,45,5,25,12
9288,4,3,71,165,31,59,6,33,23
9289,4,0,11,36,5,12,1,5,3
9290,4,2,30,88,14,34,4,18,11
9291,4,2,53,136,24,47,5,27,23
9292,4,3,82,198,38,60,7,41,25
9293,4,0,73,163,25,54,7,35,22
9294,4,1,26,78,13,30,4,15,9
9295,4,2,21,103,5,26,3,20,14
9296,4,1,17,46,7,24,1,9,6
9297,4,1,25,78,11,30,4,16,9
9298,4,2,25,75,12,27,4,15,6
9299,4,1,9,37,1,14,2,6,5
9300,4,1,24,69,8,26,3,13,5
9301,4,3,87,218,49,77,9,43,25
9302,4,1,70,183,25,82,8,31,23
9303,4,1,5,17,2,7,1,4,0
9304,4,3,31,115,9,49,6,20,13
9305,4,0,38,102,15,47,5,21,8
9306,4,2,35,97,13,39,4,16,8
9307,4,2,42,121,24,46,6,28,12
9308,4,0,21,51,9,21,3,7,9
9309,4,2,24,86,10,32,4,17,11
9310,4,1,33,83,14,36,4,19,13
9311,4,0,10,43,4,14,2,10,8
9312,4,2,60,184,28,61,7,28,22
9313,4,0,24,51,10,22,3,9,6
9314,4,0,7,25,4,9,2,7,2
9315,4,2,49,134,23,46,6,19,11
9316,4,3,58,156,30,69,5,30,14
9317,4,2,49,123,30,39,5,29,21
9318,4,0,11,30,4,10,1,10,3
9319,4,3,75,185,39,70,6,28,14
9320,4,1,21,77,11,27,4,10,11
9321,4,1,20,65,6,27,3,15,8
9322,4,0,13,37,5,13,2,5,2
9323,4,1,12,31,5,14,1,5,3
9324,4,0,10,25,7,10,1,3,5
9325,4,3,80,206,32,63,8,46,18
9326,4,1,30,72,14,23,3,12,8
9327,4,3,77,192,43,67,7,36,20
9328,4,0,16,35,7,17,2,8,5
9329,4,3,56,160,14,63,7,20,21
9330,4,2,58,143,35,42,7,31,29
9331,4,2,54,133,28,46,6,28,11
9332,4,2,31,100,12,34,4,19,18
9333,4,0,11,25,2,9,1,5,3
9334,4,1,10,26,3,14,1,5,2
9335,4,1,29,77,14,21,4,17,10
9336,4,2,40,100,16,35,4,19,18
9337,4,1,15,39,6,8,2,10,3
9338,4,1,9,32,6,16,1,5,4
9339,4,1,32,92,14,35,5,19,11
9340,4,2,34,74,15,32,1,18,5
9341,4,3,57,149,31,57,6,26,20
9342,4,2,45,101,20,32,3,21,12
9343,4,1,22,52,8,20,3,8,5
9344,4,0,39,110,11,43,5,15,10
9345,4,0,12,33,2,15,1,4,5
9346,4,3,61,172,22,65,9,29,16
9347,4,2,46,113,23,35,7,26,14
9348,4,1,28,81,9,28,5,15,11
9349,4,0,35,101,17,43,3,16,8
9350,4,1,19,53,9,28,3,11,7
9351,4,0,16,47,3,15,2,8,8
9352,4,2,34,101,17,41,4,18,13
9353,4,2,30,82,14,30,2,16,9
9354,4,2,63,132,26,49,6,17,16
9355,4,1,20,56,10,20,2,10,11
9356,4,1,16,68,5,22,2,11,9
9357,4,2,43,133,14,54,5,24,14
9358,4,0,22,59,12,24,1,11,3
9359,4,0,11,35,2,16,1,9,4
9360,4,1,16,58,6,23,3,5,6
9361,4,2,35,111,16,35,3,21,12
9362,4,3,52,130,27,42,6,28,14
9363,4,2,25,74,12,35,3,11,5
9364,4,2,39,95,23,30,3,23,6
9365,4,3,42,100,22,33,6,18,13
9366,4,2,31,86,17,32,4,22,11
9367,4,3,46,129,24,47,4,27,12
9368,4,1,36,99,17,38,3,19,13
9369,4,1,14,50,7,19,2,10,8
9370,4,0,27,65,10,27,2,11,7
9371,4,2,22,90,5,40,4,19,11
9372,4,1,17,56,5,21,4,8,9
9373,4,1,12,29,6,13,1,9,2
9374,4,1,32,74,8,30,5,14,7
9375,4,2,35,126,14,50,6,23,16
9376,4,2,27,71,9,24,3,7,8
9377,4,1,10,39,3,14,2,5,5
9378,4,1,25,69,9,26,4,11,10
9379,4,2,23,78,6,31,4,11,7
9380,4,2,41,121,21,58,7,17,13
9381,4,0,32,89,11,35,2,17,13
9382,4,2,38,87,18,35,3,14,9
9383,4,1,38,93,16,38,4,21,14
9384,4,1,32,100,6,42,6,15,10
9385,4,1,24,64,8,21,2,12,7
9386,4,2,39,131,17,56,8,17,11
9387,4,2,55,161,25,69,7,34,14
9388,4,1,36,77,11,28,3,10,8
9389,4,3,77,205,38,84,7,29,19
9390,4,1,18,58,8,19,3,12,5
9391,4,2,50,152,24,58,5,37,19
9392,4,2,40,125,16,57,5,24,14
9393,4,0,21,52,6,23,1,11,8
9394,4,1,18,50,4,22,3,8,6
9395,4,1,17,53,7,21,2,9,9
9396,4,0,13,39,4,16,1,7,3
9397,4,2,27,77,13,30,3,14,13
9398,4,1,42,108,24,46,6,16,21
9399,4,2,35,74,19,25,4,11,8
9400,4,1,12,29,5,15,2,4,3
9401,4,3,66,193,37,68,12,30,21
9402,4,3,52,121,23,48,6,25,10
9403,4,2,47,113,19,48,3,22,14
9404,4,0,12,43,5,15,2,7,5
9405,4,2,43,111,24,36,6,13,11
9406,4,0,34,93,14,33,5,20,10
9407,4,2,56,170,26,74,5,28,27
9408,4,0,26,56,12,18,2,9,9
9409,4,1,32,85,11,29,2,15,10
9410,4,1,20,65,9,27,3,11,9
9411,4,0,19,35,14,10,1,11,3
9412,4,1,16,34,3,16,1,7,5
9413,4,0,11,16,4,9,0,2,3
9414,4,0,16,64,4,24,2,10,11
9415,4,0,13,35,5,10,2,8,4
9416,4,3,49,141,19,45,6,27,15
9417,4,1,27,88,8,30,3,14,10
9418,4,1,36,97,14,40,2,27,12
9419,4,2,32,101,15,44,4,17,7
9420,4,3,54,139,24,51,6,25,20
9421,4,1,33,110,10,45,2,17,12
9422,4,3,55,151,27,69,7,30,17
9423,4,3,102,231,43,84,7,36,40
9424,4,0,17,72,3,32,4,12,8
9425,4,2,55,145,31,49,4,25,13
9426,4,2,48,125,20,43,4,26,20
9427,4,1,24,64,11,28,3,12,7
9428,4,2,55,149,25,49,4,23,20
9429,4,2,29,93,12,33,3,16,9
9430,4,3,70,156,26,61,7,30,17
9431,4,1,23,89,11,29,4,18,13
9432,4,2,24,99,7,33,4,13,13
9434,4,0,19,48,3,24,2,5,7
9435,4,1,8,23,3,11,1,6,4
9436,4,2,48,130,24,50,5,22,16
9437,4,1,20,58,5,27,2,10,4
9438,4,3,62,162,20,63,6,27,18
9439,4,2,40,132,19,40,2,21,16
9440,4,1,36,95,14,38,3,16,8
9441,4,3,67,170,34,59,8,28,19
9442,4,3,114,287,49,120,13,50,32
9443,4,1,31,79,11,44,2,16,6
9444,4,2,28,84,12,28,5,16,10
9445,4,1,21,63,8,22,3,18,8
9446,4,1,17,37,10,18,2,12,6
9447,4,0,8,34,2,19,1,4,5
9448,4,2,28,88,9,44,4,9,4
9449,4,2,46,136,25,43,8,20,13
9450,4,1,13,44,6,16,3,10,2
9451,4,1,17,45,6,22,2,5,6
9452,4,2,30,69,13,27,3,11,10
9453,4,2,29,90,15,40,4,17,14
9454,4,0,18,59,8,27,2,11,5
9455,4,0,11,28,4,8,1,5,2
9456,4,0,12,29,6,18,1,8,5
9457,4,3,44,124,21,54,6,27,14
9458,4,2,22,75,7,31,4,14,7
9459,4,2,40,114,16,44,4,23,13
9460,4,2,67,192,35,65,8,35,17
9461,4,1,27,107,15,41,4,16,12
9462,4,3,59,181,28,75,9,30,17
9463,4,1,18,43,4,14,3,7,9
9464,4,0,9,32,4,12,2,6,4
9465,4,1,61,137,29,49,7,32,14
9466,4,1,79,193,36,57,9,31,20
9467,4,2,38,101,20,36,5,21,14
9468,4,1,25,67,10,28,3,15,7
9469,4,1,26,77,15,32,3,10,4
9470,4,2,38,102,19,36,5,18,8
9471,4,0,12,30,6,14,1,2,2
9472,4,1,30,92,17,33,3,19,9
9473,4,3,55,126,29,46,4,26,16
9474,4,1,23,65,9,29,2,13,3
9475,4,0,24,61,10,22,2,9,10
9476,4,2,75,236,37,84,9,39,24
9477,4,1,30,67,12,26,2,16,13
9478,4,2,39,117,16,39,5,20,8
9479,4,1,20,59,9,21,3,13,4
9480,4,1,18,45,8,23,1,4,4
9481,4,1,21,63,7,27,1,9,10
9482,4,2,89,198,38,82,7,46,20
9483,4,2,57,140,33,52,4,29,18
9484,4,2,26,61,7,18,3,9,8
9485,4,3,52,138,21,48,7,25,13
9486,4,0,4,6,1,3,0,1,0
9487,4,2,48,133,23,51,5,23,13
9488,4,0,14,39,6,16,1,7,4
9489,4,2,53,152,27,55,8,21,17
9490,4,0,12,25,4,12,1,7,6
9491,4,1,15,44,6,14,3,10,5
9492,4,0,33,105,10,39,1,17,12
9493,4,2,46,124,24,49,7,26,17
9494,4,2,37,89,17,31,5,14,11
9495,4,1,11,28,5,8,1,4,4
9496,4,0,21,71,4,26,2,2,4
9497,4,2,31,92,9,37,4,13,10
9498,4,0,19,45,7,20,1,7,1
9499,4,0,11,25,5,13,2,6,4
9500,4,2,48,116,26,37,5,24,15
9501,4,2,38,111,21,35,5,25,12
9502,4,1,30,71,14,29,4,15,8
9503,4,2,40,80,28,25,4,22,9
9504,4,2,35,86,16,36,4,12,6
9505,4,2,29,130,14,33,6,20,13
9506,4,2,31,86,16,21,4,13,9
9507,4,2,34,134,12,38,5,17,15
9508,4,2,56,140,17,54,7,22,11
9509,4,0,25,78,6,28,5,8,10
9510,4,1,30,100,16,32,5,16,10
9511,4,1,16,34,8,13,2,7,4
9512,4,0,29,82,9,35,3,12,11
9513,4,3,84,215,45,88,9,34,22
9514,4,1,36,80,15,27,3,18,4
9515,4,3,84,205,51,66,12,50,23
9516,4,1,20,73,10,34,4,11,7
9517,4,1,18,50,6,20,2,9,4
9518,4,0,23,76,9,26,2,12,7
9519,4,1,26,73,11,30,3,11,6
9520,4,1,25,56,11,20,4,10,6
9521,4,2,26,71,18,25,2,10,10
9522,4,2,33,93,15,32,5,13,13
9523,4,3,39,107,20,27,5,24,16
9524,4,1,21,53,9,18,2,7,8
9525,4,3,61,150,31,54,7,26,19
9526,4,2,21,47,9,15,3,8,5
