id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27
68,1,9,154,390,76,152,19,49,38,34,21,27,34,4,32,43,18,14,7,4,17,10,20,22,1
69,1,7,74,241,31,97,12,29,33,15,11,10,19,5,15,22,9,11,2,3,7,7,6,16,0
70,1,12,192,422,107,147,19,72,49,40,35,45,26,10,25,27,10,17,3,15,12,5,36,23,1
71,1,10,176,443,65,179,17,53,64,40,11,24,21,9,19,54,14,21,12,3,8,6,23,30,3
72,1,10,245,527,150,203,24,57,68,32,48,64,26,15,25,64,30,16,18,10,14,18,25,24,6
73,1,8,151,386,67,107,15,55,54,47,37,22,21,10,33,16,12,7,5,5,17,9,45,18,6
74,1,7,112,297,38,146,14,38,31,19,15,16,26,3,28,37,9,7,2,0,9,7,7,22,2
75,1,8,153,348,78,132,18,56,42,32,30,29,22,6,13,37,15,8,12,5,8,12,7,6,4
76,1,8,138,298,66,99,12,53,28,25,22,22,17,7,24,18,12,9,3,13,12,7,41,17,11
77,1,10,191,522,102,206,24,75,48,33,37,56,46,4,34,55,13,17,16,18,12,3,40,45,12
78,1,10,160,420,76,169,19,88,46,26,25,15,24,8,32,25,14,14,1,2,13,13,26,30,3
79,1,10,128,381,61,117,14,57,58,34,21,21,19,8,17,37,18,15,6,1,7,8,12,26,17
80,1,8,167,408,89,137,19,47,43,28,35,20,21,12,31,48,21,12,6,5,5,21,46,17,5
81,1,8,120,363,58,148,14,59,39,30,31,13,18,12,12,18,16,14,0,3,12,13,25,30,3
82,1,8,118,281,77,101,14,44,34,24,15,27,23,3,15,27,7,7,0,10,7,4,16,23,3
83,1,7,66,208,34,73,9,32,13,22,13,12,10,6,12,6,14,7,4,5,8,5,11,23,1
84,1,6,57,202,17,76,9,22,17,13,7,4,12,4,8,11,7,5,0,0,5,2,15,39,1
85,1,10,208,543,102,204,26,67,64,57,39,28,29,12,40,37,18,11,2,4,17,17,29,49,7
86,1,8,195,419,102,154,20,68,52,36,45,52,28,7,17,68,12,16,9,20,9,8,23,9,3
87,1,10,164,414,65,140,21,50,51,25,40,29,35,4,36,29,24,2,4,11,20,10,38,38,16
88,1,9,139,441,59,159,14,54,46,41,24,12,17,11,43,21,19,21,7,5,13,16,17,38,2
89,1,6,83,232,44,75,3,37,28,32,7,4,30,0,6,24,1,2,2,0,16,4,9,20,0
90,1,7,75,229,42,77,8,39,25,28,15,13,10,5,10,18,13,4,1,2,11,1,10,13,1
91,1,8,86,232,41,92,10,28,24,19,11,10,16,6,20,30,11,4,3,2,5,4,16,18,0
92,1,11,224,651,105,235,23,94,72,48,46,40,47,12,27,44,19,27,7,6,16,10,45,76,17
93,1,11,250,537,144,207,22,105,75,57,40,54,24,16,26,49,20,20,8,20,16,12,37,14,4
94,1,8,96,313,44,136,11,46,34,28,16,18,23,5,17,19,13,13,4,9,12,7,10,34,1
95,1,10,159,462,72,169,20,47,55,36,30,22,28,8,36,34,13,17,4,1,8,2,37,55,6
96,1,7,89,230,50,91,10,39,29,27,14,18,16,4,11,23,7,3,0,4,10,9,16,12,4
97,1,8,125,294,62,116,15,50,40,30,16,22,22,5,15,23,7,10,9,8,10,8,30,12,2
98,1,11,166,411,79,166,17,63,51,28,27,29,35,6,30,37,14,14,19,4,17,12,36,12,5
99,1,8,121,347,57,136,17,47,37,30,23,15,19,9,13,27,14,12,7,2,11,7,45,22,11
100,1,7,67,235,33,68,11,31,25,19,25,5,11,9,3,18,4,4,2,0,4,8,22,22,5
101,1,10,184,466,83,189,22,72,50,37,27,28,35,11,38,39,26,8,8,5,9,17,21,34,6
102,1,8,129,330,53,122,16,43,46,37,15,10,27,4,16,26,8,12,2,2,14,14,6,22,1
103,1,9,140,392,67,143,12,50,42,34,26,20,15,9,22,20,23,19,6,3,12,4,24,36,4
104,1,10,146,401,81,157,13,52,43,30,24,27,19,10,26,33,16,21,2,9,12,8,22,33,1
105,1,9,170,537,63,216,24,90,42,41,29,16,33,15,34,22,34,20,12,2,7,7,35,47,5
106,1,11,150,361,92,125,20,51,39,28,24,37,31,2,21,29,12,13,6,7,10,11,15,24,3
107,1,10,255,631,136,254,33,99,77,52,42,53,49,9,28,65,19,13,3,16,24,11,25,58,6
108,1,8,111,366,48,136,13,41,45,19,21,23,20,9,33,46,12,16,3,7,5,3,26,31,7
109,1,8,103,348,43,140,16,40,33,30,22,6,25,4,23,30,20,13,3,2,16,1,7,40,2
110,1,6,77,236,36,95,9,38,21,17,22,16,12,7,15,23,16,8,0,6,4,2,6,15,0
111,1,11,237,549,123,189,21,71,66,38,45,61,26,8,35,52,18,34,13,16,16,11,44,15,7
112,1,9,149,409,75,147,18,59,41,26,20,29,29,8,18,38,18,20,6,8,8,10,28,37,5
113,1,8,131,328,53,143,14,51,27,25,18,11,29,4,24,29,15,3,3,3,7,12,26,21,7
114,1,8,171,407,81,165,21,61,50,28,22,37,25,7,27,33,21,11,6,11,20,11,18,35,2
115,1,9,158,508,49,173,19,62,45,39,34,11,25,13,47,16,25,20,4,3,12,15,50,54,16
116,1,4,24,53,11,20,2,8,5,2,4,6,5,1,3,7,5,1,0,1,1,6,0,2,0
117,1,8,124,319,50,134,17,31,28,15,28,21,25,2,24,31,15,15,0,3,3,7,14,28,3
118,1,12,218,433,96,143,22,70,52,32,39,44,29,11,27,46,20,16,2,11,16,5,50,15,3
119,1,10,168,485,60,172,20,71,52,43,31,18,32,8,24,22,17,23,2,3,23,19,29,46,2
120,1,8,123,374,62,140,15,45,38,17,25,16,22,8,22,29,22,21,0,4,14,4,20,50,8
121,1,8,123,368,29,136,12,62,22,28,27,6,15,9,20,14,20,7,1,1,12,3,65,39,4
122,1,9,216,533,99,196,25,85,62,57,32,28,27,13,39,50,30,15,22,8,8,8,20,8,8
123,1,10,148,411,76,144,21,58,44,34,21,35,30,4,23,36,15,20,9,8,14,7,14,38,7
124,1,7,83,273,41,88,9,36,41,23,15,7,10,9,12,14,16,17,2,0,5,4,12,24,1
125,1,5,60,176,27,45,1,20,14,13,11,11,1,1,10,12,9,6,0,3,4,6,6,25,5
126,1,8,94,280,45,93,8,33,31,22,16,24,11,7,17,28,13,4,3,3,8,5,16,27,1
127,1,9,153,402,73,150,21,62,43,27,24,29,23,9,23,32,32,12,2,6,12,11,4,33,0
128,1,9,150,406,82,156,20,64,35,31,22,21,31,6,34,29,33,12,3,5,12,14,9,34,1
129,1,10,120,416,51,160,21,50,38,32,13,15,26,7,38,32,26,15,1,2,7,4,24,40,3
130,1,10,260,587,152,211,30,88,63,60,52,42,40,10,23,60,46,28,4,10,29,15,19,30,4
131,1,10,174,420,79,160,21,59,52,33,32,18,25,12,23,43,11,11,12,5,7,11,29,17,9
132,1,11,201,425,111,157,18,63,53,24,38,58,19,11,26,45,17,13,6,15,10,5,45,23,3
133,1,10,171,507,73,207,25,74,59,39,50,15,44,5,32,33,15,17,0,0,14,11,34,48,2
134,1,10,143,400,80,152,15,57,52,31,28,26,25,7,24,29,11,15,1,12,11,9,21,36,6
135,1,7,93,261,43,103,10,34,24,11,14,15,12,5,15,27,16,4,1,7,12,4,21,40,1
136,1,9,181,543,70,198,24,77,50,43,19,18,40,11,48,44,17,11,8,6,31,15,47,47,13
137,1,7,89,243,31,109,7,50,37,29,14,7,8,6,6,19,9,6,4,3,6,6,8,11,1
138,1,10,174,401,75,180,16,61,59,33,23,25,25,8,21,50,14,15,7,6,3,10,24,22,2
139,1,7,63,180,29,56,8,31,25,16,5,5,13,4,13,10,6,6,0,1,9,4,5,13,0
140,1,9,150,360,75,144,17,37,28,20,31,23,31,3,20,33,16,27,3,7,8,7,30,31,2
141,1,10,207,575,101,201,25,73,61,28,33,43,29,14,41,46,35,22,4,7,7,18,41,60,14
142,1,10,170,381,95,127,19,66,51,32,24,43,27,8,25,19,17,8,7,13,16,18,17,23,2
143,1,7,94,303,39,115,12,46,28,18,18,15,19,5,21,23,15,12,2,4,2,5,29,30,4
144,1,9,141,441,72,154,20,66,50,40,24,28,31,8,20,33,10,28,5,8,16,13,17,31,2
145,1,10,178,361,114,132,17,57,40,25,26,56,19,6,23,38,17,18,11,14,4,10,28,18,3
146,1,6,66,185,15,67,3,25,26,13,12,9,4,3,10,10,18,5,3,1,1,6,32,16,8
147,1,12,254,595,133,244,26,101,69,56,45,38,39,10,34,47,23,24,12,15,26,18,32,19,6
148,1,9,114,306,55,102,14,42,38,21,19,11,19,5,21,33,16,1,3,1,12,4,20,28,4
149,1,8,150,436,68,165,18,67,65,33,36,20,21,9,10,35,13,22,1,2,9,9,36,29,0
150,1,8,104,303,45,112,15,54,32,32,15,8,25,3,16,34,10,6,0,2,2,2,26,29,0
151,1,8,82,245,32,97,7,29,24,25,9,7,8,7,13,23,15,10,1,1,1,3,9,17,3
152,1,6,95,172,33,84,9,18,26,14,18,9,12,4,4,31,2,2,1,0,7,3,7,11,0
153,1,9,175,489,66,173,21,69,59,42,24,6,28,11,45,23,24,20,3,3,6,13,25,42,9
154,1,12,176,423,99,164,20,69,45,32,28,28,33,7,32,32,18,11,1,6,17,8,21,41,10
155,1,10,167,437,88,149,18,63,45,44,34,23,26,10,27,43,14,9,8,4,15,8,23,22,4
156,1,8,115,333,48,125,18,48,40,26,26,18,30,1,25,15,12,8,1,3,18,3,18,36,2
157,1,9,183,448,92,155,18,72,58,44,44,26,30,9,26,30,13,13,6,5,19,13,59,23,7
158,1,9,159,352,92,132,19,49,49,27,25,44,27,4,24,49,16,13,3,7,3,5,28,10,2
159,1,10,186,462,102,175,19,67,54,34,33,28,35,7,28,47,25,12,0,2,8,24,25,28,3
160,1,8,112,272,36,112,15,42,34,18,17,13,22,3,27,19,6,5,0,0,8,14,15,17,0
161,1,10,162,417,73,151,20,64,40,37,27,29,29,9,15,34,11,16,0,9,9,6,25,39,3
162,1,12,217,534,117,197,21,100,62,52,23,43,24,13,32,36,26,18,11,16,16,12,26,33,2
163,1,8,106,232,59,75,9,30,25,19,17,24,23,1,10,42,9,8,7,1,4,8,30,5,1
164,1,8,115,245,60,100,8,32,30,15,25,23,9,7,17,39,8,11,4,4,3,2,8,11,1
165,1,9,163,371,76,131,18,65,33,29,31,25,31,4,20,23,14,12,7,3,11,9,57,30,4
166,1,10,220,537,95,231,24,77,64,43,52,43,32,12,36,42,22,23,17,13,11,11,42,22,8
167,1,8,104,331,40,125,13,38,45,23,25,13,19,8,24,24,16,17,1,3,7,3,23,22,6
168,1,9,185,448,82,177,10,52,54,31,43,43,14,8,29,49,16,15,4,11,9,4,32,26,1
169,1,6,79,150,45,60,5,17,20,13,10,16,10,3,7,23,5,6,2,4,2,5,8,5,3
170,1,8,113,335,44,120,17,35,36,35,23,19,21,4,23,26,14,7,2,6,9,9,18,28,1
171,1,8,99,322,47,106,5,30,40,32,28,15,6,5,20,28,13,15,1,0,13,8,8,25,1
172,1,8,82,255,46,83,6,34,41,24,11,6,7,6,17,13,14,6,1,2,9,7,16,19,0
173,1,8,91,256,39,102,11,38,28,21,14,7,13,7,13,26,14,9,0,1,2,3,17,19,2
174,1,8,124,349,58,125,19,53,34,31,19,17,24,4,19,33,16,11,5,0,7,10,51,28,5
175,1,8,143,330,66,115,17,37,36,34,28,24,22,5,16,27,16,11,3,1,3,18,23,19,2
176,1,10,149,381,68,139,15,55,42,41,28,26,23,8,25,33,13,14,13,4,10,10,25,27,11
177,1,8,97,326,45,107,14,47,42,37,18,9,24,5,14,21,17,19,0,0,11,0,11,20,3
178,1,8,134,268,47,104,13,52,35,27,13,20,20,5,12,27,5,9,6,7,4,5,39,9,1
179,1,8,118,275,70,93,15,42,36,23,25,30,24,1,7,28,11,10,4,12,9,4,8,18,0
180,1,10,140,437,61,155,21,51,51,26,43,20,30,9,24,35,23,17,2,9,15,4,29,38,1
181,1,10,194,442,128,165,22,73,58,25,32,47,30,6,23,48,15,17,10,12,12,3,30,21,5
182,1,8,114,293,43,107,16,44,33,26,17,9,19,6,9,28,17,7,1,0,8,7,15,15,0
183,1,8,181,393,83,169,18,59,51,30,31,17,26,6,24,27,14,9,9,1,9,32,15,17,0
184,1,8,108,387,38,158,14,62,35,38,15,6,17,9,20,4,13,12,4,1,11,6,27,48,3
185,1,8,146,466,67,155,21,53,47,29,18,30,29,10,17,47,13,26,1,9,17,8,17,63,1
186,1,8,126,335,65,113,16,49,51,23,25,22,23,6,14,34,13,4,9,0,17,8,9,22,6
187,1,5,36,111,13,53,2,16,14,4,7,5,3,2,3,13,9,3,1,1,0,1,6,12,0
188,1,9,136,411,59,185,16,60,35,37,22,23,23,9,24,32,19,19,3,6,7,4,14,38,2
189,1,6,52,126,27,38,4,19,14,12,5,18,17,2,4,15,3,5,0,7,9,4,7,7,0
190,1,10,141,319,67,129,16,48,29,36,30,24,22,6,22,23,13,8,5,5,12,7,18,22,1
191,1,8,93,244,48,101,12,16,29,11,12,17,17,4,26,25,17,4,2,3,5,2,11,27,0
192,1,11,206,489,85,195,20,72,64,40,36,23,35,7,24,58,13,15,2,1,18,7,46,24,7
193,1,8,157,399,82,147,18,72,51,49,26,21,29,8,31,23,11,16,1,9,21,7,13,26,3
194,1,10,202,521,99,190,19,91,60,40,38,37,30,12,28,36,24,21,4,8,19,8,23,32,4
195,1,5,50,123,20,44,6,16,16,6,12,5,10,3,9,6,4,5,2,2,6,2,13,9,1
196,1,8,116,382,50,128,21,69,39,48,21,11,28,5,14,25,14,21,1,1,14,2,20,21,1
197,1,10,139,521,61,206,22,77,62,57,19,25,27,15,22,21,19,19,4,7,13,12,25,54,2
198,1,10,181,421,97,155,21,64,61,45,33,38,23,9,24,28,13,10,10,13,17,7,26,23,11
199,1,11,282,738,119,234,28,120,58,70,51,54,36,18,46,49,36,24,13,20,19,26,72,52,21
200,1,8,153,361,66,145,19,40,34,16,23,26,28,4,29,39,10,19,2,3,14,6,31,24,7
201,1,9,147,395,77,145,21,54,47,20,40,40,30,5,26,32,23,15,4,11,15,7,21,28,0
202,1,8,150,376,55,173,19,44,35,25,29,14,28,5,22,36,20,3,4,1,6,6,14,36,0
203,1,10,149,497,57,206,22,52,40,43,22,21,27,10,48,31,33,21,4,4,15,3,15,53,6
204,1,10,149,368,65,134,14,43,49,30,16,25,25,7,20,41,11,8,5,5,10,2,22,32,6
205,1,10,233,560,113,224,22,84,64,45,46,22,35,11,49,29,17,15,7,4,14,23,59,41,7
206,1,10,152,363,80,135,17,56,46,26,27,34,26,6,15,30,10,14,7,10,13,4,17,31,4
207,1,8,113,280,50,115,12,27,34,24,16,24,24,3,21,38,12,8,5,2,14,5,11,18,4
208,1,6,75,150,37,69,7,18,25,14,10,15,10,4,6,27,4,1,1,0,5,2,1,9,0
209,1,6,52,164,22,54,6,16,16,14,15,9,9,3,7,18,6,10,0,1,8,4,6,12,0
210,1,9,169,377,89,139,18,63,45,21,38,21,24,10,19,30,16,18,3,12,18,15,19,23,2
211,1,6,44,190,28,67,9,24,21,22,14,13,12,5,15,12,11,8,0,4,12,0,7,14,1
212,1,7,83,269,27,96,13,37,24,22,18,4,21,4,11,30,19,8,2,0,11,4,7,17,0
213,1,8,82,315,24,108,15,43,32,28,12,4,21,7,18,13,16,20,3,2,9,7,13,27,7
214,1,8,126,305,65,105,13,57,51,20,13,29,14,6,15,25,18,5,8,8,6,13,34,9,2
215,1,10,252,553,136,205,23,95,61,46,51,60,31,14,32,55,19,17,10,26,14,20,50,18,1
216,1,8,141,400,63,142,17,49,40,36,21,16,21,11,18,31,9,19,3,6,12,8,23,41,11
217,1,10,179,523,89,188,22,54,42,35,28,28,36,9,43,34,20,26,5,9,10,18,34,62,12
218,1,8,114,339,42,122,19,49,40,30,21,10,25,2,19,27,24,13,2,2,0,5,19,21,0
219,1,9,143,387,63,153,14,64,43,24,22,28,19,9,40,23,16,15,2,8,7,7,29,36,1
220,1,10,183,431,101,147,22,64,46,30,46,41,39,2,21,38,10,18,10,15,13,7,83,23,8
221,1,6,84,206,31,86,9,25,25,8,15,11,18,1,17,25,9,4,3,0,2,3,6,21,0
222,1,9,205,437,103,163,23,72,59,44,31,36,29,8,17,39,16,15,19,13,24,6,42,13,2
223,1,8,154,425,64,138,11,68,56,31,22,27,16,7,17,45,25,15,0,1,9,11,24,31,2
224,1,8,144,341,50,141,14,51,34,28,24,17,21,9,27,37,10,15,0,4,12,7,29,18,8
225,1,12,177,531,89,186,25,74,44,48,33,37,49,6,40,31,17,20,8,3,11,13,33,57,19
226,1,8,102,248,38,102,11,30,22,14,12,15,18,3,12,31,7,6,0,6,3,4,11,19,4
227,1,9,164,362,63,158,20,59,36,27,21,21,28,5,18,31,10,21,4,3,11,14,25,23,3
228,1,8,128,292,55,108,8,40,42,26,23,12,11,6,14,24,6,9,4,0,7,7,36,24,17
229,1,8,89,275,30,107,9,31,22,25,20,7,20,5,26,22,7,12,2,2,6,5,23,19,6
230,1,9,172,453,73,150,19,67,60,48,23,12,27,10,30,31,16,12,1,1,14,20,26,33,4
231,1,8,108,274,47,108,12,32,31,21,19,19,24,4,24,30,13,4,1,6,6,9,15,21,1
232,1,12,221,531,113,211,22,68,65,46,42,39,34,11,42,53,21,14,9,8,26,17,33,31,4
233,1,7,85,193,48,53,5,44,18,14,23,19,13,4,6,18,12,3,0,7,1,4,54,11,2
234,1,8,157,407,71,146,17,56,47,36,29,21,32,5,19,35,15,20,6,5,7,10,12,37,4
235,1,7,95,298,48,87,11,45,42,12,20,18,20,4,18,25,8,8,2,2,8,3,14,34,2
236,1,6,51,201,17,63,8,25,16,16,12,8,11,4,8,14,14,5,0,0,1,3,26,19,7
237,1,8,127,316,59,114,12,46,30,26,12,30,20,9,17,26,9,17,8,5,7,9,19,28,5
238,1,9,116,321,53,127,12,34,41,25,31,16,14,5,29,32,12,15,0,2,5,7,11,20,0
239,1,9,175,438,89,176,20,73,65,32,26,14,22,13,48,21,10,4,2,4,11,31,14,34,3
240,1,8,95,254,50,82,11,54,27,11,9,19,21,4,11,20,7,13,2,6,4,4,21,21,6
241,1,9,100,246,33,112,8,29,27,20,13,11,13,6,14,22,22,6,2,5,8,6,28,15,2
242,1,9,152,431,73,159,20,70,54,42,17,29,25,9,17,29,16,20,4,3,14,16,25,26,3
243,1,11,189,632,65,248,29,85,77,61,24,16,34,16,31,40,19,37,7,4,14,13,10,62,4
244,1,7,104,349,42,131,12,51,44,27,27,6,15,10,16,18,12,21,2,2,10,15,18,27,1
245,1,7,54,167,29,56,6,22,16,13,6,10,8,5,7,11,9,14,0,3,0,0,8,19,1
246,1,11,250,646,110,258,28,90,72,51,38,48,38,15,38,51,24,30,17,13,14,8,19,37,14
247,1,8,156,402,67,161,15,53,45,32,29,20,20,8,24,33,25,8,3,6,20,13,21,34,1
248,1,9,154,484,61,171,23,57,35,38,36,21,41,4,28,40,25,18,7,4,9,6,22,49,5
249,1,9,134,336,67,130,15,71,40,28,27,23,24,4,15,14,4,8,4,3,12,6,36,18,3
250,1,10,140,309,61,109,14,46,36,22,24,15,20,7,26,25,15,5,4,2,10,8,21,13,0
251,1,9,195,556,82,237,25,68,63,44,30,29,28,16,41,41,21,25,3,12,17,7,17,48,1
252,1,9,155,407,61,161,19,49,49,38,22,19,25,7,28,46,18,11,2,3,6,6,15,24,4
253,1,6,82,220,36,79,8,38,21,10,22,11,13,5,16,5,8,4,2,0,7,2,17,22,0
254,1,10,190,574,80,208,27,99,61,51,25,17,35,15,44,20,15,26,4,2,19,9,45,60,23
255,1,8,97,326,49,131,14,54,34,23,12,18,25,7,25,21,16,10,2,4,7,7,13,38,4
256,1,8,100,283,40,112,12,37,40,27,18,16,16,5,13,25,14,5,3,2,3,4,17,24,2
257,1,8,151,430,64,147,16,76,52,52,29,7,21,10,11,21,17,13,4,0,22,10,17,31,8
258,1,11,190,524,108,203,23,61,68,49,36,33,27,13,42,45,16,13,8,11,22,17,12,35,4
259,1,9,154,430,81,141,19,77,42,47,22,30,26,9,27,15,12,18,4,6,19,11,17,27,8
260,1,7,106,311,48,99,12,47,29,29,19,18,30,3,23,21,6,13,3,1,11,9,14,25,0
261,1,9,174,444,85,189,20,64,47,35,25,20,26,10,18,43,19,13,16,2,8,14,25,32,6
262,1,8,76,293,34,119,11,36,30,30,15,7,12,8,18,16,10,19,5,2,7,7,8,27,1
263,1,10,236,524,100,236,26,86,68,41,34,28,30,11,20,62,28,16,20,8,10,9,30,17,12
264,1,8,128,369,67,141,15,54,40,31,26,33,18,10,21,23,16,8,10,12,16,6,29,24,1
265,1,11,154,399,65,146,18,58,54,40,27,29,32,7,22,23,10,15,5,9,13,10,35,27,5
