id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32
2992,2,3,46,93,25,30,4,10,12,11,6,10,5,3,5,10,1,2,3,0,3,4,5,5,0,2,0,1.42466781955,0,6,6,0,2.35043489157,4.77419354839,47.7419354839,1
2993,2,3,137,355,57,153,13,37,47,38,35,21,18,8,18,34,11,11,11,2,11,6,20,19,6,7,10,6.10085513384,4,14,11,1,2.08150162175,4.34084507042,43.4084507042,1
2994,2,4,236,655,81,281,31,82,76,59,37,25,40,10,49,46,39,16,10,8,17,22,27,56,8,15,35,15.1638732203,5,35,20,1,2.07925690782,4.13282442748,41.3282442748,10
2995,2,3,144,329,60,135,11,36,42,21,21,22,11,10,21,31,17,13,7,1,12,15,7,26,4,5,0,5.58733639043,7,15,8,0,2.12678256816,4.45592705167,44.5592705167,3
2996,2,1,71,148,31,48,5,12,20,18,10,21,6,5,8,11,5,3,3,3,2,4,27,8,1,0,46,2.96903082257,3,9,3,2,2.62047463171,4.82432432432,48.2432432432,2
2997,2,3,112,333,34,143,18,32,37,23,21,13,22,6,23,42,11,13,3,2,10,3,11,19,2,7,0,6.37626731797,2,30,8,0,1.88339579213,4.11411411411,41.1411411411,7
2998,2,3,85,319,24,116,11,42,40,25,13,1,12,10,19,15,12,14,1,0,14,5,17,43,6,2,0,9.80679678686,6,21,11,0,1.70960635496,3.66144200627,36.6144200627,3
2999,2,3,93,289,33,133,14,21,38,25,15,11,19,6,11,17,13,13,3,1,2,2,31,36,0,1,26,4.22716966583,1,34,12,0,1.82193425909,4.11764705882,41.1764705882,1
3000,2,3,76,196,33,69,9,24,20,17,11,13,10,6,14,17,9,9,2,3,7,3,16,17,3,2,19,4.29956693466,3,14,5,1,2.31716006552,4.35714285714,43.5714285714,1
3001,2,4,178,516,68,215,17,49,66,40,33,15,19,13,26,46,23,18,11,0,15,13,18,48,4,7,13,8.64754895074,12,40,14,0,1.91384678411,4.07170542636,40.7170542636,5
3002,2,3,193,494,63,224,16,55,50,41,28,20,24,10,36,37,14,17,5,3,18,12,40,37,3,6,37,7.84906423544,6,34,23,2,1.98517139565,4.34008097166,43.4008097166,5
3003,2,4,160,393,77,141,18,55,57,46,36,29,18,11,16,28,19,6,7,6,22,4,23,21,2,5,8,6.294461641,5,14,11,3,2.37774229258,4.49363867684,44.9363867684,3
3004,2,4,96,198,47,80,8,24,21,10,17,10,11,4,11,19,9,5,4,0,5,5,7,12,4,3,1,2.70685490293,2,14,9,0,2.15280492397,4.70707070707,47.0707070707,4
3005,2,2,34,83,15,35,4,7,11,5,7,4,6,1,4,11,3,3,3,0,1,1,4,4,1,3,4,0.92392471887,1,4,4,0,1.93927803441,4.43373493976,44.3373493976,0
3006,2,3,102,277,44,112,12,30,34,19,9,10,14,9,13,23,14,12,3,4,8,4,6,36,3,2,1,4.74982709109,2,23,7,3,2.18952381697,4.27436823105,42.7436823105,3
3007,2,3,105,284,50,110,15,31,33,18,18,16,20,4,31,15,12,14,8,1,16,1,8,31,6,2,0,4.61979370778,1,9,11,0,2.12150215954,4.23943661972,42.3943661972,2
3008,2,4,136,425,52,165,18,50,39,40,28,18,39,4,31,19,9,18,4,1,10,14,2,54,15,2,2,9.15862817179,1,33,9,0,2.05643193898,3.95294117647,39.5294117647,1
3009,2,3,157,347,84,156,13,44,46,27,34,39,16,12,25,30,12,6,10,3,17,10,1,17,0,3,4,4.0326950078,7,19,9,0,2.40920826269,4.84149855908,48.4149855908,2
3010,2,3,72,172,17,88,8,21,20,27,12,7,8,4,12,17,4,5,1,0,3,2,8,6,3,0,5,1.93214003501,1,12,5,0,1.7049459655,4.3488372093,43.488372093,3
3011,2,4,121,397,37,193,17,41,40,29,24,14,22,9,28,19,10,13,5,2,8,11,25,47,11,10,26,7.55444209263,6,27,11,0,1.84674783652,4.0604534005,40.604534005,2
3012,2,3,85,296,44,104,9,30,29,24,15,22,18,6,16,23,8,14,2,0,11,5,17,38,2,2,0,4.09939712715,1,28,8,0,2.08880926393,4.12837837838,41.2837837838,0
3013,2,4,198,434,84,182,22,52,57,43,31,36,26,7,32,33,5,19,15,0,16,13,15,33,2,0,10,8.82557999932,3,21,16,0,2.31578108426,4.47004608295,44.7004608295,1
3014,2,4,132,374,48,160,16,35,39,32,23,21,18,10,17,38,17,18,4,6,15,1,3,24,2,10,4,4.90819827778,4,27,10,3,2.1338220099,4.24064171123,42.4064171123,3
3015,2,3,161,372,75,159,15,44,40,40,29,28,19,9,21,40,11,9,6,4,11,3,5,18,8,1,3,5.06058864867,4,16,20,0,2.27869256106,4.54032258065,45.4032258065,2
3016,2,3,129,312,56,131,16,49,38,43,19,24,18,9,22,27,7,10,6,0,11,1,8,9,3,4,5,4.77113303938,1,5,16,0,2.15699083179,4.44230769231,44.4230769231,1
3017,2,4,187,438,101,187,19,56,58,53,23,33,23,10,32,32,21,11,11,7,21,9,13,27,13,1,19,6.35108329628,5,8,13,2,2.37094401146,4.58219178082,45.8219178082,4
3018,2,3,161,448,65,185,19,47,48,50,17,23,21,12,37,56,25,22,6,0,4,14,37,27,1,8,7,6.10462780486,6,28,14,0,1.97132968827,4.30580357143,43.0580357143,3
3019,2,4,131,305,80,137,19,35,41,30,22,25,21,4,16,39,12,6,4,2,8,6,4,15,0,9,1,2.73450071715,0,20,11,0,2.30774103398,4.76393442623,47.6393442623,1
3020,2,4,259,729,104,299,34,73,71,53,44,23,40,18,40,74,53,18,4,5,17,15,59,70,7,12,42,12.6635342947,7,65,16,3,1.9928732745,4.2304526749,42.304526749,8
3021,2,4,180,520,63,222,19,71,53,51,22,22,25,12,25,34,28,23,11,5,11,9,20,38,10,16,3,8.51848180326,10,20,19,3,2.07823758006,4.10192307692,41.0192307692,2
3022,2,4,140,321,55,137,13,54,33,36,28,20,24,4,16,27,5,11,14,5,8,8,13,17,0,6,14,7.05311172307,4,22,6,4,2.34258291295,4.41744548287,44.1744548287,1
3023,2,4,105,274,29,108,13,20,29,16,18,7,16,8,19,23,15,5,2,2,4,4,34,35,5,6,30,5.03871431418,2,23,11,1,1.89426669283,4.17518248175,41.7518248175,1
3024,2,4,264,668,107,275,27,69,84,47,37,43,29,18,42,53,25,27,9,9,21,25,37,54,11,14,44,16.0212512454,8,34,10,4,2.28554599059,4.33233532934,43.3233532934,6
3025,2,3,122,293,66,98,9,40,39,19,25,28,11,7,22,27,21,15,8,3,4,7,15,11,3,7,1,5.31964907469,5,13,6,0,2.38372110924,4.51535836177,45.1535836177,1
3026,2,4,123,373,48,155,13,50,46,44,16,15,17,6,32,21,15,8,6,2,10,10,13,36,9,6,3,6.52459787336,4,21,7,1,1.99225199316,4.10991957105,41.0991957105,2
3027,2,3,128,338,73,140,17,57,31,34,34,27,19,9,16,26,10,18,8,2,4,4,12,17,9,6,9,6.19505340914,3,10,12,2,2.31436492519,4.4349112426,44.349112426,4
3028,2,5,207,502,102,195,18,70,51,43,32,47,26,11,36,43,20,19,11,11,23,11,9,20,7,5,12,7.6109835829,7,21,17,6,2.49742334474,4.61553784861,46.1553784861,4
3029,2,3,74,285,23,101,13,48,28,22,21,12,19,6,16,12,8,12,3,0,4,5,12,32,16,7,2,8.71575065118,3,11,6,0,1.91709823141,3.76140350877,37.6140350877,1
3030,2,4,148,381,46,173,17,45,42,41,41,21,25,7,23,32,21,11,2,4,15,2,16,17,3,1,16,6.38981629245,2,16,13,1,2.10798742785,4.31758530184,43.1758530184,5
3031,2,3,102,234,42,124,11,38,36,27,11,19,13,5,15,31,5,7,2,6,7,1,4,9,2,4,0,3.12309154333,2,14,7,0,2.18157125612,4.62393162393,46.2393162393,1
3032,2,4,224,479,96,182,19,54,65,42,24,27,21,17,30,50,19,14,17,1,14,19,11,21,11,7,1,6.80340237612,5,18,20,0,2.15006414597,4.5114822547,45.114822547,2
3033,2,4,188,621,72,236,30,54,59,45,33,25,44,11,39,74,31,27,4,2,14,8,28,50,4,19,0,11.4648299566,4,43,22,1,1.96217146984,4.038647343,40.38647343,7
3034,2,4,313,737,143,317,30,82,95,59,48,59,33,20,35,89,37,30,13,13,15,15,20,43,10,10,29,11.2164835033,12,36,28,7,2.34195828266,4.56852103121,45.6852103121,1
3035,2,2,52,138,27,52,6,22,17,14,7,9,8,4,9,4,4,6,4,4,4,4,11,12,2,1,0,2.6286002885,0,5,7,0,2.43936301262,4.30434782609,43.0434782609,0
3036,2,3,106,264,52,107,10,38,30,21,18,15,12,7,17,19,12,4,7,0,10,9,20,23,2,4,2,5.16548149808,3,18,6,0,2.19644925518,4.39015151515,43.9015151515,1
3037,2,4,207,466,89,227,23,56,67,51,29,21,27,8,23,47,14,9,7,2,11,6,10,31,15,9,11,8.67354243349,5,20,12,1,2.1749510591,4.45708154506,44.5708154506,5
3038,2,2,30,92,13,34,3,15,11,18,8,4,5,3,5,5,3,3,3,0,2,0,3,2,0,0,0,1.83206311476,1,3,5,0,2.09120744799,4.02173913043,40.2173913043,1
3039,2,3,108,232,43,106,8,26,33,26,13,4,8,5,9,29,8,6,4,0,11,7,14,16,1,3,0,3.68947508579,5,13,4,0,1.93387862862,4.40517241379,44.0517241379,3
3040,2,3,134,397,64,161,14,48,40,31,23,23,15,10,36,29,22,9,3,8,14,12,14,43,3,9,3,8.48963891545,7,28,10,2,2.3082715279,4.21914357683,42.1914357683,0
3041,2,4,214,533,92,235,26,60,51,45,37,29,43,5,23,67,29,20,8,5,15,16,24,27,3,14,5,8.45222417606,1,49,9,3,2.16480063213,4.48592870544,44.8592870544,5
3042,2,4,120,295,47,108,13,48,38,35,20,21,19,8,11,22,7,7,6,0,12,3,19,17,1,2,25,6.87648080283,3,22,10,0,2.25153521295,4.32203389831,43.2203389831,2
3043,2,3,109,274,46,112,13,31,30,17,21,18,21,5,28,23,13,8,5,2,12,4,17,30,2,8,5,6.30277449155,1,20,9,1,2.30229599091,4.29562043796,42.9562043796,2
3044,2,3,79,248,32,109,10,42,30,27,9,17,15,6,14,11,8,13,1,2,6,3,18,22,6,6,10,4.66858971409,3,15,7,1,2.17188979075,4.125,41.25,1
3045,2,4,120,357,43,136,18,47,39,43,21,15,27,5,26,26,14,12,6,2,14,4,17,23,7,4,2,6.1191550132,1,12,14,1,2.01010492928,4.14565826331,41.4565826331,1
3046,2,3,89,233,36,100,10,30,20,14,16,15,13,4,12,23,21,10,3,1,3,1,10,20,2,1,0,2.9964321297,3,12,11,0,2.11032999179,4.32618025751,43.2618025751,2
3047,2,3,124,290,58,121,14,26,42,18,26,18,15,7,19,26,15,6,7,4,10,7,6,22,0,2,2,3.58913990121,2,28,4,0,2.20708148611,4.6275862069,46.275862069,3
3048,2,3,165,530,58,211,26,60,63,43,38,10,38,10,34,29,11,22,12,0,4,9,11,55,47,9,9,9.09103230417,1,15,9,0,1.80069458289,3.90566037736,39.0566037736,0
3049,2,4,120,308,66,120,15,27,33,29,29,25,18,4,13,47,20,7,9,4,5,2,12,14,2,0,3,4.10830676796,1,23,10,0,2.26490064863,4.52272727273,45.2272727273,6
3050,2,2,111,323,40,89,14,43,39,33,22,17,27,7,11,30,30,9,5,7,7,5,35,29,0,3,13,6.17176879419,2,14,12,4,2.84556912048,4.19814241486,41.9814241486,0
3051,2,4,185,419,99,165,19,59,44,47,29,40,22,9,17,31,10,24,5,11,25,4,3,24,2,6,1,7.6717961447,4,18,9,3,2.60796821547,4.59427207637,45.9427207637,7
3052,2,4,131,393,64,162,18,50,55,34,24,24,21,10,25,26,9,11,9,4,7,7,6,37,24,18,2,10.2995241322,7,16,7,1,2.28968949581,4.09923664122,40.9923664122,4
3053,2,3,113,367,49,132,15,46,49,27,22,21,17,8,33,18,9,14,1,0,11,6,11,39,4,7,4,6.15544863929,2,16,14,0,2.03356975901,4.06267029973,40.6267029973,0
3054,2,3,170,423,70,161,13,43,39,43,35,25,16,11,34,40,14,13,5,3,14,4,33,32,4,3,24,6.09807447407,8,42,10,0,2.07422515726,4.48226950355,44.8226950355,2
3055,2,3,112,310,44,109,14,38,40,24,15,11,15,9,13,33,20,8,11,1,9,7,16,23,5,0,7,5.47186535462,2,26,7,1,2.15069599584,4.16774193548,41.6774193548,4
3056,2,3,144,321,72,124,15,52,38,37,30,19,16,8,17,26,16,6,12,2,5,2,26,13,2,1,1,4.17387277947,5,5,21,1,2.27472568611,4.64174454829,46.4174454829,2
3057,2,3,45,118,20,40,6,9,12,6,7,4,8,3,11,8,7,4,1,0,10,2,3,14,0,3,0,1.91233378778,1,12,2,0,2.07935082193,4.24576271186,42.4576271186,0
3058,2,3,138,369,72,133,16,43,45,37,26,31,22,9,20,34,17,13,4,5,12,8,10,26,0,5,4,7.14964343489,4,29,11,4,2.42385208163,4.39295392954,43.9295392954,1
3059,2,3,128,352,49,142,16,38,48,25,11,18,18,9,35,38,14,10,8,2,13,12,8,19,3,8,2,5.75678934343,3,17,8,1,2.09722254383,4.27272727273,42.7272727273,7
3060,2,4,159,368,70,132,17,59,39,39,40,28,20,9,30,21,4,12,8,1,12,12,25,29,3,1,7,6.55540907765,4,16,13,1,2.16346924149,4.47554347826,44.7554347826,2
3061,2,3,126,309,58,124,13,35,39,24,20,25,14,8,32,23,13,5,4,2,14,2,19,33,5,2,8,5.09506378964,4,20,10,1,2.21610205297,4.59223300971,45.9223300971,1
3062,2,3,150,319,74,139,16,35,33,21,26,37,22,4,21,23,10,14,7,4,15,4,16,17,1,2,10,4.73795394734,1,12,25,1,2.40241412334,4.76489028213,47.6489028213,3
3063,2,4,157,353,78,149,12,55,44,34,29,32,14,9,11,36,15,9,8,6,12,6,8,16,8,4,7,5.23981314048,4,13,12,4,2.50249038977,4.62889518414,46.2889518414,3
3064,2,3,113,338,41,122,15,36,44,28,27,6,16,9,29,16,14,24,6,0,9,3,18,24,2,2,8,5.98843855338,4,17,17,0,1.88931560584,4.01479289941,40.1479289941,0
3065,2,3,61,131,37,48,6,10,23,13,10,17,9,3,7,11,3,5,5,3,5,2,7,10,1,1,0,2.12129983019,0,5,4,0,2.68972949282,4.89312977099,48.9312977099,1
3066,2,1,25,71,13,28,2,5,8,12,1,5,2,1,9,8,2,1,0,0,2,1,8,4,0,0,0,1.3967452175,1,6,2,0,2.23084288101,4.28169014085,42.8169014085,1
3067,2,4,169,423,84,152,19,62,51,26,29,32,23,11,29,22,16,9,1,2,14,4,32,34,4,9,9,5.36426782368,3,16,31,0,2.24515382953,4.463356974,44.63356974,5
3068,2,2,89,240,33,102,12,24,36,26,9,24,16,5,5,31,9,10,1,2,2,6,14,16,0,4,1,3.27504039614,1,13,14,2,2.50396825923,4.37916666667,43.7916666667,1
3069,2,4,195,624,75,239,30,73,78,66,34,24,34,13,30,38,33,12,8,2,12,13,25,65,30,16,4,12.1222642361,7,25,19,1,1.95076068208,4.05929487179,40.5929487179,1
3070,2,3,107,281,62,90,11,31,28,13,24,29,13,7,24,20,10,17,8,2,12,3,12,26,9,2,3,5.58990686046,4,23,7,1,2.4742548292,4.48042704626,44.8042704626,4
3071,2,4,133,292,67,111,15,50,26,28,15,35,17,6,17,14,16,8,11,5,14,13,12,16,1,11,11,5.05687161039,3,17,8,0,2.46524349809,4.72260273973,47.2260273973,2
3072,2,4,235,699,79,258,26,70,86,61,26,22,38,21,71,45,35,26,9,2,15,22,30,70,8,19,0,13.8679000776,12,34,14,0,1.89320682425,4.01716738197,40.1716738197,4
3073,2,4,444,1066,231,446,48,176,147,114,67,100,52,24,56,75,28,25,37,21,31,22,25,53,17,30,25,17.4745018209,12,34,38,7,2.48217278297,4.60975609756,46.0975609756,4
3074,2,4,245,593,122,230,23,86,85,71,38,38,23,15,20,61,21,22,11,8,10,11,24,38,23,11,20,10.5773934686,10,22,6,5,2.37333751504,4.44688026981,44.4688026981,1
3075,2,4,272,623,119,299,24,99,88,82,43,40,25,20,34,41,12,16,16,13,15,14,15,26,15,6,12,13.1519665112,12,18,21,6,2.37027957553,4.54414125201,45.4414125201,6
3076,2,3,116,336,56,111,17,45,37,39,17,26,21,6,16,24,11,21,12,3,9,3,20,18,3,2,3,5.80929604804,4,20,14,1,2.28948804499,4.24404761905,42.4404761905,4
3077,2,5,249,600,127,226,21,85,76,66,44,60,30,14,29,34,28,9,15,13,21,16,39,39,4,3,54,11.0302379517,6,14,26,1,2.42537824988,4.60333333333,46.0333333333,4
3078,2,3,122,450,48,185,13,49,52,50,31,27,18,10,29,40,31,9,3,10,21,1,21,37,4,5,0,8.61632605691,8,35,10,3,2.25047384271,4.04666666667,40.4666666667,9
3079,2,3,127,424,38,169,16,32,42,40,18,16,19,12,32,38,16,28,1,3,16,8,11,41,6,4,3,7.82627545615,7,20,17,1,1.83451599872,3.92452830189,39.2452830189,6
3080,2,4,197,455,82,196,20,59,58,53,22,28,32,8,35,27,11,14,18,7,14,6,14,44,9,4,6,9.35214711862,4,19,17,2,2.32138889372,4.44835164835,44.4835164835,5
3081,2,4,125,324,44,138,15,52,31,33,30,12,17,8,15,22,16,10,8,5,5,4,33,21,4,8,23,6.98726885837,4,20,5,4,2.1427391977,4.27777777778,42.7777777778,2
3082,2,3,105,239,47,96,12,20,31,27,22,32,16,4,18,38,11,9,3,10,8,5,20,12,0,3,3,5.00441466469,1,13,11,6,3.23504095209,4.90376569038,49.0376569038,0
3083,2,3,122,313,57,136,14,29,37,42,17,16,15,10,18,40,9,15,2,3,9,6,20,22,6,7,1,3.97866950016,3,16,9,1,2.18231364198,4.46645367412,44.6645367412,4
3084,2,3,162,472,79,199,24,51,46,48,37,22,25,13,29,30,18,14,7,3,15,6,7,44,8,8,2,8.58143767025,3,25,24,0,2.11465160545,4.22457627119,42.2457627119,6
3085,2,3,65,182,27,75,9,19,29,23,9,6,13,4,10,16,5,1,5,1,7,4,9,20,0,0,0,4.33973203786,0,13,10,1,2.13118570815,4.12637362637,41.2637362637,2
3086,2,2,51,119,8,63,9,3,12,17,4,2,9,0,4,18,5,2,2,0,1,4,3,8,1,0,0,1.82340634276,0,8,9,0,1.668683203,4.14285714286,41.4285714286,0
3087,2,2,68,153,33,54,4,1,6,2,1,15,5,4,1,0,0,0,1,4,1,0,7,4,0,0,134,3.17538072787,3,7,0,1,2.64498734068,4.57516339869,45.7516339869,0
3088,2,3,140,335,57,132,19,47,39,40,18,14,26,2,12,41,9,16,4,1,7,1,9,18,4,1,0,6.31207094635,1,13,22,0,2.14548183931,4.25373134328,42.5373134328,0
3089,2,3,134,306,66,127,11,23,28,29,26,27,12,8,20,35,17,12,13,4,3,14,6,14,4,6,3,4.78702485846,6,16,9,4,2.40763811888,4.66666666667,46.6666666667,2
3090,2,3,128,363,43,158,20,31,45,30,28,26,26,2,29,26,6,10,6,2,3,8,6,34,10,0,8,4.82030458431,2,22,20,0,2.03362372776,4.23415977961,42.3415977961,7
3091,2,2,52,175,26,89,6,29,29,25,10,9,9,6,11,11,4,5,1,1,5,2,8,8,0,1,0,2.49505967934,3,6,9,0,1.99053589999,4.34285714286,43.4285714286,1
3092,2,3,44,178,8,82,8,16,16,13,6,2,8,4,18,13,5,10,0,1,3,3,16,19,0,4,0,2.49640145389,3,13,10,0,1.48768191701,3.91573033708,39.1573033708,0
3093,2,3,100,248,35,99,11,37,28,21,15,19,14,6,11,27,21,6,1,3,3,6,22,12,3,5,19,4.24381809291,2,11,8,2,2.21182959398,4.37903225806,43.7903225806,1
3094,2,4,97,349,37,135,12,37,36,31,17,8,13,9,21,25,21,20,2,1,4,4,6,37,2,5,5,6.78818042811,8,23,10,0,1.86476736079,3.85959885387,38.5959885387,0
3095,2,2,50,151,15,53,6,29,17,21,13,5,6,5,6,8,9,4,2,1,7,1,12,3,0,6,3,3.90954893848,2,2,4,1,2.09021688409,3.86754966887,38.6754966887,1
3096,2,1,43,140,8,66,6,13,15,12,7,4,11,3,10,6,4,7,1,2,2,2,4,14,0,3,1,1.84334285884,1,8,8,0,1.76075464995,3.97857142857,39.7857142857,0
3097,2,3,164,445,42,179,20,49,39,33,25,11,23,15,38,21,14,15,10,0,15,9,51,40,7,9,45,9.37514712274,4,44,7,0,1.83381040825,4.06516853933,40.6516853933,7
3098,2,3,83,201,32,65,10,21,18,29,14,19,13,4,11,27,5,12,1,2,3,1,15,11,4,0,1,3.2839140118,1,16,7,0,2.26831956123,4.42288557214,44.2288557214,0
3099,2,4,228,596,115,271,22,86,76,51,51,40,23,18,49,41,24,16,3,6,24,19,16,32,9,13,14,13.0442201735,13,19,13,3,2.27884848433,4.40771812081,44.0771812081,4
3100,2,3,115,359,55,120,13,55,37,36,25,28,17,6,26,26,24,17,4,7,4,6,34,20,7,13,7,9.18277963413,5,35,4,1,2.32023674331,4.17270194986,41.7270194986,1
3101,2,3,89,194,37,95,9,29,24,17,5,8,12,4,10,22,8,5,3,1,10,10,10,6,0,4,2,3.65931017366,1,8,8,1,2.21431334518,4.46907216495,44.6907216495,1
3102,2,3,113,255,53,126,12,38,28,23,21,23,17,6,6,26,11,9,5,2,5,5,2,16,2,7,3,3.61633600958,1,14,5,0,2.25503057275,4.67843137255,46.7843137255,0
3103,2,3,97,299,46,128,17,23,35,20,11,16,18,8,12,36,15,15,4,5,4,12,15,32,3,6,6,4.53076898209,0,25,8,0,2.13516041862,4.20401337793,42.0401337793,1
3104,2,5,254,639,119,287,32,72,70,50,38,48,40,10,32,44,12,18,11,11,27,22,40,64,11,25,11,11.2470809808,3,36,28,3,2.31540706673,4.45383411581,44.5383411581,3
3105,2,3,77,206,38,73,6,15,16,16,15,18,14,3,18,15,10,8,11,2,4,1,5,23,5,0,7,4.00694125745,2,11,11,0,2.37590417999,4.32524271845,43.2524271845,2
3106,2,4,280,585,127,243,26,83,78,56,47,57,27,17,33,58,21,20,11,11,15,19,14,28,3,12,22,11.1052634277,11,20,18,5,2.48637782698,4.66495726496,46.6495726496,3
3107,2,3,188,443,88,177,14,45,58,34,45,44,16,12,22,36,23,13,19,8,12,7,15,28,11,5,13,7.11002281623,9,22,15,4,2.48066381055,4.64108352144,46.4108352144,2
3108,2,3,112,267,61,105,9,37,33,24,16,18,13,7,8,24,11,17,10,1,13,3,0,12,1,2,0,5.12097412916,5,15,6,0,2.36643429322,4.56554307116,45.6554307116,0
3109,2,3,150,424,64,161,17,52,52,32,30,25,21,9,18,47,14,12,3,6,10,2,31,42,11,10,20,7.99765120817,5,36,7,4,2.25108326957,4.25,42.5,2
3110,2,3,96,213,52,82,8,28,23,19,20,19,12,6,8,27,7,8,2,8,0,1,13,16,4,0,4,4.63145594374,3,19,5,1,2.74375090234,4.57746478873,45.7746478873,0
3111,2,3,125,320,43,135,15,57,51,48,18,10,16,9,11,21,11,13,5,4,8,1,15,13,2,5,2,5.72516775264,1,11,10,1,2.08276768706,4.203125,42.03125,2
3112,2,3,110,235,61,101,12,24,26,18,21,22,12,8,21,20,9,11,6,3,7,5,5,16,2,1,3,4.12653554518,1,16,6,0,2.51500678687,4.73191489362,47.3191489362,1
3113,2,3,107,266,46,125,15,28,18,24,11,11,16,5,14,22,10,17,6,1,4,4,6,27,10,6,3,5.27731251685,1,20,9,0,2.09090132482,4.32706766917,43.2706766917,1
3114,2,4,187,512,70,214,23,53,50,54,35,38,27,11,41,45,28,26,9,7,17,7,25,32,3,4,15,10.0939750308,7,31,13,3,2.23820019601,4.265625,42.65625,5
3115,2,4,150,395,56,165,13,42,57,47,22,26,14,11,24,43,15,17,5,9,1,6,4,21,11,4,3,8.24593966505,5,20,14,1,2.19746748092,4.23291139241,42.3291139241,4
3116,2,3,90,252,35,88,13,34,22,25,15,12,15,5,3,33,18,8,3,1,9,5,5,19,0,5,1,4.87018473457,2,19,7,0,2.07759121404,4.13492063492,41.3492063492,1
3117,2,3,119,310,42,124,12,42,42,38,15,11,15,10,14,26,11,13,4,3,8,6,8,11,0,5,4,6.26329894179,5,11,15,0,2.08886008751,4.10967741935,41.0967741935,2
3118,2,2,47,145,20,48,7,23,22,23,6,2,9,4,8,8,5,6,0,1,3,5,11,7,0,1,2,3.0555278713,1,6,5,1,2.01181852887,4.03448275862,40.3448275862,1
3119,2,4,233,506,121,222,21,57,72,57,30,54,26,16,40,49,19,15,15,8,22,14,12,22,3,7,1,10.0894865925,4,8,19,4,2.48100994025,4.76679841897,47.6679841897,5
3120,2,3,178,406,76,152,20,66,47,32,41,33,24,9,30,20,10,20,4,1,25,3,26,24,4,16,15,6.77475952072,3,13,9,1,2.18243110642,4.53448275862,45.3448275862,3
3121,2,4,179,405,90,180,15,58,53,41,25,30,17,12,15,32,14,15,12,10,11,11,18,32,7,8,13,8.50095576832,6,23,8,7,2.56409822007,4.58765432099,45.8765432099,2
