id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20
8911,4,3,76,180,31,73,8,26,24,23,15,13,9,6,9,4,7,7,4,0,14,8,6,12,3,5,6
8912,4,1,24,66,6,30,4,14,7,9,3,1,6,0,2,2,0,3,1,0,5,1,3,6,1,0,0
8913,4,1,24,74,8,28,2,15,12,12,4,4,3,2,2,1,0,2,1,0,3,1,4,6,4,0,5
8914,4,2,71,191,32,61,9,37,23,19,14,11,17,1,5,8,6,7,4,2,14,0,19,18,6,7,7
8915,4,2,26,68,9,27,4,11,10,6,2,2,6,1,4,1,1,3,2,0,3,2,7,6,3,1,1
8916,4,0,36,107,15,35,6,16,18,21,7,3,8,1,5,0,1,1,2,0,5,0,6,13,9,0,4
8917,4,0,26,66,12,25,2,9,6,7,3,4,3,1,1,1,3,6,0,0,7,2,3,3,0,1,2
8918,4,1,43,125,9,59,6,22,20,20,4,6,7,4,4,2,4,6,0,0,12,2,7,8,2,0,6
8919,4,3,39,90,20,34,4,23,13,12,8,11,8,1,2,2,3,4,1,3,5,3,6,3,0,3,4
8920,4,0,13,43,6,20,2,5,2,4,0,2,3,2,2,1,2,4,1,0,0,0,1,6,5,0,1
8921,4,2,50,159,28,65,5,23,17,13,9,13,6,4,12,6,4,5,0,1,11,9,8,21,5,0,1
8922,4,2,40,141,20,47,5,19,20,12,4,10,7,4,14,4,6,7,1,1,12,3,7,10,1,6,2
8923,4,3,69,173,41,58,8,29,18,14,11,10,8,5,11,8,6,8,2,0,12,6,15,9,2,7,15
8924,4,2,30,88,10,34,4,17,11,9,4,2,7,2,3,0,1,5,1,1,3,2,5,9,8,4,4
8925,4,1,26,81,9,33,4,19,10,13,2,2,5,2,4,2,3,0,0,0,5,1,3,5,2,1,1
8926,4,1,18,50,4,18,2,7,3,5,6,0,2,1,4,0,3,1,1,0,3,1,5,6,2,0,4
8927,4,0,20,57,5,21,3,8,9,12,3,4,4,2,0,0,0,3,0,0,1,0,2,5,4,0,1
8928,4,1,30,91,13,35,5,15,10,10,5,7,8,1,3,1,2,2,1,1,7,4,4,12,4,0,2
8929,4,1,25,67,9,27,3,11,6,10,3,1,4,1,4,2,2,1,0,0,4,3,0,9,1,0,0
8930,4,0,33,84,14,29,3,16,14,7,1,4,4,2,4,1,2,0,0,0,11,4,7,10,0,2,2
8931,4,3,18,55,11,21,3,7,9,5,2,5,5,1,1,1,2,1,0,0,2,0,3,10,4,1,1
8932,4,1,6,19,2,7,1,3,3,3,0,2,2,1,1,1,0,1,1,0,2,0,0,2,0,0,0
8933,4,2,44,126,24,58,2,25,13,11,8,8,3,2,10,5,7,3,0,3,5,3,7,7,1,4,2
8934,4,1,10,55,5,19,3,7,9,3,2,0,4,1,8,1,2,1,0,0,3,2,2,7,1,2,0
8935,4,2,70,186,27,80,5,27,26,14,10,7,7,5,8,2,4,9,1,1,14,8,15,15,5,6,15
8936,4,1,14,49,3,17,3,7,5,6,1,1,4,1,4,1,3,4,1,0,3,2,2,4,1,0,0
8937,4,1,35,104,11,54,4,26,12,9,4,5,8,2,5,4,4,3,2,0,4,3,6,3,2,5,2
8938,4,1,18,53,7,22,1,7,8,6,1,3,2,1,2,2,1,2,0,0,4,5,0,2,0,3,0
8939,4,3,59,132,25,51,6,29,12,20,3,12,11,3,4,2,5,3,2,3,6,7,10,6,3,4,7
8940,4,2,46,132,21,55,5,17,15,17,10,7,8,3,6,11,5,6,1,2,12,3,7,9,0,6,1
8941,4,3,87,225,39,85,8,48,17,33,12,15,10,7,8,4,10,12,1,5,15,8,21,11,2,8,18
8942,4,1,14,62,3,28,4,9,6,11,0,0,5,0,4,0,1,3,0,0,4,2,1,7,4,0,1
8943,4,1,19,61,5,21,4,11,4,8,0,1,5,1,3,0,1,3,1,0,5,0,2,7,5,2,1
8944,4,1,32,95,14,47,6,17,13,14,3,5,7,1,11,1,0,2,1,0,1,0,2,6,1,3,1
8945,4,2,36,107,11,40,2,27,13,21,7,4,3,2,4,0,4,2,1,0,5,1,2,3,0,1,1
8946,4,3,44,106,17,46,4,27,11,19,5,8,6,2,5,0,6,4,1,2,6,3,2,4,0,0,2
8947,4,0,33,85,9,36,4,13,11,13,3,3,5,3,5,3,2,4,0,0,4,2,2,8,1,0,4
8948,4,3,65,166,21,64,9,36,19,28,9,10,10,4,9,5,3,9,0,2,11,2,9,8,5,2,8
8949,4,0,15,46,3,22,1,6,3,7,1,1,2,1,3,1,1,1,0,0,1,1,3,6,3,0,2
8950,4,1,44,112,19,36,5,19,14,16,4,8,9,1,5,4,3,1,3,0,9,2,7,10,8,2,5
8951,4,2,30,96,16,36,4,18,11,8,3,2,6,2,5,2,6,6,1,0,3,6,4,6,4,6,1
8952,4,1,25,76,10,27,3,9,7,9,4,6,5,2,2,0,2,6,2,0,6,1,3,9,8,0,0
8953,4,1,11,69,5,25,2,13,5,6,2,2,3,2,2,1,4,5,1,1,3,1,2,4,3,6,1
8954,4,3,51,133,24,39,6,27,12,23,11,8,7,3,3,1,7,6,3,2,4,3,9,5,4,2,12
8955,4,3,54,131,22,42,6,25,15,16,9,7,8,4,7,4,2,6,2,1,8,1,10,8,1,5,4
8956,4,1,14,49,5,22,2,10,4,11,2,2,3,2,3,0,1,3,0,0,2,3,0,2,4,0,0
8957,4,2,44,114,13,42,6,26,7,17,12,4,8,2,1,2,3,5,0,1,12,2,3,6,1,7,1
8958,4,0,12,34,5,13,1,5,5,5,1,2,5,0,2,1,1,2,0,0,4,0,3,5,0,0,1
8959,4,3,55,148,25,52,7,20,16,13,12,8,9,3,10,3,4,8,4,2,7,5,7,12,9,8,5
8960,4,1,35,98,13,38,4,20,6,7,5,4,7,3,3,2,1,5,1,0,3,2,4,9,2,3,10
8961,4,1,30,73,16,22,3,9,10,10,5,8,7,3,2,5,2,2,3,1,6,2,6,7,4,2,1
8962,4,2,36,97,16,32,4,17,15,12,1,12,7,2,5,2,4,4,1,2,11,4,3,9,1,1,2
8963,4,1,22,78,7,17,3,10,10,12,4,2,4,3,2,0,2,5,0,0,4,1,3,12,1,0,0
8964,4,0,13,34,4,13,1,4,5,5,2,1,2,1,1,3,1,1,0,0,3,0,1,3,0,1,0
8965,4,2,33,93,19,34,2,20,10,11,7,12,4,2,2,2,5,5,0,6,7,4,11,5,2,4,8
8966,4,1,15,55,4,22,2,8,8,9,1,1,4,2,6,0,0,0,1,0,4,2,2,4,1,0,0
8967,4,2,26,98,9,39,4,12,10,13,4,2,5,3,8,1,4,1,0,0,9,4,1,15,1,0,1
8968,4,2,21,50,12,19,3,13,4,6,2,5,4,1,1,0,1,3,0,1,3,3,1,3,1,2,1
8969,4,2,62,172,26,72,10,31,12,23,13,6,13,2,7,3,3,5,2,1,9,4,9,13,14,5,10
8970,4,1,17,52,8,17,2,9,9,7,1,3,5,1,1,1,2,1,0,0,0,3,4,6,8,3,3
8971,4,1,32,95,14,46,4,17,10,14,4,5,5,2,5,0,3,2,1,0,6,2,3,10,4,2,1
8972,4,2,43,114,17,36,5,19,10,11,7,10,6,2,3,0,6,7,3,3,1,8,7,7,9,4,8
8973,4,3,68,168,47,51,7,29,20,23,12,18,9,5,10,3,2,9,1,4,12,4,10,10,1,9,7
8974,4,3,42,144,29,40,6,30,17,27,6,10,7,4,6,1,5,8,4,3,8,2,4,5,0,4,3
8975,4,0,12,26,3,12,1,2,2,3,1,1,4,0,1,1,1,2,0,0,2,2,1,3,0,0,0
8976,4,0,20,61,6,27,2,10,6,9,1,2,3,1,4,4,2,2,1,0,1,1,2,5,4,2,1
8977,4,2,43,120,11,47,5,15,11,13,4,1,6,3,11,2,5,7,1,0,8,3,11,8,5,0,8
8978,4,0,19,54,9,18,1,8,5,3,5,3,1,1,4,1,0,3,3,1,2,0,8,6,3,2,4
8979,4,3,84,211,40,81,8,44,20,25,10,10,13,5,12,6,8,9,1,2,10,6,18,14,6,6,8
8980,4,1,19,58,10,24,3,8,7,7,2,5,4,2,2,1,1,3,0,0,3,0,2,10,2,1,2
8981,4,3,102,248,38,101,11,53,29,48,10,18,12,7,9,6,8,13,0,3,17,4,2,12,7,0,0
8982,4,1,17,43,8,18,1,7,9,5,1,3,3,1,0,2,0,1,0,0,5,3,1,5,0,0,1
8983,4,2,44,119,18,44,4,25,9,19,1,10,6,4,11,1,4,5,2,6,7,3,5,5,3,4,6
8984,4,1,9,25,5,8,1,6,3,5,1,2,2,1,0,1,1,1,0,0,1,0,2,0,0,0,2
8985,4,1,35,82,11,33,3,16,6,14,2,2,5,2,5,2,3,4,0,0,3,2,5,5,2,2,1
8986,4,2,36,124,21,42,2,20,18,12,7,10,3,2,8,2,6,14,1,1,2,2,5,6,3,4,0
8987,4,2,28,78,16,34,5,22,7,13,2,3,6,1,0,1,2,3,0,0,6,2,1,2,0,6,1
8988,4,2,61,148,31,43,7,39,22,29,9,10,11,4,5,1,2,4,3,1,7,1,10,4,2,3,4
8989,4,1,6,24,2,8,2,1,4,1,0,0,3,0,2,1,0,0,2,0,3,0,1,4,0,0,0
8990,4,3,84,225,28,90,10,47,22,25,8,5,11,6,14,5,7,7,3,0,10,5,18,19,18,8,10
8991,4,0,15,40,4,18,1,6,3,8,1,2,2,1,3,0,2,0,0,0,5,1,0,6,0,0,0
8992,4,0,17,46,6,19,2,5,6,6,3,3,3,2,0,0,2,2,1,0,0,0,5,3,5,0,4
8993,4,0,21,47,6,20,2,8,5,6,3,3,4,1,2,1,1,3,0,0,5,1,3,3,2,1,1
8994,4,0,8,23,4,10,1,3,4,4,0,2,2,1,1,1,0,1,0,0,1,1,0,3,0,0,0
8995,4,2,34,96,19,37,5,12,9,9,6,7,6,2,5,0,3,6,1,1,7,1,6,9,6,2,3
8996,4,2,66,171,27,77,5,24,14,10,10,11,6,3,11,7,8,3,2,3,15,1,15,18,6,6,12
8997,4,1,14,38,6,15,2,11,7,8,4,2,3,1,0,1,1,0,0,0,3,0,2,1,0,1,0
8998,4,3,46,134,16,49,6,24,20,20,5,7,8,2,7,0,5,6,2,0,4,2,8,10,5,2,7
8999,4,1,22,62,6,28,3,7,5,8,3,3,5,1,3,1,2,3,1,0,7,1,2,4,1,0,3
9000,4,1,18,51,2,21,3,7,5,5,1,2,5,0,3,0,3,1,0,0,3,1,0,8,1,1,0
9001,4,2,73,217,27,84,7,32,15,27,11,11,9,6,18,7,13,10,0,7,10,1,20,15,8,8,21
9002,4,2,18,67,8,27,2,10,8,9,6,4,3,1,6,0,2,2,1,0,6,1,3,3,0,2,3
9003,4,2,70,178,41,58,8,35,15,32,11,17,12,4,1,7,8,14,2,3,11,6,12,3,3,3,8
9004,4,3,76,168,40,59,4,33,16,22,1,8,5,4,7,0,8,8,2,1,7,9,12,15,5,2,4
9005,4,3,39,120,16,39,5,28,16,27,2,5,7,4,8,1,5,4,0,1,9,4,0,1,0,3,0
9006,4,3,37,103,13,34,4,16,14,9,4,5,5,2,9,1,3,2,0,1,2,4,1,15,10,4,0
9007,4,2,52,137,28,41,6,24,16,19,8,11,8,4,7,2,5,8,0,3,10,1,11,9,4,4,8
9008,4,2,46,116,26,43,4,23,12,12,8,7,5,3,4,3,6,6,0,1,5,3,5,7,5,4,4
9009,4,2,38,95,17,37,5,26,11,18,3,7,8,1,3,2,1,1,0,0,5,0,9,6,4,1,4
9010,4,1,27,60,13,22,3,17,8,11,3,5,3,2,1,1,0,3,1,0,2,2,2,1,2,2,1
9011,4,2,42,141,14,64,6,23,16,14,4,9,7,3,12,1,5,2,1,2,9,1,11,12,3,5,9
9012,4,1,37,99,15,44,3,16,13,14,3,5,4,2,3,2,1,1,1,0,7,3,4,6,5,2,2
9013,4,1,21,55,3,20,2,15,7,10,2,2,6,1,0,3,2,1,3,0,3,0,4,4,1,2,2
9014,4,2,63,182,27,75,8,35,22,24,9,9,9,7,7,3,6,8,1,2,10,4,8,12,3,6,3
9015,4,1,27,93,9,35,3,17,13,11,2,4,4,3,6,0,3,3,1,0,0,0,4,12,7,2,2
9016,4,3,60,159,32,59,6,27,21,20,11,14,8,4,2,2,2,11,0,4,11,7,6,12,4,3,1
9017,4,2,29,92,11,36,6,17,9,17,3,6,7,0,3,1,3,3,0,1,9,1,0,8,2,1,0
9018,4,2,33,88,15,30,4,22,8,13,1,5,5,3,3,1,3,4,1,0,6,3,3,6,5,2,2
9019,4,3,69,180,38,51,9,27,19,18,9,15,11,5,9,3,5,12,1,2,18,6,13,15,0,7,10
9020,4,0,8,23,3,8,1,4,3,5,2,1,2,1,0,0,0,2,0,0,0,0,0,2,1,0,0
9021,4,2,33,92,20,36,5,21,10,18,6,15,7,1,5,5,2,4,0,1,4,0,1,0,1,3,0
9022,4,2,39,99,14,35,5,17,14,15,2,3,6,1,4,3,2,5,1,0,3,5,5,2,3,4,7
9023,4,1,19,52,8,13,2,9,5,6,3,3,5,0,0,3,1,5,0,1,5,0,3,4,1,3,1
9024,4,1,18,59,4,18,2,12,9,9,1,3,4,2,0,0,2,4,1,1,2,2,1,4,1,2,0
9025,4,1,9,27,3,9,1,6,2,4,0,3,2,1,1,0,1,2,0,0,4,1,2,3,0,0,1
9026,4,2,31,95,12,28,3,15,10,11,4,4,4,2,6,1,3,6,2,1,8,4,5,5,3,4,0
9027,4,3,93,231,45,92,10,37,26,23,10,15,13,7,17,5,12,12,4,5,16,8,17,17,4,1,8
9028,4,1,14,41,5,20,1,5,5,6,0,3,4,1,4,0,1,2,0,1,5,0,1,2,0,1,2
9029,4,2,60,154,28,55,3,31,21,21,10,6,4,2,6,2,6,4,0,1,11,7,16,12,7,0,4
9030,4,0,14,64,4,27,4,10,4,11,0,3,5,1,5,1,1,2,0,0,11,2,0,8,0,0,0
9031,4,1,32,84,10,28,3,21,8,14,0,8,3,3,5,0,2,6,0,0,2,1,1,7,1,2,0
9032,4,1,7,22,3,8,1,5,4,2,1,2,2,1,1,0,1,0,0,0,1,1,2,2,0,1,0
9033,4,1,47,131,21,43,4,30,15,24,3,9,5,3,4,3,3,4,0,0,9,2,18,10,5,2,0
9034,4,2,61,147,30,57,4,16,22,16,10,8,5,4,11,9,5,3,5,3,11,2,3,11,4,3,2
9035,4,3,92,230,36,93,10,37,30,27,14,9,13,6,8,7,5,12,1,2,14,12,13,14,9,5,11
9036,4,0,23,72,6,32,2,12,5,10,1,1,4,2,5,1,3,3,1,0,3,1,2,7,3,0,1
9037,4,3,56,131,30,45,6,22,13,17,7,8,10,3,11,2,3,5,1,3,8,10,12,11,5,3,5
9038,4,1,12,36,4,15,2,5,4,3,3,2,3,1,3,1,0,2,0,0,3,1,3,3,1,1,0
9039,4,2,46,134,16,46,8,32,14,29,6,5,17,0,5,5,0,3,0,3,4,0,7,11,6,0,0
9040,4,3,51,145,27,55,6,28,10,21,12,10,7,3,6,4,5,7,4,3,7,2,12,5,3,5,8
9041,4,0,15,49,7,22,1,9,3,9,2,3,3,1,3,1,2,1,0,0,4,1,1,4,0,2,0
9042,4,2,58,143,27,50,5,26,24,22,7,14,7,3,11,1,1,4,3,2,9,3,11,10,4,3,9
9043,4,2,26,101,13,49,4,24,8,11,11,4,5,2,6,1,5,2,1,1,3,1,2,5,0,6,0
9044,4,1,92,255,42,94,10,39,33,20,19,14,12,9,12,13,7,13,2,2,13,4,17,17,10,12,8
9045,4,0,24,58,6,22,3,11,5,8,3,2,4,2,4,1,2,3,0,0,7,0,6,3,0,2,1
9046,4,1,37,92,13,41,3,16,16,11,7,4,3,3,6,2,3,4,2,1,3,2,3,4,3,1,2
9047,4,1,14,35,6,16,2,5,3,5,1,3,3,1,3,1,0,1,0,0,2,0,5,2,1,0,5
9048,4,0,8,29,1,7,2,5,3,6,2,0,3,0,2,0,1,1,0,0,1,1,1,1,2,0,0
9049,4,2,39,97,14,30,5,11,10,9,3,5,7,3,7,2,1,8,0,0,11,10,10,9,1,3,0
9050,4,1,27,63,12,26,3,17,10,5,2,4,6,1,6,0,2,0,1,3,7,1,3,5,0,3,1
9051,4,2,50,119,26,41,4,25,12,17,4,7,5,3,7,2,6,5,1,1,9,5,9,5,2,3,7
9052,4,3,40,109,19,39,3,21,13,13,6,8,4,2,7,1,4,1,1,5,6,2,8,7,4,4,6
9053,4,2,31,84,13,27,5,12,11,8,3,7,6,2,3,1,1,6,0,1,11,7,6,8,0,2,1
9054,4,1,31,78,13,25,2,8,5,11,2,2,4,2,1,0,4,6,0,0,9,3,11,9,2,0,11
9055,4,1,28,88,7,44,5,10,12,8,2,1,7,1,8,1,1,0,0,1,8,2,5,19,5,1,2
9056,4,0,25,77,7,32,2,10,12,7,4,1,3,1,1,1,2,4,0,0,2,1,7,6,5,3,4
9057,4,2,32,84,14,36,2,13,14,9,2,4,3,2,7,5,1,4,0,0,5,4,2,4,0,6,0
9058,4,3,63,182,32,63,6,33,22,33,7,9,7,6,2,5,6,11,2,6,9,4,8,8,7,2,7
9059,4,0,18,39,5,18,2,7,5,7,1,4,5,0,0,4,0,2,0,0,1,1,0,3,1,0,0
9060,4,3,81,198,38,81,8,37,23,26,9,13,11,6,7,7,6,12,0,0,12,6,12,14,6,6,5
9061,4,3,81,208,28,85,9,35,20,21,9,11,14,5,20,5,8,6,5,1,7,8,14,16,16,6,6
9062,4,0,7,18,3,3,1,4,3,3,1,0,2,0,0,1,0,1,0,0,1,0,1,1,0,0,2
9063,4,1,11,34,7,10,2,5,4,6,0,3,2,1,2,0,1,1,0,0,5,2,3,5,0,0,0
9064,4,1,31,120,11,50,2,16,10,15,5,3,3,2,9,6,7,3,0,0,5,4,4,12,5,1,1
9065,4,1,13,46,3,18,1,7,7,9,0,0,5,1,2,2,0,1,0,0,2,0,0,3,2,0,1
9066,4,1,46,116,15,57,5,16,11,8,4,3,8,1,13,4,6,7,1,1,3,1,7,13,2,3,2
9067,4,1,27,63,14,26,4,13,10,10,3,6,5,1,7,1,0,2,0,0,2,1,2,6,4,0,0
9068,4,1,16,51,7,12,2,9,6,13,2,1,3,2,3,1,3,1,0,0,3,3,1,2,0,0,0
9069,4,3,60,158,29,53,7,22,20,20,6,12,8,5,9,6,7,8,8,1,11,3,8,12,2,2,5
9070,4,1,13,44,7,24,2,5,5,4,1,3,5,0,3,2,2,3,0,0,1,2,3,4,1,0,1
9071,4,2,40,96,18,32,5,19,12,16,5,2,7,2,5,3,2,7,0,0,5,4,5,5,1,1,1
9072,4,0,19,63,5,15,2,7,11,9,2,3,3,1,2,2,1,5,2,0,0,0,5,4,3,0,0
9073,4,1,23,81,3,38,4,9,9,5,2,1,7,1,6,0,2,7,1,0,0,2,5,12,10,3,1
9074,4,3,73,190,33,76,7,37,24,27,6,10,8,6,16,2,5,5,4,1,11,7,10,11,8,6,5
9075,4,3,51,141,33,45,6,28,17,20,9,16,7,4,4,4,5,7,0,6,6,4,13,3,2,6,13
9076,4,0,8,18,2,4,1,4,2,5,0,1,2,0,1,0,1,0,0,0,3,2,0,0,0,0,0
9077,4,1,21,55,10,22,3,13,8,11,2,6,6,1,2,0,0,1,1,1,5,1,4,6,0,0,0
9078,4,1,19,52,4,27,1,7,6,5,1,0,4,1,4,1,3,2,0,0,1,3,1,6,3,0,1
9079,4,2,53,166,24,66,7,34,12,31,14,19,13,3,4,5,10,8,0,5,13,2,5,10,7,2,0
9080,4,1,25,52,10,19,3,10,8,9,1,3,4,1,1,0,0,3,1,1,0,0,3,5,4,0,3
9081,4,2,23,66,9,25,3,14,5,12,5,4,5,2,3,1,0,2,0,0,9,1,5,5,1,0,3
9082,4,2,43,119,13,45,6,17,13,16,6,5,8,3,4,5,4,11,0,3,8,3,3,6,1,3,3
9083,4,2,48,118,26,39,7,21,14,10,12,11,9,1,3,2,1,4,1,5,2,3,11,9,9,6,9
9084,4,2,53,160,13,62,7,31,16,20,10,2,7,4,10,1,4,8,0,0,13,11,2,11,3,2,1
9085,4,2,59,144,25,56,5,31,15,25,6,9,5,3,5,4,5,7,0,1,11,3,8,5,1,3,9
9086,4,1,2,10,0,4,0,1,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0
9087,4,1,22,68,7,27,3,9,4,4,2,3,7,1,10,0,0,2,0,0,2,0,3,11,4,2,3
9088,4,2,44,105,18,36,2,23,11,16,5,7,7,2,4,1,4,5,0,0,4,3,6,10,7,1,4
9089,4,2,51,158,25,49,5,26,29,24,6,9,7,5,6,3,4,8,2,1,7,4,12,12,8,3,11
9090,4,1,15,59,2,21,2,13,4,6,4,1,3,1,4,0,2,3,0,0,4,0,2,3,1,2,2
9091,4,2,35,114,17,49,4,23,11,10,1,7,6,4,7,3,4,2,4,1,6,1,6,8,3,7,3
9092,4,0,8,23,3,9,1,6,2,2,1,0,2,1,0,1,2,1,1,0,0,1,1,1,2,0,0
9093,4,1,28,86,14,38,3,20,14,11,2,4,5,2,7,1,3,0,0,1,1,3,2,9,6,3,0
9094,4,1,10,27,2,10,1,5,5,3,0,1,2,1,1,0,0,2,0,0,3,1,1,2,0,2,1
9095,4,2,35,111,20,38,3,22,9,16,2,3,5,2,5,1,3,4,0,0,12,9,2,8,0,3,0
9096,4,2,48,122,19,45,5,22,19,15,5,2,8,2,3,2,4,2,1,0,13,2,7,15,0,3,3
9097,4,1,22,58,5,24,2,10,6,8,5,2,4,1,1,2,1,3,0,0,3,1,3,3,5,1,1
9098,4,3,59,148,29,54,8,29,18,20,7,7,8,1,12,5,3,5,3,0,7,4,15,6,3,7,7
9099,4,1,11,54,3,20,3,5,1,4,6,2,4,1,3,0,4,2,0,0,4,3,0,8,2,1,0
9100,4,1,26,85,8,23,4,15,8,13,3,5,7,2,5,2,2,8,1,0,6,6,2,4,2,1,0
9101,4,1,15,32,7,13,1,8,5,6,4,5,2,1,0,0,0,1,0,1,1,0,3,0,2,0,2
9102,4,1,16,48,8,20,3,13,4,9,0,4,5,0,2,0,2,1,0,0,5,0,0,3,0,3,0
9103,4,2,44,102,23,38,3,18,14,15,4,9,5,2,5,2,4,3,0,3,8,2,5,6,2,2,7
