id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words
11938,5,3,66,156,31,68,5,21,16,12,10,6,7,4,7,13,4,3,1,1,13,5,12
11939,5,3,61,159,20,69,9,33,23,17,9,11,11,4,8,6,10,3,3,2,9,2,6
11940,5,2,47,108,10,47,5,25,11,14,15,3,7,2,3,6,5,1,2,2,6,2,5
11941,5,3,52,130,12,65,6,23,15,14,3,4,8,3,8,8,4,0,2,1,7,0,2
11942,5,3,67,156,30,66,5,29,11,19,13,11,14,2,4,7,6,5,3,2,7,2,9
11943,5,3,57,120,24,50,7,26,15,16,7,8,17,1,4,4,2,2,1,1,8,1,18
11944,5,2,22,65,11,26,2,10,8,9,5,1,4,2,2,2,5,2,0,1,5,4,0
11945,5,4,96,214,49,74,9,39,33,23,14,23,10,7,7,18,9,7,2,4,3,2,18
11946,5,3,60,151,37,51,4,32,16,28,11,13,7,3,1,5,9,3,3,2,14,3,2
11947,5,2,44,120,21,41,7,22,9,12,6,8,8,2,4,4,8,3,7,1,9,1,11
11948,5,2,27,72,15,29,3,8,9,8,3,4,5,1,2,9,1,3,0,1,4,1,3
11949,5,3,58,132,28,61,6,14,14,16,4,8,7,3,9,15,4,6,2,0,7,2,3
11950,5,1,20,45,6,12,3,8,6,11,4,4,6,1,0,0,0,1,1,0,4,0,10
11951,5,3,54,142,25,46,7,23,17,13,9,8,8,4,6,3,6,5,2,0,7,6,8
11952,5,1,16,46,9,19,2,7,6,5,4,5,5,1,2,2,2,0,0,2,2,1,2
11953,5,1,16,54,3,15,2,7,3,4,2,1,4,2,3,3,3,1,0,0,8,0,6
11954,5,4,102,286,47,112,12,41,42,28,19,23,15,6,18,13,12,9,4,8,10,6,27
11955,5,1,9,33,4,17,2,3,3,0,1,2,2,1,4,1,1,1,1,0,0,0,5
11956,5,2,54,130,21,58,6,20,9,14,11,10,11,1,5,8,5,3,0,1,4,1,9
11957,5,4,59,146,30,61,7,27,19,15,10,14,8,4,8,9,3,3,2,4,6,2,7
11958,5,2,24,50,11,25,3,5,6,5,3,2,5,0,7,3,3,1,0,0,1,2,1
11959,5,2,47,141,29,49,5,25,21,11,9,14,10,3,9,4,6,2,5,3,9,1,7
11960,5,3,57,139,38,50,6,27,14,11,10,16,16,2,9,5,11,4,2,2,8,3,11
11961,5,1,25,68,8,39,3,7,11,5,3,1,9,0,10,1,3,0,1,0,0,0,6
11962,5,3,48,112,28,44,5,20,15,7,6,13,10,3,5,7,5,4,1,3,3,1,12
11963,5,4,132,276,50,122,13,56,34,41,15,17,14,7,19,16,14,4,3,4,15,8,6
11964,5,3,60,158,29,54,7,28,21,19,13,10,11,2,4,5,6,3,3,3,13,3,10
11965,5,3,44,117,25,50,5,15,19,7,10,9,12,1,8,4,4,2,1,1,11,0,8
11966,5,1,41,101,19,31,5,25,15,15,3,10,6,3,3,1,8,1,2,0,9,1,6
11967,5,2,18,43,6,17,1,5,4,5,7,1,5,0,2,4,2,2,0,0,4,2,4
11968,5,2,41,123,18,42,8,17,21,10,10,7,9,3,6,4,5,3,1,2,12,2,8
11969,5,2,38,90,17,44,3,16,14,12,5,5,3,3,0,6,3,2,1,0,0,0,2
11970,5,4,65,196,28,88,8,21,21,15,13,7,13,4,14,8,7,8,3,1,13,1,16
11971,5,1,16,38,5,11,2,7,7,2,1,1,4,1,1,3,1,0,0,0,0,0,2
11972,5,3,50,133,15,70,8,21,16,16,9,6,10,2,5,8,8,2,1,3,2,1,9
11973,5,2,54,154,28,53,9,28,19,21,13,8,15,2,6,7,7,1,2,2,15,2,7
11974,5,2,51,114,18,58,4,17,17,11,8,8,5,2,7,5,3,4,2,1,4,3,6
11975,5,4,46,112,24,44,6,17,13,8,7,8,8,2,5,7,4,2,4,3,9,1,10
11976,5,1,15,38,8,15,2,6,8,5,2,2,3,1,1,2,1,0,1,0,3,2,0
11977,5,1,10,29,4,13,1,3,6,3,1,0,1,1,0,2,1,0,0,0,3,1,2
11978,5,3,68,181,31,67,8,32,24,22,10,12,9,7,2,12,7,8,1,0,10,7,5
11979,5,4,86,210,40,94,7,36,25,25,16,20,16,5,14,18,7,7,1,8,9,2,13
11980,5,4,118,239,57,91,10,35,25,14,16,23,15,6,17,18,11,5,3,6,6,6,36
11981,5,2,43,119,16,56,5,12,12,9,6,6,8,2,17,3,2,6,0,0,1,4,6
11982,5,2,38,101,18,41,4,15,14,11,5,3,7,3,5,5,5,3,3,0,5,3,7
11983,5,1,20,46,8,16,2,5,3,5,2,3,4,1,0,5,2,5,1,1,3,0,0
11984,5,2,30,82,16,29,4,9,10,3,5,5,5,3,4,5,4,4,1,1,5,4,8
11985,5,4,71,170,32,69,8,26,25,16,5,13,10,3,10,12,4,5,2,2,10,5,8
11986,5,4,106,243,42,108,10,35,26,38,24,9,12,8,10,13,5,6,2,0,5,1,5
11987,5,2,45,115,17,47,5,21,14,13,7,6,9,2,5,6,3,3,1,1,12,3,8
11988,5,3,63,134,32,53,7,22,19,18,16,11,12,2,6,9,4,1,2,2,9,5,10
11989,5,3,88,212,42,111,9,28,21,17,15,14,18,4,11,22,8,8,3,5,3,2,11
11990,5,4,72,167,32,66,6,33,20,24,14,9,10,3,6,9,4,1,2,0,11,2,16
11991,5,3,66,147,26,58,7,31,14,9,7,11,12,2,10,8,7,4,3,4,4,5,12
11992,5,2,26,81,9,33,3,18,15,11,3,2,5,2,4,3,3,0,0,0,4,1,2
11993,5,1,13,33,6,17,2,5,4,2,0,4,3,0,2,2,3,0,3,1,0,0,2
11994,5,2,47,99,28,40,6,15,10,6,11,7,8,1,3,6,5,8,0,1,2,2,4
11995,5,1,16,46,7,19,1,9,6,5,2,3,3,1,2,3,3,2,2,0,1,0,3
11996,5,2,61,133,29,50,5,26,16,16,11,9,5,4,7,9,4,4,0,1,3,5,6
11997,5,4,83,186,36,72,7,41,26,24,20,15,13,6,4,12,8,1,1,9,10,6,19
11998,5,1,6,20,1,6,1,3,2,5,2,0,3,0,0,1,1,0,0,0,0,0,0
11999,5,3,18,51,5,19,2,7,6,5,3,1,4,2,3,2,1,1,2,0,0,1,5
12000,5,2,57,141,32,42,5,20,19,22,7,11,12,1,3,6,3,5,10,2,8,2,12
12001,5,2,32,84,11,27,4,16,10,9,5,1,5,3,3,3,5,0,1,0,6,0,5
12002,5,1,18,52,4,18,2,10,5,7,1,1,4,2,1,1,2,1,1,0,6,5,3
12003,5,3,70,193,32,87,6,35,22,26,14,10,9,5,13,5,11,2,0,3,11,10,9
12004,5,2,44,111,12,52,7,17,14,16,9,1,9,0,4,5,3,3,3,0,7,2,2
12005,5,3,45,139,13,75,7,16,18,16,7,4,12,2,8,11,5,1,1,0,6,3,6
12006,5,1,38,103,11,33,5,8,14,9,12,1,8,1,2,7,5,1,4,0,4,0,1
12007,5,3,42,112,17,51,5,19,16,10,9,4,7,3,9,5,7,0,1,0,9,1,1
12008,5,3,53,134,14,60,6,22,16,19,11,3,8,4,9,7,3,2,1,0,7,2,2
12009,5,2,24,63,18,24,4,7,8,7,3,8,8,1,3,3,3,1,0,1,1,0,4
12010,5,2,48,116,29,51,4,14,11,10,7,12,10,3,6,7,5,6,2,2,5,1,10
12011,5,3,62,168,26,64,9,26,14,14,11,11,13,3,8,5,9,8,3,1,4,2,2
12012,5,2,51,143,22,65,6,31,17,25,11,10,12,2,6,4,1,1,8,2,1,1,3
12013,5,1,24,64,13,24,2,12,11,5,4,3,3,2,2,3,4,0,1,1,3,1,5
12014,5,3,66,152,39,59,7,24,22,15,10,16,9,2,4,12,4,7,4,5,9,2,13
12015,5,2,36,97,16,35,5,20,7,12,8,7,7,3,6,2,3,4,0,1,6,0,7
12016,5,3,53,155,27,66,6,19,22,11,8,11,9,4,5,6,8,6,5,4,8,3,10
12017,5,1,22,63,9,31,3,11,8,8,7,1,7,0,2,2,0,0,1,0,4,2,0
12018,5,4,100,246,35,93,10,34,27,36,20,11,16,2,13,10,8,6,1,1,22,8,19
12019,5,2,32,129,15,40,4,22,17,13,6,6,8,3,5,4,10,3,2,1,1,2,4
12020,5,3,62,154,37,63,9,24,18,16,11,13,14,1,6,8,4,5,1,4,17,5,3
12021,5,3,44,107,24,46,5,16,14,9,6,9,6,4,6,4,4,1,3,2,4,4,13
12022,5,2,43,110,16,49,6,16,15,13,9,1,7,2,2,6,0,3,3,0,3,1,3
12023,5,1,20,61,5,27,2,6,7,9,2,1,6,1,1,1,2,4,1,0,1,0,3
12024,5,3,76,141,46,45,5,28,18,19,16,11,9,4,2,8,4,3,1,2,8,3,12
12025,5,2,38,109,14,46,5,16,12,15,4,5,6,2,5,5,0,1,1,0,5,1,4
12026,5,2,65,149,44,55,5,29,19,13,8,18,8,4,7,6,8,1,4,5,11,1,12
12027,5,2,35,102,15,35,4,19,14,9,12,4,6,3,5,4,2,3,0,1,7,1,10
12028,5,4,86,212,50,76,8,32,29,24,20,20,10,6,8,17,5,2,2,9,10,2,12
12029,5,2,39,117,15,48,4,15,13,7,7,7,6,3,5,7,7,5,2,0,10,0,2
12030,5,3,51,119,29,51,5,24,18,10,6,16,11,1,5,7,5,0,0,1,10,2,6
12031,5,4,60,158,36,64,8,26,22,14,15,10,10,4,6,8,5,5,1,2,10,7,15
12032,5,1,38,88,12,38,3,15,14,8,7,6,7,2,2,3,4,1,0,2,1,1,6
12033,5,3,69,148,34,67,8,29,15,22,11,14,16,2,5,14,6,5,3,6,6,3,4
12034,5,3,54,164,21,60,5,33,18,20,9,7,7,3,9,4,10,2,2,2,10,2,8
12035,5,2,30,68,16,22,5,12,12,11,5,6,6,1,2,2,3,0,1,1,4,0,5
12036,5,1,41,98,18,41,4,17,17,13,8,10,5,2,3,3,2,1,2,1,2,3,9
12037,5,3,51,120,23,54,5,22,16,13,8,4,8,3,7,2,2,3,0,1,7,2,5
12038,5,2,48,120,27,45,4,24,15,16,10,15,5,3,8,3,5,2,0,7,6,4,7
12039,5,2,36,88,16,26,4,20,11,13,6,3,6,2,1,2,3,4,2,1,4,3,6
12040,5,1,30,85,10,27,4,10,11,7,7,2,5,3,3,5,4,0,1,1,9,4,2
12041,5,1,26,58,14,12,1,15,9,6,4,5,2,1,2,1,2,2,1,1,0,2,6
12042,5,3,41,96,14,37,4,13,14,12,7,2,5,3,4,7,5,2,3,0,2,2,9
12043,5,1,24,56,12,17,1,11,6,8,3,6,7,0,0,4,1,1,1,0,6,1,4
12044,5,3,56,149,23,58,7,20,18,17,8,3,8,5,14,11,4,4,1,2,7,3,6
12045,5,2,38,86,13,36,4,15,8,11,8,2,6,3,6,1,0,1,1,0,7,4,3
12046,5,1,18,58,9,22,2,9,9,8,2,3,3,1,1,2,1,3,3,1,1,0,5
12047,5,2,102,244,62,92,12,52,34,38,16,21,13,7,11,17,14,7,4,2,11,3,6
12048,5,2,35,74,17,30,3,15,9,6,5,6,5,3,2,6,4,2,0,1,3,1,4
12049,5,4,88,193,50,83,9,41,31,16,10,26,10,4,6,13,9,3,8,8,8,2,6
12050,5,0,6,20,1,7,1,5,2,4,1,1,2,1,1,0,1,1,0,0,0,0,0
12051,5,2,43,106,27,39,5,15,11,13,9,9,7,3,6,6,5,4,1,1,8,1,6
12052,5,4,52,147,23,57,6,23,20,13,6,8,9,2,10,6,3,2,2,0,11,6,5
12053,5,0,3,19,0,5,1,1,1,1,2,0,2,1,1,0,1,1,0,0,3,0,3
12054,5,3,68,158,42,51,7,26,21,13,13,16,8,4,6,4,8,3,3,2,14,6,11
12055,5,2,31,77,14,21,5,15,11,9,6,3,6,1,2,2,1,2,4,2,1,4,6
12056,5,3,60,163,21,56,7,36,19,23,14,12,8,4,5,4,7,3,1,3,3,4,3
12057,5,1,32,78,15,31,3,14,10,15,2,5,4,2,5,6,2,2,4,1,5,1,2
12058,5,3,62,181,38,70,8,33,27,19,10,15,9,6,8,8,10,4,7,2,5,1,5
12059,5,2,32,101,13,36,5,10,14,12,8,3,6,2,4,4,3,4,1,0,3,0,3
12060,5,3,59,162,26,51,7,30,26,27,10,7,9,4,4,10,7,2,3,3,6,1,5
12061,5,2,40,89,17,33,3,19,8,15,6,7,8,2,3,2,4,1,1,3,3,6,4
12062,5,3,49,133,22,42,5,22,16,14,3,4,7,2,6,3,6,2,1,1,2,3,6
12063,5,2,61,127,21,51,7,16,12,12,14,5,9,3,11,7,3,2,0,0,8,2,15
12064,5,3,66,164,16,65,4,30,19,16,13,3,5,3,7,1,4,6,4,0,6,2,16
12065,5,2,52,120,18,35,5,25,14,19,7,5,8,2,6,2,4,2,1,0,9,2,13
12066,5,0,2,8,1,2,0,2,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0
12067,5,2,34,77,18,21,4,13,7,5,7,7,7,1,2,5,6,1,0,1,1,3,10
12068,5,3,67,157,46,60,6,19,18,9,18,15,10,3,8,7,6,5,2,0,8,3,21
12069,5,4,108,275,62,104,10,40,33,33,24,24,12,8,6,22,14,8,2,6,15,5,19
12070,5,2,39,97,21,34,4,18,12,13,8,8,9,1,4,5,3,1,1,0,6,1,9
12071,5,3,63,159,43,68,8,28,22,13,7,15,11,3,10,13,5,4,3,1,7,1,9
12072,5,4,93,217,46,85,10,42,26,25,13,20,25,5,14,17,10,3,3,4,8,5,8
12073,5,2,11,42,2,15,1,7,4,5,3,0,5,0,3,1,2,0,0,0,6,0,2
12074,5,2,18,54,8,23,3,11,7,5,2,3,4,1,4,1,3,3,2,0,1,1,1
12075,5,3,51,126,16,46,6,18,8,11,10,3,11,1,7,5,2,6,0,0,10,2,3
12076,5,2,33,100,18,43,5,12,11,9,5,3,8,2,4,4,6,2,1,0,0,3,3
12077,5,3,55,141,25,52,6,30,13,16,9,12,13,3,10,8,3,4,2,8,5,1,7
12078,5,1,19,54,5,20,2,7,7,8,4,0,3,1,3,2,1,1,0,0,5,1,2
12079,5,3,65,163,41,72,7,19,18,13,10,11,9,4,10,9,5,2,2,2,15,3,10
12080,5,4,66,155,24,53,6,32,15,20,9,7,9,4,10,5,8,5,3,0,8,3,5
12081,5,4,105,240,49,83,11,54,27,29,18,20,15,7,7,16,10,7,2,3,10,4,15
12082,5,3,73,183,45,83,5,19,13,13,10,20,21,1,12,15,7,2,5,3,7,6,10
12083,5,1,16,39,7,12,2,6,4,5,6,3,3,1,2,1,2,2,0,2,4,0,5
12084,5,3,65,135,24,56,5,25,15,18,13,12,6,3,6,9,3,5,0,1,6,1,11
12085,5,3,64,149,34,60,6,23,19,14,12,7,7,4,12,4,6,3,3,0,8,3,5
12086,5,3,94,184,46,75,8,34,22,27,23,14,9,4,7,13,6,1,10,5,14,2,11
12087,5,1,15,47,9,19,1,10,5,9,4,3,5,0,0,3,2,0,0,1,4,2,1
12088,5,2,52,121,20,42,5,16,17,11,13,3,8,3,11,3,6,1,3,2,2,3,11
12089,5,1,19,61,3,24,3,9,6,8,1,0,4,2,5,0,8,0,3,0,3,0,9
12090,5,4,83,174,38,61,10,34,18,12,9,14,12,3,14,11,9,2,1,1,16,5,10
12091,5,3,56,137,30,52,6,20,18,12,7,8,9,3,4,10,5,5,2,0,9,2,13
12092,5,1,44,117,11,37,1,23,8,13,18,4,16,0,5,0,4,3,0,2,8,5,21
12093,5,2,35,102,16,45,4,11,12,9,2,4,6,2,8,7,2,2,2,0,8,2,0
12094,5,2,26,84,10,32,3,14,12,10,5,2,5,2,8,5,6,2,1,0,3,1,12
12095,5,1,19,53,5,22,3,11,8,2,2,1,5,0,4,0,3,1,0,0,7,0,2
12096,5,1,16,44,4,12,3,7,6,9,4,1,4,0,1,2,4,0,0,1,5,0,3
12097,5,1,23,70,9,24,4,11,6,7,8,2,6,1,4,2,5,0,0,1,3,2,4
12098,5,1,20,61,9,23,3,11,8,10,3,1,6,1,2,2,0,1,2,1,6,1,2
12099,5,3,53,137,23,64,6,23,15,20,8,7,8,5,11,8,6,4,0,2,5,0,5
12100,5,4,73,180,37,72,9,30,20,20,8,10,13,3,13,9,9,6,3,1,2,3,15
12101,5,4,67,167,32,57,7,34,28,23,6,12,8,4,7,4,5,1,4,5,8,4,9
12102,5,4,57,179,26,74,7,27,26,20,19,8,8,4,3,6,8,4,3,4,8,7,4
12103,5,3,46,112,22,39,6,21,12,11,8,11,9,1,4,11,7,1,0,1,1,0,14
12104,5,2,48,116,23,44,5,21,13,17,6,8,9,2,7,6,2,5,3,2,10,3,5
12105,5,3,59,138,28,73,5,37,14,28,8,10,8,2,6,8,6,2,2,2,7,3,4
12106,5,3,60,158,21,65,6,24,18,22,8,5,7,4,12,8,5,5,4,1,9,5,4
12107,5,2,30,92,17,37,5,14,12,9,6,7,7,2,7,2,3,2,6,1,2,0,10
