id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10
11853,5,2,40,84,23,33,5,18,8,13,15,6,6,1,4,2,3,3,1,2,1,0,4,2,6,2,2,1.3183900292,0,0,0,0,2.53724409018,4.82142857143,48.2142857143,0,2,6.12272727273,0,0,0,0,0,0,0,0,0,0,14.0,0,0
11854,5,1,16,49,9,15,2,10,5,2,6,0,5,1,1,0,3,0,1,0,0,0,6,4,9,3,5,0.623561775143,0,0,1,0,1.8415092893,4.32653061224,43.2653061224,0,0,5.42066666667,0,0,2,1,0,0,0,0,0,3.18695076613,9.8,0,0
11855,5,3,56,149,25,54,7,24,22,17,10,15,8,5,4,5,10,2,0,3,1,3,9,10,16,6,7,1.53506441586,2,0,3,0,2.30605398876,4.46308724832,44.6308724832,0,0,5.53888888889,0,2,1,0,0,0,1,1,0,0,18.625,0,0
11856,5,4,68,162,33,50,6,32,22,21,11,19,8,2,5,7,7,5,1,5,5,7,10,6,6,9,9,3.12158489895,2,0,1,0,2.61084312091,4.58024691358,45.8024691358,0,2,5.9078,2,0,0,0,2,0,1,0,1,6.96408268,20.375,0,0
11857,5,4,90,230,47,97,11,48,33,30,26,17,16,8,7,11,8,5,4,11,21,1,13,8,1,16,12,3.89145176925,1,3,0,0,2.50094343315,4.61739130435,46.1739130435,1,1,6.09092783505,0,0,1,0,0,0,0,0,0,10.5557212527,14.375,0,0
11858,5,3,37,91,12,35,3,11,4,13,12,4,10,1,9,4,5,2,1,2,6,7,3,5,2,1,2,1.63696605412,0,1,1,0,2.18653890451,4.42857142857,44.2857142857,0,1,5.24971428571,0,0,0,0,0,1,1,0,0,0,9.1,0,0
11859,5,2,40,118,16,48,6,16,15,13,8,4,7,3,2,3,5,3,3,2,11,2,5,20,4,3,0,1.59986747965,2,4,1,0,2.05966345075,4.1186440678,41.186440678,0,1,5.47416666667,0,1,0,0,0,0,0,0,0,0,16.8571428571,0,0
11860,5,3,52,143,26,58,6,21,13,9,8,10,9,4,10,12,8,10,0,2,0,4,9,12,13,5,9,4.53251195343,1,5,1,1,2.24678984586,4.41958041958,44.1958041958,0,0,5.11,0,0,2,0,0,0,3,0,0,0,16.0,0,0
11861,5,3,48,147,17,61,5,32,20,17,6,6,14,0,5,1,4,3,3,0,4,2,7,14,8,10,4,2.94603023812,0,7,1,0,2.00901889701,4.13605442177,41.3605442177,1,1,4.98803278689,0,0,0,1,1,0,0,0,0,5.96921372572,10.5,0,0
11862,5,3,39,100,17,28,6,14,10,10,6,9,7,1,6,3,6,2,0,1,8,0,7,11,3,9,5,1.26027848137,0,1,1,0,2.22238383251,4.52,45.2,0,4,5.91392857143,0,0,0,0,0,0,0,0,0,6.96408268,14.2857142857,0,0
11863,5,3,47,143,22,49,7,15,20,13,9,4,9,3,9,7,5,6,2,1,13,1,9,16,3,6,12,3.09334289755,1,2,1,0,2.0614273966,4.1048951049,41.048951049,0,2,5.6412244898,0,1,0,0,0,0,0,0,1,3.97947581715,15.8888888889,0,0
11864,5,2,40,120,20,52,6,27,19,10,6,13,7,2,7,8,6,2,0,3,6,1,0,10,7,6,0,2.62403261172,2,0,0,1,2.52849309094,4.4,44.0,2,0,5.54269230769,1,1,1,0,0,0,0,0,0,3.97947581715,17.1428571429,0,0
11865,5,3,67,145,25,61,8,32,20,23,5,9,12,3,6,8,3,2,3,2,7,1,9,6,8,7,7,2.23734955129,0,4,2,0,2.15643028426,4.63448275862,46.3448275862,1,0,6.23426229508,1,1,0,0,0,0,1,0,0,0.505859758166,12.0833333333,0,0
11866,5,4,123,250,60,110,11,30,27,15,19,27,29,2,7,25,12,7,4,5,10,1,24,13,17,23,28,3.13072291904,2,2,2,0,2.37728203617,4.944,49.44,1,1,5.363,0,1,2,3,0,0,0,0,0,8.95382058858,8.65517241379,0,0
11867,5,2,36,94,18,41,4,14,13,9,6,5,5,3,3,7,4,2,2,0,3,2,3,9,4,2,1,1.80504391481,2,1,3,0,2.17704691901,4.32978723404,43.2978723404,3,0,5.22951219512,0,0,0,0,1,0,1,0,0,0,18.8,0,0
11868,5,3,42,101,24,37,4,18,14,7,11,11,7,2,2,5,5,0,3,0,0,2,2,7,11,3,3,1.36318055797,1,0,1,0,2.33916292043,4.64356435644,46.4356435644,0,7,5.89594594595,1,1,0,0,0,0,1,0,0,2.98460686286,14.4285714286,0,0
11869,5,3,42,114,14,45,7,20,15,16,8,6,8,1,2,6,4,1,2,1,8,1,4,9,2,5,4,1.64524309987,0,2,1,0,1.96754050778,4.28947368421,42.8947368421,1,4,5.80266666667,2,0,0,0,0,0,0,0,0,4.97434477143,14.25,0,0
11870,5,2,35,97,11,34,4,12,11,9,12,3,6,1,2,6,5,2,1,1,2,1,13,5,9,5,11,2.45114298855,1,3,1,0,1.84638822693,4.19587628866,41.9587628866,1,1,5.45676470588,1,0,0,1,0,0,0,0,0,4.28299167204,16.1666666667,0,0
11871,5,1,14,51,5,19,2,9,7,8,3,2,4,1,0,1,1,2,2,0,1,0,2,5,3,2,0,1.44227676118,0,2,0,0,1.9858321711,3.76470588235,37.6470588235,0,0,6.48210526316,0,2,0,0,0,0,0,0,1,2.29325376347,12.75,0,0
11872,5,3,58,148,24,51,4,30,19,17,9,9,5,4,9,5,4,2,5,2,3,4,12,5,11,7,9,3.1048664653,3,1,0,0,2.15982131053,4.35135135135,43.5135135135,1,1,5.49647058824,0,4,0,0,2,0,0,0,0,0,29.6,0,0
11873,5,3,61,158,32,63,7,34,14,22,12,13,9,6,7,9,9,2,1,7,14,0,8,9,2,2,3,2.69508825249,1,4,4,1,2.54192452902,4.63924050633,46.3924050633,0,3,5.78031746032,0,1,1,0,0,0,0,0,0,0,17.5555555556,0,0
11874,5,3,57,138,34,53,7,22,18,13,11,16,9,3,10,6,6,2,4,2,4,0,12,9,5,7,12,2.25415748762,1,3,3,1,2.51213072987,4.76811594203,47.6811594203,0,2,5.90962264151,0,1,1,0,0,1,1,0,1,0,15.3333333333,0,0
11875,5,3,43,141,19,70,7,16,20,12,7,5,9,4,6,9,9,2,4,1,8,1,4,17,7,8,0,3.02834326847,1,4,2,0,2.03564985056,4.0780141844,40.780141844,0,0,5.45942857143,0,5,0,0,0,1,0,0,0,0,15.6666666667,0,0
11876,5,2,29,81,16,33,3,13,14,6,5,5,6,2,3,6,3,2,0,0,4,0,3,7,5,6,2,1.32041382071,0,1,1,0,2.12313825489,4.35802469136,43.5802469136,0,1,6.2803030303,0,0,1,0,0,0,0,0,0,0.202343903266,13.5,0,0
11877,5,2,23,51,12,8,2,11,8,6,5,3,4,1,0,0,2,0,2,0,9,0,5,2,0,3,3,0.952753996201,1,0,0,0,2.22939365713,4.56862745098,45.6862745098,1,0,6.35625,0,0,0,0,0,0,0,0,0,2.98460686286,12.75,0,0
11878,5,3,75,213,27,76,9,32,26,22,17,12,11,6,9,9,7,3,2,4,16,3,13,23,7,11,13,6.86138259784,3,6,3,1,2.28788805402,4.03755868545,40.3755868545,0,1,5.3375,0,3,0,1,0,0,0,0,0,6.47507348388,19.3636363636,0,3
11879,5,2,22,66,7,28,4,13,3,9,2,4,5,1,2,1,6,0,1,0,0,0,1,8,11,3,0,1.18474364953,0,0,0,0,1.96573206824,4.16666666667,41.6666666667,1,2,5.45892857143,0,2,0,0,2,0,0,0,0,0,13.2,0,0
11880,5,1,11,39,5,18,2,6,6,6,3,1,4,1,2,0,3,0,1,0,0,0,0,3,5,0,0,0.657060742148,0,1,0,0,1.76905473513,4.23076923077,42.3076923077,0,1,4.96944444444,1,0,0,0,1,0,0,0,0,0,9.75,0,0
11881,5,3,39,118,10,48,6,24,15,19,4,4,10,3,6,3,1,2,2,3,6,2,10,8,6,5,7,3.50799002944,0,2,3,1,2.15991157716,4.13559322034,41.3559322034,0,2,5.39145833333,1,0,0,0,1,1,0,0,0,0,11.9,0,0
11882,5,3,56,128,15,46,7,16,12,6,14,1,10,2,7,7,10,3,1,0,5,1,14,7,8,12,14,2.35108637946,0,1,2,0,1.66835339517,4.2421875,42.421875,0,7,4.99456521739,0,0,0,0,0,1,0,0,0,7.95895163429,12.8,0,0
11883,5,3,69,179,24,72,8,33,26,25,9,10,12,4,8,10,2,3,0,1,10,4,9,12,11,6,8,2.81746849663,1,3,1,0,2.02516959971,4.27932960894,42.7932960894,2,2,5.74916666667,2,0,0,0,0,1,1,0,0,0.505859758166,14.9166666667,0,0
11884,5,4,124,284,68,120,12,46,29,28,13,25,23,4,15,22,11,8,7,6,13,8,24,19,11,21,20,4.69461792516,2,4,3,1,2.44629774702,4.77464788732,47.7464788732,3,0,5.66683333333,0,1,0,0,1,1,0,0,0,10.9435584971,12.5217391304,0,0
11885,5,2,36,98,6,24,3,9,13,12,11,4,5,3,6,3,5,3,1,0,8,0,16,9,0,2,15,1.59681654796,1,2,1,0,1.85935067586,3.91836734694,39.1836734694,1,3,5.5525,0,0,0,0,0,0,0,0,1,0,19.6,0,1
11886,5,3,60,176,33,72,10,31,16,24,15,11,11,5,6,6,8,2,0,5,10,7,11,12,14,6,7,3.98593538661,1,1,2,1,2.28751552404,4.38636363636,43.8636363636,0,5,5.77722222222,0,2,0,0,0,0,0,0,1,4.48533557531,16.3636363636,0,0
11887,5,2,29,72,13,28,4,15,10,10,2,9,7,1,7,3,3,0,1,2,6,2,3,6,4,0,1,1.2967350686,0,1,0,1,2.62466929134,4.61111111111,46.1111111111,0,0,6.62535714286,0,0,0,0,0,1,0,0,1,0,10.2857142857,0,0
11888,5,1,16,58,6,26,2,11,8,9,3,1,3,2,3,4,2,1,2,1,2,1,0,1,3,5,0,1.18916924785,1,0,0,0,1.87583415605,4.08620689655,40.8620689655,0,0,5.58269230769,0,0,0,0,0,0,0,0,1,3.18695076613,19.3333333333,0,0
11889,5,2,38,85,15,29,5,19,10,13,3,5,7,1,2,1,4,1,0,3,5,1,10,2,8,4,11,1.08992222974,0,0,0,1,2.27746234522,4.63529411765,46.3529411765,1,1,5.06310344828,0,1,0,0,1,0,0,0,0,0,12.1428571429,0,0
11890,5,2,35,79,19,22,4,16,11,8,7,8,5,1,3,3,6,1,0,2,3,3,14,1,2,4,10,2.20280895042,1,0,0,0,2.41223754444,4.72151898734,47.2151898734,0,2,5.54909090909,0,0,0,0,0,0,0,0,0,3.97947581715,15.8,0,0
11891,5,3,66,148,38,48,8,28,24,21,11,16,13,2,5,11,5,2,2,6,11,1,7,2,4,5,7,2.96717189197,1,0,1,0,2.59002286139,4.83783783784,48.3783783784,0,4,6.60833333333,0,1,1,0,2,0,0,0,0,0,11.3846153846,0,0
11892,5,2,31,96,15,37,5,17,8,8,7,4,6,2,3,2,10,3,0,3,0,1,0,12,5,3,0,6.28978425347,1,3,3,0,2.31547047245,4.08333333333,40.8333333333,0,3,5.03054054054,0,2,1,0,0,0,0,0,0,0,16.0,0,0
11893,5,3,50,151,24,61,7,18,23,14,7,6,8,4,5,9,6,4,2,2,5,3,5,15,14,6,6,3.48642471667,2,0,1,0,2.13324365154,4.12582781457,41.2582781457,3,4,5.40131147541,0,1,0,1,3,0,0,0,0,4.97434477143,18.875,0,0
11894,5,2,38,106,15,46,6,15,14,15,4,4,7,1,4,6,4,4,2,0,6,2,6,8,5,5,7,2.60665785964,1,1,1,0,2.05495041399,4.07547169811,40.7547169811,0,2,5.81804347826,0,0,0,0,0,0,1,0,0,3.28812271776,15.1428571429,0,0
11895,5,3,40,124,24,50,7,22,22,7,9,3,8,4,4,5,2,2,1,0,10,0,3,18,4,7,2,2.24166777217,0,2,3,0,2.06050302078,4.23387096774,42.3387096774,0,1,5.8006,0,0,2,0,0,1,0,0,0,4.97434477143,15.5,0,0
11896,5,3,61,143,27,56,7,21,15,18,8,9,8,4,10,9,8,3,2,2,6,2,10,7,6,7,10,2.48519810009,2,4,0,0,2.23251934324,4.4965034965,44.965034965,2,1,5.60946428571,0,1,0,0,0,2,0,0,0,0,17.875,0,0
11897,5,3,44,109,21,35,5,25,16,15,4,9,7,3,5,3,3,4,5,1,4,4,5,7,5,2,3,2.93451880024,1,2,0,0,2.37622583133,4.38532110092,43.8532110092,2,0,5.982,0,0,0,0,1,0,0,0,0,0,15.5714285714,0,0
11898,5,3,68,148,32,57,5,25,25,17,10,13,13,2,9,10,1,1,5,1,1,0,10,10,3,4,9,1.86469648124,0,5,4,0,2.36131217397,4.72297297297,47.2297297297,0,2,6.10438596491,0,4,0,0,0,0,0,0,0,0,11.3846153846,0,0
11899,5,3,48,141,22,55,6,21,12,11,7,7,8,4,8,10,11,6,3,2,10,0,4,11,2,9,5,2.10061389236,2,3,1,0,2.12840108659,4.27659574468,42.7659574468,0,2,6.00690909091,0,2,0,1,0,1,0,0,0,7.95895163429,17.625,0,0
11900,5,3,86,194,36,70,10,40,20,13,13,14,14,3,15,7,9,4,0,3,9,2,17,11,8,11,11,2.99003204666,1,1,4,2,2.46449061897,4.60824742268,46.0824742268,1,4,5.741,0,0,1,3,0,0,1,0,0,7.95895163429,14.0,0,0
11901,5,3,71,166,24,64,7,33,19,16,14,9,9,5,6,6,7,1,4,2,11,4,9,14,5,10,0,2.77162947336,3,6,1,0,2.03310498541,4.35542168675,43.5542168675,1,4,5.28078125,0,0,0,1,0,0,0,0,0,0,18.4444444444,0,0
11902,5,1,14,54,3,22,4,13,4,6,1,1,5,1,1,2,5,1,1,1,3,0,0,5,3,3,0,0.770654012159,0,1,0,0,1.74791480043,3.96296296296,39.6296296296,0,2,5.65136363636,0,0,0,0,0,0,0,0,1,2.98460686286,10.8,0,0
11903,5,1,12,30,5,14,1,5,6,2,5,0,3,1,0,0,2,0,0,0,2,0,4,3,0,0,1,0.311145241128,0,2,0,0,1.78402876117,4.3,43.0,0,0,5.61285714286,0,0,0,0,1,0,0,0,0,0,10.0,0,0
11904,5,3,66,152,15,70,7,22,23,17,9,4,8,5,7,7,5,2,3,0,1,4,8,7,17,7,13,3.24988719017,2,5,0,0,1.75264327586,4.21710526316,42.1710526316,3,5,5.04314285714,0,0,0,0,1,0,1,0,0,0,19.0,0,0
11905,5,3,52,118,21,48,5,27,14,15,10,11,6,3,5,3,2,2,2,2,13,2,9,3,2,3,8,2.65631735506,3,1,2,0,2.38014141525,4.57627118644,45.7627118644,1,4,6.09333333333,1,0,0,0,1,0,0,1,0,0,20.0,0,0
11906,5,4,74,191,36,67,7,28,21,28,18,10,8,6,7,14,9,6,3,2,4,3,4,10,15,6,1,2.8247891246,4,3,2,0,2.20120461021,4.37172774869,43.7172774869,0,2,5.57791044776,0,1,1,1,1,0,0,0,2,0,23.875,0,0
11907,5,2,21,71,13,23,3,6,6,4,5,5,5,2,2,4,2,5,1,0,3,1,4,12,7,4,4,2.13522881331,1,3,0,0,2.19015540182,4.05633802817,40.5633802817,0,1,5.14782608696,0,0,0,0,0,0,0,0,0,2.98460686286,14.2,0,0
11908,5,3,40,97,19,51,3,13,13,10,8,7,5,2,2,9,4,1,2,2,2,1,2,8,7,8,0,1.44226223469,2,1,1,0,2.29994210296,4.56701030928,45.6701030928,1,1,5.81490196078,1,0,0,1,0,0,0,0,0,3.97947581715,19.4,0,0
11909,5,2,35,74,14,29,4,16,13,10,1,3,6,0,5,0,4,0,0,0,4,3,0,7,4,2,0,0.734724686438,0,0,1,0,1.99467079697,4.52702702703,45.2702702703,0,1,5.39344827586,0,0,0,0,1,0,0,0,0,0,12.3333333333,0,0
11910,5,1,23,67,10,27,3,14,7,9,5,2,6,0,7,0,1,1,0,1,2,2,4,4,7,1,4,1.06054672318,0,0,1,0,2.11475401215,4.26865671642,42.6865671642,0,1,5.89925925926,0,0,0,0,0,0,0,0,0,0,11.1666666667,0,0
11911,5,3,52,131,22,45,8,15,11,9,10,10,9,3,8,9,5,8,2,2,5,3,10,8,8,9,11,2.37156082574,0,2,2,0,2.30908746239,4.3893129771,43.893129771,0,1,5.63088888889,0,0,0,0,1,1,0,0,0,4.97434477143,14.5555555556,0,0
11912,5,2,18,50,9,12,3,11,8,7,1,4,4,1,1,0,0,0,1,0,3,0,1,8,4,1,2,1.12556328937,0,1,0,0,2.35640681149,4.28,42.8,0,2,5.6125,0,1,0,0,0,0,0,0,0,0,12.5,0,0
11913,5,2,37,109,16,43,6,12,15,15,11,3,7,2,5,8,2,5,1,0,5,2,7,5,4,6,6,2.31495905958,1,1,0,0,1.8586199799,4.09174311927,40.9174311927,0,1,5.53046511628,1,0,0,0,0,0,0,0,0,0.3035158549,15.5714285714,0,0
11914,5,1,24,64,11,16,4,8,6,7,7,7,6,1,2,4,4,2,3,0,6,2,5,2,0,3,5,2.25019186051,0,0,0,0,2.41188977808,4.265625,42.65625,0,1,5.745,1,0,0,0,0,0,0,0,0,0.202343903266,10.6666666667,0,0
11915,5,2,36,101,15,37,4,20,15,19,8,7,6,2,3,3,6,0,1,4,9,0,5,5,2,0,3,1.80234538393,2,3,0,0,2.45251941586,4.30693069307,43.0693069307,0,4,6.94594594595,0,0,0,0,0,0,0,0,0,0,16.8333333333,0,0
11916,5,3,69,161,28,70,6,29,20,23,12,5,7,4,7,7,6,7,0,0,3,2,9,7,11,4,5,3.00719328361,2,1,2,0,1.98155312698,4.49689440994,44.9689440994,0,0,5.22214285714,0,0,0,4,1,0,1,0,0,0,23.0,0,0
11917,5,2,43,126,17,53,5,17,14,16,10,7,6,4,7,6,8,2,1,1,1,3,6,9,12,5,9,2.87806023757,2,1,2,0,1.94018490364,4.30158730159,43.0158730159,1,0,5.07509433962,1,1,0,0,0,0,0,0,0,0,21.0,0,0
11918,5,2,20,55,15,21,3,12,10,8,2,4,7,0,2,2,2,1,2,1,2,2,3,3,2,2,3,0.908902500988,0,1,0,0,2.44715185237,4.58181818182,45.8181818182,0,0,6.11761904762,0,0,0,0,0,0,0,0,0,0,7.85714285714,0,0
11919,5,1,24,68,10,24,3,9,7,8,5,5,4,2,5,2,3,2,0,2,5,0,2,6,2,2,2,1.46549428145,1,3,1,0,2.24503158396,4.27941176471,42.7941176471,0,2,5.58583333333,0,2,0,1,0,0,0,0,0,0.202343903266,17.0,0,0
11920,5,3,54,128,27,46,7,26,16,12,8,12,8,3,8,5,7,1,2,4,6,6,9,6,6,5,4,2.8583769008,1,3,1,0,2.39379477919,4.6328125,46.328125,1,1,5.58173913043,0,1,1,2,1,0,1,0,0,4.28299167204,16.0,0,0
11921,5,3,33,107,15,45,5,11,12,7,8,1,7,2,11,8,3,6,0,1,1,4,6,10,9,4,1,1.33202342102,1,1,0,1,1.93297130445,4.21495327103,42.1495327103,0,2,5.15844444444,1,0,0,2,1,0,0,0,0,2.98460686286,15.2857142857,0,0
11922,5,2,32,93,8,35,5,20,12,8,9,4,7,2,3,3,6,2,0,3,2,0,4,10,5,3,3,1.30496781779,1,1,2,1,2.11342687714,4.10752688172,41.0752688172,0,1,5.40514285714,0,2,0,0,0,0,0,0,0,0,13.2857142857,0,0
11923,5,2,60,139,27,42,6,26,14,20,12,8,7,2,9,4,4,4,3,1,6,1,11,2,8,7,13,4.56002439034,2,1,1,0,2.15763901288,4.54676258993,45.4676258993,3,1,5.87214285714,0,0,0,0,0,0,0,0,0,0.404687806533,19.8571428571,0,0
11924,5,2,44,104,22,43,4,19,16,14,6,6,6,3,3,7,3,2,2,0,0,2,4,5,6,2,3,2.46339274133,1,3,2,0,2.13612112083,4.50961538462,45.0961538462,1,0,5.85465116279,1,0,0,1,1,0,0,0,1,0,17.3333333333,0,0
11925,5,2,37,101,16,42,4,19,15,15,2,1,7,3,8,4,5,0,0,0,7,5,4,5,5,2,3,1.76129040371,0,1,1,0,1.88999449944,4.21782178218,42.1782178218,0,1,6.01571428571,0,0,0,0,0,0,1,0,1,0,14.4285714286,0,0
