id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29
6019,3,1,23,72,8,27,4,13,7,12,3,2,4,1,1,4,3,1,1
6020,3,2,48,132,29,41,6,30,17,15,12,8,9,2,6,5,3,1,1
6021,3,2,23,60,9,27,2,8,6,9,5,2,7,0,0,5,2,0,3
6022,3,2,49,122,24,38,6,21,13,20,9,4,9,2,4,7,7,3,1
6023,3,2,62,155,27,68,6,27,10,20,6,9,8,5,5,10,7,1,0
6024,3,1,30,69,14,20,4,16,7,14,5,1,4,1,4,3,2,0,1
6025,3,1,15,52,6,22,2,10,9,10,3,1,2,1,3,3,1,1,1
6026,3,3,70,205,37,75,10,40,20,23,19,13,13,3,4,5,11,3,8
6027,3,3,84,239,37,90,10,43,29,24,24,16,11,8,8,8,10,10,4
6028,3,2,36,75,17,30,2,15,8,7,11,3,10,0,3,4,1,0,3
6029,3,1,43,104,19,44,6,24,15,18,4,2,8,2,8,2,0,0,0
6030,3,3,78,181,50,75,12,39,21,30,9,12,14,2,13,7,3,1,2
6031,3,3,71,174,46,53,8,38,21,16,10,25,12,3,10,9,3,5,1
6032,3,2,27,71,13,28,3,16,8,11,1,2,7,1,3,2,0,0,2
6033,3,3,80,190,51,63,8,40,25,21,17,15,11,3,10,8,5,2,4
6034,3,2,58,136,33,47,5,24,20,16,8,8,8,4,6,8,4,1,3
6035,3,1,30,90,8,34,3,14,8,7,5,2,5,2,6,3,3,6,3
6036,3,2,58,158,25,61,5,28,20,20,10,5,7,4,10,2,5,3,3
6037,3,2,28,79,16,28,4,11,6,10,8,1,5,1,3,2,3,1,0
6038,3,2,51,142,30,38,4,25,18,16,4,11,6,3,5,12,8,4,1
6039,3,1,45,119,16,49,7,17,13,14,9,2,9,3,10,7,2,5,3
6040,3,1,32,85,11,36,4,18,14,12,3,2,6,2,6,3,1,1,4
6041,3,2,15,46,9,10,3,9,6,7,3,1,4,0,2,1,2,0,0
6042,3,2,47,107,22,48,4,25,16,11,5,7,7,3,5,1,3,2,2
6043,3,1,18,61,11,19,3,10,7,10,6,3,6,0,2,3,2,2,0
6044,3,2,6,16,5,5,0,4,2,5,0,1,3,0,0,1,0,0,0
6045,3,2,38,107,18,30,5,14,12,13,11,6,7,4,11,3,7,1,2
6046,3,1,44,105,19,46,5,19,10,13,2,2,7,3,5,0,1,6,0
6047,3,1,22,68,11,26,4,10,9,9,4,2,7,0,2,3,3,0,0
6048,3,1,41,130,15,47,6,23,11,18,7,5,13,0,10,3,3,5,2
6049,3,1,29,57,14,22,3,12,9,11,3,0,4,1,1,4,1,2,1
6050,3,3,136,336,71,124,18,69,42,56,30,16,20,6,21,7,9,2,10
6051,3,1,54,147,27,57,8,28,13,18,16,5,11,2,0,7,3,5,3
6052,3,2,58,141,29,48,5,27,20,20,8,10,7,5,8,7,3,2,1
6053,3,1,23,58,10,19,2,10,7,12,4,1,4,2,2,3,0,2,0
6054,3,1,31,76,14,24,2,14,9,9,4,0,4,2,5,1,1,3,0
6055,3,2,39,131,20,35,6,24,15,19,6,4,10,2,5,1,3,4,1
6056,3,1,44,102,19,38,5,21,14,17,10,8,8,1,7,4,2,1,0
6057,3,3,59,145,31,58,8,30,22,19,9,9,9,3,7,2,3,4,1
6058,3,2,46,132,18,52,6,21,23,23,5,7,9,3,7,8,2,2,4
6059,3,1,21,42,15,10,1,10,6,7,2,2,2,1,4,1,2,0,1
6060,3,1,15,57,6,28,2,3,9,8,1,0,3,2,6,7,2,2,0
6061,3,3,96,251,51,93,7,54,34,35,10,7,8,7,8,11,9,8,3
6062,3,1,32,84,13,23,5,13,13,11,5,4,6,2,8,1,1,0,4
6063,3,2,46,111,19,44,6,26,11,14,6,5,8,2,6,7,1,2,3
6064,3,2,36,90,23,29,5,17,15,18,6,8,7,1,0,7,3,3,0
6065,3,2,40,110,29,25,7,24,13,20,4,8,10,1,4,8,4,3,1
6066,3,1,23,71,9,21,4,8,9,9,5,2,5,2,6,2,2,2,4
6067,3,1,19,66,10,27,3,14,7,7,1,2,6,0,0,4,1,2,2
6068,3,2,19,70,9,22,4,10,5,7,4,2,6,1,9,3,5,1,1
6069,3,2,43,127,21,51,5,23,8,15,3,8,8,3,9,6,6,7,3
6070,3,2,40,93,24,38,4,21,16,15,6,6,5,3,2,5,4,2,4
6071,3,2,46,101,27,30,6,14,13,14,10,7,8,2,5,8,4,2,1
6072,3,2,41,91,22,30,4,21,9,12,14,4,11,0,4,6,1,2,3
6073,3,2,65,167,32,68,8,26,13,12,12,11,12,3,12,10,10,3,5
6074,3,2,19,69,6,21,3,10,11,10,6,1,7,1,10,3,1,0,0
6075,3,3,116,239,61,82,10,38,23,26,18,18,11,6,20,12,15,5,4
6076,3,2,77,198,38,66,9,32,22,19,13,10,14,3,16,6,10,7,2
6077,3,1,37,95,19,35,4,14,11,17,3,3,6,4,11,3,2,1,1
6078,3,2,24,78,13,26,4,16,11,11,1,4,6,1,2,4,4,3,1
6079,3,3,56,127,34,50,5,29,13,26,4,7,7,3,8,7,4,2,1
6080,3,2,44,117,25,46,8,20,14,19,6,7,9,1,7,6,4,4,4
6081,3,2,20,41,13,14,3,12,3,11,4,1,5,0,1,2,1,0,0
6082,3,1,27,71,16,29,4,12,10,9,1,0,4,2,5,5,1,2,0
6083,3,1,11,33,6,12,2,3,6,4,1,1,3,0,2,4,2,0,0
6084,3,3,48,107,21,44,5,23,11,13,6,7,6,3,6,5,2,0,3
6085,3,3,87,215,39,83,7,35,26,28,19,13,8,6,16,4,7,4,3
6086,3,1,27,84,15,32,3,17,9,12,7,3,4,3,3,2,3,2,2
6087,3,2,30,78,11,28,4,20,12,14,3,6,7,1,2,2,0,4,1
6088,3,2,49,122,25,50,4,25,8,20,9,6,16,0,4,3,1,4,1
6089,3,3,62,161,30,58,6,30,23,10,14,12,8,4,5,11,7,3,4
6090,3,1,29,87,11,32,3,10,7,14,5,1,5,2,9,5,2,1,1
6091,3,3,62,132,30,45,5,24,18,22,6,7,8,3,8,4,2,3,2
6092,3,1,13,47,5,17,2,7,5,5,5,1,4,1,1,2,3,1,1
6093,3,1,14,37,7,11,1,5,3,7,6,0,3,1,1,3,1,0,1
6094,3,1,42,124,16,44,6,16,11,15,8,4,10,3,8,8,4,5,3
6095,3,3,100,234,64,79,12,45,39,33,15,17,13,6,8,12,12,5,4
6096,3,2,53,110,20,55,6,19,14,13,5,5,11,2,7,6,4,0,4
6097,3,1,12,41,7,16,1,8,6,4,3,4,2,1,0,1,3,2,0
6098,3,3,51,132,24,45,7,24,16,16,9,9,10,2,9,7,4,3,4
6099,3,1,20,53,7,24,2,9,5,6,1,0,3,1,4,3,1,1,0
6100,3,2,70,175,31,78,7,35,23,29,15,12,8,5,6,8,3,3,5
6101,3,2,47,111,32,34,4,24,15,21,6,6,7,3,3,8,2,3,2
6102,3,2,51,139,21,54,6,20,13,16,7,5,8,4,9,4,4,4,0
6103,3,2,55,153,30,53,8,26,21,24,8,10,10,3,6,5,4,3,3
6104,3,1,19,38,8,16,2,8,8,4,3,2,3,1,3,2,0,0,1
6105,3,3,101,232,51,100,11,37,29,37,28,7,18,4,12,21,4,3,5
6106,3,1,35,80,16,25,4,16,6,10,6,7,8,0,3,6,1,3,2
6107,3,2,58,143,27,59,6,23,14,20,13,6,9,4,5,5,5,4,5
6108,3,1,26,66,13,23,1,12,9,11,1,1,4,1,0,2,0,0,0
6109,3,2,30,133,19,36,2,27,15,19,5,2,4,2,6,5,5,8,0
6110,3,2,43,108,29,45,4,21,14,21,3,3,9,2,4,3,1,0,6
6111,3,2,47,112,26,36,7,19,20,13,7,11,8,2,5,8,2,3,1
6112,3,1,24,83,11,24,4,21,13,17,5,2,4,3,1,1,5,0,1
6113,3,3,58,154,41,48,7,29,20,29,10,14,9,4,13,3,7,5,5
6114,3,1,11,28,7,11,1,3,4,2,1,3,3,1,3,4,2,1,0
6115,3,2,21,51,7,19,2,6,5,8,4,0,4,1,5,2,4,0,1
6116,3,2,49,154,29,45,7,27,21,22,4,9,9,2,6,5,3,8,0
6117,3,1,48,125,27,49,5,21,8,21,9,5,12,2,6,7,5,4,1
6118,3,3,62,161,26,55,6,25,21,18,14,3,15,2,3,7,4,6,4
6119,3,1,31,76,13,27,2,18,9,11,5,5,4,1,3,1,2,1,4
6120,3,2,39,110,17,47,6,16,11,11,6,2,10,0,5,7,3,6,0
6121,3,3,57,146,26,53,7,32,15,19,8,7,10,3,8,1,5,4,3
6122,3,2,46,104,29,39,5,17,11,8,7,10,7,2,5,7,4,3,2
6123,3,3,56,145,27,45,7,24,16,21,8,9,12,2,8,5,2,7,5
6124,3,3,59,140,28,46,7,35,17,14,8,11,9,2,9,3,6,1,2
6125,3,2,23,67,14,25,4,16,9,16,4,3,5,1,2,3,1,0,1
6126,3,1,29,91,17,34,5,21,16,11,4,10,6,2,2,2,2,4,3
6127,3,3,62,187,38,65,10,33,22,18,7,10,11,5,4,6,7,11,5
6128,3,3,64,156,37,53,5,34,20,16,14,15,6,5,1,6,9,8,2
6129,3,2,41,105,22,38,5,14,13,15,3,5,8,2,4,5,2,6,2
6130,3,1,34,88,18,34,4,13,5,9,11,3,6,2,6,5,3,2,0
6131,3,1,25,60,12,16,3,11,8,10,2,2,4,1,1,3,0,1,1
6132,3,3,42,130,15,50,6,24,9,20,12,3,10,2,6,7,2,3,2
6133,3,1,19,53,7,22,3,5,6,8,3,0,4,1,3,6,2,1,0
6134,3,2,57,155,25,67,7,36,10,20,10,6,15,2,10,6,8,2,4
6135,3,2,41,99,25,25,5,11,13,13,9,3,8,2,3,5,3,2,1
6136,3,1,24,74,10,33,5,14,9,13,2,3,6,1,1,3,1,1,2
6137,3,2,58,141,32,59,4,30,23,21,10,7,5,4,1,6,3,1,1
6138,3,2,50,127,29,48,6,18,12,16,7,8,7,5,9,6,3,6,4
6139,3,2,42,106,23,33,5,18,14,16,12,4,9,1,7,4,1,0,1
6140,3,1,50,126,25,57,4,20,17,18,13,5,9,3,5,9,1,3,0
6141,3,2,37,91,22,31,5,19,11,12,4,4,7,2,7,2,4,4,0
6142,3,2,58,149,31,60,6,26,19,21,15,8,7,4,1,10,5,2,6
6143,3,3,59,164,28,58,7,36,25,22,13,9,11,4,6,7,2,3,5
6144,3,3,69,182,38,54,7,30,23,17,11,11,8,3,10,3,7,4,6
6145,3,3,72,170,34,57,9,31,20,18,8,11,10,3,5,10,6,7,2
6146,3,2,57,159,34,65,8,27,23,19,16,7,10,4,6,8,6,3,2
6147,3,2,20,67,15,19,3,11,6,9,3,2,5,2,3,2,1,1,1
6148,3,2,17,62,11,11,3,6,6,8,4,4,7,0,4,4,2,2,0
6149,3,2,46,119,19,44,6,24,12,15,9,6,9,3,6,3,4,2,3
6150,3,2,43,114,23,47,6,20,10,13,4,10,7,3,3,9,2,7,0
6151,3,2,45,121,24,37,5,20,20,16,9,8,6,2,5,7,4,1,1
6152,3,2,47,124,27,47,6,19,15,19,9,8,13,3,8,6,5,2,2
6153,3,2,26,91,7,32,4,16,10,9,5,1,7,3,5,6,4,7,0
6154,3,1,7,20,4,6,1,3,4,3,1,1,1,1,1,2,0,0,0
6155,3,1,34,85,16,28,4,16,11,11,7,2,7,1,3,3,0,0,2
6156,3,2,49,122,27,40,5,22,18,22,9,6,7,4,3,7,5,4,2
6157,3,3,78,208,30,85,9,40,22,25,13,7,14,5,6,7,5,5,6
6158,3,3,74,184,32,65,10,41,21,32,13,9,13,2,11,10,2,9,3
6159,3,2,47,138,19,67,6,16,18,13,10,0,8,3,13,5,4,3,7
6160,3,2,49,113,33,38,6,27,15,22,9,8,11,2,3,3,4,5,1
6161,3,2,39,99,15,39,4,19,10,15,8,1,7,2,4,4,5,0,4
6162,3,2,51,174,24,65,7,27,20,14,9,6,16,1,13,6,8,6,2
6163,3,1,15,50,7,21,2,7,3,5,3,2,6,0,2,4,3,1,0
6164,3,2,38,107,21,41,6,21,13,13,4,4,7,3,7,1,2,3,0
6165,3,3,75,183,43,73,7,34,31,22,5,19,8,7,7,3,5,3,5
6166,3,1,10,29,7,10,2,5,3,4,0,2,3,0,1,1,0,1,0
6167,3,3,14,44,7,16,1,9,4,8,0,1,2,1,0,1,1,1,2
6168,3,2,36,115,11,43,5,19,18,9,4,3,5,4,5,5,7,7,0
6169,3,2,70,174,41,60,7,31,18,23,11,8,11,3,12,6,7,2,1
6170,3,1,44,149,18,47,7,22,18,19,12,6,11,4,6,4,5,6,4
6171,3,3,72,152,51,60,7,29,16,20,11,16,9,4,9,7,9,2,1
6172,3,2,56,131,19,49,7,28,10,15,11,4,8,2,8,4,6,2,2
6173,3,1,21,50,13,23,2,11,6,12,1,0,5,0,0,4,0,0,1
6174,3,2,22,89,10,31,4,17,13,14,3,0,6,2,3,2,1,2,1
6175,3,1,35,80,22,32,3,17,11,10,4,7,5,1,4,4,3,1,1
6176,3,1,27,99,5,31,2,13,9,20,4,1,5,1,3,5,0,2,1
6177,3,2,71,190,33,78,6,38,21,23,7,9,6,6,7,4,7,6,1
6178,3,3,49,105,22,37,6,21,13,16,9,6,7,2,3,9,5,3,0
6179,3,2,8,27,5,9,2,6,3,4,2,1,3,0,0,0,0,1,0
6180,3,3,100,225,45,80,11,43,24,36,21,17,18,2,10,2,9,1,5
6181,3,3,49,129,29,44,7,16,19,10,7,8,8,4,7,6,5,8,1
6182,3,3,67,171,34,60,9,30,28,21,12,17,12,3,6,11,0,7,2
6183,3,3,66,136,35,48,7,26,15,20,8,9,11,3,11,7,2,3,2
6184,3,1,31,70,18,19,3,19,9,12,5,3,6,1,2,3,3,1,2
6185,3,2,30,102,10,43,4,22,12,12,7,2,8,2,2,5,3,2,0
6186,3,2,16,64,8,24,4,10,3,9,7,2,6,0,1,2,1,1,1
6187,3,1,11,40,6,12,3,7,5,9,2,1,4,0,0,4,2,0,0
6188,3,0,6,17,5,2,0,5,2,4,0,1,2,0,0,1,0,0,0
6189,3,1,26,67,14,24,4,9,7,6,1,3,6,0,6,1,2,2,0
6190,3,2,69,203,38,72,8,31,25,27,5,6,15,4,17,12,8,5,2
6191,3,2,56,142,27,56,7,35,16,12,9,5,10,4,12,8,5,0,2
6192,3,3,74,168,39,64,7,29,22,19,13,14,8,5,9,4,5,4,4
6193,3,1,28,74,12,19,3,19,5,16,3,3,9,0,4,3,3,3,0
6194,3,3,77,200,40,71,11,27,24,21,18,13,15,3,13,7,5,3,5
6195,3,3,57,126,29,46,7,23,16,24,8,8,11,1,5,8,5,3,2
6196,3,1,25,90,9,37,4,19,8,17,4,1,4,2,2,4,4,2,3
6197,3,2,54,131,36,45,6,22,9,17,6,4,10,2,5,0,3,3,3
6198,3,3,66,194,42,73,11,38,25,31,18,19,15,2,3,15,6,6,8
6199,3,2,18,48,14,12,0,9,3,8,4,2,7,0,4,2,1,2,0
6200,3,0,68,175,31,64,7,34,16,17,14,9,16,3,14,9,6,5,2
6201,3,2,14,38,9,8,3,4,3,4,4,2,4,0,1,1,1,0,2
6202,3,1,19,44,6,16,2,9,6,4,3,1,3,2,0,1,3,1,0
6203,3,3,64,180,30,61,8,33,13,32,12,4,15,3,14,8,4,6,1
6204,3,1,82,197,39,74,8,41,24,25,17,12,12,6,9,6,8,0,6
6205,3,2,20,44,10,16,2,8,3,3,5,3,3,1,2,0,2,1,2
6206,3,0,25,62,18,13,2,16,6,10,4,5,6,1,6,0,1,0,0
6207,3,0,12,27,6,12,2,5,2,1,2,2,3,0,2,0,0,0,1
6208,3,3,51,163,29,44,6,23,20,18,8,7,8,3,4,7,14,6,1
6209,3,2,22,92,8,36,3,12,10,11,8,3,7,2,4,1,3,5,0
6210,3,2,48,121,24,39,5,20,16,13,5,5,7,3,4,5,5,5,0
6211,3,1,39,80,27,20,3,12,12,9,9,7,5,3,3,5,1,0,3
6212,3,2,56,128,26,42,6,23,14,22,10,3,7,4,8,4,1,4,1
6213,3,1,23,51,13,18,2,10,8,9,4,1,4,1,2,1,1,0,2
6214,3,1,27,85,11,25,4,14,16,11,6,7,5,2,7,0,4,0,2
6215,3,1,24,58,13,20,2,13,7,6,4,4,5,2,4,1,6,0,1
6216,3,2,66,163,28,70,7,26,18,22,10,5,8,5,12,5,5,2,1
6217,3,1,18,42,12,12,3,6,4,5,4,2,4,0,5,1,1,2,0
6218,3,2,41,108,16,32,7,14,10,14,6,2,8,1,11,5,4,3,0
6219,3,2,63,146,35,52,7,26,22,29,12,17,8,4,7,6,2,1,1
6220,3,2,55,161,24,58,6,31,16,21,8,6,14,2,8,4,5,4,2
6221,3,2,41,123,14,53,4,20,19,15,3,0,6,3,7,3,1,1,4
6222,3,2,32,90,13,35,5,11,10,14,6,3,7,1,2,9,0,4,0
6223,3,3,70,181,39,65,10,33,21,25,6,15,12,3,10,6,4,6,6
6224,3,2,16,49,8,13,2,9,4,8,5,0,3,1,3,2,2,0,0
6225,3,3,45,142,22,44,7,20,18,16,9,10,10,2,9,1,4,4,2
6226,3,3,36,92,21,31,5,19,12,11,5,4,8,0,8,2,3,0,3
6227,3,1,30,69,20,21,3,14,10,10,6,7,4,3,2,3,2,0,0
6228,3,3,83,185,48,48,10,40,27,29,10,9,11,4,11,12,3,8,3
6229,3,1,12,36,7,8,1,7,4,5,1,1,2,1,1,1,3,1,0
6230,3,1,16,36,7,13,2,9,4,5,2,1,3,1,2,2,3,0,1
6231,3,2,37,102,24,35,6,15,15,9,8,11,7,1,2,9,2,2,0
6232,3,1,57,125,25,47,3,27,16,21,11,10,4,2,10,4,3,1,1
6233,3,2,7,20,5,5,1,5,2,4,2,0,2,1,1,0,0,1,0
6234,3,1,23,86,9,27,3,11,11,8,1,3,3,2,4,1,5,4,4
6235,3,1,12,31,3,10,2,4,3,6,3,1,2,0,3,2,0,0,0
6236,3,2,46,127,25,45,8,23,13,15,3,7,10,1,10,4,6,5,4
6237,3,2,58,163,22,44,8,22,17,19,8,8,11,5,6,6,7,8,1
6238,3,0,10,29,7,11,0,5,2,3,1,3,5,0,3,1,1,0,0
6239,3,2,71,160,41,57,6,30,22,12,19,21,8,4,10,4,6,6,2
6240,3,3,55,129,29,49,9,29,11,20,3,7,11,1,8,3,5,5,0
6241,3,1,22,53,8,18,3,11,3,4,5,2,3,2,3,2,3,2,0
6242,3,1,7,16,4,7,1,2,1,2,1,2,2,0,2,0,1,0,0
6243,3,2,61,137,37,54,6,30,16,23,11,12,10,2,8,6,4,4,0
6244,3,1,37,96,27,25,6,19,14,20,5,5,8,1,4,5,3,0,0
6245,3,3,67,166,23,72,8,26,18,17,13,7,13,3,9,9,2,3,2
6246,3,1,57,157,27,54,8,19,16,15,18,11,10,4,10,9,9,4,5
6247,3,3,54,141,30,51,7,32,19,24,11,6,9,3,4,2,3,3,1
6248,3,1,31,71,22,27,3,13,6,15,0,3,4,2,3,6,3,1,1
6249,3,3,83,201,50,87,10,45,28,29,10,17,14,3,8,8,3,3,4
6250,3,3,82,196,58,65,11,47,22,33,15,21,18,1,11,8,4,3,4
6251,3,1,26,68,11,24,3,12,9,12,2,3,4,1,2,3,2,2,0
6252,3,1,21,62,13,16,3,12,7,13,3,5,5,2,0,3,2,0,1
6253,3,3,57,168,22,61,7,30,25,16,5,7,8,5,5,4,9,6,1
6254,3,3,70,183,34,67,8,33,21,20,19,4,12,6,12,10,7,2,2
6255,3,1,18,51,9,16,2,6,4,5,3,2,3,2,7,4,2,0,0
6256,3,1,13,39,8,13,1,7,4,4,6,2,6,0,3,3,2,1,1
6257,3,1,12,25,4,7,1,7,3,4,2,1,2,1,1,1,1,0,0
6258,3,1,8,30,6,8,2,4,3,5,2,3,3,0,5,0,1,1,1
6259,3,3,28,73,10,30,3,14,6,7,4,1,6,2,4,2,4,0,2
6260,3,2,33,77,20,22,4,13,11,10,3,6,8,0,6,6,2,1,2
6261,3,1,34,77,20,26,4,11,11,10,3,8,5,2,1,3,1,1,3
6262,3,3,70,164,43,66,8,29,19,19,12,14,12,2,6,6,4,10,3
6263,3,3,76,197,43,71,10,36,27,25,6,12,11,5,10,3,5,4,6
6264,3,3,119,235,72,93,14,42,27,37,35,13,19,1,15,7,9,4,3
6265,3,2,30,95,18,27,5,18,7,15,3,1,8,0,4,3,4,4,2
6266,3,1,12,44,5,12,3,9,8,11,2,0,5,0,1,2,1,1,0
6267,3,3,77,191,47,63,6,36,20,23,21,18,15,4,13,6,11,5,2
6268,3,3,93,193,49,77,6,37,20,20,14,18,7,6,11,5,12,7,9
6269,3,1,16,45,5,18,2,7,3,7,1,0,3,2,2,0,1,2,0
6270,3,3,67,173,34,58,9,30,14,16,9,9,16,4,10,5,7,11,1
6271,3,2,31,72,21,23,4,11,3,9,10,5,7,0,1,6,3,5,2
6272,3,2,55,132,32,55,7,24,21,14,8,5,10,3,4,9,3,4,0
6273,3,1,32,95,15,27,4,13,13,13,3,2,6,2,5,4,4,3,2
6274,3,1,33,85,16,28,3,21,12,15,7,1,7,2,2,1,4,0,2
6275,3,1,11,36,8,7,1,8,5,9,2,1,1,1,1,3,3,0,1
6276,3,3,70,158,37,61,7,32,25,19,15,9,12,4,9,6,4,3,4
6277,3,1,10,28,7,10,2,4,2,6,1,1,3,0,1,4,0,1,0
6278,3,1,34,71,17,29,3,11,11,7,4,4,4,1,4,1,1,1,1
6279,3,2,49,116,30,46,7,21,11,16,13,8,9,1,7,4,8,5,0
6280,3,3,30,72,12,29,3,13,6,8,7,2,6,1,1,5,0,1,2
6281,3,1,76,200,46,73,9,40,29,24,13,19,14,5,6,7,8,1,2
6282,3,3,79,194,28,65,10,40,26,29,11,7,14,4,6,12,4,7,2
6283,3,1,16,47,9,23,1,3,9,5,1,2,2,1,2,2,3,1,3
6284,3,3,75,177,40,68,7,36,19,20,12,16,10,5,6,5,10,7,4
6285,3,2,48,121,27,35,5,17,16,16,8,6,7,4,7,9,3,6,4
6286,3,3,74,188,43,67,7,32,23,18,12,11,10,5,10,7,4,7,4
6287,3,3,68,143,36,55,8,31,13,24,10,9,12,0,2,6,2,4,3
6288,3,2,36,81,23,29,4,17,9,9,5,7,6,1,6,1,1,2,4
6289,3,2,27,71,16,28,2,10,12,7,6,8,6,2,4,6,3,2,1
6290,3,1,25,65,10,20,3,14,7,13,5,2,4,2,0,4,0,5,1
6291,3,2,28,96,18,32,3,17,13,16,3,1,7,2,9,2,1,1,0
6292,3,3,83,192,48,74,10,44,20,27,16,21,12,6,6,2,8,7,0
6293,3,2,51,129,28,46,7,23,15,18,6,5,9,4,9,4,2,2,2
6294,3,1,53,166,27,55,9,22,12,24,12,3,12,2,12,5,6,4,1
6295,3,2,14,44,10,14,3,12,5,10,1,2,5,0,1,2,2,0,0
6296,3,0,18,51,9,20,3,8,2,5,5,1,3,1,3,2,3,5,0
6297,3,1,31,81,16,32,5,15,9,13,10,3,7,0,2,4,3,1,1
6298,3,1,12,59,3,16,4,13,4,9,4,0,5,1,1,1,4,0,0
6299,3,2,49,114,22,46,6,20,10,13,10,5,9,2,5,9,4,5,1
6300,3,3,67,153,37,55,7,21,25,19,9,10,8,5,8,6,9,1,6
6301,3,3,89,214,51,87,11,50,27,39,14,6,15,4,10,11,9,4,3
6302,3,2,30,94,17,31,3,18,11,13,5,3,4,2,4,1,3,3,1
6303,3,1,16,53,7,20,3,9,5,9,6,0,4,1,3,0,2,0,1
6304,3,1,22,61,12,21,4,9,5,9,4,1,6,0,6,3,1,4,1
6305,3,3,53,147,20,56,4,29,12,17,2,2,5,3,6,4,7,3,0
6306,3,1,20,63,13,15,2,12,9,8,9,2,3,2,0,2,4,1,0
6307,3,2,51,138,22,50,7,25,17,18,6,5,8,3,5,8,5,8,3
6308,3,3,77,200,39,67,10,31,23,19,11,13,12,4,13,8,6,9,8
6309,3,1,16,45,9,12,1,6,6,6,2,2,6,0,3,2,1,1,1
6310,3,3,67,178,28,54,5,31,21,15,10,8,6,5,10,7,14,6,2
6311,3,2,31,79,19,25,4,15,11,12,6,7,7,1,2,3,2,0,2
6312,3,2,42,133,19,52,6,25,16,17,10,2,8,2,9,4,6,5,2
6313,3,3,69,172,35,60,10,32,22,26,13,7,11,4,7,8,4,5,1
6314,3,1,19,52,9,20,2,8,8,4,5,2,4,2,6,2,1,2,1
6315,3,2,30,73,10,29,4,16,7,12,5,3,5,1,1,4,3,2,0
