id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word
16,1,12,252,528,111,218,27,98,60,42,37,51,35,7,17,52,20,25,7,19,10,6,40,22,9,7,25,5.72125376694,4,17,22,3,2.48401753964,4.85416666667,48.5416666667,2,2,5.70894495413,1,1,0,4,4,4,0,0,0,15.2306461546,15.0857142857
17,1,8,107,335,45,128,16,50,41,28,13,14,18,7,27,13,14,6,3,1,8,9,17,32,1,10,6,5.75490012208,4,18,20,0,2.0006701889,4.23880597015,42.3880597015,2,3,5.52484375,1,2,0,2,6,1,3,0,0,12.6804722881,18.6111111111
18,1,8,129,367,48,142,12,45,30,26,22,12,16,9,40,21,24,8,3,0,8,14,17,33,1,11,9,7.21869241716,7,23,12,0,1.9661372956,4.20980926431,42.0980926431,5,3,5.20408450704,1,0,0,0,4,2,2,0,0,11.7050513428,22.9375
19,1,4,23,66,11,5,4,20,5,8,5,9,7,0,1,2,1,3,1,4,3,1,35,3,1,1,3,1.31040737044,0,6,0,0,2.76782209704,4.40909090909,44.0909090909,0,0,6.174,0,0,0,0,0,0,0,0,0,0,9.42857142857
20,1,6,61,156,30,53,6,20,15,9,17,15,11,3,6,25,8,4,0,4,5,0,12,12,0,0,8,3.82043674946,1,10,8,0,2.47013593689,4.41025641026,44.1025641026,0,1,5.95339622642,1,0,0,0,3,0,0,0,0,8.68476626482,14.1818181818
21,1,8,127,367,74,137,18,55,42,28,21,32,20,8,35,23,11,15,10,2,3,10,21,26,1,7,10,7.08882877416,3,24,9,1,2.27939015562,4.4795640327,44.795640327,1,1,5.53372262774,1,1,0,4,3,0,0,1,1,12.2720781277,18.35
22,1,3,28,56,7,27,2,11,8,7,2,2,3,2,0,6,3,2,1,0,0,1,2,0,0,4,4,0.532251963956,2,3,1,0,1.83464140663,4.625,46.25,0,0,5.34296296296,0,0,0,0,1,0,0,0,0,2.61189091768,18.6666666667
23,1,10,207,521,99,202,21,61,78,44,20,19,29,8,20,47,30,18,5,0,11,10,36,46,3,9,34,8.31073156202,6,28,15,0,2.10479369625,4.3877159309,43.877159309,0,1,5.22405940594,3,3,1,11,4,2,2,0,0,9.75420945235,17.9655172414
24,1,11,227,559,110,216,21,76,71,42,49,34,30,14,34,44,18,20,5,13,16,13,47,43,6,9,29,11.930982339,7,26,23,0,2.30209587641,4.5313059034,45.313059034,1,1,5.58712962963,2,1,1,6,4,0,0,0,0,11.6433342917,18.6333333333
25,1,8,131,293,64,116,16,50,29,28,20,13,17,8,10,21,14,15,4,6,10,5,10,14,2,8,8,4.57430174079,0,14,10,0,2.32060293867,4.59726962457,45.9726962457,1,5,5.83724137931,1,0,0,0,2,0,0,0,0,12.6804722881,17.2352941176
26,1,9,142,360,66,129,10,48,41,21,19,11,14,7,13,36,22,11,4,5,14,6,26,31,7,9,24,6.21316655113,5,23,10,0,2.16735400854,4.375,43.75,0,3,5.52511627907,1,1,2,7,1,0,1,0,0,10.1008865615,25.7857142857
27,1,4,40,120,17,36,6,11,13,7,10,8,8,1,6,17,6,2,1,3,6,0,13,10,0,0,7,2.00055984631,1,7,6,0,2.1673506785,4.25833333333,42.5833333333,1,1,4.955,0,0,0,1,2,0,4,0,0,2.9262628357,15.0
28,1,9,143,360,71,151,16,47,51,20,27,25,28,5,22,37,15,9,7,4,4,15,16,25,3,9,8,4.92606548549,2,22,10,2,2.22857938576,4.55277777778,45.5277777778,0,0,5.44569536424,0,1,0,4,0,0,1,0,0,6.82794661664,12.8928571429
29,1,9,146,372,62,136,15,43,50,26,32,23,21,7,21,37,15,16,2,5,11,9,27,32,0,11,10,5.92361491096,3,29,5,1,2.30393535818,4.37634408602,43.7634408602,1,1,5.50676470588,2,1,1,0,1,1,1,0,2,1.54244773015,17.7142857143
30,1,8,88,257,47,117,13,27,22,10,12,19,16,6,14,28,11,17,4,2,6,8,5,21,0,4,4,4.23543942395,1,27,6,1,2.27456328386,4.41634241245,44.1634241245,3,3,5.11034188034,0,1,0,7,1,2,0,0,0,5.85252567141,16.0625
31,1,10,153,472,84,186,21,69,49,32,32,31,28,13,38,29,21,8,2,10,18,11,30,50,8,17,25,12.997108202,4,30,10,2,2.31659564607,4.30296610169,43.0296610169,2,5,5.51231182796,3,1,1,7,1,1,0,0,0,0,16.8571428571
32,1,10,188,492,89,184,22,63,45,30,39,33,30,8,33,43,25,19,2,9,9,19,33,42,8,12,37,8.0882254738,4,37,10,4,2.28724008863,4.43089430894,44.3089430894,1,6,5.53951086957,2,2,1,1,3,1,0,0,0,13.4678487487,16.4
33,1,6,64,167,26,67,6,23,20,14,14,8,13,3,6,21,7,5,2,3,4,4,11,7,1,4,10,2.89309490677,2,9,3,2,2.24165882079,4.35329341317,43.5329341317,3,0,5.78701492537,0,0,0,1,1,1,0,1,0,0,12.8461538462
34,1,8,108,362,58,145,17,61,34,42,19,13,26,8,22,32,16,10,3,2,13,4,22,27,1,2,8,8.24953476701,2,20,12,0,2.12515500692,4.04143646409,40.4143646409,2,3,5.51144827586,1,0,0,1,5,0,0,0,0,6.82794661664,13.9230769231
35,1,9,164,413,65,175,16,48,40,36,31,25,30,8,21,34,9,17,3,8,7,2,13,45,2,2,9,6.48453965771,4,39,13,1,2.27177682299,4.37046004843,43.7046004843,2,10,5.49805714286,0,4,1,3,1,1,1,0,0,13.8145258579,13.7666666667
36,1,10,200,542,85,193,17,53,80,36,42,35,17,13,32,45,17,14,2,12,15,24,34,44,5,19,53,10.293740639,9,33,9,5,2.29224953332,4.38745387454,43.8745387454,2,7,5.64093264249,2,3,4,8,3,1,0,0,0,0,31.8823529412
37,1,12,188,488,83,186,24,66,53,39,44,25,28,10,26,38,18,16,6,8,12,15,33,34,5,18,14,10.9808417382,4,31,15,2,2.22968343077,4.30327868852,43.0327868852,1,5,5.55865591398,1,0,0,1,2,0,0,0,0,10.227213995,17.4285714286
38,1,8,109,352,67,116,16,54,46,33,19,21,18,13,17,20,8,17,3,7,11,9,12,27,1,10,6,8.84696591333,2,16,12,2,2.38009360553,4.23011363636,42.3011363636,2,2,5.85810344828,4,0,0,2,1,0,0,0,0,9.75420945235,19.5555555556
39,1,10,162,445,67,168,13,80,51,39,28,17,22,7,24,28,28,15,1,6,13,19,19,26,2,14,15,8.98593748362,5,13,5,2,2.14727043497,4.28764044944,42.8764044944,1,6,5.40541666667,1,2,0,3,2,4,0,0,1,8.77878850711,20.2272727273
40,1,7,64,190,33,62,8,38,21,20,12,14,17,1,0,10,5,11,2,3,5,2,10,16,2,7,9,4.70844369141,1,17,2,0,2.38919875203,4.24210526316,42.4210526316,0,4,6.00741935484,0,0,2,0,0,0,0,0,0,6.73392437435,11.2352941176
41,1,2,14,41,7,15,2,4,5,4,2,4,4,0,1,8,1,4,0,0,1,0,0,2,0,1,0,1.33283734587,0,4,1,0,2.25209929166,4.31707317073,43.1707317073,0,0,4.49133333333,0,0,0,0,0,0,0,0,0,4.34238313241,10.25
42,1,8,96,282,37,107,12,28,41,21,19,7,15,8,17,28,13,6,1,1,4,3,20,23,0,15,10,4.14543335286,6,25,7,0,1.89001553002,4.18085106383,41.8085106383,0,0,5.33710280374,1,4,0,0,1,4,0,0,0,11.2966571825,18.8
43,1,6,51,140,29,49,7,22,16,13,5,10,9,3,6,12,6,5,0,2,5,6,6,11,0,4,3,1.83215855968,1,7,5,0,2.22565624813,4.44285714286,44.4285714286,0,2,5.58469387755,1,0,0,0,1,0,0,0,2,3.90168378094,15.5555555556
44,1,8,104,313,39,102,14,56,45,29,23,4,29,1,17,32,4,14,5,0,1,7,14,13,9,6,18,5.60057639812,0,22,2,0,1.93041689276,4.08626198083,40.8626198083,3,0,5.34215686275,1,0,0,0,3,0,0,0,0,20.4838398499,10.7931034483
45,1,8,108,322,44,114,16,59,47,25,20,8,18,8,25,22,22,1,2,1,2,8,23,23,0,9,19,6.13057197864,3,20,5,0,1.89736863571,4.16149068323,41.6149068323,0,4,5.56464912281,1,1,0,1,0,1,0,0,1,10.7296303976,17.8888888889
46,1,8,115,298,53,119,10,55,33,16,16,19,12,6,6,6,9,11,11,9,27,2,10,45,1,4,5,5.66926428394,4,17,6,0,2.37650960221,4.36912751678,43.6912751678,4,5,5.33092436975,1,2,5,4,0,1,0,0,0,8.77878850711,24.8333333333
47,1,8,105,314,51,115,13,61,42,30,16,14,17,8,21,24,13,11,3,1,9,5,21,15,1,6,2,6.31897923103,2,13,5,0,2.08949216159,4.14331210191,41.4331210191,3,1,5.774,2,1,1,2,6,0,1,1,1,9.75420945235,18.4705882353
48,1,11,193,544,65,205,20,92,76,52,29,16,29,15,45,23,16,19,3,4,6,17,27,41,5,16,11,10.7098826267,7,29,21,0,1.99011664662,4.09007352941,40.9007352941,0,7,5.24824390244,1,1,1,7,7,1,3,0,0,9.75420945235,18.7586206897
49,1,6,120,315,61,126,17,27,47,18,21,33,26,2,19,49,7,13,3,10,6,2,6,28,1,3,2,4.11122405087,0,22,10,0,2.44346861525,4.6126984127,46.126984127,2,3,5.60873015873,2,3,0,2,2,1,1,1,0,12.1780558854,12.1153846154
50,1,5,35,83,18,36,3,13,11,6,5,5,4,2,8,9,3,3,0,2,1,0,6,3,0,0,0,0.839221446339,2,4,5,0,2.2220279407,4.65060240964,46.5060240964,0,0,5.79527777778,2,0,0,2,0,0,0,0,0,2.9262628357,20.75
51,1,9,140,571,56,211,12,58,63,45,26,14,15,11,43,21,39,19,4,2,18,9,25,80,11,5,15,10.185932659,10,39,16,1,1.77203416412,3.83187390543,38.3187390543,1,5,5.16123222749,6,4,2,3,2,1,2,0,1,0,38.0666666667
52,1,7,96,241,43,90,12,34,19,21,16,18,16,6,13,25,6,12,1,4,8,4,17,19,1,5,9,4.68722247233,1,17,7,0,2.24903544716,4.40248962656,44.0248962656,2,2,5.84777777778,2,2,0,1,0,0,1,0,0,8.77878850711,15.0625
53,1,8,122,424,61,158,24,48,58,38,10,15,28,6,34,33,12,14,8,5,11,7,15,44,5,12,10,12.2231265699,2,33,15,1,2.08199810015,4.07547169811,40.7547169811,2,3,5.33158227848,0,0,0,3,0,3,2,0,0,17.5898822054,15.1428571429
54,1,10,155,415,81,144,19,81,44,40,23,19,33,6,34,26,16,2,3,4,16,13,27,33,7,11,13,6.95623588514,1,27,7,0,2.23039153777,4.35903614458,43.5903614458,0,3,5.62840277778,3,1,0,0,1,0,3,0,1,8.77878850711,12.5757575758
55,1,8,98,237,52,99,9,26,38,12,15,16,11,6,25,23,8,4,1,5,6,0,11,17,0,3,9,3.51760168968,5,13,11,1,2.37003601845,4.65400843882,46.5400843882,0,1,5.74333333333,0,3,1,0,1,0,5,0,1,6.82794661664,21.6363636364
56,1,10,214,469,143,171,19,75,60,48,34,70,23,11,22,51,21,20,14,22,11,17,14,16,3,9,7,7.29599636013,5,20,7,6,2.83241260884,5.05543710021,50.5543710021,4,1,6.6665497076,2,3,0,0,0,1,0,1,1,11.7050513428,20.3913043478
57,1,9,132,291,80,113,13,40,33,28,28,27,23,3,9,34,13,10,10,1,13,8,16,3,2,5,12,4.0233778237,1,14,8,0,2.436733539,4.78006872852,47.8006872852,0,2,6.32504424779,2,0,2,2,1,1,1,1,0,7.92969499533,12.652173913
58,1,7,67,197,36,62,9,24,22,11,5,13,15,3,12,15,9,10,0,0,5,6,10,20,2,7,7,3.46539821117,1,15,6,0,2.20950265883,4.31979695431,43.1979695431,0,3,5.34612903226,0,2,0,4,1,2,1,0,1,12.051728452,13.1333333333
59,1,8,181,442,83,172,17,60,65,42,38,22,23,10,20,37,16,18,0,5,7,10,31,32,4,7,19,6.29104946134,7,34,11,0,2.17505792249,4.47963800905,44.7963800905,0,2,5.5198255814,3,3,0,0,0,1,0,0,0,12.0840336432,19.2608695652
60,1,4,32,68,16,28,3,10,9,4,8,6,7,0,1,9,3,0,0,3,2,0,4,6,0,0,3,0.833516845169,0,8,2,0,2.4671236002,4.86764705882,48.6764705882,0,0,6.07678571429,0,0,0,0,0,0,0,0,1,5.53815375338,9.71428571429
61,1,8,115,301,62,125,15,43,35,18,18,13,23,7,19,24,13,13,1,1,7,16,5,11,1,14,7,4.58658212744,0,14,5,0,2.12049535574,4.46843853821,44.6843853821,0,1,5.43664,0,1,1,3,7,0,1,1,0,11.8313787763,13.0869565217
62,1,8,97,283,41,89,14,35,16,25,23,22,15,9,6,30,16,10,2,2,7,6,17,27,8,3,8,6.86766265644,3,19,7,0,2.15113257973,4.19787985866,41.9787985866,0,3,5.10494382022,0,5,0,0,1,0,0,0,0,16.3941115844,18.8666666667
63,1,8,97,290,47,126,13,32,30,25,17,25,18,6,10,25,11,8,2,9,5,0,11,33,1,4,8,3.79871545603,3,17,22,1,2.31142119472,4.37586206897,43.7586206897,1,3,5.44833333333,0,1,0,1,4,0,1,0,1,7.80336756188,16.1111111111
64,1,7,64,217,32,79,6,26,21,17,8,13,7,3,11,19,18,7,0,0,8,7,11,21,1,3,10,4.56409286894,3,10,9,0,2.01969099923,4.06451612903,40.6451612903,0,8,4.99708860759,1,0,0,0,3,1,0,0,1,9.75420945235,31.0
65,1,9,136,414,77,170,20,48,51,36,23,27,25,9,33,28,17,13,4,7,11,19,29,43,4,7,15,4.67748079002,4,19,12,2,2.24099418856,4.44202898551,44.4202898551,2,1,5.23005882353,3,1,0,1,4,1,0,1,0,9.75420945235,16.56
66,1,9,152,371,77,137,19,41,37,22,22,33,23,7,29,39,22,18,2,9,14,17,13,31,5,7,1,6.45523364863,1,5,14,3,2.43079488034,4.58221024259,45.8221024259,0,1,5.61781021898,1,1,0,1,1,1,1,0,0,1.76279740589,16.1304347826
67,1,8,112,293,57,118,10,61,33,18,19,18,19,6,21,18,8,13,0,11,13,4,12,28,3,2,4,9.24187031468,3,15,5,2,2.42142400596,4.43686006826,44.3686006826,0,3,5.41559322034,0,1,1,0,4,0,0,0,0,10.7296303976,15.4210526316
68,1,9,154,390,76,152,19,49,38,34,21,27,34,4,32,43,18,14,7,4,17,10,20,22,1,11,11,5.87286142881,0,23,10,0,2.22711669593,4.51025641026,45.1025641026,2,1,6.05835526316,0,0,1,2,1,2,3,0,0,8.59074402253,11.5
69,1,7,74,241,31,97,12,29,33,15,11,10,19,5,15,22,9,11,2,3,7,7,6,16,0,8,7,5.16252479661,1,16,8,3,2.17313376796,4.04979253112,40.4979253112,0,4,5.38886597938,2,2,1,2,0,0,0,0,0,1.10174837868,12.6842105263
70,1,12,192,422,107,147,19,72,49,40,35,45,26,10,25,27,10,17,3,15,12,5,36,23,1,14,48,7.98599001288,2,21,12,7,2.67915288971,4.79857819905,47.9857819905,0,3,5.83088435374,0,1,0,2,1,0,3,0,1,7.80336756188,16.2307692308
71,1,10,176,443,65,179,17,53,64,40,11,24,21,9,19,54,14,21,12,3,8,6,23,30,3,10,22,10.9238851729,6,27,13,0,2.03199035714,4.31151241535,43.1151241535,2,4,5.08117318436,1,3,0,2,3,0,0,0,1,16.7407886936,21.0952380952
72,1,10,245,527,150,203,24,57,68,32,48,64,26,15,25,64,30,16,18,10,14,18,25,24,6,4,15,6.81909998764,6,35,13,1,2.46068208297,4.95445920304,49.5445920304,5,2,5.97960591133,5,1,1,4,0,5,1,0,0,12.6804722881,20.2692307692
73,1,8,151,386,67,107,15,55,54,47,37,22,21,10,33,16,12,7,5,5,17,9,45,18,6,7,49,5.51774842644,4,13,7,2,2.23905422852,4.39378238342,43.9378238342,1,1,5.2991588785,3,5,0,0,1,2,0,0,0,11.7050513428,18.380952381
74,1,7,112,297,38,146,14,38,31,19,15,16,26,3,28,37,9,7,2,0,9,7,7,22,2,7,2,3.74829294705,0,29,7,0,1.87533477462,4.367003367,43.67003367,1,1,5.01431506849,0,3,0,2,1,1,1,0,0,10.541585913,11.4615384615
75,1,8,153,348,78,132,18,56,42,32,30,29,22,6,13,37,15,8,12,5,8,12,7,6,4,2,3,7.48645933326,2,8,11,3,2.42680111989,4.77011494253,47.7011494253,0,2,5.74242424242,0,0,0,12,5,2,2,0,0,2.20349675736,15.8181818182
76,1,8,138,298,66,99,12,53,28,25,22,22,17,7,24,18,12,9,3,13,12,7,41,17,11,1,37,5.2191016843,4,12,7,1,2.53336267997,4.74832214765,47.4832214765,0,1,5.41898989899,0,3,0,2,0,0,0,0,0,8.59074402253,17.5294117647
77,1,10,191,522,102,206,24,75,48,33,37,56,46,4,34,55,13,17,16,18,12,3,40,45,12,9,25,7.16083311166,0,43,13,0,2.40421783937,4.59770114943,45.9770114943,2,4,5.10368932039,2,1,3,1,5,1,3,1,0,17.5575770142,11.347826087
78,1,10,160,420,76,169,19,88,46,26,25,15,24,8,32,25,14,14,1,2,13,13,26,30,3,8,29,6.33950311015,5,11,17,0,2.01884940659,4.4119047619,44.119047619,3,0,5.19692307692,1,0,0,1,2,0,0,0,0,14.6313141785,17.5
79,1,10,128,381,61,117,14,57,58,34,21,21,19,8,17,37,18,15,6,1,7,8,12,26,17,9,13,5.91205287784,4,9,9,1,2.13308099592,4.19160104987,41.9160104987,3,2,5.28521367521,0,0,0,0,1,0,0,0,0,17.3695325296,20.0526315789
80,1,8,167,408,89,137,19,47,43,28,35,20,21,12,31,48,21,12,6,5,5,21,46,17,5,3,34,14.4394379163,4,27,6,1,2.19400941513,4.58333333333,45.8333333333,2,0,5.40510948905,0,2,0,9,1,1,0,0,0,10.541585913,19.4285714286
81,1,8,120,363,58,148,14,59,39,30,31,13,18,12,12,18,16,14,0,3,12,13,25,30,3,12,7,7.31329763755,6,23,10,1,2.14961728014,4.16804407713,41.6804407713,0,5,5.73189189189,1,7,0,3,1,0,0,0,0,0,20.2222222222
82,1,8,118,281,77,101,14,44,34,24,15,27,23,3,15,27,7,7,0,10,7,4,16,23,3,2,5,5.21743240402,0,23,10,3,2.62067665133,4.7615658363,47.615658363,3,0,5.96861386139,3,2,2,1,4,0,2,0,0,10.7296303976,12.2173913043
83,1,7,66,208,34,73,9,32,13,22,13,12,10,6,12,6,14,7,4,5,8,5,11,23,1,2,1,4.40365256992,3,14,7,1,2.31959144233,4.15865384615,41.5865384615,0,5,5.1801369863,1,0,0,2,0,0,0,0,0,4.87710472617,20.8
84,1,6,57,202,17,76,9,22,17,13,7,4,12,4,8,11,7,5,0,0,5,2,15,39,1,1,13,4.46286730875,4,11,11,0,1.72002178823,3.87128712871,38.7128712871,1,3,4.71144736842,0,5,0,0,5,0,2,0,0,7.80336756188,16.8333333333
85,1,10,208,543,102,204,26,67,64,57,39,28,29,12,40,37,18,11,2,4,17,17,29,49,7,10,7,8.8994508966,7,44,12,0,2.1662015069,4.43278084715,44.3278084715,0,14,5.50681372549,2,5,0,4,4,0,2,0,1,22.4346817404,18.724137931
86,1,8,195,419,102,154,20,68,52,36,45,52,28,7,17,68,12,16,9,20,9,8,23,9,3,5,15,7.83631371453,3,23,4,5,2.70784341912,4.89021479714,48.9021479714,2,2,6.07467532468,2,1,0,3,2,2,0,1,0,18.6916305841,14.9642857143
87,1,10,164,414,65,140,21,50,51,25,40,29,35,4,36,29,24,2,4,11,20,10,38,38,16,15,26,8.23153147427,0,21,6,3,2.34607432861,4.42512077295,44.2512077295,0,2,5.76214285714,9,1,4,2,2,0,1,0,0,0,11.8285714286
88,1,9,139,441,59,159,14,54,46,41,24,12,17,11,43,21,19,21,7,5,13,16,17,38,2,10,7,12.0841313058,5,26,13,0,2.12131548472,3.99546485261,39.9546485261,1,7,5.33949685535,1,0,0,0,1,0,3,0,0,9.75420945235,26.0588235294
89,1,6,83,232,44,75,3,37,28,32,7,4,30,0,6,24,1,2,2,0,16,4,9,20,0,5,1,3.0784999499,0,11,12,0,1.99529226495,4.31034482759,43.1034482759,0,3,5.602,0,0,0,0,1,0,2,0,0,11.0763075068,7.73333333333
90,1,7,75,229,42,77,8,39,25,28,15,13,10,5,10,18,13,4,1,2,11,1,10,13,1,4,10,3.92455103466,3,17,5,0,2.22257109292,4.26200873362,42.6200873362,2,3,5.70779220779,0,1,0,0,0,0,0,0,0,15.1983409634,22.9
91,1,8,86,232,41,92,10,28,24,19,11,10,16,6,20,30,11,4,3,2,5,4,16,18,0,3,11,4.13220608734,1,17,6,0,2.13634378574,4.41379310345,44.1379310345,2,1,5.41684782609,1,0,0,0,3,0,2,0,1,0,14.5
92,1,11,224,651,105,235,23,94,72,48,46,40,47,12,27,44,19,27,7,6,16,10,45,76,17,13,51,15.5808361459,6,45,10,3,2.34948009514,4.17511520737,41.7511520737,2,14,5.98272340426,7,0,0,1,5,0,0,0,1,16.5204390179,13.8510638298
93,1,11,250,537,144,207,22,105,75,57,40,54,24,16,26,49,20,20,8,20,16,12,37,14,4,5,21,8.86556860367,10,12,15,4,2.65590736076,4.84357541899,48.4357541899,4,2,6.27410628019,1,2,0,3,2,3,0,0,0,12.6804722881,22.375
94,1,8,96,313,44,136,11,46,34,28,16,18,23,5,17,19,13,13,4,9,12,7,10,34,1,5,11,4.90399719623,4,19,6,3,2.27967447328,4.23003194888,42.3003194888,0,0,5.40889705882,0,3,0,2,5,1,1,0,0,11.7050513428,13.6086956522
95,1,10,159,462,72,169,20,47,55,36,30,22,28,8,36,34,13,17,4,1,8,2,37,55,6,12,35,10.6992927821,4,31,15,0,2.07912812388,4.17532467532,41.7532467532,2,5,5.23467455621,2,0,1,1,1,0,0,0,0,9.75420945235,16.5
96,1,7,89,230,50,91,10,39,29,27,14,18,16,4,11,23,7,3,0,4,10,9,16,12,4,4,11,11.1087956332,3,7,8,0,2.34016692603,4.42173913043,44.2173913043,2,0,5.19967032967,0,1,0,2,2,0,0,0,0,6.82794661664,14.375
97,1,8,125,294,62,116,15,50,40,30,16,22,22,5,15,23,7,10,9,8,10,8,30,12,2,4,21,4.95259627496,1,16,9,2,2.42306332281,4.56462585034,45.6462585034,1,0,5.52887931034,0,1,0,2,2,1,0,0,0,8.77878850711,13.3636363636
98,1,11,166,411,79,166,17,63,51,28,27,29,35,6,30,37,14,14,19,4,17,12,36,12,5,9,23,5.78647460867,0,12,11,1,2.14852905065,4.57177615572,45.7177615572,0,1,5.78307228916,2,2,1,1,1,5,1,0,0,2.20349675736,11.7428571429
99,1,8,121,347,57,136,17,47,37,30,23,15,19,9,13,27,14,12,7,2,11,7,45,22,11,7,46,4.69066333306,4,18,9,0,1.98286457636,4.31123919308,43.1123919308,2,3,5.19580882353,0,2,0,1,1,3,1,0,1,0,18.2631578947
100,1,7,67,235,33,68,11,31,25,19,25,5,11,9,3,18,4,4,2,0,4,8,22,22,5,11,23,6.22539132177,2,18,5,0,1.95193191192,3.89787234043,38.9787234043,1,3,5.15926470588,2,0,0,0,2,0,1,0,0,7.80336756188,21.4545454545
101,1,10,184,466,83,189,22,72,50,37,27,28,35,11,38,39,26,8,8,5,9,17,21,34,6,2,20,8.40728872531,1,35,10,3,2.23762563453,4.47639484979,44.7639484979,0,6,5.27619047619,1,1,0,0,8,0,4,0,0,9.56616496777,13.3142857143
102,1,8,129,330,53,122,16,43,46,37,15,10,27,4,16,26,8,12,2,2,14,14,6,22,1,2,6,4.75561375796,0,13,15,0,2.10259119863,4.30909090909,43.0909090909,2,0,5.61393442623,2,2,0,3,0,1,2,0,0,13.1534768307,12.2222222222
