id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8
17915,7,15,30,117,11,42,5,25,10,8,2,2
17916,7,9,21,87,11,31,4,13,12,3,3,0
17917,7,8,17,105,3,28,3,15,12,13,6,0
17918,7,14,38,133,20,49,5,27,18,9,4,3
17919,7,23,57,256,20,95,13,40,21,19,8,2
17920,7,14,22,63,8,16,3,10,5,5,10,2
17921,7,10,59,213,22,55,5,19,17,12,15,4
17922,7,17,37,128,17,49,8,22,12,9,5,2
17923,7,21,63,203,31,70,8,33,15,15,12,6
17924,7,24,136,295,47,114,14,44,27,19,28,17
17926,7,21,86,291,45,99,10,38,33,25,21,8
17927,7,6,25,119,10,25,4,33,13,14,7,0
17928,7,12,34,172,13,64,4,24,19,13,4,2
17930,7,21,51,224,26,65,11,37,17,15,8,4
17931,7,24,67,184,32,55,9,24,20,13,13,2
17932,7,24,96,315,38,104,14,40,37,19,12,8
17933,7,15,27,95,12,29,4,14,13,8,4,4
17935,7,14,31,124,15,40,4,16,10,7,4,0
17936,7,9,11,48,5,14,3,2,2,1,1,1
17937,7,9,19,65,10,20,3,11,4,6,5,1
17938,7,9,87,312,47,109,11,43,33,22,14,7
17939,7,22,91,247,40,94,11,44,31,19,13,9
17940,7,8,17,80,6,19,3,19,6,9,5,0
17941,7,15,30,137,14,49,4,20,10,7,5,1
17942,7,20,45,116,24,53,5,23,13,17,8,7
17943,7,10,24,167,4,51,3,25,9,18,16,1
17944,7,18,39,150,18,40,6,13,22,8,7,4
17945,7,18,47,129,23,50,5,14,17,6,11,3
17946,7,14,22,76,12,26,3,12,6,5,4,2
17947,7,23,101,328,40,99,13,44,35,29,30,7
17949,7,6,21,93,6,27,2,20,9,11,3,1
17950,7,11,15,64,6,16,4,10,7,6,5,0
17951,7,9,13,65,5,23,2,13,3,4,4,0
17952,7,21,57,203,25,66,6,25,14,20,13,6
17953,7,16,31,152,14,51,6,23,9,16,6,3
17954,7,11,35,160,11,64,6,25,14,14,6,3
17955,7,20,52,145,27,53,4,29,18,13,11,10
17957,7,8,30,80,13,22,1,15,12,5,3,1
17959,7,7,20,84,13,39,4,13,6,7,9,5
17961,7,17,43,166,16,50,9,28,16,14,7,3
17962,7,14,59,150,35,49,7,24,22,13,9,6
17963,7,22,136,465,40,149,12,65,27,32,34,9
17964,7,21,66,154,28,47,5,28,9,14,17,7
17965,7,12,44,167,24,54,8,37,16,10,8,1
17966,7,18,54,188,20,69,9,22,18,8,11,3
17967,7,12,107,302,39,74,13,56,19,22,30,16
17968,7,19,49,139,27,48,7,22,14,7,12,4
17969,7,16,35,121,17,35,5,15,10,4,7,7
17970,7,11,25,56,15,27,1,12,7,8,1,2
17971,7,18,91,248,45,98,11,33,26,13,28,17
17973,7,15,40,142,12,52,1,20,13,15,12,1
17974,7,17,69,204,30,67,8,40,9,18,7,5
17975,7,16,74,211,28,75,10,40,29,20,10,6
17976,7,9,45,115,31,49,6,20,14,6,7,9
17977,7,16,19,73,8,27,3,9,8,3,3,1
17978,7,9,16,76,7,27,0,11,5,3,4,1
17979,7,17,34,135,16,42,2,13,12,9,10,4
17980,7,24,66,196,34,76,11,37,21,27,18,6
17981,7,11,55,145,30,50,6,25,15,11,17,3
17982,7,9,28,91,7,34,4,14,4,8,6,1
17983,7,18,38,145,20,46,6,19,13,10,6,6
17984,7,18,51,151,27,50,6,21,14,7,8,5
17985,7,14,31,109,12,30,4,19,11,11,5,4
17986,7,17,81,261,31,93,13,36,30,16,16,4
17987,7,18,57,213,16,65,8,21,14,10,9,0
17988,7,15,27,109,13,43,6,15,6,7,5,5
17989,7,13,25,76,8,21,5,10,6,7,3,1
17990,7,11,60,203,34,71,7,41,17,19,6,2
17991,7,24,90,331,36,105,14,31,25,21,20,8
17992,7,7,10,29,3,11,1,2,2,1,3,1
17993,7,17,50,155,18,61,6,26,15,13,6,3
17996,7,11,15,86,5,21,2,11,7,8,3,2
17997,7,16,48,198,22,62,8,24,24,20,13,4
17998,7,17,38,163,18,56,11,22,14,19,7,4
18000,7,22,105,295,47,109,13,36,26,35,14,14
18001,7,12,8,67,0,18,3,12,5,3,3,0
18002,7,12,36,209,11,60,5,22,12,12,12,1
18004,7,16,40,179,17,60,7,25,12,20,7,3
18005,7,20,77,235,19,85,10,42,19,22,16,1
18006,7,16,64,208,25,66,8,27,20,15,17,6
18008,7,15,37,134,16,47,5,14,15,11,7,0
18011,7,8,26,87,11,30,2,16,11,5,3,0
18012,7,17,92,196,34,58,10,32,12,11,14,14
18013,7,13,32,161,16,45,5,24,24,15,3,5
18014,7,20,56,144,21,48,5,17,11,7,6,7
18015,7,14,68,259,26,76,2,36,20,23,22,5
18016,7,24,131,271,64,71,7,29,18,13,35,26
18017,7,17,69,211,32,71,9,21,17,10,13,6
18018,7,12,18,70,5,24,3,7,7,4,3,1
18019,7,20,86,280,35,92,12,40,27,19,6,4
18020,7,13,31,107,13,37,2,17,8,8,3,1
18021,7,16,35,103,14,26,4,8,10,6,8,4
18022,7,18,84,296,33,98,16,47,19,25,15,7
18023,7,12,37,163,10,54,6,18,15,8,7,1
18025,7,21,74,217,31,82,8,22,20,12,17,10
18026,7,19,39,129,15,52,6,14,12,6,6,4
18028,7,23,55,197,19,62,7,30,14,14,9,4
18029,7,17,41,192,13,58,8,37,13,13,15,1
18030,7,21,70,272,32,106,12,44,26,22,12,8
18031,7,9,26,73,12,25,3,12,8,8,6,0
18032,7,15,20,99,8,29,3,12,7,6,5,0
18033,7,12,16,85,6,28,5,11,4,7,8,3
18034,7,24,137,421,57,166,22,67,42,40,29,5
18035,7,16,23,77,9,29,3,8,7,9,2,1
18036,7,8,20,51,4,12,3,11,7,5,3,1
18037,7,13,27,91,10,31,2,19,5,5,4,1
18038,7,21,55,175,24,68,7,31,14,17,10,0
18039,7,16,47,130,21,55,3,14,11,13,6,5
18040,7,9,12,60,7,14,2,11,7,5,5,2
18041,7,17,26,87,14,22,4,18,4,2,3,1
18042,7,16,39,126,16,38,7,14,10,8,6,5
18043,7,7,26,71,9,19,3,10,7,2,4,2
18044,7,16,63,144,29,60,7,21,9,6,8,6
18045,7,19,109,295,46,110,14,36,25,23,21,12
18046,7,8,21,96,5,25,3,17,6,8,6,2
18047,7,22,72,222,19,95,8,30,22,18,10,6
18048,7,18,39,108,11,34,6,12,5,11,11,5
18049,7,18,71,241,24,77,5,36,21,25,13,6
18050,7,8,13,67,3,19,1,7,9,5,4,1
18051,7,18,57,173,25,55,8,21,15,7,16,12
18052,7,17,72,208,35,77,8,32,22,11,16,3
18053,7,24,78,217,40,74,11,27,18,12,23,3
18054,7,12,56,156,19,40,3,27,8,13,8,3
18055,7,16,46,162,28,56,7,19,11,12,8,7
18056,7,22,140,317,61,111,13,48,27,24,28,19
18057,7,14,39,126,20,43,5,26,7,8,9,5
18058,7,18,56,158,21,50,7,31,16,23,12,2
18060,7,8,25,94,7,27,1,12,8,1,5,0
18061,7,15,50,217,10,67,7,25,19,17,15,2
18062,7,17,54,138,27,46,8,28,16,14,3,9
18064,7,17,38,149,17,42,4,20,17,10,13,0
18065,7,14,45,190,23,69,10,21,16,4,10,9
18066,7,23,64,205,26,62,10,39,10,22,20,8
18067,7,17,66,117,8,24,5,7,4,5,10,2
18068,7,24,121,305,62,114,10,57,20,32,15,11
18070,7,20,42,113,19,49,5,21,8,11,5,1
18071,7,16,57,215,24,66,9,40,18,20,14,3
18072,7,15,50,154,18,56,8,17,13,11,9,2
18073,7,18,56,160,33,48,6,15,6,7,13,7
18074,7,17,68,262,15,78,5,25,15,12,10,0
18075,7,16,75,158,43,52,7,32,14,8,20,13
18076,7,13,56,223,24,83,6,21,19,12,10,2
18077,7,18,72,250,27,79,12,46,13,12,16,4
18078,7,19,58,145,30,51,5,28,12,9,10,10
18079,7,22,100,365,52,116,13,57,30,25,27,22
18080,7,8,54,173,19,65,5,38,21,15,16,2
18081,7,23,41,173,15,66,5,35,20,7,16,1
18082,7,14,22,139,6,60,2,24,11,5,8,1
18083,7,14,24,112,9,31,6,19,11,13,3,0
18084,7,15,49,143,26,46,5,23,16,12,4,11
18086,7,15,31,102,9,43,6,23,6,9,6,2
18087,7,19,52,165,27,58,4,28,11,16,7,6
18088,7,6,8,26,5,11,1,1,2,0,1,1
18089,7,21,73,200,34,67,8,29,20,20,10,6
18090,7,16,71,334,22,112,3,34,30,25,12,1
18091,7,7,11,47,4,8,1,3,2,3,4,1
18092,7,16,22,88,7,27,3,9,11,6,5,0
18093,7,14,23,104,5,37,5,21,9,8,7,0
18094,7,17,48,150,18,50,6,24,11,16,7,5
18095,7,15,53,195,26,78,9,27,18,13,10,5
18096,7,16,46,150,16,57,7,16,14,11,9,2
18097,7,17,41,123,19,34,5,12,4,11,9,3
18098,7,22,60,235,24,78,11,39,22,24,16,10
18099,7,17,74,200,38,55,8,28,13,8,15,9
18100,7,18,89,292,37,103,12,32,28,15,11,7
18102,7,13,13,53,4,17,3,8,5,2,3,0
18103,7,11,66,174,32,54,5,29,6,12,21,2
18105,7,17,42,159,18,62,7,26,14,7,10,3
18106,7,16,61,264,16,102,7,36,20,17,16,1
18107,7,13,43,171,14,46,10,23,17,16,9,4
18108,7,11,31,104,5,25,1,12,5,3,9,1
18109,7,8,7,39,4,13,1,7,1,3,1,1
18110,7,20,103,386,43,129,16,47,33,27,24,13
18112,7,17,40,92,19,31,3,11,7,5,8,3
18114,7,18,52,155,14,48,6,20,9,9,15,2
18115,7,15,50,163,16,62,7,22,11,10,9,0
18116,7,20,66,184,21,67,8,21,5,17,14,5
18117,7,19,37,146,17,54,8,23,22,12,5,4
18118,7,10,48,239,22,73,6,39,18,27,11,6
18119,7,16,77,295,31,124,6,45,28,29,13,4
18120,7,18,42,148,14,53,7,13,13,17,10,4
18121,7,14,54,157,19,45,7,20,13,8,14,5
18123,7,12,40,103,24,28,3,14,14,7,9,5
18124,7,15,63,164,23,54,10,21,13,10,13,9
18126,7,6,8,44,5,15,2,8,1,4,0,0
18127,7,18,58,275,25,100,11,39,28,27,17,5
18128,7,17,31,133,15,37,6,18,8,11,12,3
18129,7,13,34,122,13,43,5,15,12,12,6,0
18130,7,17,39,124,17,47,5,19,11,13,7,3
18131,7,15,35,89,22,26,3,14,13,7,6,2
18132,7,18,47,211,12,72,11,22,15,18,8,0
18133,7,13,8,27,2,8,1,5,5,0,0,0
18134,7,12,40,160,23,58,8,11,17,10,13,5
18135,7,12,34,130,18,48,5,15,14,13,4,4
18136,7,14,21,58,14,22,2,7,5,3,4,5
18137,7,15,31,95,10,27,6,14,10,7,3,1
18138,7,12,122,372,33,100,12,60,23,13,31,10
18140,7,18,32,134,10,37,7,21,14,8,11,2
18141,7,15,61,328,18,95,11,49,27,26,15,2
18142,7,21,119,316,54,108,14,43,33,29,16,11
18143,7,13,61,166,42,74,8,17,15,10,16,9
18144,7,16,23,126,13,51,6,7,8,6,4,4
18146,7,21,132,278,50,83,11,25,17,16,21,14
18147,7,16,35,121,11,42,3,19,15,7,7,3
18148,7,18,68,197,19,77,11,40,26,23,15,1
18149,7,10,6,30,3,8,1,4,6,2,2,1
18150,7,14,41,123,14,44,6,22,12,6,6,0
18151,7,16,51,149,19,54,9,35,20,14,10,3
18152,7,6,7,27,5,11,1,3,1,0,1,1
18153,7,24,111,302,58,104,13,49,28,36,26,15
18154,7,13,16,61,5,15,2,8,2,3,2,1
18156,7,18,37,108,20,42,3,28,8,9,11,13
18159,7,18,47,138,20,56,6,24,13,8,8,2
18160,7,23,60,200,16,84,8,23,13,11,11,2
18161,7,4,29,102,15,25,3,11,7,7,7,3
18162,7,19,90,277,39,90,13,42,21,22,20,11
18163,7,16,34,131,13,41,6,18,12,9,12,3
18164,7,19,48,194,23,65,8,27,21,10,9,3
18165,7,17,76,272,21,107,8,52,24,22,15,5
18166,7,17,62,182,30,54,6,34,12,14,21,5
18167,7,7,20,43,12,16,1,8,6,4,5,2
18168,7,17,40,133,16,51,7,27,16,9,3,3
18169,7,13,88,345,34,110,13,29,26,16,17,4
18170,7,14,48,216,15,72,9,28,18,17,10,1
18171,7,17,62,127,16,51,5,26,5,9,14,5
18172,7,23,85,283,27,99,9,51,23,13,13,5
18173,7,14,30,122,19,40,5,12,9,4,3,1
18174,7,23,121,292,55,81,12,43,22,16,44,23
18175,7,22,153,429,58,129,20,79,54,38,30,18
18177,7,13,19,74,8,26,4,12,6,5,2,0
18178,7,22,125,366,45,138,14,43,32,27,26,16
18179,7,5,10,39,8,3,3,9,4,1,4,0
18180,7,17,36,117,15,32,5,25,12,7,7,3
18181,7,17,40,161,6,61,5,19,12,10,4,0
18182,7,17,53,205,20,60,8,31,21,26,10,5
18183,7,16,48,170,18,56,7,24,14,4,8,9
18184,7,6,12,43,9,11,0,5,5,3,2,0
18185,7,13,36,117,6,45,4,16,11,4,7,1
18186,7,14,54,211,20,74,9,32,20,12,13,5
18187,7,21,106,304,35,131,16,41,29,30,26,8
18189,7,22,65,239,20,82,12,30,32,12,5,3
18190,7,14,29,121,11,33,5,23,13,10,6,3
18191,7,16,27,101,5,40,4,14,8,8,6,1
18192,7,20,59,162,19,61,6,29,15,16,13,4
18193,7,15,31,126,16,37,5,19,12,10,5,2
18194,7,13,57,184,34,63,9,30,17,18,18,10
18195,7,9,71,318,18,97,6,43,42,22,11,3
18196,7,8,36,121,14,44,1,21,17,12,3,3
18197,7,16,34,124,8,45,7,12,15,10,2,1
18198,7,20,75,248,34,78,13,30,16,10,22,11
18200,7,19,80,285,24,122,9,35,24,21,17,4
18201,7,21,70,179,35,53,5,24,14,16,16,11
18202,7,21,56,200,30,70,9,36,27,27,21,9
18203,7,7,3,27,1,10,2,6,1,3,2,0
18205,7,20,77,256,32,88,12,26,23,13,18,4
18206,7,16,37,128,12,38,3,13,6,12,6,4
18207,7,12,86,244,18,52,7,30,13,17,27,3
18208,7,17,42,122,17,49,2,16,8,10,6,6
18209,7,16,32,174,8,64,3,14,15,11,10,2
18210,7,18,39,154,18,53,8,24,15,15,12,2
18211,7,17,73,222,40,79,10,31,33,12,17,8
18212,7,14,40,114,19,41,5,15,17,8,8,2
18213,7,22,68,220,31,69,10,28,24,13,10,7
18215,7,8,29,117,16,37,5,16,16,4,7,5
18217,7,17,57,130,19,50,5,19,7,8,8,6
18218,7,16,31,148,10,51,8,24,17,15,9,0
18219,7,7,31,165,8,44,3,24,10,7,13,0
18220,7,21,52,203,33,67,6,27,20,18,10,9
18221,7,8,11,33,2,16,0,2,3,4,1,0
18222,7,24,81,238,31,87,10,31,18,16,9,5
18223,7,20,46,140,18,48,8,23,13,12,7,1
18225,7,19,35,154,9,45,6,39,16,20,7,1
18226,7,21,67,237,16,89,11,37,18,18,9,1
18227,7,18,43,216,13,70,12,44,19,22,13,1
18228,7,12,49,132,35,58,5,25,13,5,12,6
18229,7,24,134,293,58,101,11,35,18,24,20,19
18230,7,17,74,239,38,75,10,38,19,13,16,6
18231,7,23,37,178,17,81,9,25,18,15,7,4
18232,7,20,68,201,36,77,8,36,18,24,12,9
18233,7,10,32,101,15,30,4,11,11,8,9,4
18234,7,21,80,173,39,61,7,31,17,9,25,16
18235,7,18,141,360,56,128,17,59,32,30,25,12
18236,7,20,50,137,12,52,7,15,20,15,7,1
18237,7,18,31,130,12,44,4,19,10,14,8,2
18238,7,16,31,101,15,33,3,14,9,4,7,1
18239,7,7,18,53,7,20,3,7,4,7,4,2
18240,7,16,52,150,18,50,4,20,18,12,11,2
18241,7,20,73,203,32,79,9,36,18,13,12,6
18242,7,16,22,111,5,37,4,17,17,8,4,0
18243,7,24,130,473,55,147,24,71,52,44,12,15
18244,7,14,46,191,20,65,6,19,18,17,10,3
18245,7,9,39,85,21,36,1,12,8,8,6,6
18246,7,17,57,152,19,55,7,27,15,20,11,9
18247,7,10,39,194,13,73,7,21,15,13,8,2
18248,7,11,36,110,20,40,4,18,6,3,3,7
18249,7,13,58,150,26,61,4,23,19,11,6,5
18250,7,23,95,296,34,99,12,35,29,21,23,7
18251,7,11,26,101,11,32,3,17,11,7,6,4
18252,7,14,58,221,7,60,8,36,19,17,11,3
18253,7,12,31,75,21,30,3,12,3,1,6,4
18254,7,17,29,118,11,44,5,19,3,8,1,1
18255,7,20,48,189,21,61,8,33,22,19,10,2
18256,7,22,77,253,23,73,12,35,30,24,14,3
18257,7,20,63,242,31,83,11,37,27,18,8,4
18258,7,9,18,91,10,29,5,14,7,1,3,0
18259,7,9,17,87,7,26,1,15,9,8,3,0
18260,7,13,50,154,21,56,7,15,10,2,4,7
18261,7,20,147,309,75,64,8,1,2,1,4,35
18262,7,14,40,156,14,53,5,24,15,15,5,6
18263,7,11,17,87,8,31,1,16,10,10,4,0
18264,7,16,53,174,14,59,7,19,17,15,15,3
18265,7,15,31,103,12,26,4,14,10,10,8,6
18266,7,21,95,331,36,143,15,51,34,27,7,5
18267,7,11,18,59,9,21,3,8,5,3,3,3
18268,7,8,15,44,8,14,2,7,3,4,1,1
18269,7,14,30,84,13,35,3,13,6,6,11,1
18271,7,20,64,238,20,72,12,41,31,33,12,6
18272,7,11,35,169,15,51,9,26,12,11,7,5
18273,7,18,49,171,21,56,8,21,15,11,5,5
18275,7,20,147,333,59,103,11,44,17,17,19,26
18276,7,18,38,144,17,43,8,19,9,13,14,2
18277,7,18,45,190,26,63,9,27,15,18,11,9
18278,7,13,13,44,6,15,0,7,4,3,3,1
18279,7,23,83,282,37,94,13,43,29,22,12,5
18280,7,16,27,95,7,37,4,18,10,10,4,1
18281,7,24,88,230,30,80,7,47,20,19,18,7
18282,7,20,35,179,15,67,8,22,26,15,9,4
18283,7,20,77,221,31,83,9,40,21,17,13,2
18284,7,11,51,149,20,47,6,22,16,13,11,2
18285,7,16,32,93,19,29,5,12,10,7,6,3
18286,7,20,57,151,19,72,7,17,13,17,12,8
18287,7,18,42,164,12,53,5,26,14,12,3,1
18288,7,10,41,164,23,45,6,15,11,2,7,2
18289,7,17,46,200,19,64,8,34,11,15,14,4
18290,7,10,12,87,6,27,4,15,7,8,3,2
18291,7,22,83,192,42,64,8,32,22,17,11,6
18292,7,16,32,97,11,34,6,16,13,7,6,1
18293,7,11,21,94,13,41,3,12,10,9,7,1
18294,7,16,144,333,89,134,13,51,35,26,26,29
18295,7,16,22,115,10,47,5,21,9,10,2,1
18296,7,8,12,41,5,17,1,4,5,3,2,1
18297,7,21,127,397,53,137,7,56,26,20,21,11
18298,7,16,24,93,9,32,6,14,12,8,7,2
18300,7,13,34,131,13,38,6,19,19,10,9,3
18301,7,14,18,97,9,30,5,9,13,7,5,1
18302,7,16,115,400,42,116,8,32,37,26,38,7
18303,7,18,46,169,19,65,8,23,16,15,8,2
18304,7,13,40,152,24,67,6,26,14,12,14,4
18305,7,18,39,148,12,43,6,19,10,8,6,1
18306,7,10,39,158,22,48,6,15,6,14,9,9
18307,7,19,23,110,14,42,5,22,6,14,4,1
18308,7,12,112,309,52,104,14,34,29,23,25,11
18309,7,17,34,131,16,44,6,22,6,8,12,3
18310,7,7,30,148,18,48,4,20,13,12,6,5
18311,7,24,116,334,28,120,13,59,35,31,27,4
18312,7,21,80,248,24,102,13,40,27,30,15,7
18314,7,24,115,259,48,96,12,53,27,30,33,16
18317,7,16,33,138,15,47,5,21,16,13,8,5
18318,7,14,29,92,11,35,4,9,10,4,4,1
18319,7,24,173,419,94,137,18,67,42,38,46,30
18320,7,12,31,101,13,46,5,17,7,11,7,2
18321,7,14,28,75,15,32,5,9,7,4,7,4
18322,7,17,56,169,19,50,8,19,9,5,18,2
18324,7,24,83,229,44,64,13,43,22,22,21,12
18325,7,13,25,71,9,19,2,9,9,2,9,3
18326,7,11,83,279,47,96,11,29,22,12,11,15
18327,7,17,52,215,17,70,11,29,19,8,7,2
18329,7,14,100,222,45,90,10,39,20,24,17,14
18330,7,6,24,57,14,33,2,5,3,3,8,0
18331,7,10,17,63,10,22,2,8,8,3,5,1
18332,7,22,117,255,38,98,10,54,19,23,32,6
18333,7,16,37,134,13,57,4,12,15,14,5,1
18334,7,16,107,256,51,98,12,49,26,15,11,12
18335,7,16,63,228,20,76,13,37,28,17,11,2
18336,7,19,49,131,24,51,4,22,10,7,10,3
18337,7,21,46,188,17,62,11,26,22,16,7,2
18338,7,20,61,195,26,78,8,29,13,11,12,4
18339,7,24,63,291,22,95,11,45,29,22,15,2
18340,7,16,84,257,38,95,11,35,15,10,11,14
18341,7,22,50,118,25,44,5,33,11,9,8,6
18342,7,16,57,153,23,44,7,19,13,7,14,4
18343,7,13,52,150,17,61,7,22,16,11,9,5
18344,7,16,66,251,18,88,13,30,17,15,8,4
18345,7,19,56,172,29,49,6,29,11,20,14,6
18346,7,17,59,184,31,53,6,33,17,12,10,10
18347,7,14,12,48,4,15,1,7,4,3,4,0
18348,7,5,4,11,2,2,0,2,0,0,2,1
18349,7,19,51,169,21,63,7,29,18,17,14,2
18350,7,12,27,85,11,20,4,15,7,9,6,7
18352,7,17,29,84,12,32,5,14,8,3,9,3
18353,7,17,56,226,24,85,5,29,13,18,6,4
18354,7,11,12,41,7,18,2,4,2,2,3,0
18355,7,7,22,92,15,31,4,18,8,7,7,2
18356,7,17,37,163,8,63,4,24,13,10,8,2
18357,7,16,45,142,12,48,8,22,16,10,7,4
18358,7,15,24,97,12,27,5,17,8,3,3,1
18361,7,9,23,65,9,20,2,8,5,2,1,2
18362,7,24,126,295,50,104,12,48,22,22,20,17
18363,7,24,89,245,39,101,12,38,31,14,21,12
18364,7,14,30,98,11,35,2,15,4,9,2,3
18365,7,12,12,57,5,21,2,7,4,4,4,0
18366,7,16,17,93,7,29,4,14,15,12,4,2
18367,7,18,19,97,7,35,4,14,9,5,2,1
18368,7,15,49,183,17,67,6,31,17,18,14,2
18369,7,20,86,240,26,92,8,30,27,14,14,7
18370,7,8,10,43,0,6,1,7,2,4,0,0
18371,7,18,58,219,19,92,11,31,20,12,8,1
18373,7,14,22,79,6,29,4,14,6,7,5,2
18374,7,8,7,49,3,21,2,9,7,2,0,0
18375,7,8,16,63,6,19,3,14,5,4,5,0
18376,7,13,71,157,30,44,6,8,5,3,7,13
18377,7,24,83,296,37,110,13,42,33,21,19,10
18378,7,18,80,236,29,96,9,47,26,19,10,2
18379,7,11,25,112,8,42,4,11,8,8,6,0
18380,7,18,56,219,21,88,11,25,17,7,7,4
18381,7,20,31,78,10,27,4,9,9,5,15,4
18383,7,11,22,84,8,35,1,10,11,7,7,2
18384,7,13,12,70,4,26,1,6,9,0,2,1
18386,7,23,91,265,20,75,11,39,21,23,21,4
18387,7,17,41,194,11,62,9,30,16,15,7,0
18388,7,22,98,264,43,83,11,45,21,11,22,5
18389,7,17,65,245,28,94,7,42,25,30,18,6
18390,7,16,57,174,21,55,6,28,20,17,11,5
18391,7,19,62,204,28,67,7,20,23,10,15,5
18392,7,15,85,240,30,84,8,42,13,13,14,2
18393,7,20,33,138,14,44,6,14,17,5,8,4
18394,7,16,23,79,14,24,4,13,5,9,3,2
18395,7,24,93,257,42,88,10,40,19,12,19,9
18396,7,17,60,181,26,64,8,30,12,20,14,1
18398,7,19,56,176,22,66,11,26,18,15,10,9
18399,7,22,83,273,42,103,12,42,21,26,15,5
18401,7,18,49,205,23,60,8,27,18,18,13,9
18402,7,8,57,180,28,65,6,19,18,8,18,6
18403,7,12,35,119,19,40,4,18,5,11,7,3
18404,7,16,31,95,11,42,4,18,10,11,7,6
18405,7,14,39,123,15,47,3,15,10,11,9,0
18406,7,18,83,242,29,89,7,36,22,14,14,10
18407,7,21,77,215,33,77,12,33,14,14,17,15
18408,7,24,111,298,43,115,15,48,30,23,16,15
18409,7,14,20,72,9,27,4,15,8,7,1,0
