id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5
11839,5,1,27,79,9,28,4,14,12,10,4,3,5,2,4,2,5,1,0,0,6,0,5,3,2,3,7,1.65393226667,1,2,0
11840,5,1,25,92,13,34,3,19,11,11,3,3,6,2,2,0,2,2,0,0,2,5,7,6,8,4,3,2.37428319741,2,1,0
11841,5,2,45,103,17,46,6,21,16,9,12,6,8,1,2,3,6,2,1,0,1,1,0,10,7,3,0,2.26346291007,0,3,1
11842,5,2,43,143,17,54,3,21,21,13,10,2,4,3,9,3,9,1,4,1,12,3,5,14,4,6,2,1.86861866078,3,1,3
11843,5,4,65,156,23,61,7,29,12,22,8,9,17,1,7,9,7,5,2,2,14,2,9,14,6,10,4,1.70599357913,1,2,1
11844,5,3,65,158,21,77,4,29,17,26,4,5,7,3,9,11,4,3,4,1,8,1,3,7,8,5,2,3.19283796723,3,4,1
11845,5,2,48,131,24,46,6,15,17,14,11,6,11,4,7,6,3,4,1,1,8,5,12,14,5,4,3,2.98016427146,0,3,2
11846,5,2,42,113,16,41,5,25,14,12,7,6,6,4,2,10,8,3,4,2,8,1,3,9,2,4,0,2.25372458468,1,1,0
11847,5,4,73,186,31,76,9,33,22,26,14,8,10,6,12,8,7,4,2,1,8,4,1,8,12,8,2,5.29974347354,2,3,2
11848,5,2,58,177,24,71,7,24,21,20,14,10,9,5,11,6,11,5,3,0,1,4,5,16,16,4,2,4.58232919691,2,1,2
11849,5,2,45,130,24,42,7,32,16,24,5,9,8,3,5,6,4,3,3,3,8,0,3,2,6,4,5,3.13228305669,1,1,0
11850,5,4,76,190,37,69,9,32,23,25,16,13,14,2,10,12,8,3,1,3,13,2,9,12,11,6,10,2.68192492397,2,1,1
11851,5,2,34,106,14,42,5,16,12,12,9,6,7,4,10,3,5,1,6,1,4,0,3,6,7,4,4,2.29651119014,0,0,2
11852,5,2,50,122,21,57,7,17,14,7,8,4,9,2,8,13,6,5,1,0,0,2,6,5,9,10,5,2.12834931706,0,0,3
11853,5,2,40,84,23,33,5,18,8,13,15,6,6,1,4,2,3,3,1,2,1,0,4,2,6,2,2,1.3183900292,0,0,0
11854,5,1,16,49,9,15,2,10,5,2,6,0,5,1,1,0,3,0,1,0,0,0,6,4,9,3,5,0.623561775143,0,0,1
11855,5,3,56,149,25,54,7,24,22,17,10,15,8,5,4,5,10,2,0,3,1,3,9,10,16,6,7,1.53506441586,2,0,3
11856,5,4,68,162,33,50,6,32,22,21,11,19,8,2,5,7,7,5,1,5,5,7,10,6,6,9,9,3.12158489895,2,0,1
11857,5,4,90,230,47,97,11,48,33,30,26,17,16,8,7,11,8,5,4,11,21,1,13,8,1,16,12,3.89145176925,1,3,0
11858,5,3,37,91,12,35,3,11,4,13,12,4,10,1,9,4,5,2,1,2,6,7,3,5,2,1,2,1.63696605412,0,1,1
11859,5,2,40,118,16,48,6,16,15,13,8,4,7,3,2,3,5,3,3,2,11,2,5,20,4,3,0,1.59986747965,2,4,1
11860,5,3,52,143,26,58,6,21,13,9,8,10,9,4,10,12,8,10,0,2,0,4,9,12,13,5,9,4.53251195343,1,5,1
11861,5,3,48,147,17,61,5,32,20,17,6,6,14,0,5,1,4,3,3,0,4,2,7,14,8,10,4,2.94603023812,0,7,1
11862,5,3,39,100,17,28,6,14,10,10,6,9,7,1,6,3,6,2,0,1,8,0,7,11,3,9,5,1.26027848137,0,1,1
11863,5,3,47,143,22,49,7,15,20,13,9,4,9,3,9,7,5,6,2,1,13,1,9,16,3,6,12,3.09334289755,1,2,1
11864,5,2,40,120,20,52,6,27,19,10,6,13,7,2,7,8,6,2,0,3,6,1,0,10,7,6,0,2.62403261172,2,0,0
11865,5,3,67,145,25,61,8,32,20,23,5,9,12,3,6,8,3,2,3,2,7,1,9,6,8,7,7,2.23734955129,0,4,2
11866,5,4,123,250,60,110,11,30,27,15,19,27,29,2,7,25,12,7,4,5,10,1,24,13,17,23,28,3.13072291904,2,2,2
11867,5,2,36,94,18,41,4,14,13,9,6,5,5,3,3,7,4,2,2,0,3,2,3,9,4,2,1,1.80504391481,2,1,3
11868,5,3,42,101,24,37,4,18,14,7,11,11,7,2,2,5,5,0,3,0,0,2,2,7,11,3,3,1.36318055797,1,0,1
11869,5,3,42,114,14,45,7,20,15,16,8,6,8,1,2,6,4,1,2,1,8,1,4,9,2,5,4,1.64524309987,0,2,1
11870,5,2,35,97,11,34,4,12,11,9,12,3,6,1,2,6,5,2,1,1,2,1,13,5,9,5,11,2.45114298855,1,3,1
11871,5,1,14,51,5,19,2,9,7,8,3,2,4,1,0,1,1,2,2,0,1,0,2,5,3,2,0,1.44227676118,0,2,0
11872,5,3,58,148,24,51,4,30,19,17,9,9,5,4,9,5,4,2,5,2,3,4,12,5,11,7,9,3.1048664653,3,1,0
11873,5,3,61,158,32,63,7,34,14,22,12,13,9,6,7,9,9,2,1,7,14,0,8,9,2,2,3,2.69508825249,1,4,4
11874,5,3,57,138,34,53,7,22,18,13,11,16,9,3,10,6,6,2,4,2,4,0,12,9,5,7,12,2.25415748762,1,3,3
11875,5,3,43,141,19,70,7,16,20,12,7,5,9,4,6,9,9,2,4,1,8,1,4,17,7,8,0,3.02834326847,1,4,2
11876,5,2,29,81,16,33,3,13,14,6,5,5,6,2,3,6,3,2,0,0,4,0,3,7,5,6,2,1.32041382071,0,1,1
11877,5,2,23,51,12,8,2,11,8,6,5,3,4,1,0,0,2,0,2,0,9,0,5,2,0,3,3,0.952753996201,1,0,0
11878,5,3,75,213,27,76,9,32,26,22,17,12,11,6,9,9,7,3,2,4,16,3,13,23,7,11,13,6.86138259784,3,6,3
11879,5,2,22,66,7,28,4,13,3,9,2,4,5,1,2,1,6,0,1,0,0,0,1,8,11,3,0,1.18474364953,0,0,0
11880,5,1,11,39,5,18,2,6,6,6,3,1,4,1,2,0,3,0,1,0,0,0,0,3,5,0,0,0.657060742148,0,1,0
11881,5,3,39,118,10,48,6,24,15,19,4,4,10,3,6,3,1,2,2,3,6,2,10,8,6,5,7,3.50799002944,0,2,3
11882,5,3,56,128,15,46,7,16,12,6,14,1,10,2,7,7,10,3,1,0,5,1,14,7,8,12,14,2.35108637946,0,1,2
11883,5,3,69,179,24,72,8,33,26,25,9,10,12,4,8,10,2,3,0,1,10,4,9,12,11,6,8,2.81746849663,1,3,1
11884,5,4,124,284,68,120,12,46,29,28,13,25,23,4,15,22,11,8,7,6,13,8,24,19,11,21,20,4.69461792516,2,4,3
11885,5,2,36,98,6,24,3,9,13,12,11,4,5,3,6,3,5,3,1,0,8,0,16,9,0,2,15,1.59681654796,1,2,1
11886,5,3,60,176,33,72,10,31,16,24,15,11,11,5,6,6,8,2,0,5,10,7,11,12,14,6,7,3.98593538661,1,1,2
11887,5,2,29,72,13,28,4,15,10,10,2,9,7,1,7,3,3,0,1,2,6,2,3,6,4,0,1,1.2967350686,0,1,0
11888,5,1,16,58,6,26,2,11,8,9,3,1,3,2,3,4,2,1,2,1,2,1,0,1,3,5,0,1.18916924785,1,0,0
11889,5,2,38,85,15,29,5,19,10,13,3,5,7,1,2,1,4,1,0,3,5,1,10,2,8,4,11,1.08992222974,0,0,0
11890,5,2,35,79,19,22,4,16,11,8,7,8,5,1,3,3,6,1,0,2,3,3,14,1,2,4,10,2.20280895042,1,0,0
11891,5,3,66,148,38,48,8,28,24,21,11,16,13,2,5,11,5,2,2,6,11,1,7,2,4,5,7,2.96717189197,1,0,1
11892,5,2,31,96,15,37,5,17,8,8,7,4,6,2,3,2,10,3,0,3,0,1,0,12,5,3,0,6.28978425347,1,3,3
11893,5,3,50,151,24,61,7,18,23,14,7,6,8,4,5,9,6,4,2,2,5,3,5,15,14,6,6,3.48642471667,2,0,1
11894,5,2,38,106,15,46,6,15,14,15,4,4,7,1,4,6,4,4,2,0,6,2,6,8,5,5,7,2.60665785964,1,1,1
11895,5,3,40,124,24,50,7,22,22,7,9,3,8,4,4,5,2,2,1,0,10,0,3,18,4,7,2,2.24166777217,0,2,3
11896,5,3,61,143,27,56,7,21,15,18,8,9,8,4,10,9,8,3,2,2,6,2,10,7,6,7,10,2.48519810009,2,4,0
11897,5,3,44,109,21,35,5,25,16,15,4,9,7,3,5,3,3,4,5,1,4,4,5,7,5,2,3,2.93451880024,1,2,0
11898,5,3,68,148,32,57,5,25,25,17,10,13,13,2,9,10,1,1,5,1,1,0,10,10,3,4,9,1.86469648124,0,5,4
11899,5,3,48,141,22,55,6,21,12,11,7,7,8,4,8,10,11,6,3,2,10,0,4,11,2,9,5,2.10061389236,2,3,1
11900,5,3,86,194,36,70,10,40,20,13,13,14,14,3,15,7,9,4,0,3,9,2,17,11,8,11,11,2.99003204666,1,1,4
11901,5,3,71,166,24,64,7,33,19,16,14,9,9,5,6,6,7,1,4,2,11,4,9,14,5,10,0,2.77162947336,3,6,1
11902,5,1,14,54,3,22,4,13,4,6,1,1,5,1,1,2,5,1,1,1,3,0,0,5,3,3,0,0.770654012159,0,1,0
11903,5,1,12,30,5,14,1,5,6,2,5,0,3,1,0,0,2,0,0,0,2,0,4,3,0,0,1,0.311145241128,0,2,0
11904,5,3,66,152,15,70,7,22,23,17,9,4,8,5,7,7,5,2,3,0,1,4,8,7,17,7,13,3.24988719017,2,5,0
11905,5,3,52,118,21,48,5,27,14,15,10,11,6,3,5,3,2,2,2,2,13,2,9,3,2,3,8,2.65631735506,3,1,2
11906,5,4,74,191,36,67,7,28,21,28,18,10,8,6,7,14,9,6,3,2,4,3,4,10,15,6,1,2.8247891246,4,3,2
11907,5,2,21,71,13,23,3,6,6,4,5,5,5,2,2,4,2,5,1,0,3,1,4,12,7,4,4,2.13522881331,1,3,0
11908,5,3,40,97,19,51,3,13,13,10,8,7,5,2,2,9,4,1,2,2,2,1,2,8,7,8,0,1.44226223469,2,1,1
11909,5,2,35,74,14,29,4,16,13,10,1,3,6,0,5,0,4,0,0,0,4,3,0,7,4,2,0,0.734724686438,0,0,1
11910,5,1,23,67,10,27,3,14,7,9,5,2,6,0,7,0,1,1,0,1,2,2,4,4,7,1,4,1.06054672318,0,0,1
11911,5,3,52,131,22,45,8,15,11,9,10,10,9,3,8,9,5,8,2,2,5,3,10,8,8,9,11,2.37156082574,0,2,2
11912,5,2,18,50,9,12,3,11,8,7,1,4,4,1,1,0,0,0,1,0,3,0,1,8,4,1,2,1.12556328937,0,1,0
11913,5,2,37,109,16,43,6,12,15,15,11,3,7,2,5,8,2,5,1,0,5,2,7,5,4,6,6,2.31495905958,1,1,0
11914,5,1,24,64,11,16,4,8,6,7,7,7,6,1,2,4,4,2,3,0,6,2,5,2,0,3,5,2.25019186051,0,0,0
11915,5,2,36,101,15,37,4,20,15,19,8,7,6,2,3,3,6,0,1,4,9,0,5,5,2,0,3,1.80234538393,2,3,0
11916,5,3,69,161,28,70,6,29,20,23,12,5,7,4,7,7,6,7,0,0,3,2,9,7,11,4,5,3.00719328361,2,1,2
11917,5,2,43,126,17,53,5,17,14,16,10,7,6,4,7,6,8,2,1,1,1,3,6,9,12,5,9,2.87806023757,2,1,2
11918,5,2,20,55,15,21,3,12,10,8,2,4,7,0,2,2,2,1,2,1,2,2,3,3,2,2,3,0.908902500988,0,1,0
11919,5,1,24,68,10,24,3,9,7,8,5,5,4,2,5,2,3,2,0,2,5,0,2,6,2,2,2,1.46549428145,1,3,1
11920,5,3,54,128,27,46,7,26,16,12,8,12,8,3,8,5,7,1,2,4,6,6,9,6,6,5,4,2.8583769008,1,3,1
11921,5,3,33,107,15,45,5,11,12,7,8,1,7,2,11,8,3,6,0,1,1,4,6,10,9,4,1,1.33202342102,1,1,0
11922,5,2,32,93,8,35,5,20,12,8,9,4,7,2,3,3,6,2,0,3,2,0,4,10,5,3,3,1.30496781779,1,1,2
11923,5,2,60,139,27,42,6,26,14,20,12,8,7,2,9,4,4,4,3,1,6,1,11,2,8,7,13,4.56002439034,2,1,1
11924,5,2,44,104,22,43,4,19,16,14,6,6,6,3,3,7,3,2,2,0,0,2,4,5,6,2,3,2.46339274133,1,3,2
11925,5,2,37,101,16,42,4,19,15,15,2,1,7,3,8,4,5,0,0,0,7,5,4,5,5,2,3,1.76129040371,0,1,1
11926,5,1,38,94,20,36,4,16,13,8,5,7,8,1,5,1,2,4,1,1,2,2,12,4,8,2,9,2.50163294321,1,0,2
11927,5,2,21,62,5,20,4,15,6,10,3,2,5,0,1,3,5,0,1,0,4,0,7,5,3,3,1,1.49201097225,0,1,0
11928,5,3,71,170,40,62,8,35,20,19,14,15,11,4,9,13,12,1,1,5,4,2,6,5,11,7,5,3.15683085998,0,1,1
11929,5,2,54,129,31,43,6,22,14,12,9,10,8,4,9,3,4,3,2,5,3,9,10,11,9,8,4,2.48714341215,2,0,0
11930,5,2,29,67,16,26,3,15,12,15,2,7,6,1,4,2,2,0,0,4,3,0,1,3,5,2,0,0.847104591726,1,1,0
11931,5,3,36,106,18,32,5,18,11,9,5,5,7,3,6,3,4,3,1,1,8,0,4,14,5,4,2,2.60298056829,0,4,1
11932,5,4,103,280,44,111,13,55,28,36,23,19,25,8,10,14,16,7,5,7,7,5,3,16,16,15,3,4.62961484531,4,7,1
11933,5,3,60,147,29,60,7,22,18,16,5,17,11,4,10,7,5,7,2,2,0,8,14,7,17,1,8,2.15402987631,0,0,2
11934,5,3,45,139,17,41,7,14,14,8,11,4,10,4,7,5,6,8,4,0,4,2,12,15,12,6,6,2.74799459947,0,4,0
11935,5,1,11,21,4,7,1,4,2,2,1,2,2,1,0,1,0,0,0,2,1,0,6,0,2,2,8,0.402126680167,0,2,0
11936,5,2,60,143,32,55,7,30,19,15,15,17,9,4,4,4,7,5,0,5,4,0,18,6,2,7,18,3.19297539713,2,2,4
11937,5,4,120,307,61,115,10,51,45,41,20,17,12,8,6,16,13,7,8,7,25,5,17,14,8,10,23,6.25307172457,5,3,2
11938,5,3,66,156,31,68,5,21,16,12,10,6,7,4,7,13,4,3,1,1,13,5,12,14,5,17,10,3.09348371881,4,1,2
11939,5,3,61,159,20,69,9,33,23,17,9,11,11,4,8,6,10,3,3,2,9,2,6,10,5,10,3,2.52469335536,0,5,0
11940,5,2,47,108,10,47,5,25,11,14,15,3,7,2,3,6,5,1,2,2,6,2,5,7,1,1,5,2.31629094157,1,2,0
11941,5,3,52,130,12,65,6,23,15,14,3,4,8,3,8,8,4,0,2,1,7,0,2,12,7,2,3,2.09198178327,2,0,6
11942,5,3,67,156,30,66,5,29,11,19,13,11,14,2,4,7,6,5,3,2,7,2,9,13,9,9,7,2.70204879284,2,1,2
11943,5,3,57,120,24,50,7,26,15,16,7,8,17,1,4,4,2,2,1,1,8,1,18,7,3,6,11,1.47388709006,0,3,1
11944,5,2,22,65,11,26,2,10,8,9,5,1,4,2,2,2,5,2,0,1,5,4,0,5,1,1,0,1.49253065528,1,2,0
11945,5,4,96,214,49,74,9,39,33,23,14,23,10,7,7,18,9,7,2,4,3,2,18,8,12,8,18,2.57602694361,5,4,0
11946,5,3,60,151,37,51,4,32,16,28,11,13,7,3,1,5,9,3,3,2,14,3,2,3,5,2,1,2.06281453878,2,0,1
11947,5,2,44,120,21,41,7,22,9,12,6,8,8,2,4,4,8,3,7,1,9,1,11,4,5,7,9,2.65009706854,1,0,0
11948,5,2,27,72,15,29,3,8,9,8,3,4,5,1,2,9,1,3,0,1,4,1,3,7,7,3,0,0.751330824749,1,1,0
11949,5,3,58,132,28,61,6,14,14,16,4,8,7,3,9,15,4,6,2,0,7,2,3,8,3,5,4,1.62358538154,2,5,1
11950,5,1,20,45,6,12,3,8,6,11,4,4,6,1,0,0,0,1,1,0,4,0,10,1,0,0,15,1.10491317302,0,0,1
11951,5,3,54,142,25,46,7,23,17,13,9,8,8,4,6,3,6,5,2,0,7,6,8,13,5,9,1,2.41097511868,4,2,4
11952,5,1,16,46,9,19,2,7,6,5,4,5,5,1,2,2,2,0,0,2,2,1,2,5,4,1,1,0.898711957137,0,1,2
11953,5,1,16,54,3,15,2,7,3,4,2,1,4,2,3,3,3,1,0,0,8,0,6,8,2,5,0,0.903065759323,0,1,0
11954,5,4,102,286,47,112,12,41,42,28,19,23,15,6,18,13,12,9,4,8,10,6,27,13,16,8,19,6.46839152811,2,4,3
11955,5,1,9,33,4,17,2,3,3,0,1,2,2,1,4,1,1,1,1,0,0,0,5,4,2,2,1,0.71723397974,0,0,2
11956,5,2,54,130,21,58,6,20,9,14,11,10,11,1,5,8,5,3,0,1,4,1,9,11,16,1,8,4.6849982957,1,3,1
11957,5,4,59,146,30,61,7,27,19,15,10,14,8,4,8,9,3,3,2,4,6,2,7,9,6,9,11,2.65950398072,2,1,2
11958,5,2,24,50,11,25,3,5,6,5,3,2,5,0,7,3,3,1,0,0,1,2,1,2,5,4,0,0.27351157787,0,0,0
11959,5,2,47,141,29,49,5,25,21,11,9,14,10,3,9,4,6,2,5,3,9,1,7,15,3,5,7,2.72892031363,2,4,2
11960,5,3,57,139,38,50,6,27,14,11,10,16,16,2,9,5,11,4,2,2,8,3,11,5,7,7,10,1.69653819966,2,2,0
11961,5,1,25,68,8,39,3,7,11,5,3,1,9,0,10,1,3,0,1,0,0,0,6,9,1,4,1,1.04578859988,0,4,3
11962,5,3,48,112,28,44,5,20,15,7,6,13,10,3,5,7,5,4,1,3,3,1,12,8,6,9,9,2.19810590563,0,2,0
11963,5,4,132,276,50,122,13,56,34,41,15,17,14,7,19,16,14,4,3,4,15,8,6,6,13,5,1,4.05438986619,5,4,1
11964,5,3,60,158,29,54,7,28,21,19,13,10,11,2,4,5,6,3,3,3,13,3,10,13,2,6,10,3.21663141,2,1,1
11965,5,3,44,117,25,50,5,15,19,7,10,9,12,1,8,4,4,2,1,1,11,0,8,13,4,7,8,2.09843201651,1,1,2
11966,5,1,41,101,19,31,5,25,15,15,3,10,6,3,3,1,8,1,2,0,9,1,6,3,2,2,8,1.71716236068,1,0,0
11967,5,2,18,43,6,17,1,5,4,5,7,1,5,0,2,4,2,2,0,0,4,2,4,2,0,2,1,0.486537880308,0,1,1
11968,5,2,41,123,18,42,8,17,21,10,10,7,9,3,6,4,5,3,1,2,12,2,8,11,2,4,4,2.43468840659,0,3,0
11969,5,2,38,90,17,44,3,16,14,12,5,5,3,3,0,6,3,2,1,0,0,0,2,7,9,7,0,1.79463897735,2,2,1
11970,5,4,65,196,28,88,8,21,21,15,13,7,13,4,14,8,7,8,3,1,13,1,16,14,15,8,17,3.05815904908,3,3,2
11971,5,1,16,38,5,11,2,7,7,2,1,1,4,1,1,3,1,0,0,0,0,0,2,2,4,5,3,0.627500834578,0,0,1
11972,5,3,50,133,15,70,8,21,16,16,9,6,10,2,5,8,8,2,1,3,2,1,9,9,6,1,7,1.63069431303,0,5,3
11973,5,2,54,154,28,53,9,28,19,21,13,8,15,2,6,7,7,1,2,2,15,2,7,12,1,5,7,2.23892093653,0,0,2
11974,5,2,51,114,18,58,4,17,17,11,8,8,5,2,7,5,3,4,2,1,4,3,6,9,6,3,4,1.99363185129,2,2,1
11975,5,4,46,112,24,44,6,17,13,8,7,8,8,2,5,7,4,2,4,3,9,1,10,12,3,6,10,1.7553830466,0,1,1
11976,5,1,15,38,8,15,2,6,8,5,2,2,3,1,1,2,1,0,1,0,3,2,0,3,1,2,0,0.924505650231,1,1,0
11977,5,1,10,29,4,13,1,3,6,3,1,0,1,1,0,2,1,0,0,0,3,1,2,2,1,3,1,0.405844857688,1,0,0
11978,5,3,68,181,31,67,8,32,24,22,10,12,9,7,2,12,7,8,1,0,10,7,5,6,5,12,5,4.39849839604,2,0,2
11979,5,4,86,210,40,94,7,36,25,25,16,20,16,5,14,18,7,7,1,8,9,2,13,11,9,8,7,3.59492062807,2,3,3
11980,5,4,118,239,57,91,10,35,25,14,16,23,15,6,17,18,11,5,3,6,6,6,36,18,10,9,8,3.23556770751,2,11,6
11981,5,2,43,119,16,56,5,12,12,9,6,6,8,2,17,3,2,6,0,0,1,4,6,11,10,5,1,2.36969894901,1,0,3
11982,5,2,38,101,18,41,4,15,14,11,5,3,7,3,5,5,5,3,3,0,5,3,7,4,6,6,5,2.06835809141,2,1,2
11983,5,1,20,46,8,16,2,5,3,5,2,3,4,1,0,5,2,5,1,1,3,0,0,5,2,0,0,0.460569038248,1,1,1
11984,5,2,30,82,16,29,4,9,10,3,5,5,5,3,4,5,4,4,1,1,5,4,8,7,3,5,4,1.60247124825,1,1,0
11985,5,4,71,170,32,69,8,26,25,16,5,13,10,3,10,12,4,5,2,2,10,5,8,15,6,7,11,2.89611480998,2,3,2
11986,5,4,106,243,42,108,10,35,26,38,24,9,12,8,10,13,5,6,2,0,5,1,5,17,24,9,1,3.22389263466,4,4,2
11987,5,2,45,115,17,47,5,21,14,13,7,6,9,2,5,6,3,3,1,1,12,3,8,9,1,4,5,1.70692594792,0,2,1
11988,5,3,63,134,32,53,7,22,19,18,16,11,12,2,6,9,4,1,2,2,9,5,10,6,4,6,10,2.92824962343,1,1,1
11989,5,3,88,212,42,111,9,28,21,17,15,14,18,4,11,22,8,8,3,5,3,2,11,13,18,13,8,3.0945094757,2,1,5
11990,5,4,72,167,32,66,6,33,20,24,14,9,10,3,6,9,4,1,2,0,11,2,16,5,4,7,19,2.78021545824,3,2,2
11991,5,3,66,147,26,58,7,31,14,9,7,11,12,2,10,8,7,4,3,4,4,5,12,6,10,10,10,2.80052346858,1,2,1
11992,5,2,26,81,9,33,3,18,15,11,3,2,5,2,4,3,3,0,0,0,4,1,2,7,4,3,3,1.63112627222,1,4,0
11993,5,1,13,33,6,17,2,5,4,2,0,4,3,0,2,2,3,0,3,1,0,0,2,6,1,4,0,0.576053434467,0,3,0
11994,5,2,47,99,28,40,6,15,10,6,11,7,8,1,3,6,5,8,0,1,2,2,4,4,5,10,3,1.37053241888,1,0,1
11995,5,1,16,46,7,19,1,9,6,5,2,3,3,1,2,3,3,2,2,0,1,0,3,1,2,3,1,0.493990459761,1,0,1
11996,5,2,61,133,29,50,5,26,16,16,11,9,5,4,7,9,4,4,0,1,3,5,6,3,7,7,6,2.270500344,2,1,1
11997,5,4,83,186,36,72,7,41,26,24,20,15,13,6,4,12,8,1,1,9,10,6,19,4,6,6,19,3.40546492887,3,2,0
11998,5,1,6,20,1,6,1,3,2,5,2,0,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0.122319414468,0,0,0
11999,5,3,18,51,5,19,2,7,6,5,3,1,4,2,3,2,1,1,2,0,0,1,5,5,4,4,3,1.29547241761,0,2,1
12000,5,2,57,141,32,42,5,20,19,22,7,11,12,1,3,6,3,5,10,2,8,2,12,6,7,2,11,4.50657079195,1,1,1
12001,5,2,32,84,11,27,4,16,10,9,5,1,5,3,3,3,5,0,1,0,6,0,5,7,6,3,1,1.8718190049,1,0,1
12002,5,1,18,52,4,18,2,10,5,7,1,1,4,2,1,1,2,1,1,0,6,5,3,4,1,0,0,1.29163699782,0,1,0
12003,5,3,70,193,32,87,6,35,22,26,14,10,9,5,13,5,11,2,0,3,11,10,9,11,8,7,5,3.35146717841,4,2,3
12004,5,2,44,111,12,52,7,17,14,16,9,1,9,0,4,5,3,3,3,0,7,2,2,7,1,6,0,2.6778155922,0,3,2
12005,5,3,45,139,13,75,7,16,18,16,7,4,12,2,8,11,5,1,1,0,6,3,6,12,0,2,4,2.52932699076,1,12,2
12006,5,1,38,103,11,33,5,8,14,9,12,1,8,1,2,7,5,1,4,0,4,0,1,11,7,4,2,4.87681544683,1,4,2
12007,5,3,42,112,17,51,5,19,16,10,9,4,7,3,9,5,7,0,1,0,9,1,1,10,8,2,0,1.84283153594,1,1,0
12008,5,3,53,134,14,60,6,22,16,19,11,3,8,4,9,7,3,2,1,0,7,2,2,10,7,6,1,2.96630948031,1,1,3
12009,5,2,24,63,18,24,4,7,8,7,3,8,8,1,3,3,3,1,0,1,1,0,4,7,8,2,4,0.929565076474,0,0,1
12010,5,2,48,116,29,51,4,14,11,10,7,12,10,3,6,7,5,6,2,2,5,1,10,9,4,5,10,2.38053338303,2,4,2
12011,5,3,62,168,26,64,9,26,14,14,11,11,13,3,8,5,9,8,3,1,4,2,2,22,9,10,1,3.94617637571,2,4,3
12012,5,2,51,143,22,65,6,31,17,25,11,10,12,2,6,4,1,1,8,2,1,1,3,6,15,2,1,2.24352872433,0,2,1
12013,5,1,24,64,13,24,2,12,11,5,4,3,3,2,2,3,4,0,1,1,3,1,5,6,5,1,5,1.16744677859,1,2,0
12014,5,3,66,152,39,59,7,24,22,15,10,16,9,2,4,12,4,7,4,5,9,2,13,5,5,12,12,4.2704025166,1,1,1
12015,5,2,36,97,16,35,5,20,7,12,8,7,7,3,6,2,3,4,0,1,6,0,7,11,6,1,5,1.43017911957,0,0,2
12016,5,3,53,155,27,66,6,19,22,11,8,11,9,4,5,6,8,6,5,4,8,3,10,18,6,10,5,3.79043431477,2,3,3
12017,5,1,22,63,9,31,3,11,8,8,7,1,7,0,2,2,0,0,1,0,4,2,0,6,6,3,0,0.907727876578,0,0,0
12018,5,4,100,246,35,93,10,34,27,36,20,11,16,2,13,10,8,6,1,1,22,8,19,13,8,1,17,5.57830624579,2,4,1
12019,5,2,32,129,15,40,4,22,17,13,6,6,8,3,5,4,10,3,2,1,1,2,4,12,17,6,0,2.97880572788,2,0,0
12020,5,3,62,154,37,63,9,24,18,16,11,13,14,1,6,8,4,5,1,4,17,5,3,16,4,9,3,2.8147426495,0,1,2
12021,5,3,44,107,24,46,5,16,14,9,6,9,6,4,6,4,4,1,3,2,4,4,13,7,6,6,10,2.39881611909,2,0,3
