id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10,std_word,pos_34
8893,4,2,12,54,8,23,1,10,6,5,5,3,6,1,1,1,1,3,1,0,1,1,0,6,4,4,0,0.50664366879,0,0,2,0,2.04124145232,4.05555555556,40.5555555556,0,0,5.46565217391,0,0,0,0,0,0,0,0,0,0,9.0,0,0,7.28010988928,0
8894,4,1,14,55,8,23,2,14,5,8,1,5,8,0,1,0,1,0,0,0,1,2,5,5,3,3,2,0.722526128485,0,0,3,0,2.0042043351,4.27272727273,42.7272727273,0,0,5.37695652174,0,0,0,1,0,0,0,0,0,0,6.875,0,0,4.45638586749,0
8895,4,3,62,175,28,65,9,42,19,24,7,13,10,4,7,2,7,9,1,2,9,11,6,8,4,6,3,2.34098784785,2,0,2,0,2.15106037929,4.37714285714,43.7714285714,1,2,5.752,0,0,0,2,0,0,0,0,0,4.0,17.5,0,0,8.70919054792,0
8896,4,2,44,89,26,30,4,19,15,11,4,8,7,1,3,2,4,2,0,0,10,0,6,5,1,3,4,0.777394354806,1,0,1,0,2.32398780234,4.91011235955,49.1011235955,1,0,6.25833333333,0,0,0,0,0,0,0,0,0,0,12.7142857143,0,0,8.64728340024,0
8897,4,1,42,92,12,46,3,19,11,10,7,3,4,2,4,6,2,5,0,0,4,1,6,3,4,3,0,0.645131853844,2,2,1,0,1.77536898179,4.54347826087,45.4347826087,0,3,4.62282608696,0,0,0,0,0,1,2,0,0,0,23.0,0,0,17.930421077,0
8898,4,2,35,140,7,58,5,19,8,15,5,2,7,5,9,3,9,5,2,0,6,4,2,19,5,0,0,2.18065025366,3,1,5,0,1.43547407398,3.86428571429,38.6428571429,0,3,5.21706896552,0,1,0,1,2,0,0,0,0,0,20.0,0,0,12.0,0
8899,4,0,15,34,8,11,2,5,3,7,5,1,3,0,4,0,2,1,0,0,1,2,3,0,1,0,0,0.327647207202,0,0,0,0,1.87511140489,4.61764705882,46.1764705882,0,0,5.18181818182,0,0,0,0,0,0,0,0,0,0,11.3333333333,0,0,8.0553639824,0
8900,4,2,38,149,18,64,7,28,15,16,5,4,9,3,10,0,4,1,1,2,6,6,5,22,1,2,1,4.74148807641,1,10,5,0,1.91602216574,3.93288590604,39.3288590604,0,2,5.44609375,0,0,0,1,5,0,0,0,0,0,16.5555555556,0,0,10.1883496768,0
8901,4,0,14,36,3,18,2,6,3,4,2,1,4,1,3,2,1,2,0,0,2,2,1,3,2,0,1,0.222586232244,0,1,0,0,1.69288895556,4.36111111111,43.6111111111,0,1,5.265,0,0,0,0,0,0,0,0,0,0,9.0,0,0,7.44983221288,0
8902,4,3,59,155,26,55,6,26,25,19,6,9,7,5,12,3,1,5,2,2,17,5,7,12,3,1,2,4.26659601671,3,1,2,1,2.31338249842,4.43870967742,44.3870967742,1,6,5.826,0,0,0,0,0,0,0,0,0,4.0,22.2857142857,0,0,10.8590223937,0
8903,4,3,57,177,22,69,8,30,24,17,11,5,9,6,18,2,11,3,3,2,14,7,3,15,3,7,1,2.63818417459,2,0,5,0,1.90793493508,4.20338983051,42.0338983051,0,1,5.82231884058,0,0,0,0,0,0,0,0,0,0,19.7777777778,0,0,8.12099853983,0
8904,4,2,50,109,21,41,4,18,11,11,8,10,5,4,4,3,4,3,3,3,13,0,14,7,2,4,15,1.63558735334,3,1,1,1,2.4679391709,4.76146788991,47.6146788991,0,3,5.9156097561,0,0,0,0,0,0,0,1,0,0,21.8,0,0,11.1964280018,0
8905,4,2,50,139,26,54,7,20,18,15,2,10,11,3,10,3,4,8,1,1,9,7,11,9,1,5,0,2.58870558138,0,1,6,0,2.20907031551,4.40287769784,44.0287769784,1,1,5.80925925926,1,0,0,1,5,0,0,0,0,0,12.8181818182,0,0,6.30754500316,0
8906,4,2,43,111,19,40,6,17,12,16,8,6,10,1,4,4,3,4,4,2,6,2,3,10,8,2,2,2.72922094918,1,2,0,1,2.24608130861,4.41441441441,44.1441441441,0,3,5.47325,2,0,0,1,0,0,0,0,0,0,11.2,0,0,10.796295661,0
8907,4,0,16,40,6,14,1,7,5,7,1,3,2,1,1,3,4,1,0,0,1,0,0,4,4,1,0,0.346803632432,1,0,0,0,2.1241891364,4.275,42.75,0,0,5.89,0,0,0,1,0,0,0,0,0,2.0,20.0,0,0,20.0,0
8908,4,1,35,101,22,38,6,22,9,15,3,7,9,1,3,2,2,4,0,0,6,0,5,8,1,6,1,0.822410164808,0,6,1,0,2.16607506521,4.47524752475,44.7524752475,0,5,5.88526315789,0,0,0,0,0,0,0,0,0,0,11.2222222222,0,0,6.39057948647,0
8909,4,2,38,117,13,50,4,19,22,16,6,4,8,2,1,1,2,3,3,0,12,1,2,17,4,0,1,1.86599053151,1,2,1,0,1.87051359318,4.03418803419,40.3418803419,0,1,5.3742,0,1,0,0,0,1,0,0,0,0,14.625,0,0,10.7114133054,0
8910,4,1,23,68,10,29,2,12,7,8,2,3,5,2,4,0,1,2,1,0,8,4,1,8,1,2,0,0.889990758184,1,0,1,0,1.88427250676,4.17647058824,41.7647058824,0,3,5.28310344828,0,0,0,0,0,0,0,0,0,0,13.6,0,0,11.9431989015,0
8911,4,3,76,180,31,73,8,26,24,23,15,13,9,6,9,4,7,7,4,0,14,8,6,12,3,5,6,2.53377241243,3,0,0,0,2.13779648355,4.42777777778,44.2777777778,2,4,5.59643835616,1,0,0,0,0,0,0,0,0,0,20.0,0,0,8.36660026534,0
8912,4,1,24,66,6,30,4,14,7,9,3,1,6,0,2,2,0,3,1,0,5,1,3,6,1,0,0,0.707654055124,0,1,3,0,1.6537729696,4.13636363636,41.3636363636,0,3,5.22533333333,0,0,0,0,0,0,0,0,0,0,11.0,0,0,5.16397779494,0
8913,4,1,24,74,8,28,2,15,12,12,4,4,3,2,2,1,0,2,1,0,3,1,4,6,4,0,5,0.823976801686,2,2,1,0,1.86498156517,4.12162162162,41.2162162162,0,2,5.64464285714,0,0,0,0,0,0,0,0,0,0,24.6666666667,0,0,17.7451088723,0
8914,4,2,71,191,32,61,9,37,23,19,14,11,17,1,5,8,6,7,4,2,14,0,19,18,6,7,7,2.5399982496,1,1,4,2,2.30191552855,4.30890052356,43.0890052356,0,2,5.24360655738,0,1,0,0,0,0,0,0,1,0,11.3529411765,0,0,6.85085805249,0
8915,4,2,26,68,9,27,4,11,10,6,2,2,6,1,4,1,1,3,2,0,3,2,7,6,3,1,1,1.41696694192,0,2,1,0,2.04315813661,4.22058823529,42.2058823529,1,1,5.20407407407,0,0,0,0,1,0,1,0,0,0,11.3333333333,0,0,6.23609564462,0
8916,4,0,36,107,15,35,6,16,18,21,7,3,8,1,5,0,1,1,2,0,5,0,6,13,9,0,4,1.63194134623,0,0,0,0,1.90554601758,4.14018691589,41.4018691589,0,5,5.11628571429,0,0,0,0,0,0,0,0,0,0,13.5,0,0,6.0,0
8917,4,0,26,66,12,25,2,9,6,7,3,4,3,1,1,1,3,6,0,0,7,2,3,3,0,1,2,0.538665946929,1,0,2,0,2.05886564373,4.37878787879,43.7878787879,1,3,5.8796,0,0,0,0,0,0,0,0,0,0,22.0,0,0,21.400934559,0
8918,4,1,43,125,9,59,6,22,20,20,4,6,7,4,4,2,4,6,0,0,12,2,7,8,2,0,6,1.09898672613,0,0,2,0,1.79335691714,4.24,42.4,0,4,5.27796610169,0,0,0,0,0,2,0,0,0,0,18.0,0,0,8.12403840464,0
8919,4,3,39,90,20,34,4,23,13,12,8,11,8,1,2,2,3,4,1,3,5,3,6,3,0,3,4,1.04453931863,0,2,0,2,2.77965230134,4.87777777778,48.7777777778,0,1,5.88470588235,0,0,1,0,0,0,0,0,0,0,11.25,0,0,6.27992834354,0
8920,4,0,13,43,6,20,2,5,2,4,0,2,3,2,2,1,2,4,1,0,0,0,1,6,5,0,1,0.785085945512,0,2,0,0,2.11570094205,4.0,40.0,0,2,5.77,0,0,0,0,0,0,0,0,0,0,14.3333333333,0,0,10.2089285541,0
8921,4,2,50,159,28,65,5,23,17,13,9,13,6,4,12,6,4,5,0,1,11,9,8,21,5,0,1,2.46820867986,3,6,2,0,2.19977852415,4.35849056604,43.5849056604,0,4,5.21692307692,1,5,0,0,0,0,0,0,0,0,26.5,0,0,16.520189668,0
8922,4,2,40,141,20,47,5,19,20,12,4,10,7,4,14,4,6,7,1,1,12,3,7,10,1,6,2,2.06838914603,2,1,2,0,2.17545951777,4.17730496454,41.7730496454,1,2,5.30723404255,0,2,0,0,2,0,0,0,0,0,20.1428571429,0,0,13.3141017768,0
8923,4,3,69,173,41,58,8,29,18,14,11,10,8,5,11,8,6,8,2,0,12,6,15,9,2,7,15,2.24475697868,3,2,4,0,2.19941149909,4.5838150289,45.838150289,1,2,5.6124137931,1,1,1,0,0,0,1,0,0,0,21.625,0,0,8.23008961069,0
8924,4,2,30,88,10,34,4,17,11,9,4,2,7,2,3,0,1,5,1,1,3,2,5,9,8,4,4,0.875758094744,1,0,1,0,1.84166199756,4.14772727273,41.4772727273,0,1,5.76264705882,1,0,0,0,0,0,0,0,0,0,12.5714285714,0,0,9.00566714999,0
8925,4,1,26,81,9,33,4,19,10,13,2,2,5,2,4,2,3,0,0,0,5,1,3,5,2,1,1,0.901999131561,0,4,2,0,1.70375402502,4.18518518519,41.8518518519,0,1,5.34212121212,0,0,0,1,0,0,0,0,1,0,16.2,0,0,8.79545337092,0
8926,4,1,18,50,4,18,2,7,3,5,6,0,2,1,4,0,3,1,1,0,3,1,5,6,2,0,4,0.721091496666,1,1,1,0,1.57803804822,4.14,41.4,0,1,5.58777777778,0,0,0,0,0,0,0,0,0,0,25.0,0,0,10.0,0
8927,4,0,20,57,5,21,3,8,9,12,3,4,4,2,0,0,0,3,0,0,1,0,2,5,4,0,1,0.831252997096,0,3,2,0,1.98648314572,4.01754385965,40.1754385965,0,1,5.58238095238,0,1,0,0,1,0,0,0,0,2.0,14.25,0,0,9.33742469849,0
8928,4,1,30,91,13,35,5,15,10,10,5,7,8,1,3,1,2,2,1,1,7,4,4,12,4,0,2,2.0292254064,0,2,2,0,2.1285316842,4.31868131868,43.1868131868,0,2,5.39371428571,0,2,0,1,0,0,0,0,0,0,11.5,0,0,5.95818764391,0
8929,4,1,25,67,9,27,3,11,6,10,3,1,4,1,4,2,2,1,0,0,4,3,0,9,1,0,0,0.986525067809,1,1,3,0,1.7253792378,4.19402985075,41.9402985075,0,1,5.63222222222,0,0,0,0,0,0,1,0,0,0,16.75,0,0,14.0779082253,0
8930,4,0,33,84,14,29,3,16,14,7,1,4,4,2,4,1,2,0,0,0,11,4,7,10,0,2,2,0.988339393029,1,0,3,0,1.95062400831,4.38095238095,43.8095238095,0,3,5.87103448276,1,0,0,0,0,0,0,0,0,0,21.0,0,0,16.015617378,0
8931,4,3,18,55,11,21,3,7,9,5,2,5,5,1,1,1,2,1,0,0,2,0,3,10,4,1,1,0.622820997607,0,2,2,0,2.25227158059,4.23636363636,42.3636363636,0,2,5.29571428571,0,0,0,0,0,0,0,0,0,0,11.0,0,0,7.12741187248,0
8932,4,1,6,19,2,7,1,3,3,3,0,2,2,1,1,1,0,1,1,0,2,0,0,2,0,0,0,0.27188554077,0,0,0,0,2.07039844175,4.21052631579,42.1052631579,0,0,5.64142857143,0,0,0,0,1,0,0,0,0,1.0,9.5,0,0,9.5,0
8933,4,2,44,126,24,58,2,25,13,11,8,8,3,2,10,5,7,3,0,3,5,3,7,7,1,4,2,2.25535987749,2,5,5,1,2.28292488526,4.51587301587,45.1587301587,1,3,5.41517241379,0,0,0,1,1,0,0,0,0,0,42.0,0,0,31.53833646,0
8934,4,1,10,55,5,19,3,7,9,3,2,0,4,1,8,1,2,1,0,0,3,2,2,7,1,2,0,0.757853149108,0,1,2,0,1.52089819289,3.72727272727,37.2727272727,0,0,5.07368421053,0,0,0,0,0,0,0,0,0,0,13.75,0,0,8.43726851534,0
8935,4,2,70,186,27,80,5,27,26,14,10,7,7,5,8,2,4,9,1,1,14,8,15,15,5,6,15,2.38149048446,3,0,4,1,1.99864092155,4.32795698925,43.2795698925,0,7,5.533625,0,0,0,1,0,0,0,0,0,0,26.5714285714,0,0,19.5291514179,0
8936,4,1,14,49,3,17,3,7,5,6,1,1,4,1,4,1,3,4,1,0,3,2,2,4,1,0,0,0.652101227164,0,1,1,0,1.65805598816,3.79591836735,37.9591836735,0,0,5.07352941176,0,0,0,0,0,0,0,0,0,0,12.25,0,0,7.6280731512,0
8937,4,1,35,104,11,54,4,26,12,9,4,5,8,2,5,4,4,3,2,0,4,3,6,3,2,5,2,1.29001006289,1,1,4,0,1.76046428631,4.33653846154,43.3653846154,0,1,5.14518518519,1,0,0,0,0,0,0,0,0,0,13.0,0,0,8.12403840464,0
8938,4,1,18,53,7,22,1,7,8,6,1,3,2,1,2,2,1,2,0,0,4,5,0,2,0,3,0,1.15388399787,1,1,0,0,1.95968067065,4.07547169811,40.7547169811,2,0,5.15818181818,0,2,0,0,1,0,0,0,0,0,26.5,0,0,18.5,0
8939,4,3,59,132,25,51,6,29,12,20,3,12,11,3,4,2,5,3,2,3,6,7,10,6,3,4,7,1.74657105226,0,0,6,0,2.24905202741,4.7803030303,47.803030303,0,4,5.87039215686,0,0,0,0,0,0,0,0,0,0,12.0909090909,0,0,6.44493522719,0
8940,4,2,46,132,21,55,5,17,15,17,10,7,8,3,6,11,5,6,1,2,12,3,7,9,0,6,1,0.984252801478,2,4,2,0,2.08771341546,4.51515151515,45.1515151515,0,1,5.31927272727,0,1,0,0,0,0,0,0,0,0,16.625,0,0,14.2472585082,0
8941,4,3,87,225,39,85,8,48,17,33,12,15,10,7,8,4,10,12,1,5,15,8,21,11,2,8,18,5.03858065393,4,1,6,1,2.26558097248,4.54666666667,45.4666666667,0,4,5.51447058824,1,1,0,0,0,1,0,0,0,0,22.6,0,0,13.8072444753,0
8942,4,1,14,62,3,28,4,9,6,11,0,0,5,0,4,0,1,3,0,0,4,2,1,7,4,0,1,1.2671754105,0,2,1,0,1.45521909429,3.6935483871,36.935483871,0,1,5.025,0,1,0,0,0,1,0,0,0,2.0,12.4,0,0,6.65131565933,0
8943,4,1,19,61,5,21,4,11,4,8,0,1,5,1,3,0,1,3,1,0,5,0,2,7,5,2,1,0.741712589092,0,0,1,0,1.6630014343,4.03278688525,40.3278688525,0,2,4.95,0,2,0,0,0,1,0,0,0,0,12.2,0,0,7.22218803411,0
8944,4,1,32,95,14,47,6,17,13,14,3,5,7,1,11,1,0,2,1,0,1,0,2,6,1,3,1,2.08891361939,0,5,5,0,1.97849581468,4.17894736842,41.7894736842,0,1,5.89957446809,0,1,0,0,0,0,2,0,0,4.0,13.5714285714,0,0,6.02037357306,0
8945,4,2,36,107,11,40,2,27,13,21,7,4,3,2,4,0,4,2,1,0,5,1,2,3,0,1,1,1.91365770412,1,1,6,0,1.97068983086,4.05607476636,40.5607476636,0,2,5.85875,0,0,0,0,0,0,0,0,0,0,35.6666666667,0,0,36.6090456339,0
8946,4,3,44,106,17,46,4,27,11,19,5,8,6,2,5,0,6,4,1,2,6,3,2,4,0,0,2,0.925845937206,2,1,3,2,2.25493369434,4.57547169811,45.7547169811,0,1,5.7802173913,0,0,0,0,0,0,0,0,0,3.0,17.6666666667,0,0,12.6841983936,0
8947,4,0,33,85,9,36,4,13,11,13,3,3,5,3,5,3,2,4,0,0,4,2,2,8,1,0,4,2.08954423136,1,3,2,0,1.95917721254,4.08235294118,40.8235294118,0,2,5.52055555556,0,0,0,1,1,0,0,0,0,0,17.0,0,0,9.48683298051,0
8948,4,3,65,166,21,64,9,36,19,28,9,10,10,4,9,5,3,9,0,2,11,2,9,8,5,2,8,2.8955765055,1,2,3,2,2.24160435166,4.37951807229,43.7951807229,1,1,5.71203125,1,1,0,0,0,0,0,0,0,4.0,16.7,0,0,7.61642960973,0
8949,4,0,15,46,3,22,1,6,3,7,1,1,2,1,3,1,1,1,0,0,1,1,3,6,3,0,2,0.587592091367,1,0,3,0,1.49991948254,4.19565217391,41.9565217391,0,2,5.02590909091,0,0,0,0,0,0,0,0,0,0,23.0,0,0,23.0,0
8950,4,1,44,112,19,36,5,19,14,16,4,8,9,1,5,4,3,1,3,0,9,2,7,10,8,2,5,1.29498130099,1,0,0,0,2.17270345034,4.49107142857,44.9107142857,0,2,5.59388888889,1,1,1,0,1,0,0,0,0,3.0,12.4444444444,0,0,8.00154306106,0
8951,4,2,30,96,16,36,4,18,11,8,3,2,6,2,5,2,6,6,1,0,3,6,4,6,4,6,1,3.12351378936,2,0,0,0,1.89918611377,4.15625,41.5625,0,2,5.62277777778,0,0,0,0,0,0,0,0,0,0,16.0,0,0,11.9861030642,0
8952,4,1,25,76,10,27,3,9,7,9,4,6,5,2,2,0,2,6,2,0,6,1,3,9,8,0,0,1.00395139483,1,0,0,0,2.20664864571,4.22368421053,42.2368421053,1,1,5.21333333333,0,1,0,0,1,0,0,0,0,0,15.2,0,0,10.6470653234,0
8953,4,1,11,69,5,25,2,13,5,6,2,2,3,2,2,1,4,5,1,1,3,1,2,4,3,6,1,0.881070976932,1,1,2,0,1.65477428064,3.71014492754,37.1014492754,0,1,5.278,0,1,0,0,1,0,0,0,0,0,23.0,0,0,16.3299316186,0
8954,4,3,51,133,24,39,6,27,12,23,11,8,7,3,3,1,7,6,3,2,4,3,9,5,4,2,12,1.81722107554,1,0,2,0,2.20923618896,4.41353383459,44.1353383459,0,2,5.81025641026,0,0,0,1,0,0,0,0,0,5.0,19.0,0,0,11.526367288,0
8955,4,3,54,131,22,42,6,25,15,16,9,7,8,4,7,4,2,6,2,1,8,1,10,8,1,5,4,1.73141466517,2,2,2,0,2.17337219139,4.42748091603,44.2748091603,0,3,5.41642857143,0,2,0,0,2,0,0,0,0,0,16.5,0,0,9.88685996664,0
8956,4,1,14,49,5,22,2,10,4,11,2,2,3,2,3,0,1,3,0,0,2,3,0,2,4,0,0,0.501114876109,0,0,0,0,1.79734308825,4.24489795918,42.4489795918,0,1,5.62818181818,0,0,0,0,0,0,0,0,0,0,16.3333333333,0,0,11.5566238822,0
8957,4,2,44,114,13,42,6,26,7,17,12,4,8,2,1,2,3,5,0,1,12,2,3,6,1,7,1,1.71127723664,1,0,1,0,1.92130942385,4.18421052632,41.8421052632,0,3,4.95166666667,0,0,0,0,0,1,0,0,0,0,14.25,0,0,7.64444242571,0
