id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15
171,1,8,99,322,47,106,5,30,40,32,28
172,1,8,82,255,46,83,6,34,41,24,11
173,1,8,91,256,39,102,11,38,28,21,14
174,1,8,124,349,58,125,19,53,34,31,19
175,1,8,143,330,66,115,17,37,36,34,28
176,1,10,149,381,68,139,15,55,42,41,28
177,1,8,97,326,45,107,14,47,42,37,18
178,1,8,134,268,47,104,13,52,35,27,13
179,1,8,118,275,70,93,15,42,36,23,25
180,1,10,140,437,61,155,21,51,51,26,43
181,1,10,194,442,128,165,22,73,58,25,32
182,1,8,114,293,43,107,16,44,33,26,17
183,1,8,181,393,83,169,18,59,51,30,31
184,1,8,108,387,38,158,14,62,35,38,15
185,1,8,146,466,67,155,21,53,47,29,18
186,1,8,126,335,65,113,16,49,51,23,25
187,1,5,36,111,13,53,2,16,14,4,7
188,1,9,136,411,59,185,16,60,35,37,22
189,1,6,52,126,27,38,4,19,14,12,5
190,1,10,141,319,67,129,16,48,29,36,30
191,1,8,93,244,48,101,12,16,29,11,12
192,1,11,206,489,85,195,20,72,64,40,36
193,1,8,157,399,82,147,18,72,51,49,26
194,1,10,202,521,99,190,19,91,60,40,38
195,1,5,50,123,20,44,6,16,16,6,12
196,1,8,116,382,50,128,21,69,39,48,21
197,1,10,139,521,61,206,22,77,62,57,19
198,1,10,181,421,97,155,21,64,61,45,33
199,1,11,282,738,119,234,28,120,58,70,51
200,1,8,153,361,66,145,19,40,34,16,23
201,1,9,147,395,77,145,21,54,47,20,40
202,1,8,150,376,55,173,19,44,35,25,29
203,1,10,149,497,57,206,22,52,40,43,22
204,1,10,149,368,65,134,14,43,49,30,16
205,1,10,233,560,113,224,22,84,64,45,46
206,1,10,152,363,80,135,17,56,46,26,27
207,1,8,113,280,50,115,12,27,34,24,16
208,1,6,75,150,37,69,7,18,25,14,10
209,1,6,52,164,22,54,6,16,16,14,15
210,1,9,169,377,89,139,18,63,45,21,38
211,1,6,44,190,28,67,9,24,21,22,14
212,1,7,83,269,27,96,13,37,24,22,18
213,1,8,82,315,24,108,15,43,32,28,12
214,1,8,126,305,65,105,13,57,51,20,13
215,1,10,252,553,136,205,23,95,61,46,51
216,1,8,141,400,63,142,17,49,40,36,21
217,1,10,179,523,89,188,22,54,42,35,28
218,1,8,114,339,42,122,19,49,40,30,21
219,1,9,143,387,63,153,14,64,43,24,22
220,1,10,183,431,101,147,22,64,46,30,46
221,1,6,84,206,31,86,9,25,25,8,15
222,1,9,205,437,103,163,23,72,59,44,31
223,1,8,154,425,64,138,11,68,56,31,22
224,1,8,144,341,50,141,14,51,34,28,24
225,1,12,177,531,89,186,25,74,44,48,33
226,1,8,102,248,38,102,11,30,22,14,12
227,1,9,164,362,63,158,20,59,36,27,21
228,1,8,128,292,55,108,8,40,42,26,23
229,1,8,89,275,30,107,9,31,22,25,20
230,1,9,172,453,73,150,19,67,60,48,23
231,1,8,108,274,47,108,12,32,31,21,19
232,1,12,221,531,113,211,22,68,65,46,42
233,1,7,85,193,48,53,5,44,18,14,23
234,1,8,157,407,71,146,17,56,47,36,29
235,1,7,95,298,48,87,11,45,42,12,20
236,1,6,51,201,17,63,8,25,16,16,12
237,1,8,127,316,59,114,12,46,30,26,12
238,1,9,116,321,53,127,12,34,41,25,31
239,1,9,175,438,89,176,20,73,65,32,26
240,1,8,95,254,50,82,11,54,27,11,9
241,1,9,100,246,33,112,8,29,27,20,13
242,1,9,152,431,73,159,20,70,54,42,17
243,1,11,189,632,65,248,29,85,77,61,24
244,1,7,104,349,42,131,12,51,44,27,27
245,1,7,54,167,29,56,6,22,16,13,6
246,1,11,250,646,110,258,28,90,72,51,38
247,1,8,156,402,67,161,15,53,45,32,29
248,1,9,154,484,61,171,23,57,35,38,36
249,1,9,134,336,67,130,15,71,40,28,27
250,1,10,140,309,61,109,14,46,36,22,24
251,1,9,195,556,82,237,25,68,63,44,30
252,1,9,155,407,61,161,19,49,49,38,22
253,1,6,82,220,36,79,8,38,21,10,22
254,1,10,190,574,80,208,27,99,61,51,25
255,1,8,97,326,49,131,14,54,34,23,12
256,1,8,100,283,40,112,12,37,40,27,18
257,1,8,151,430,64,147,16,76,52,52,29
258,1,11,190,524,108,203,23,61,68,49,36
259,1,9,154,430,81,141,19,77,42,47,22
260,1,7,106,311,48,99,12,47,29,29,19
261,1,9,174,444,85,189,20,64,47,35,25
262,1,8,76,293,34,119,11,36,30,30,15
263,1,10,236,524,100,236,26,86,68,41,34
264,1,8,128,369,67,141,15,54,40,31,26
265,1,11,154,399,65,146,18,58,54,40,27
266,1,11,162,396,104,139,17,56,47,36,27
267,1,10,199,450,110,168,17,62,51,38,28
268,1,8,98,263,51,99,12,26,33,22,16
269,1,9,143,398,68,144,12,67,47,30,17
270,1,8,116,390,34,160,17,33,44,14,25
271,1,8,104,320,56,122,15,40,43,25,6
272,1,10,205,513,88,207,20,86,47,33,41
273,1,8,126,295,44,98,11,29,38,17,26
274,1,9,133,385,70,136,17,50,34,30,23
275,1,11,167,392,89,171,20,68,44,29,34
276,1,8,87,264,54,100,13,32,40,14,15
277,1,9,152,418,71,165,16,63,51,29,29
278,1,8,120,301,68,116,14,45,33,17,21
279,1,10,190,435,101,169,20,78,62,47,29
280,1,10,154,398,70,151,15,59,46,31,30
281,1,7,87,222,47,75,11,32,26,17,12
282,1,8,130,313,72,124,12,38,53,21,18
283,1,6,62,223,25,80,11,20,25,14,8
284,1,8,108,306,49,127,10,45,32,24,21
285,1,11,197,550,96,215,22,74,63,49,27
286,1,4,28,62,7,20,2,11,10,6,2
287,1,12,227,550,113,167,25,67,54,46,36
288,1,8,125,343,57,133,14,60,41,39,16
289,1,10,151,400,84,133,15,62,42,45,29
290,1,11,227,537,116,235,23,87,64,47,47
291,1,11,191,437,104,173,20,63,64,43,33
292,1,11,204,521,117,204,23,90,48,49,27
293,1,8,93,227,44,87,10,35,22,15,23
294,1,10,162,462,64,162,18,70,38,42,22
295,1,10,137,345,67,139,19,47,37,22,20
296,1,10,168,504,82,185,21,82,53,31,30
297,1,9,209,466,102,174,21,82,75,42,33
298,1,8,133,377,60,163,20,35,36,30,31
299,1,8,118,330,48,125,14,42,34,25,28
300,1,8,186,485,85,159,22,71,48,49,32
301,1,9,141,355,53,118,14,49,44,22,20
302,1,10,248,573,143,203,29,101,69,56,44
303,1,10,164,442,70,137,16,63,47,40,37
304,1,9,211,529,87,179,21,76,74,35,35
305,1,10,158,482,81,177,21,63,64,43,26
306,1,8,161,450,70,170,21,57,45,30,20
307,1,9,128,335,58,145,14,45,33,34,17
308,1,6,35,127,14,47,2,17,15,10,3
309,1,9,161,398,59,142,13,46,40,34,21
310,1,10,159,365,83,109,14,59,31,46,27
311,1,9,118,353,52,135,20,50,49,27,14
312,1,7,75,233,26,81,9,30,7,11,26
314,1,9,143,360,66,152,13,63,46,30,19
315,1,10,174,418,89,170,20,66,53,38,43
316,1,9,228,537,110,227,23,87,67,62,40
317,1,10,208,492,126,170,26,76,59,36,34
318,1,8,141,397,65,159,17,41,48,28,24
319,1,9,158,367,85,133,16,61,41,35,22
320,1,8,120,323,49,138,12,55,37,23,24
321,1,12,210,533,101,228,21,78,54,47,51
322,1,8,121,321,52,151,12,55,34,36,12
323,1,10,145,413,50,171,14,40,48,37,25
324,1,8,137,329,71,122,17,49,37,30,16
325,1,9,120,393,74,121,14,59,48,24,32
326,1,10,303,652,175,253,30,98,81,70,50
327,1,6,117,400,35,172,19,56,44,40,23
328,1,8,123,343,52,149,14,55,26,30,17
329,1,8,109,347,45,121,15,39,39,22,21
330,1,11,267,643,134,225,27,95,84,64,41
331,1,10,172,467,84,152,22,77,65,41,30
332,1,8,111,286,51,100,10,49,33,31,14
333,1,9,152,378,61,151,19,64,40,25,24
334,1,10,244,706,122,211,40,116,77,62,33
335,1,9,126,344,63,99,12,47,43,16,24
336,1,11,217,529,108,231,29,65,60,46,36
337,1,10,129,281,73,107,13,50,25,15,32
338,1,8,70,214,34,73,9,29,32,20,5
339,1,11,204,526,111,195,21,65,54,46,32
340,1,9,141,347,83,131,15,50,22,24,33
341,1,8,100,277,56,101,11,52,26,29,18
342,1,9,192,456,88,169,22,74,60,51,23
343,1,9,148,360,79,126,17,47,37,30,26
345,1,10,154,426,72,159,16,72,53,33,24
346,1,12,258,678,113,256,27,82,64,50,52
347,1,7,76,259,31,108,11,32,23,17,20
348,1,8,106,321,41,117,12,46,38,31,15
349,1,8,80,266,28,88,9,35,26,19,15
350,1,8,153,404,66,124,18,57,44,25,19
351,1,9,149,354,66,158,13,52,35,30,15
352,1,7,93,221,33,81,10,38,26,15,6
353,1,5,30,127,17,32,6,18,14,8,4
354,1,8,115,254,59,83,12,46,25,23,15
355,1,6,48,218,26,60,9,31,25,22,9
356,1,8,108,271,55,87,12,40,27,22,14
357,1,8,106,255,50,91,11,36,23,21,24
358,1,7,80,195,44,66,8,28,29,15,12
359,1,2,4,8,1,1,0,2,0,1,1
360,1,6,56,180,33,65,8,30,21,17,10
361,1,10,200,541,96,210,23,71,49,47,31
362,1,10,173,470,84,172,20,69,49,45,44
363,1,8,102,262,45,99,10,48,24,23,20
364,1,11,260,592,161,229,22,71,72,36,46
365,1,9,176,427,92,169,18,73,41,35,34
366,1,8,119,363,48,138,17,37,30,26,16
367,1,8,143,342,67,130,13,42,38,32,23
368,1,9,130,307,62,123,14,34,28,14,20
369,1,8,91,236,43,87,9,35,22,21,13
370,1,10,248,607,137,237,27,96,76,54,45
371,1,8,123,319,51,121,14,54,32,19,15
372,1,10,194,454,100,168,17,40,47,25,40
373,1,8,119,271,61,112,12,40,33,30,19
374,1,7,144,405,77,129,9,62,50,31,22
375,1,4,41,159,15,32,5,30,13,16,8
376,1,8,182,452,80,153,15,81,42,30,31
377,1,10,191,456,104,181,21,82,50,40,23
378,1,11,171,467,80,172,23,75,50,47,25
379,1,9,153,465,71,164,25,68,63,45,31
380,1,10,117,307,61,113,12,42,42,29,31
381,1,10,182,470,83,164,24,68,47,41,32
382,1,7,95,245,43,104,11,28,28,13,11
383,1,11,193,489,95,183,22,59,61,34,26
384,1,8,84,247,32,101,11,36,33,16,20
385,1,11,288,617,149,254,36,86,93,46,54
386,1,10,132,441,66,158,17,54,56,37,29
387,1,8,141,315,73,120,13,57,37,22,26
388,1,7,96,273,40,101,13,36,31,25,15
389,1,8,112,302,60,130,14,34,27,14,26
390,1,10,138,420,59,167,15,55,40,27,27
391,1,12,189,532,88,179,19,79,51,51,38
392,1,8,144,381,61,166,19,67,35,34,23
393,1,8,118,306,56,110,16,36,28,19,27
394,1,7,52,164,19,79,5,21,19,7,11
395,1,6,48,169,23,58,8,24,26,16,9
396,1,7,119,353,53,114,13,41,46,38,23
397,1,10,207,550,102,205,27,76,74,40,42
398,1,10,168,416,82,177,13,60,55,33,30
399,1,8,161,421,78,169,20,59,51,39,23
400,1,8,148,348,69,118,14,61,40,28,28
401,1,6,59,158,19,69,7,25,14,13,5
402,1,8,122,289,59,123,16,60,34,26,13
403,1,8,176,482,80,185,20,46,48,40,27
404,1,8,135,377,56,164,10,61,51,29,18
405,1,9,303,700,145,273,28,111,90,66,56
406,1,8,184,427,99,159,11,69,58,15,26
407,1,8,131,375,54,142,17,43,38,29,26
408,1,8,146,305,70,127,11,53,30,25,14
409,1,8,170,344,68,110,14,52,30,23,24
410,1,8,109,329,43,129,13,47,42,27,20
411,1,12,226,498,129,204,23,67,70,49,45
412,1,10,189,446,75,193,21,65,42,39,20
413,1,9,144,392,69,134,17,65,49,39,32
414,1,8,108,347,52,125,17,48,50,27,18
415,1,7,104,340,51,128,17,32,36,22,13
416,1,6,57,166,26,57,9,21,18,16,15
417,1,8,75,256,39,97,9,44,23,23,11
418,1,12,275,596,161,225,27,97,84,58,43
419,1,6,81,218,26,91,9,22,20,14,20
420,1,8,100,258,50,91,10,40,24,24,15
421,1,6,67,212,35,71,9,24,27,14,9
422,1,7,90,332,34,126,11,35,21,27,15
423,1,9,189,506,90,190,23,67,50,44,29
424,1,9,207,464,89,181,16,66,58,33,34
425,1,10,149,466,63,167,18,59,46,27,32
426,1,9,178,439,84,189,20,61,51,33,35
427,1,11,204,503,120,161,21,72,49,38,40
428,1,8,119,327,61,122,10,44,47,30,13
429,1,9,144,387,72,153,21,58,46,40,39
430,1,8,188,568,75,233,24,90,44,38,38
431,1,11,218,482,112,179,18,62,62,57,38
432,1,8,125,284,59,93,11,43,35,28,21
433,1,11,192,474,69,171,25,79,51,57,27
434,1,7,100,344,34,150,11,36,39,17,17
435,1,11,190,619,77,267,27,93,57,45,37
436,1,8,176,392,89,140,18,66,48,33,34
437,1,8,132,335,69,114,14,43,50,23,30
438,1,8,130,305,59,87,14,43,35,18,15
439,1,10,161,441,74,175,14,40,48,26,23
440,1,8,110,309,51,97,14,42,49,26,20
441,1,8,166,399,79,124,16,45,50,20,30
442,1,10,167,408,104,128,18,75,45,42,25
443,1,8,116,285,53,95,7,47,34,21,19
444,1,8,174,334,80,120,15,52,31,34,27
445,1,8,75,237,41,68,8,42,31,21,8
446,1,10,204,455,112,147,19,81,60,33,20
447,1,11,217,514,106,174,21,83,59,33,29
448,1,9,179,419,84,166,21,74,51,43,39
449,1,2,8,23,2,12,1,2,3,1,2
450,1,7,93,284,45,109,11,34,34,24,21
451,1,8,106,369,54,126,20,39,46,30,22
452,1,7,75,203,35,74,6,26,19,9,19
453,1,9,180,413,83,142,18,51,59,23,31
454,1,8,148,464,67,157,21,65,64,39,32
455,1,4,34,90,15,26,3,12,9,9,5
456,1,7,124,346,44,131,14,37,40,16,16
457,1,10,195,489,110,178,24,77,76,44,44
458,1,9,104,275,53,113,12,37,28,21,18
459,1,8,94,290,40,111,12,41,35,26,15
460,1,8,169,466,83,168,17,93,60,50,24
461,1,8,103,346,57,108,17,42,37,33,25
462,1,8,125,357,58,140,13,47,39,22,37
463,1,8,162,430,81,160,17,64,42,38,31
464,1,7,99,266,30,87,11,49,28,28,14
465,1,8,109,302,61,123,10,44,33,24,18
466,1,9,126,334,54,138,15,56,34,23,23
467,1,8,137,320,86,119,15,46,44,25,23
468,1,8,76,187,43,62,7,45,23,23,10
469,1,9,170,373,81,162,17,59,33,22,35
470,1,8,142,339,67,122,16,54,46,28,27
471,1,8,104,259,48,119,10,22,27,12,16
472,1,12,217,510,105,180,22,98,61,50,55
473,1,7,83,278,20,112,12,30,28,25,14
474,1,6,32,128,15,40,4,21,16,10,3
475,1,9,195,461,88,175,22,73,54,34,28
476,1,8,115,362,48,133,17,66,43,30,17
477,1,6,81,180,44,64,6,25,24,8,11
478,1,8,157,374,64,154,17,42,46,20,29
479,1,10,185,459,88,190,22,73,55,38,33
480,1,8,131,311,53,107,13,53,31,22,22
481,1,10,201,467,121,175,18,77,67,44,21
482,1,9,145,390,76,155,18,49,40,29,21
483,1,9,139,403,65,126,12,58,47,38,25
484,1,7,95,207,49,72,9,34,24,19,22
485,1,10,178,485,77,179,28,68,51,45,32
486,1,9,190,497,83,207,18,81,68,25,27
487,1,8,102,309,49,98,12,35,29,23,15
488,1,8,116,324,54,115,14,51,34,25,17
489,1,9,214,522,97,214,20,85,56,46,31
490,1,8,204,531,76,215,23,60,58,47,23
491,1,8,111,367,40,112,9,65,41,25,18
492,1,7,108,307,42,114,7,40,38,30,25
493,1,8,94,276,48,106,9,46,31,28,10
494,1,9,163,413,84,169,18,53,46,37,29
495,1,8,125,305,47,113,13,41,41,19,20
496,1,9,115,316,57,102,13,52,40,23,13
497,1,9,220,647,99,275,29,84,81,51,35
498,1,12,240,533,105,219,19,96,77,48,38
499,1,9,135,406,67,155,17,50,47,26,20
500,1,10,163,405,83,181,20,62,37,27,23
501,1,8,121,352,47,124,13,53,35,21,17
502,1,7,53,129,24,44,5,18,16,17,4
503,1,8,92,235,42,86,9,35,28,12,13
504,1,10,194,491,111,217,17,94,54,44,34
505,1,10,130,405,54,140,15,60,51,35,30
506,1,7,81,278,32,116,9,26,34,20,18
507,1,10,257,620,125,209,32,89,77,54,38
508,1,9,146,304,86,110,13,59,37,26,25
509,1,11,177,404,89,179,16,72,52,36,29
510,1,7,104,256,64,90,13,29,33,22,22
511,1,8,77,259,35,88,14,34,24,16,20
512,1,8,84,302,29,118,9,49,28,10,20
513,1,8,144,390,76,146,20,59,50,32,22
514,1,8,86,221,36,77,12,39,29,26,18
515,1,8,101,304,23,130,14,29,32,27,12
516,1,8,180,444,95,183,19,41,57,37,31
517,1,8,107,386,50,140,18,62,32,28,23
518,1,8,137,318,62,122,15,54,46,25,30
519,1,12,225,507,98,177,26,92,60,52,36
520,1,6,88,273,28,96,10,58,30,22,20
521,1,7,84,239,41,78,10,22,31,24,9
522,1,9,184,428,105,117,24,47,49,25,38
523,1,10,184,481,73,207,21,80,49,43,36
524,1,8,116,382,55,135,15,51,45,42,13
525,1,9,102,344,55,130,16,42,33,20,29
526,1,7,82,286,45,94,12,43,29,24,8
527,1,8,103,243,58,86,11,44,36,16,10
528,1,6,63,192,32,71,8,28,21,13,7
529,1,7,92,229,40,77,7,18,28,18,8
530,1,10,181,408,82,123,20,61,46,35,35
531,1,10,140,402,70,150,18,55,49,33,21
532,1,8,151,387,65,137,19,39,48,20,14
533,1,8,169,442,85,177,20,57,57,34,25
534,1,11,339,739,192,271,30,125,63,69,44
535,1,8,107,356,60,125,16,52,42,27,13
536,1,8,157,331,74,103,19,40,55,40,26
537,1,8,107,331,44,151,15,52,42,14,16
538,1,8,85,328,41,115,11,43,30,31,10
539,1,9,140,376,47,134,9,39,50,34,22
540,1,8,128,347,57,142,15,58,44,40,14
541,1,8,136,417,64,138,21,70,43,40,10
542,1,10,209,526,97,207,21,75,57,51,31
543,1,8,100,300,49,108,12,35,30,28,26
544,1,8,156,338,84,132,16,48,41,32,21
545,1,2,6,16,4,3,0,1,1,1,2
546,1,6,59,158,25,47,6,24,20,16,15
547,1,8,146,372,81,132,17,34,47,22,22
548,1,8,141,384,74,157,9,51,52,26,20
549,1,8,141,333,86,111,15,34,38,25,28
550,1,10,231,594,121,218,24,104,52,50,42
551,1,8,168,379,73,135,14,62,35,28,29
552,1,6,78,200,28,78,7,20,21,13,18
553,1,8,151,412,74,140,16,44,54,29,29
554,1,8,140,415,69,150,18,57,57,29,24
555,1,11,209,526,103,188,23,81,66,46,39
556,1,10,185,529,95,185,24,62,62,33,36
557,1,10,182,548,72,222,25,56,59,47,27
558,1,10,208,467,115,180,18,62,58,41,31
559,1,12,228,504,125,193,21,90,71,46,33
560,1,8,121,369,54,149,14,44,44,27,27
561,1,8,124,332,58,111,16,58,40,33,20
562,1,10,190,478,89,173,18,70,57,49,42
563,1,7,69,183,34,67,11,31,19,8,20
564,1,8,199,418,89,135,19,61,33,30,44
565,1,9,158,466,74,197,22,65,49,40,33
566,1,8,106,265,56,102,15,46,35,27,18
567,1,8,86,255,39,92,10,32,30,26,20
568,1,8,147,420,73,169,18,55,46,39,23
569,1,8,113,318,48,111,13,49,39,30,15
570,1,8,153,486,66,182,18,66,53,32,26
571,1,9,159,365,77,143,17,52,38,27,41
572,1,11,254,556,138,215,25,78,79,56,40
573,1,10,256,585,127,213,29,86,59,55,39
574,1,8,76,256,42,83,9,32,27,18,11
575,1,10,188,414,97,163,20,60,51,32,33
576,1,8,126,367,67,149,12,52,41,21,16
577,1,6,43,148,17,54,6,16,18,13,8
578,1,9,95,260,41,85,11,36,24,22,8
579,1,8,120,351,55,127,15,54,40,35,20
580,1,8,147,477,56,164,19,67,57,44,25
581,1,8,143,379,81,122,20,73,50,34,19
582,1,11,174,387,90,168,18,58,41,39,33
