id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1
3020,2,4,259,729,104,299,34,73,71,53,44,23,40,18,40,74,53
3021,2,4,180,520,63,222,19,71,53,51,22,22,25,12,25,34,28
3022,2,4,140,321,55,137,13,54,33,36,28,20,24,4,16,27,5
3023,2,4,105,274,29,108,13,20,29,16,18,7,16,8,19,23,15
3024,2,4,264,668,107,275,27,69,84,47,37,43,29,18,42,53,25
3025,2,3,122,293,66,98,9,40,39,19,25,28,11,7,22,27,21
3026,2,4,123,373,48,155,13,50,46,44,16,15,17,6,32,21,15
3027,2,3,128,338,73,140,17,57,31,34,34,27,19,9,16,26,10
3028,2,5,207,502,102,195,18,70,51,43,32,47,26,11,36,43,20
3029,2,3,74,285,23,101,13,48,28,22,21,12,19,6,16,12,8
3030,2,4,148,381,46,173,17,45,42,41,41,21,25,7,23,32,21
3031,2,3,102,234,42,124,11,38,36,27,11,19,13,5,15,31,5
3032,2,4,224,479,96,182,19,54,65,42,24,27,21,17,30,50,19
3033,2,4,188,621,72,236,30,54,59,45,33,25,44,11,39,74,31
3034,2,4,313,737,143,317,30,82,95,59,48,59,33,20,35,89,37
3035,2,2,52,138,27,52,6,22,17,14,7,9,8,4,9,4,4
3036,2,3,106,264,52,107,10,38,30,21,18,15,12,7,17,19,12
3037,2,4,207,466,89,227,23,56,67,51,29,21,27,8,23,47,14
3038,2,2,30,92,13,34,3,15,11,18,8,4,5,3,5,5,3
3039,2,3,108,232,43,106,8,26,33,26,13,4,8,5,9,29,8
3040,2,3,134,397,64,161,14,48,40,31,23,23,15,10,36,29,22
3041,2,4,214,533,92,235,26,60,51,45,37,29,43,5,23,67,29
3042,2,4,120,295,47,108,13,48,38,35,20,21,19,8,11,22,7
3043,2,3,109,274,46,112,13,31,30,17,21,18,21,5,28,23,13
3044,2,3,79,248,32,109,10,42,30,27,9,17,15,6,14,11,8
3045,2,4,120,357,43,136,18,47,39,43,21,15,27,5,26,26,14
3046,2,3,89,233,36,100,10,30,20,14,16,15,13,4,12,23,21
3047,2,3,124,290,58,121,14,26,42,18,26,18,15,7,19,26,15
3048,2,3,165,530,58,211,26,60,63,43,38,10,38,10,34,29,11
3049,2,4,120,308,66,120,15,27,33,29,29,25,18,4,13,47,20
3050,2,2,111,323,40,89,14,43,39,33,22,17,27,7,11,30,30
3051,2,4,185,419,99,165,19,59,44,47,29,40,22,9,17,31,10
3052,2,4,131,393,64,162,18,50,55,34,24,24,21,10,25,26,9
3053,2,3,113,367,49,132,15,46,49,27,22,21,17,8,33,18,9
3054,2,3,170,423,70,161,13,43,39,43,35,25,16,11,34,40,14
3055,2,3,112,310,44,109,14,38,40,24,15,11,15,9,13,33,20
3056,2,3,144,321,72,124,15,52,38,37,30,19,16,8,17,26,16
3057,2,3,45,118,20,40,6,9,12,6,7,4,8,3,11,8,7
3058,2,3,138,369,72,133,16,43,45,37,26,31,22,9,20,34,17
3059,2,3,128,352,49,142,16,38,48,25,11,18,18,9,35,38,14
3060,2,4,159,368,70,132,17,59,39,39,40,28,20,9,30,21,4
3061,2,3,126,309,58,124,13,35,39,24,20,25,14,8,32,23,13
3062,2,3,150,319,74,139,16,35,33,21,26,37,22,4,21,23,10
3063,2,4,157,353,78,149,12,55,44,34,29,32,14,9,11,36,15
3064,2,3,113,338,41,122,15,36,44,28,27,6,16,9,29,16,14
3065,2,3,61,131,37,48,6,10,23,13,10,17,9,3,7,11,3
3066,2,1,25,71,13,28,2,5,8,12,1,5,2,1,9,8,2
3067,2,4,169,423,84,152,19,62,51,26,29,32,23,11,29,22,16
3068,2,2,89,240,33,102,12,24,36,26,9,24,16,5,5,31,9
3069,2,4,195,624,75,239,30,73,78,66,34,24,34,13,30,38,33
3070,2,3,107,281,62,90,11,31,28,13,24,29,13,7,24,20,10
3071,2,4,133,292,67,111,15,50,26,28,15,35,17,6,17,14,16
3072,2,4,235,699,79,258,26,70,86,61,26,22,38,21,71,45,35
3073,2,4,444,1066,231,446,48,176,147,114,67,100,52,24,56,75,28
3074,2,4,245,593,122,230,23,86,85,71,38,38,23,15,20,61,21
3075,2,4,272,623,119,299,24,99,88,82,43,40,25,20,34,41,12
3076,2,3,116,336,56,111,17,45,37,39,17,26,21,6,16,24,11
3077,2,5,249,600,127,226,21,85,76,66,44,60,30,14,29,34,28
3078,2,3,122,450,48,185,13,49,52,50,31,27,18,10,29,40,31
3079,2,3,127,424,38,169,16,32,42,40,18,16,19,12,32,38,16
3080,2,4,197,455,82,196,20,59,58,53,22,28,32,8,35,27,11
3081,2,4,125,324,44,138,15,52,31,33,30,12,17,8,15,22,16
3082,2,3,105,239,47,96,12,20,31,27,22,32,16,4,18,38,11
3083,2,3,122,313,57,136,14,29,37,42,17,16,15,10,18,40,9
3084,2,3,162,472,79,199,24,51,46,48,37,22,25,13,29,30,18
3085,2,3,65,182,27,75,9,19,29,23,9,6,13,4,10,16,5
3086,2,2,51,119,8,63,9,3,12,17,4,2,9,0,4,18,5
3087,2,2,68,153,33,54,4,1,6,2,1,15,5,4,1,0,0
3088,2,3,140,335,57,132,19,47,39,40,18,14,26,2,12,41,9
3089,2,3,134,306,66,127,11,23,28,29,26,27,12,8,20,35,17
3090,2,3,128,363,43,158,20,31,45,30,28,26,26,2,29,26,6
3091,2,2,52,175,26,89,6,29,29,25,10,9,9,6,11,11,4
3092,2,3,44,178,8,82,8,16,16,13,6,2,8,4,18,13,5
3093,2,3,100,248,35,99,11,37,28,21,15,19,14,6,11,27,21
3094,2,4,97,349,37,135,12,37,36,31,17,8,13,9,21,25,21
3095,2,2,50,151,15,53,6,29,17,21,13,5,6,5,6,8,9
3096,2,1,43,140,8,66,6,13,15,12,7,4,11,3,10,6,4
3097,2,3,164,445,42,179,20,49,39,33,25,11,23,15,38,21,14
3098,2,3,83,201,32,65,10,21,18,29,14,19,13,4,11,27,5
3099,2,4,228,596,115,271,22,86,76,51,51,40,23,18,49,41,24
3100,2,3,115,359,55,120,13,55,37,36,25,28,17,6,26,26,24
3101,2,3,89,194,37,95,9,29,24,17,5,8,12,4,10,22,8
3102,2,3,113,255,53,126,12,38,28,23,21,23,17,6,6,26,11
3103,2,3,97,299,46,128,17,23,35,20,11,16,18,8,12,36,15
3104,2,5,254,639,119,287,32,72,70,50,38,48,40,10,32,44,12
3105,2,3,77,206,38,73,6,15,16,16,15,18,14,3,18,15,10
3106,2,4,280,585,127,243,26,83,78,56,47,57,27,17,33,58,21
3107,2,3,188,443,88,177,14,45,58,34,45,44,16,12,22,36,23
3108,2,3,112,267,61,105,9,37,33,24,16,18,13,7,8,24,11
3109,2,3,150,424,64,161,17,52,52,32,30,25,21,9,18,47,14
3110,2,3,96,213,52,82,8,28,23,19,20,19,12,6,8,27,7
3111,2,3,125,320,43,135,15,57,51,48,18,10,16,9,11,21,11
3112,2,3,110,235,61,101,12,24,26,18,21,22,12,8,21,20,9
3113,2,3,107,266,46,125,15,28,18,24,11,11,16,5,14,22,10
3114,2,4,187,512,70,214,23,53,50,54,35,38,27,11,41,45,28
3115,2,4,150,395,56,165,13,42,57,47,22,26,14,11,24,43,15
3116,2,3,90,252,35,88,13,34,22,25,15,12,15,5,3,33,18
3117,2,3,119,310,42,124,12,42,42,38,15,11,15,10,14,26,11
3118,2,2,47,145,20,48,7,23,22,23,6,2,9,4,8,8,5
3119,2,4,233,506,121,222,21,57,72,57,30,54,26,16,40,49,19
3120,2,3,178,406,76,152,20,66,47,32,41,33,24,9,30,20,10
3121,2,4,179,405,90,180,15,58,53,41,25,30,17,12,15,32,14
3122,2,4,146,408,61,145,15,68,46,53,28,26,16,9,25,30,17
3123,2,4,117,269,54,95,13,36,27,35,25,22,15,7,11,17,8
3124,2,4,107,350,48,138,14,46,30,37,15,15,23,5,28,15,18
3125,2,4,238,649,77,311,27,75,69,60,40,22,30,20,56,65,34
3126,2,4,212,483,106,191,19,75,53,47,40,38,20,15,30,49,38
3127,2,3,147,408,71,156,18,51,61,42,30,22,23,10,28,35,9
3128,2,4,139,391,56,166,17,40,42,40,30,22,24,9,35,35,14
3129,2,4,319,914,130,347,24,115,119,102,37,57,27,20,65,45,46
3130,2,4,221,454,112,196,19,78,62,48,26,43,19,12,31,46,22
3131,2,4,117,287,52,125,10,28,32,29,16,19,12,9,28,28,13
3132,2,3,155,377,65,129,17,44,49,33,28,37,22,9,29,28,15
3133,2,4,180,441,74,189,22,64,45,47,27,27,26,8,19,27,11
3134,2,4,170,468,71,180,23,55,57,60,30,22,26,11,32,35,16
3135,2,3,83,291,31,113,10,38,35,32,15,9,10,8,15,19,9
3136,2,4,149,419,59,183,18,48,45,23,24,5,21,10,25,22,17
3137,2,3,129,320,58,137,14,46,27,41,27,27,22,4,27,34,16
3138,2,4,127,329,61,135,17,41,32,40,24,27,18,8,17,30,6
3139,2,3,103,356,41,157,13,51,41,23,19,8,17,8,22,30,15
3140,2,4,161,408,62,185,14,37,58,38,30,25,14,9,30,51,10
3141,2,3,168,441,64,172,22,44,46,32,33,7,29,6,20,39,22
3142,2,4,158,464,67,216,15,49,54,32,30,26,16,13,48,31,28
3143,2,3,133,341,47,132,13,43,30,22,19,19,14,9,16,23,16
3144,2,4,134,290,80,101,15,36,38,23,19,36,17,8,18,19,14
3145,2,4,209,539,94,241,31,83,54,82,36,32,34,9,25,45,15
3146,2,3,81,210,29,86,9,18,29,20,16,1,10,5,14,17,7
3147,2,2,37,95,11,35,4,0,3,0,0,4,6,4,0,0,0
3148,2,3,72,193,34,82,7,36,28,17,10,8,10,6,10,10,6
3149,2,3,142,419,56,178,15,64,57,47,19,16,17,9,6,34,21
3150,2,4,242,571,107,241,24,91,64,66,41,41,27,17,23,49,34
3151,2,3,158,371,70,159,15,53,36,46,16,20,21,10,15,40,16
3152,2,4,134,316,72,106,16,54,37,31,30,32,17,8,21,15,12
3153,2,4,281,724,117,323,30,104,77,74,48,35,39,17,47,63,23
3154,2,3,72,188,45,71,6,13,23,16,20,18,7,4,14,21,9
3155,2,3,63,195,30,85,9,18,23,14,16,11,9,6,9,17,11
3156,2,4,117,299,48,122,13,37,33,37,18,13,16,8,19,28,18
3157,2,4,192,473,80,203,21,61,56,54,34,26,29,12,22,42,22
3158,2,2,63,181,28,67,7,29,20,13,13,9,9,4,15,9,11
3159,2,1,55,178,24,69,7,15,23,10,8,7,9,5,13,11,13
3160,2,3,117,423,44,169,20,47,33,31,22,13,24,8,27,18,14
3161,2,3,164,380,84,156,17,61,33,24,18,23,20,9,22,27,9
3162,2,4,195,434,94,211,22,72,59,57,23,35,32,11,19,42,14
3163,2,5,151,357,69,143,18,51,34,36,24,31,19,8,11,35,22
3164,2,3,99,287,36,112,11,33,35,23,18,8,13,8,19,28,15
3165,2,4,86,270,41,113,11,20,35,24,21,20,14,8,15,18,5
3166,2,4,216,487,110,231,20,61,60,41,29,34,20,15,31,42,15
3167,2,3,91,234,24,111,8,30,22,33,11,7,20,2,10,15,2
3168,2,4,124,301,53,126,15,38,41,25,27,19,18,5,24,26,6
3169,2,3,165,366,97,137,17,49,47,34,34,39,19,10,26,36,15
3170,2,3,98,351,15,127,14,34,54,27,27,7,27,6,11,18,8
3171,2,5,232,544,98,238,23,87,67,61,35,30,37,13,28,49,24
3172,2,4,228,565,95,212,20,70,63,54,39,26,21,15,46,44,28
3173,2,3,175,488,65,166,22,44,50,57,31,29,26,14,30,52,17
3174,2,3,87,275,32,104,9,29,30,14,20,7,9,8,13,26,15
3175,2,4,240,597,97,247,24,65,65,60,51,44,27,16,29,45,24
3176,2,4,209,526,79,226,19,58,64,56,25,33,24,15,33,43,24
3177,2,1,55,173,9,58,4,32,12,15,11,0,5,3,4,13,11
3178,2,4,129,324,47,149,16,28,32,33,11,15,18,7,21,20,11
3179,2,4,121,384,59,161,19,39,52,37,28,17,24,9,22,29,15
3180,2,3,226,660,102,226,28,73,78,52,39,42,35,15,50,54,27
3181,2,4,249,594,93,260,27,97,69,72,33,28,32,14,42,32,25
3182,2,2,80,170,26,67,6,21,20,11,19,7,16,4,7,26,3
3183,2,3,136,326,63,134,12,50,36,29,15,24,16,7,17,33,15
3184,2,3,164,377,71,174,15,36,41,26,29,24,19,10,26,46,15
3185,2,4,134,353,67,134,15,48,42,48,22,17,16,9,16,31,13
3186,2,2,96,300,19,139,12,38,34,36,18,5,13,10,29,13,15
3187,2,3,112,284,58,99,14,38,34,30,14,16,16,7,20,19,11
3188,2,3,127,403,45,174,11,44,57,32,19,11,13,9,30,31,14
3189,2,4,206,531,94,257,27,55,64,44,26,37,33,9,45,53,16
3190,2,4,131,366,35,148,18,39,41,32,34,20,22,8,24,27,11
3191,2,4,202,593,92,209,24,62,62,37,32,28,34,9,41,37,35
3192,2,3,67,191,31,67,10,21,14,18,18,15,12,3,12,10,7
3193,2,3,163,380,72,153,19,35,46,28,30,33,20,7,31,48,24
3194,2,3,139,433,54,155,13,46,49,33,37,24,14,10,40,25,28
3195,2,4,144,307,77,125,12,32,34,19,23,26,16,7,16,26,8
3196,2,4,185,564,66,213,15,74,70,55,27,24,20,13,29,42,29
3197,2,3,92,229,37,103,9,15,35,18,16,18,14,4,14,35,9
3198,2,2,76,238,24,93,10,39,27,22,22,12,11,7,16,11,17
3199,2,4,129,348,54,139,15,49,39,27,26,21,22,9,31,26,15
3200,2,4,226,583,103,231,20,73,61,69,41,39,21,16,33,34,20
3201,2,4,125,331,65,118,19,43,46,28,27,25,22,5,11,42,16
3202,2,5,217,557,89,203,30,67,58,73,41,31,38,8,29,50,14
3203,2,4,164,366,76,162,17,43,37,23,23,18,28,4,19,35,12
3204,2,3,163,344,87,115,13,56,41,37,35,33,16,10,17,28,15
3205,2,3,112,312,55,107,12,55,33,37,21,21,16,9,18,14,16
3206,2,4,331,948,110,429,37,69,106,66,34,56,39,24,83,78,39
3207,2,3,136,285,52,116,10,47,28,34,16,13,19,8,17,33,13
3208,2,4,163,387,81,155,16,46,46,27,15,27,19,11,27,43,23
3209,2,3,73,226,22,95,7,20,38,15,13,10,8,7,11,13,4
3210,2,4,175,431,76,172,17,42,55,18,39,39,32,11,24,33,24
3211,2,3,99,297,45,100,11,31,25,28,19,16,14,6,29,20,15
3212,2,4,255,667,84,305,29,67,74,47,35,29,39,12,44,68,17
3213,2,4,144,467,52,210,24,42,44,41,15,12,27,11,37,26,20
3214,2,4,297,656,145,250,23,92,92,59,61,67,24,18,34,68,29
3215,2,3,69,183,44,56,6,15,21,14,20,15,8,5,17,18,8
3216,2,4,200,522,86,244,17,77,61,55,24,20,17,17,29,43,23
3217,2,4,257,629,119,259,28,79,78,71,34,50,28,20,49,49,31
3218,2,3,119,313,64,118,11,35,38,29,26,22,14,8,18,29,13
3219,2,4,293,679,152,247,31,101,82,76,60,73,37,19,28,49,30
3220,2,3,137,464,54,204,19,57,48,46,31,14,26,12,39,23,14
3221,2,3,220,638,79,225,26,91,77,50,24,12,32,18,52,30,36
3222,2,3,55,162,23,63,6,15,22,9,8,8,7,5,9,23,6
3223,2,3,141,320,56,125,17,38,26,33,17,24,22,6,21,55,25
3224,2,3,163,439,83,175,16,64,57,32,32,31,18,11,26,32,24
3225,2,4,90,241,39,107,11,22,29,24,14,17,13,6,18,19,9
3226,2,4,124,340,50,125,13,33,31,21,22,16,18,9,23,23,21
3227,2,3,146,451,48,208,17,62,58,53,34,19,20,13,40,34,15
3228,2,4,277,684,120,308,30,97,88,85,39,49,35,20,42,55,21
3229,2,4,146,410,54,171,11,64,59,48,27,20,12,11,21,20,10
3230,2,2,33,118,10,43,4,10,14,12,4,5,4,3,5,12,9
3231,2,4,257,753,75,311,39,115,103,74,36,14,50,12,41,22,12
3232,2,3,66,193,37,79,9,28,24,12,11,16,10,6,11,21,5
3233,2,3,137,351,70,147,18,47,46,33,19,24,21,7,23,31,11
3234,2,3,134,318,63,132,13,42,35,27,21,22,16,7,11,26,12
3235,2,4,246,644,96,255,32,70,75,54,47,34,34,17,50,48,27
3236,2,4,210,516,79,218,23,58,55,47,41,31,32,11,35,48,16
3237,2,2,30,93,15,30,5,9,12,2,4,4,5,2,5,8,3
3238,2,2,96,248,37,106,11,28,24,27,16,15,12,7,19,24,6
3239,2,4,173,505,63,203,18,47,56,42,42,14,19,13,23,42,28
3240,2,2,88,255,22,109,11,28,36,28,14,3,17,5,22,17,8
3241,2,1,15,40,3,17,2,5,4,3,3,0,3,1,3,4,1
3242,2,4,131,387,59,154,15,49,32,37,25,21,20,7,25,25,21
3243,2,4,251,641,103,270,18,91,58,59,48,33,21,15,39,35,28
3244,2,2,60,136,19,74,8,19,17,13,6,1,11,2,7,17,4
3245,2,2,24,67,9,27,4,5,4,4,6,2,4,1,8,6,2
3246,2,3,75,270,34,87,11,26,34,24,19,14,14,8,17,16,8
3247,2,4,184,540,77,230,23,49,68,33,31,33,26,13,40,37,28
3248,2,4,136,392,45,118,15,64,49,35,28,15,18,11,14,17,13
3249,2,3,238,653,109,257,29,82,80,75,37,43,33,17,44,46,20
3250,2,2,37,113,14,52,6,15,8,19,3,4,12,0,9,10,5
3251,2,3,103,284,33,120,9,39,33,29,15,16,10,6,23,7,7
3252,2,4,140,393,61,202,17,45,55,46,16,15,19,10,22,49,14
3253,2,4,165,463,75,185,22,59,45,49,28,19,24,12,31,27,19
3254,2,5,198,508,98,182,17,87,55,54,29,47,18,14,30,29,32
3255,2,3,161,510,83,195,21,65,65,37,34,25,24,15,56,19,18
3256,2,3,96,247,36,92,12,35,31,17,15,11,13,6,21,16,10
3257,2,1,25,94,10,31,5,23,7,13,9,1,7,2,3,1,3
3258,2,4,204,621,103,231,21,82,92,61,40,30,22,16,44,60,26
3259,2,2,35,111,8,50,4,12,11,7,5,2,11,1,8,10,3
3260,2,4,175,481,62,186,19,62,53,44,22,20,24,11,34,33,24
3261,2,4,209,573,88,232,19,53,62,67,28,36,28,10,32,52,29
3262,2,4,111,325,36,152,18,33,36,34,16,12,20,6,13,25,15
3263,2,4,232,568,90,224,23,64,71,53,36,28,26,14,26,41,20
3264,2,2,55,160,29,64,5,22,22,18,7,5,5,5,11,10,8
3265,2,4,209,535,66,234,18,89,71,55,36,25,19,14,29,33,27
3266,2,4,320,734,161,295,27,99,86,78,50,49,33,19,48,61,27
3267,2,3,126,335,43,132,16,35,37,40,23,8,18,8,21,25,15
3268,2,3,169,423,65,186,21,24,38,39,12,30,24,11,54,57,22
3269,2,4,180,482,85,181,16,64,69,52,40,34,18,12,13,40,21
3270,2,3,167,454,60,187,20,53,65,51,22,25,23,13,30,40,22
3271,2,4,256,645,106,256,14,71,88,40,46,38,19,14,51,54,39
3272,2,2,63,144,20,66,6,12,14,12,10,9,20,3,1,20,8
3273,2,4,229,676,86,318,26,60,66,43,44,34,29,21,70,52,43
3274,2,4,132,384,62,140,16,61,40,39,17,31,18,11,28,33,18
3275,2,3,139,305,62,109,17,50,21,23,34,22,18,5,17,18,13
3276,2,3,149,481,53,213,20,58,47,55,19,19,25,14,33,34,15
3277,2,5,289,724,158,258,32,93,98,81,54,50,43,14,32,58,20
3278,2,4,244,601,96,294,39,56,48,53,35,28,40,7,39,63,13
3279,2,4,204,477,82,180,23,60,48,48,35,22,29,11,33,44,26
3280,2,3,61,148,28,63,6,26,20,11,8,19,9,3,6,8,5
3281,2,4,267,661,113,280,26,123,57,88,45,38,28,18,19,44,35
3282,2,4,208,564,79,238,25,73,57,50,34,36,34,13,39,32,25
3283,2,3,147,478,57,196,23,50,62,61,13,13,24,15,33,36,24
3284,2,4,85,253,39,93,10,47,26,33,16,11,12,7,13,14,11
3285,2,4,125,331,51,133,16,16,40,20,28,20,21,9,23,35,9
3286,2,3,157,585,47,222,25,46,44,27,20,15,27,16,70,23,43
3287,2,3,170,397,69,177,19,37,40,39,31,18,28,7,33,40,14
3288,2,4,195,452,99,173,17,62,65,58,26,35,19,12,18,44,11
3289,2,3,111,279,56,98,14,36,47,29,29,8,16,7,9,30,4
3290,2,4,126,446,43,140,21,56,42,40,18,12,36,6,21,32,23
3291,2,5,246,704,100,274,31,85,98,59,45,39,34,18,32,54,25
3292,2,4,255,654,137,272,34,89,80,69,37,51,38,15,42,43,23
3293,2,4,136,365,66,154,16,37,36,36,23,25,20,10,26,26,21
3294,2,4,152,387,72,146,19,48,42,37,14,28,23,8,25,30,14
3295,2,3,127,296,48,133,10,40,31,30,26,12,12,8,17,24,13
3296,2,4,146,416,42,159,21,38,47,37,30,17,25,6,35,37,11
3297,2,3,96,270,31,95,12,28,20,16,19,14,15,7,15,28,19
3298,2,4,251,598,100,223,26,70,62,53,22,38,40,14,37,48,35
3299,2,4,210,556,98,216,24,45,64,73,37,34,26,12,33,43,19
3300,2,4,157,461,79,162,17,47,59,39,36,34,23,10,44,28,18
3301,2,3,102,296,30,124,17,26,30,21,20,9,18,7,22,36,13
3302,2,4,168,457,73,167,19,57,52,40,43,28,24,9,24,29,18
3303,2,3,128,301,43,141,14,29,40,19,22,9,16,7,23,33,12
3304,2,3,113,292,61,107,13,36,42,27,15,27,13,8,5,21,18
3305,2,3,114,336,26,135,15,39,47,25,22,9,29,0,17,39,19
3306,2,5,217,495,105,186,24,57,56,31,48,36,40,6,40,26,7
3307,2,3,120,524,35,236,19,31,65,53,10,5,23,14,20,50,13
3308,2,4,176,414,73,171,19,46,35,25,28,30,28,9,25,44,11
3309,2,4,155,439,81,196,19,41,48,37,22,23,25,10,33,43,12
3310,2,6,309,767,162,307,33,123,98,85,41,74,41,21,30,49,30
3311,2,4,225,579,97,233,30,91,66,73,24,20,34,9,29,39,19
3312,2,4,193,515,88,227,23,64,65,62,29,32,25,13,30,35,26
3313,2,3,103,312,36,131,12,37,39,39,17,15,12,6,20,20,10
3314,2,3,150,389,44,184,20,42,44,43,19,18,25,6,27,34,11
3315,2,4,187,470,75,204,24,76,54,45,30,26,29,7,23,45,20
3316,2,3,239,612,100,257,20,104,83,79,41,30,28,17,40,20,21
3317,2,3,145,432,56,185,18,60,56,40,31,11,23,9,22,30,19
3318,2,3,109,294,38,111,12,31,38,37,17,15,13,9,20,20,14
3319,2,3,107,258,49,110,13,35,25,21,13,21,21,1,15,31,8
3320,2,4,136,389,63,162,15,68,37,29,16,20,17,10,28,12,17
3321,2,4,197,504,92,204,21,78,69,55,23,37,23,13,30,32,16
3322,2,3,98,259,46,110,14,38,36,28,13,15,14,5,11,21,9
3323,2,4,188,488,88,188,19,44,56,35,30,36,21,13,37,37,23
3324,2,3,65,186,17,93,9,19,19,10,13,5,15,2,12,9,10
3325,2,4,205,537,93,220,19,66,59,55,30,33,20,12,33,36,24
3326,2,3,108,319,40,137,14,25,41,29,18,13,15,8,28,35,13
3327,2,3,150,386,55,186,15,27,36,28,29,26,19,8,27,55,17
3328,2,3,143,330,82,128,17,49,45,25,25,37,18,7,24,25,11
3329,2,3,56,179,17,77,8,24,23,12,14,2,10,6,8,10,5
3330,2,3,117,279,45,134,13,33,28,25,18,25,19,6,17,24,13
3331,2,4,285,677,135,290,30,93,71,71,53,44,40,13,42,57,20
3332,2,3,86,222,47,88,8,18,32,14,15,19,12,5,15,20,7
3333,2,3,92,204,45,73,9,33,28,23,12,11,17,1,15,18,1
3334,2,4,190,494,65,191,25,52,60,42,35,20,31,11,37,40,16
3335,2,4,108,290,47,93,13,32,23,22,33,24,16,7,16,22,21
3336,2,3,74,203,25,93,10,27,22,21,11,9,11,5,9,18,6
3337,2,4,181,443,73,200,20,50,50,48,35,22,25,13,25,41,13
3338,2,3,104,299,62,124,15,34,41,24,8,23,19,7,36,23,7
3339,2,4,150,460,59,184,16,61,60,54,27,27,19,11,31,29,16
3340,2,4,214,593,84,246,28,72,44,52,34,28,34,13,45,59,31
3341,2,3,138,410,55,167,16,43,48,23,23,32,26,11,39,34,9
3342,2,4,202,486,84,208,26,53,46,34,39,36,33,11,49,52,18
3343,2,5,346,982,135,415,42,113,109,100,60,49,42,28,57,70,50
3344,2,3,258,535,123,235,27,56,63,29,56,50,34,9,25,64,10
3345,2,3,98,287,42,104,8,33,33,26,21,16,9,8,15,19,14
3346,2,2,57,149,27,55,7,26,20,15,10,10,10,3,10,7,8
3347,2,4,163,431,79,166,18,47,45,36,21,32,21,13,29,27,18
3348,2,4,131,321,58,134,7,43,44,26,11,19,7,7,13,45,18
3349,2,3,135,287,60,136,17,27,27,24,17,20,20,4,12,35,11
3350,2,3,82,291,23,122,13,42,32,34,13,5,20,5,22,14,6
